Block,Time,NR/30092023/31122025/SH-07,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/23032024/30032024/HP-64,NR/30092023/26122029/SH-06,NR/01102023/23072042/L_NR_2012_04,NR/23032024/30032024/HP-60,NR/01102023/30042040/GNA_LT_35,NR/01102023/31102037/L_NR_2019_11,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01102023/30042040/GNA_LT_36,WR/16032024/31032024/TPDDL/PMG/MSEDCL/Banking/12112023,WR/01102023/29112042/RUMS(L_NR_2019_06),L_NR_2019_19,NR/01032024/31032024/NVVN/OA/16997,NR/22102023/11042047/L_NR_2021_16,NR/01102023/25072045/L_NR_2021_15,NR/22102023/11042047/L_NR_2021_17,WR/01102023/01102023/L_NR_2022_09,WR/01102023/16072048/L_NR_2022_08,WR/01102023/29112042/L_NR_2019_05,WR/01102023/24112044/L_NR_2020_07,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/31032046/L_NR_2020_05,NR/01032024/31032024/SJVN010324NR1589,NR/26072023/31072042/L_NR_2023_07,NR/01012024/31032024/ ChanjuII,SR/01032024/31032024/SWAP ARRANGEMENT LOA D.NO.366 DT.31-08-2023,NR/01032024/31032024/SJVN010324NR1588,WR/01102023/30052048/L_NR_2022_10,NR/01102023/02012046/L_NR_2021_17,NR/01102023/08032047/L_NR_2021_14,NR/01102023/06022042/L_NR_2012_02,WR/01102023/01102023/L_NR_2020_06,NR/26072023/25122043/L_NR_2023_10,NR/01102023/02122045/L_NR_2021_13,NR/23032024/30032024/HP-57,NR/01102023/05012040/L_NR_2020_02,SR/16032024/31032024/SWAP ARRANGEMENT LOA.NO.365 DT.31-08-2023,NR/01102023/14082046/L_NR_2021_16,NR/01102023/22052037/LT-59,SR/01032024/31032024/SJVN010324NR1590,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/13082046/L_NR_2021_12,NR/01102023/06022042/L_NR_2012_07,NR/01102023/31052040/LT-31,SR/01102023/07102043/L_NR_2018_61,NR/01102023/19072037/LT-05
1,00:00-00:15,25.530000,27.030000,29.540000,25.530000,134.010000,74.090000,0.000000,2.530000,0.000000,0.000000,193.100000,0,0,48.280000,0,0,0,53.33,26,0,29.67,0,89,0,0,0.000000,48.28,0,53.33,0,0,130.630000,29.66,0,0,173.020000,1.670000,48.28,0,2.720000,0,89.320000,0,87.090000,0.000000,11.61,57.910000

2,00:15-00:30,25.530000,27.030000,29.540000,25.530000,134.010000,74.090000,0.000000,2.530000,0.000000,0.000000,193.100000,0,0,48.280000,0,0,0,53.33,25.34,0,30,0,90,0,0,0.000000,48.28,0,53.33,0,0,130.630000,30,0,0,173.020000,1.670000,48.28,0,2.720000,0,89.320000,0,76.550000,0.000000,11.21,57.910000

3,00:30-00:45,25.530000,27.030000,29.540000,25.530000,134.010000,74.090000,0.000000,2.530000,0.000000,0.000000,193.100000,0,0,48.280000,0,0,0,53.33,25,0,30.17,0,90.5,0,0,0.000000,48.28,0,53.33,0,0,130.630000,30.16,0,0,173.020000,1.670000,48.28,0,2.720000,0,89.320000,0,76.550000,0.000000,10.61,57.910000

4,00:45-01:00,25.530000,27.030000,29.540000,25.530000,134.010000,74.090000,0.000000,2.530000,0.000000,0.000000,193.100000,0,0,48.280000,0,0,0,52.67,24.34,0,30.17,0,90.5,0,0,0.000000,48.28,0,52.67,0,0,130.630000,30.16,0,0,173.020000,1.670000,48.28,0,2.720000,0,89.320000,0,76.550000,0.000000,10.01,57.910000

5,01:00-01:15,25.530000,27.030000,29.540000,25.530000,134.010000,74.090000,0.000000,2.530000,0.000000,0.000000,193.100000,0,0,48.280000,0,0,0,53,24,0,30.33,0,91,0,0,0.000000,48.28,0,53,0,0,130.630000,30.34,0,0,173.020000,1.670000,48.28,0,2.720000,0,60.350000,0,76.550000,0.000000,9.61,57.910000

6,01:15-01:30,25.530000,27.030000,29.540000,25.530000,134.010000,74.090000,0.000000,2.530000,0.000000,0.000000,193.100000,0,0,48.280000,0,0,0,53.33,23.34,0,30.5,0,91.5,0,0,0.000000,48.28,0,53.33,0,0,130.630000,30.5,0,0,173.020000,1.670000,48.28,0,2.720000,0,48.280000,0,76.550000,0.000000,6.61,57.910000

