Time,Block,NR/2023/17404/F,NR/2023/17402/F,NR/2023/14875/A,NR/2023/17871/C,NR/2023/17496/F,NR/2023/17872/C,NR/2023/17344/F,NR/2023/17165/A,NR/2023/17263/F,WR/2023/17681/A,WR/2023/17681/A/II,NR/2023/17875/C,NR/2023/17874/C,WR/2023/19090/A,Total
,,MANIKARAN,MANIKARAN,APPCPL,TPDDL,IEXL,SJVNL,ITCLH,NVVNL,APPCPL,MANIKARAN,MANIKARAN,SJVNL,NVVNL,TPTCL,Total

,,DELHI,DELHI,DELHI,HIMACHAL PRADESH,KARNATAKA,NA,ANDHRA PRADESH,NA,DELHI,DELHI,DELHI,NA,NA,DELHI,
,,BRPL,BRPL,BYPL,CHANJUII,NSLSUGAR,SORANG_HEP,ITCWIND,SKS Raigarh,BRPL,BYPL,BYPL,RSRPL_BKN,SOLAPUR_SOLAR,BYPL,
,,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,DELHI,DELHI,DELHI,DELHI,DELHI,HIMACHAL PRADESH,MAHARASHTRA,MAHARASHTRA,DELHI,DELHI,MAHARASHTRA,
,,HP,HP,HP,TPDDL,MES (Delhi),NDMC,ITCLH,NDMC,HP,AEML,AEML,NDMC,MES (Delhi),TPC MSEB,
,,North-North,North-North,North-North,North-North,South-East-North,North-North,South-West-North,West-North,North-North,North-West,North-East-West,North-North,West-North,North-West,
1,00:00-00:15,20.400000,0.000000,76.880000,4.430000,6.780000,0.000000,0.580000,62.930000,179.140000,100.000000,0.000000,0,0,0.000000,451.14

2,00:15-00:30,20.400000,0.000000,76.880000,4.430000,6.780000,0.000000,0.580000,62.930000,179.140000,100.000000,0.000000,0,0,0.000000,451.14

3,00:30-00:45,20.400000,0.000000,76.880000,4.430000,6.780000,0.000000,0.580000,62.930000,179.140000,100.000000,0.000000,0,0,0.000000,451.14

4,00:45-01:00,20.400000,0.000000,76.880000,4.430000,6.780000,0.000000,0.580000,62.930000,179.140000,100.000000,0.000000,0,0,0.000000,451.14

5,01:00-01:15,20.400000,0.000000,76.880000,4.430000,6.780000,0.000000,0.530000,62.930000,179.140000,100.000000,0.000000,0,0,0.000000,451.09

6,01:15-01:30,20.400000,0.000000,76.880000,4.430000,6.780000,0.000000,0.530000,62.930000,179.140000,100.000000,0.000000,0,0,0.000000,451.09

7,01:30-01:45,20.400000,0.000000,76.880000,4.430000,6.780000,0.000000,0.530000,62.930000,179.140000,100.000000,0.000000,0,0,0.000000,451.09

