Time,Block,NR/2023/12646/A,NR/2023/15013/C,NR/2023/15037/C,NR/2023/13983/F,NR/2023/15019/C,NR/2023/11470/A,NR/2023/15039/C,NR/2023/11954/A,NR/2023/11697/A,NR/2023/13573/A,NR/2023/15028/C,NR/2023/13283/A,NR/2023/13983/F/II,NR/2023/11203/A,NR/2023/11315/A,NR/2023/15006/D,NR/2023/15026/C,NR/2023/11469/A,NR/2023/15034/C,NR/2023/13284/A,NR/2023/11739/A,NR/2023/15008/D,NR/2023/11458/A,NR/2023/13858/A,NR/2023/13859/A,NR/2023/11654/A,NR/2023/15002/D,NR/2023/15004/D,NR/2023/15036/C,NR/2023/15007/D,NR/2023/11328/A,NR/2023/11325/A,NR/2023/14187/F,NR/2023/15000/D,Total
,,MANIKARAN,GBHHPL,IEXL,ITCLH,HPXL,NVVNL,IEXL,KEIPL,APPCPL,NVVNL,HPXL,APPCPL,ITCLH,KEIPL,GMRETL,TS1PL_BKN,HPXL,NVVNL,IEXL,APPCPL,NVVNL,SJVNL,STATKRAFT,MANIKARAN,MANIKARAN,TPTCL,NVVNL,TS1PL_BKN,IEXL,SJVNL,APPCPL,APPCPL,GBHHPL,NVVNL,Total

,,TAMIL NADU,HIMACHAL PRADESH,NA,ANDHRA PRADESH,NA,NA,NA,MEGHALAYA,HIMACHAL PRADESH,NA,NA,GOA,ANDHRA PRADESH,MEGHALAYA,MEGHALAYA,NA,UTTAR PRADESH,NA,KARNATAKA,HIMACHAL PRADESH,MP,WEST BENGAL,TAMIL NADU,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,NA,NA,UTTAR PRADESH,UTTAR PRADESH,UTTARAKHAND,MEGHALAYA,HIMACHAL PRADESH,NA,
,,TANGEDCO,GBHHPL,SCLTPS,ITCWIND,ACBIL,KAMENG,SIMHAPURI,Meghalaya_Ben,HP,SKS Raigarh,Teesta_III,GOA_Beneficiary,ITCWIND,Meghalaya_Ben,Meghalaya_Ben,TS1PL_BKN,PPGCL,JPNIGRIE_JNSTPP,NSLSUGAR,HP,JP BINA,IPCL_WB,TANGEDCO,HP,HP,JPL-2,SOLAPUR_SOLAR,TS1PL_BKN,BCMLB001,BCMLB001,UTTARAKHAND,Meghalaya_Ben,GBHHPL,KAMENG,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,BRPL,DIAPL,BRPL,ITCLH,BYPL,BRPL,BRPL,BYPL,BYPL,NDMC,BRPL,BRPL,ITCLH,BYPL,BYPL,BRPL,BRPL,BRPL,MES (Delhi),BRPL,BRPL,NDMC,BYPL,BRPL,BRPL,BRPL,MES (Delhi),BYPL,BRPL,NDMC,BYPL,BYPL,DIAPL,TPDDL,
,,South-West-North,North-North,North-North,South-East-North,West-North,North East-East-North,South-West-North,North East-East-North,North-North,West-North,East-North,West-North,South-West-North,North East-East-North,North East-East-North,North-North,North-North,West-North,South-West-North,North-North,West-North,East-North,South-West-North,North-North,North-North,West-North,West-North,North-North,North-North,North-North,North-North,North East-East-North,North-North,North East-East-North,
1,00:00-00:15,23.100000,0.970000,125.500000,0.170000,0.000000,21.230000,0.000000,36.420000,36.780000,28.960000,193.080000,24.140000,0.700000,62.990000,22.200000,0,0.000000,84.940000,0.000000,85.820000,42.470000,0.000000,98.470000,84.470000,181.010000,152.530000,0,0,0.000000,0.000000,48.270000,24.140000,3.860000,193.080000,1575.3

2,00:15-00:30,23.100000,0.970000,106.190000,0.170000,0.000000,21.230000,0.000000,36.420000,36.780000,28.960000,223.010000,24.140000,0.700000,62.990000,22.200000,0,0.000000,84.940000,0.000000,85.820000,42.470000,0.000000,98.470000,84.470000,181.010000,152.530000,0,0,0.000000,0.000000,48.270000,24.140000,3.860000,193.080000,1585.92

3,00:30-00:45,23.100000,1.930000,86.890000,0.170000,0.000000,21.230000,0.000000,36.420000,36.780000,28.960000,217.220000,24.140000,0.700000,62.990000,22.200000,0,0.000000,84.940000,0.000000,85.820000,42.470000,0.000000,98.470000,84.470000,181.010000,152.530000,0,0,0.000000,0.000000,48.270000,24.140000,3.860000,193.080000,1561.79

4,00:45-01:00,23.100000,1.930000,67.580000,0.170000,0.000000,21.230000,122.190000,36.420000,36.780000,28.960000,222.040000,24.140000,0.700000,62.990000,22.200000,0,0.000000,84.940000,6.760000,85.820000,42.470000,0.000000,98.470000,84.470000,181.010000,152.530000,0,0,0.000000,0.000000,48.270000,24.140000,3.860000,193.080000,1676.25

5,01:00-01:15,23.100000,1.930000,40.550000,0.140000,0.000000,21.230000,86.890000,36.420000,36.780000,28.960000,257.760000,24.140000,0.540000,62.990000,22.200000,0,0.000000,84.940000,6.760000,85.820000,42.470000,0.000000,98.470000,84.470000,181.010000,152.530000,0,0,0.000000,0.000000,48.270000,24.140000,3.860000,193.080000,1649.45

6,01:15-01:30,23.100000,1.930000,40.550000,0.140000,0.000000,21.230000,48.270000,36.420000,36.780000,28.960000,257.760000,24.140000,0.540000,62.990000,22.200000,0,0.000000,84.940000,6.760000,85.820000,42.470000,0.000000,98.470000,84.470000,181.010000,152.530000,0,0,0.000000,0.000000,48.270000,24.140000,3.860000,193.080000,1610.83

7,01:30-01:45,23.100000,1.930000,40.550000,0.140000,0.000000,21.230000,9.650000,36.420000,36.780000,28.960000,278.040000,24.140000,0.540000,62.990000,22.200000,0,0.000000,84.940000,6.760000,85.820000,42.470000,0.000000,98.470000,84.470000,181.010000,152.530000,0,0,0.000000,0.000000,48.270000,24.140000,3.860000,193.080000,1592.49

8,01:45-02:00,23.100000,1.930000,40.550000,0.140000,0.000000,21.230000,0.000000,36.420000,36.780000,28.960000,228.800000,24.140000,0.540000,62.990000,22.200000,0,0.000000,84.940000,6.760000,85.820000,42.470000,0.000000,98.470000,84.470000,181.010000,152.530000,0,0,0.000000,0.000000,48.270000,24.140000,3.860000,193.080000,1533.6

9,02:00-02:15,23.100000,1.930000,40.550000,0.120000,0.000000,21.230000,0.000000,36.420000,36.780000,28.960000,176.670000,24.140000,0.460000,62.990000,22.200000,0,0.000000,84.940000,6.760000,85.820000,42.470000,0.000000,98.470000,84.470000,181.010000,152.530000,0,0,0.000000,0.000000,48.270000,24.140000,3.860000,193.080000,1481.37

10,02:15-02:30,23.100000,1.930000,40.550000,0.120000,0.000000,21.230000,0.000000,36.420000,36.780000,28.960000,157.360000,24.140000,0.460000,62.990000,22.200000,0,0.000000,84.940000,6.760000,85.820000,42.470000,0.000000,98.470000,84.470000,181.010000,152.530000,0,0,0.000000,0.000000,48.270000,24.140000,3.860000,193.080000,1462.06

11,02:30-02:45,23.100000,1.930000,40.550000,0.120000,0.000000,21.230000,0.000000,36.420000,36.780000,28.960000,136.120000,24.140000,0.460000,62.990000,22.200000,0,0.000000,84.940000,6.760000,85.820000,42.470000,0.000000,98.470000,84.470000,181.010000,152.530000,0,0,0.000000,0.000000,48.270000,24.140000,3.860000,193.080000,1440.82

12,02:45-03:00,23.100000,1.930000,40.550000,0.120000,0.000000,21.230000,0.000000,36.420000,36.780000,28.960000,97.510000,24.140000,0.460000,62.990000,22.200000,0,0.000000,84.940000,6.760000,85.820000,42.470000,0.000000,98.470000,84.470000,181.010000,152.530000,0,0,0.000000,0.000000,48.270000,24.140000,3.860000,193.080000,1402.21

13,03:00-03:15,0.000000,1.930000,40.550000,0.000000,0.000000,21.230000,0.000000,0.000000,36.780000,28.960000,85.920000,24.140000,0.530000,62.990000,22.200000,0,0.000000,84.940000,6.760000,85.820000,42.470000,0.000000,98.470000,84.470000,181.010000,152.530000,0,0,0.000000,0.000000,48.270000,24.140000,3.860000,193.080000,1331.05

