Block,Time,CHAMERA1,FSTPP I & II,KGSU1AND2,NLCIIST2,AURY_CRF,AURY_RF,DADRI_CRF,DADRI_RF,NLCIIST1,SEWA2,TANDA2,ANTA_GF,DADRI_GF,DHAULIGNGA,KHSTPP-II,KOTESHWR,NJPC,RIHAND3,TEHRI,UNCHAHAR4,URI2,VALLURNTECL,ANTA_RF,CHAMERA2,DULHASTI,KOLDAM,RSTPSU7,SIMHST1,SINGRAULI,DADRT2,KHSTPP-I,KKNP,KKNPPU2,KUDGI,NAPP,NLCTS2EXP,PARBATI3,RAMPUR,RAPPC,RSTPSU1TO6,TALA,TelanganaSTPP,AURY_GF,JHAJJAR,NLCEXP,NTPL,RIHAND2,TALST2,ANTA_CRF,ANTA_LF,AURY_LF,DADRI_LF,CHAMERA3,KGSU3AND4,KISHANGANGA,MAPS,NNTPP,SALAL,SIMHST2,SINGRAULI_HYDRO,UNCHAHAR1,BRBCL,BSIUL,RAPPB,RIHAND1,SASAN,TANAKPUR,UNCHAHAR2,UNCHAHAR3,URI
1,00:00-00:15,0,20.8,0,0,0,53.76,0,69.05,0,0,0,0,0,0,98.87,8.88,0,124.32,0,0,4.31,0,44.83,0,16.48,0,0,0,125.96,683.14,33.69,0,0,0,43.79,0,0,0,53.93,0,0,0,0,654.3,0,0,118.75,0,0,0,0,23.57,0,0,0,0,0,1.4,0,0,10.27,20,0,0,92,418.77,5.76,27.42,26.39,2.21

2,00:15-00:30,0,20.8,0,0,0,53.76,0,69.05,0,0,0,0,0,0,98.87,8.88,0,124.32,0,0,4.31,0,44.83,0,16.48,0,0,0,125.96,683.14,33.69,0,0,0,43.79,0,0,0,53.93,0,0,0,0,654.3,0,0,118.75,0,0,0,0,23.57,0,0,0,0,0,1.4,0,0,10.27,20,0,0,92,418.77,5.76,30.77,26.39,2.21

3,00:30-00:45,0,20.8,0,0,0,53.76,0,69.05,0,0,0,0,0,0,98.87,8.88,0,124.32,0,0,4.31,0,44.83,0,16.48,0,0,0,125.96,683.14,33.69,0,0,0,43.79,0,0,0,53.93,0,0,0,0,654.3,0,0,118.75,0,0,0,0,23.57,0,0,0,0,0,1.4,0,0,10.27,20,0,0,92,418.77,5.76,30.77,26.39,2.21

4,00:45-01:00,0,20.8,0,0,0,53.76,0,69.05,0,0,0,0,0,0,98.87,8.88,0,124.32,0,0,4.31,0,44.83,0,16.48,0,0,0,125.96,683.14,33.69,0,0,0,43.79,0,0,0,53.93,0,0,0,0,654.3,0,0,118.75,0,0,0,0,23.57,0,0,0,0,0,1.4,0,0,10.27,20,0,0,92,418.77,5.76,33.57,26.39,2.21

5,01:00-01:15,0,20.8,0,0,0,53.76,0,69.05,0,0,0,0,0,0,98.87,8.88,0,124.32,0,0,4.31,0,44.83,0,16.48,0,0,0,125.96,683.14,33.69,0,0,0,43.79,0,0,0,53.93,0,0,0,0,654.3,0,0,118.75,0,0,0,0,23.57,0,0,0,0,0,1.4,0,0,10.27,20,0,0,92,418.77,5.76,33.57,26.39,2.21

6,01:15-01:30,0,20.8,0,0,0,53.76,0,69.05,0,0,0,0,0,0,98.87,8.88,0,124.32,0,0,4.31,0,44.83,0,16.48,0,0,0,125.96,683.14,33.69,0,0,0,43.79,0,0,0,53.93,0,0,0,0,654.3,0,0,118.75,0,0,0,0,23.57,0,0,0,0,0,1.4,0,0,10.27,20,0,0,92,418.77,5.76,36.37,26.39,2.21

