Time,Block,NR/2023/12053/A,NR/2023/12347/A,NR/2023/16064/C,NR/2023/16063/C,NR/2023/15057/F,NR/2023/15309/F,NR/2023/15694/F,NR/2023/12592/A,NR/2023/15402/F,NR/2023/16043/C,NR/2023/16039/C,NR/2023/14898/A,NR/2023/12422/A,NR/2023/16059/C,NR/2023/16040/C,NR/2023/14737/A,NR/2023/16024/D,NR/2023/12052/A,NR/2023/13635/A,NR/2023/12431/A,NR/2023/12591/A,NR/2023/14745/A,NR/2023/16041/C,NR/2023/14895/A,NR/2023/16038/C,NR/2023/12167/A,NR/2023/16042/C,NR/2023/16053/C,NR/2023/16023/D,NR/2023/12148/A,NR/2023/16044/C,NR/2023/14746/A,ER/2023/9990/C,NR/2023/16022/D,NR/2023/16032/C,NR/2023/12168/A,NR/2023/13862/A,Total
,,KEIPL,STATKRAFT,HPXL,IEXL,ITCLH,IEXL,NVVNL,NVVNL,SJVNL,IEXL,HPXL,MANIKARAN,APPCPL,SJVNL,IEXL,NVVNL,KEIPL,KEIPL,NVVNL,TPTCL,NVVNL,APPCPL,PXIL,MANIKARAN,TPDDL,APPCPL,PXIL,HPXL,SJVNL,GMRETL,PXIL,APPCPL,HPXL,NVVNL,GBHHPL,APPCPL,MANIKARAN,Total

,,MEGHALAYA,TAMIL NADU,DELHI,NA,ANDHRA PRADESH,JAMMU AND KASHMIR,NA,NA,UTTAR PRADESH,NA,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,NA,NA,UTTAR PRADESH,MEGHALAYA,NA,NA,NA,GOA,KARNATAKA,HIMACHAL PRADESH,HIMACHAL PRADESH,MEGHALAYA,MAHARASHTRA,NA,NA,MEGHALAYA,NA,HIMACHAL PRADESH,DELHI,NA,HIMACHAL PRADESH,UTTARAKHAND,TAMIL NADU,
,,Meghalaya_Ben,TANGEDCO,BYPL,SIMHAPURI,ITCWIND,SAPU1234,KAMENG,JPNIGRIE_JNSTPP,BCMLB001,Teesta_III,SEIL,HP,HP,RSRPL_BKN,MCCPL,SKS Raigarh,LAPL-UP,Meghalaya_Ben,KAMENG,JPL-2,JPNIGRIE_JNSTPP,GOA_Beneficiary,JSWEL,HP,CHANJUII,Meghalaya_Ben,JSWEL MSEB,SEILP2,DIKCHU,Meghalaya_Ben,KWHEP,HP,BYPL,SOLAPUR_SOLAR,GBHHPL,UTTARAKHAND,TANGEDCO,
,,DELHI,DELHI,UTTAR PRADESH,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,ODISHA,DELHI,DELHI,DELHI,DELHI,
,,BYPL,BYPL,NPCL(UP),BRPL,ITCLH,MES (Delhi),TPDDL,BRPL,NDMC,BRPL,BRPL,BRPL,BYPL,NDMC,BRPL,NDMC,BYPL,BYPL,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,TPDDL,BYPL,BRPL,BRPL,NDMC,BYPL,BRPL,BRPL,VLSEZ,MES (Delhi),DIAPL,BYPL,BRPL,
,,North East-East-North,South-West-North,North-North,South-East-North,South-West-North,North-North,North East-East-North,West-North,North-North,East-North,South-East-North,North-North,North-North,North-North,West-East-North,West-North,North-North,North East-East-North,North East-East-North,West-North,West-North,West-North,South-West-North,North-North,North-North,North East-East-North,West-North,South-East-North,East-North,North East-East-North,North-North,North-North,North-East,West-North,North-North,North-North,South-East-North,
1,00:00-00:15,36.410000,98.440000,0.000000,0.000000,0.870000,4.830000,193.020000,99.890000,0.000000,63.700000,0.000000,77.210000,36.770000,0,0.000000,62.730000,0.000000,62.970000,24.980000,124.830000,49.940000,24.130000,48.260000,95.540000,18.840000,24.130000,48.260000,0.000000,0.000000,22.200000,41.070000,85.800000,0.000000,0,6.050000,46.520000,23.090000,1420.48

2,00:15-00:30,36.410000,98.440000,0.000000,0.000000,0.870000,4.830000,193.020000,99.890000,0.000000,63.700000,0.000000,77.210000,36.770000,0,0.000000,62.730000,0.000000,62.970000,24.980000,124.830000,49.940000,24.130000,48.260000,95.540000,18.840000,24.130000,48.260000,0.000000,0.000000,22.200000,41.070000,85.800000,0.000000,0,6.050000,46.520000,23.090000,1420.48

3,00:30-00:45,36.410000,98.440000,0.000000,0.000000,0.870000,4.830000,193.020000,99.890000,0.000000,63.700000,0.000000,77.210000,36.770000,0,0.000000,62.730000,0.000000,62.970000,24.980000,124.830000,49.940000,24.130000,48.260000,95.540000,18.840000,24.130000,48.260000,0.000000,0.000000,22.200000,41.070000,85.800000,0.000000,0,6.050000,46.520000,23.090000,1420.48

4,00:45-01:00,36.410000,98.440000,0.000000,0.000000,0.870000,4.830000,193.020000,99.890000,0.000000,63.700000,0.000000,77.210000,36.770000,0,0.000000,62.730000,0.000000,62.970000,24.980000,124.830000,49.940000,24.130000,48.260000,95.540000,18.840000,24.130000,48.260000,0.000000,0.000000,22.200000,41.070000,85.800000,0.000000,0,6.050000,46.520000,23.090000,1420.48

5,01:00-01:15,36.410000,98.440000,0.000000,0.000000,0.680000,4.830000,193.020000,99.890000,0.000000,63.700000,0.000000,77.210000,36.770000,0,0.000000,62.730000,0.000000,62.970000,24.980000,124.830000,49.940000,24.130000,48.260000,95.540000,18.840000,24.130000,48.260000,0.000000,0.000000,22.200000,41.070000,85.800000,0.000000,0,6.050000,46.520000,23.090000,1420.29

6,01:15-01:30,36.410000,98.440000,0.000000,0.000000,0.680000,4.830000,193.020000,99.890000,0.000000,63.700000,0.000000,77.210000,36.770000,0,0.000000,62.730000,0.000000,62.970000,24.980000,124.830000,49.940000,24.130000,48.260000,95.540000,18.840000,24.130000,48.260000,0.000000,0.000000,22.200000,41.070000,85.800000,0.000000,0,6.050000,46.520000,23.090000,1420.29

7,01:30-01:45,36.410000,98.440000,0.000000,0.000000,0.680000,4.830000,193.020000,99.890000,0.000000,63.700000,0.000000,77.210000,36.770000,0,0.000000,62.730000,0.000000,62.970000,24.980000,124.830000,49.940000,24.130000,48.260000,95.540000,18.840000,24.130000,48.260000,0.000000,0.000000,22.200000,41.070000,85.800000,0.000000,0,6.050000,46.520000,23.090000,1420.29

8,01:45-02:00,36.410000,98.440000,0.000000,0.000000,0.680000,4.830000,193.020000,99.890000,0.000000,63.700000,0.000000,77.210000,36.770000,0,0.000000,62.730000,0.000000,62.970000,24.980000,124.830000,49.940000,24.130000,48.260000,95.540000,18.840000,24.130000,48.260000,0.000000,0.000000,22.200000,41.070000,85.800000,0.000000,0,6.050000,46.520000,23.090000,1420.29

9,02:00-02:15,36.410000,98.440000,0.000000,0.000000,0.580000,4.830000,193.020000,99.890000,0.000000,63.700000,0.000000,77.210000,36.770000,0,0.000000,62.730000,0.000000,62.970000,24.980000,124.830000,49.940000,24.130000,48.260000,95.540000,18.750000,24.130000,48.260000,0.000000,0.000000,22.200000,41.070000,85.800000,0.000000,0,6.050000,46.520000,23.090000,1420.1

10,02:15-02:30,36.410000,98.440000,0.000000,0.000000,0.580000,4.830000,193.020000,99.890000,0.000000,63.700000,0.000000,77.210000,36.770000,0,0.000000,62.730000,0.000000,62.970000,24.980000,124.830000,49.940000,24.130000,48.260000,95.540000,18.750000,24.130000,48.260000,0.000000,0.000000,22.200000,41.070000,85.800000,0.000000,0,6.050000,46.520000,23.090000,1420.1

11,02:30-02:45,36.410000,98.440000,0.000000,0.000000,0.580000,4.830000,193.020000,99.890000,0.000000,63.700000,0.000000,77.210000,36.770000,0,0.000000,62.730000,0.000000,62.970000,24.980000,124.830000,49.940000,24.130000,48.260000,95.540000,18.750000,24.130000,48.260000,0.000000,0.000000,22.200000,41.070000,85.800000,0.000000,0,6.050000,46.520000,23.090000,1420.1

12,02:45-03:00,36.410000,98.440000,0.000000,0.000000,0.580000,4.830000,193.020000,99.890000,0.000000,63.700000,0.000000,77.210000,36.770000,0,0.000000,62.730000,0.000000,62.970000,24.980000,124.830000,49.940000,24.130000,48.260000,95.540000,18.750000,24.130000,48.260000,0.000000,0.000000,22.200000,41.070000,85.800000,0.000000,0,6.050000,46.520000,23.090000,1420.1

13,03:00-03:15,0.000000,98.440000,0.000000,0.000000,0.530000,4.830000,193.020000,99.890000,0.000000,63.700000,0.000000,77.210000,36.770000,0,0.000000,62.730000,0.000000,62.970000,24.980000,124.830000,49.940000,24.130000,0.000000,95.540000,18.660000,24.130000,0.000000,0.000000,0.000000,22.200000,41.070000,85.800000,0.000000,0,6.050000,46.520000,0.000000,1263.94

14,03:15-03:30,0.000000,98.440000,0.000000,0.000000,0.530000,4.830000,193.020000,99.890000,0.000000,63.700000,0.000000,77.210000,36.770000,0,0.000000,62.730000,0.000000,62.970000,24.980000,124.830000,49.940000,24.130000,0.000000,95.540000,18.660000,24.130000,0.000000,0.000000,0.000000,22.200000,41.070000,85.800000,0.000000,0,6.050000,46.520000,0.000000,1263.94

15,03:30-03:45,0.000000,98.440000,0.000000,0.000000,0.530000,4.830000,193.020000,99.890000,0.000000,63.700000,0.000000,77.210000,36.770000,0,0.000000,62.730000,0.000000,62.970000,24.980000,124.830000,49.940000,24.130000,0.000000,95.540000,18.660000,24.130000,0.000000,0.000000,0.000000,22.200000,41.070000,85.800000,0.000000,0,6.050000,46.520000,0.000000,1263.94

16,03:45-04:00,0.000000,98.440000,0.000000,0.000000,0.530000,4.830000,193.020000,99.890000,0.000000,63.700000,0.000000,77.210000,36.770000,0,0.000000,62.730000,0.000000,62.970000,24.980000,124.830000,49.940000,24.130000,0.000000,95.540000,18.660000,24.130000,0.000000,0.000000,0.000000,22.200000,41.070000,85.800000,0.000000,0,6.050000,46.520000,0.000000,1263.94

17,04:00-04:15,0.000000,98.440000,0.000000,0.000000,0.530000,4.830000,193.020000,99.890000,0.000000,63.700000,0.000000,77.210000,36.770000,0,0.000000,62.730000,0.000000,62.970000,24.980000,124.830000,49.940000,24.130000,0.000000,95.540000,18.660000,24.130000,0.000000,0.000000,0.000000,22.200000,41.070000,85.800000,0.000000,0,6.050000,46.520000,0.000000,1263.94

18,04:15-04:30,0.000000,98.440000,0.000000,0.000000,0.530000,4.830000,193.020000,99.890000,0.000000,63.700000,0.000000,77.210000,36.770000,0,0.000000,62.730000,0.000000,62.970000,24.980000,124.830000,49.940000,24.130000,0.000000,95.540000,18.660000,24.130000,0.000000,0.000000,0.000000,22.200000,41.070000,85.800000,0.000000,0,6.050000,46.520000,0.000000,1263.94

19,04:30-04:45,0.000000,98.440000,0.000000,0.000000,0.530000,4.830000,193.020000,99.890000,0.000000,63.700000,0.000000,77.210000,36.770000,0,0.000000,62.730000,0.000000,62.970000,24.980000,124.830000,49.940000,24.130000,0.000000,95.540000,18.660000,24.130000,0.000000,0.000000,0.000000,22.200000,41.070000,85.800000,0.000000,0,6.050000,46.520000,0.000000,1263.94

20,04:45-05:00,0.000000,98.440000,0.000000,0.000000,0.530000,4.830000,193.020000,99.890000,0.000000,63.700000,0.000000,77.210000,36.770000,0,0.000000,62.730000,0.000000,62.970000,24.980000,124.830000,49.940000,24.130000,0.000000,95.540000,18.660000,24.130000,0.000000,0.000000,0.000000,22.200000,41.070000,85.800000,0.000000,0,6.050000,46.520000,0.000000,1263.94

21,05:00-05:15,0.000000,0.000000,0.000000,0.000000,0.530000,4.830000,193.020000,99.890000,0.000000,63.700000,0.000000,77.210000,36.770000,0,0.000000,62.730000,0.000000,62.970000,24.980000,124.830000,49.940000,24.130000,0.000000,95.540000,18.570000,24.130000,0.000000,0.000000,0.000000,22.200000,41.070000,85.800000,0.000000,0,5.050000,46.520000,0.000000,1164.41

22,05:15-05:30,0.000000,0.000000,0.000000,0.000000,0.530000,4.830000,193.020000,99.890000,0.000000,63.700000,0.000000,77.210000,36.770000,0,0.000000,62.730000,0.000000,62.970000,24.980000,124.830000,49.940000,24.130000,0.000000,95.540000,18.570000,24.130000,0.000000,0.000000,0.000000,22.200000,41.070000,85.800000,0.000000,0,5.050000,46.520000,0.000000,1164.41

23,05:30-05:45,0.000000,0.000000,0.000000,0.000000,0.530000,4.830000,193.020000,99.890000,0.000000,63.700000,0.000000,77.210000,36.770000,0,0.000000,62.730000,0.000000,62.970000,24.980000,124.830000,49.940000,24.130000,0.000000,95.540000,18.570000,24.130000,0.000000,0.000000,0.000000,22.200000,41.070000,85.800000,0.000000,0,5.050000,46.520000,0.000000,1164.41

24,05:45-06:00,0.000000,0.000000,0.000000,0.000000,0.530000,4.830000,193.020000,99.890000,0.000000,63.700000,0.000000,77.210000,36.770000,0,0.000000,62.730000,0.000000,62.970000,24.980000,124.830000,49.940000,24.130000,0.000000,95.540000,18.570000,24.130000,0.000000,0.000000,0.000000,22.200000,41.070000,85.800000,0.000000,0,5.050000,46.520000,0.000000,1164.41

25,06:00-06:15,0.000000,0.000000,0.000000,0.000000,0.680000,4.830000,193.020000,99.890000,0.000000,63.700000,0.000000,77.210000,0.000000,0,0.000000,62.730000,0.000000,62.970000,24.980000,124.830000,49.940000,24.130000,0.000000,95.540000,18.570000,24.130000,0.000000,0.000000,0.000000,22.200000,41.070000,0.000000,0.000000,0,5.050000,46.520000,0.000000,1041.99

26,06:15-06:30,0.000000,0.000000,0.000000,0.000000,0.680000,4.830000,193.020000,99.890000,0.000000,63.700000,0.000000,77.210000,0.000000,0,0.000000,62.730000,0.000000,62.970000,24.980000,124.830000,49.940000,24.130000,0.000000,95.540000,18.570000,24.130000,0.000000,0.000000,0.000000,22.200000,41.070000,0.000000,0.000000,0,5.050000,46.520000,0.000000,1041.99

