Column1,Block,GNARE/NR/2024/12/20/3668,NR/2025/26335/A/71149,NR/2025/26236/A/70783,NR/2025/26688/C,NR/30092023/31122025/SH-07,NR/2025/25855/A/71178,NR/2025/26101/A/70773,NR/2025/26085/A/70742,NR/2025/26312/A/70782,NR/30092023/26122029/SH-06,NR/2025/26291/A/71243,GNA/NR/2025/05/01/8954,NR/2025/25858/A/71179,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/05/01/9395,GNA/NR/2025/05/01/2474,GNA/NR/2025/05/01/7902,GNA/NR/2025/05/01/4138,NR/2025/26002/A/71162,NR/2025/26153/A/70784,NR/2025/26191/A/70717,NR/2025/26672/C,NR/2025/26711/C,NR/2025/26673/C,NR/2025/26712/C,NR/2025/26233/A/71246,NR/2025/26265/A/71245,NR/2025/26198/A/71364,NR/2025/26202/A/71357,NR/2025/26199/A/71363,NR/2025/26201/A/71361,NR/2025/26674/C,NR/2025/26232/A/71247,NR/2025/26197/A/71365,NR/2025/26289/A/71244,NR/2025/26675/C,NR/2025/26676/C,NR/2025/26336/A/71147,NR/2025/26677/C,NR/2025/26200/A/71362,GNA/NR/2025/05/01/6957,GNA/NR/2025/05/01/9320,GNA/NR/2025/05/01/6363,GNA/NR/2025/05/01/5800,GNA/NR/2025/05/01/9252,GNA/NR/2025/05/01/6160,GNA/NR/2025/05/01/2069,GNA/NR/2025/05/01/3877,GNA/NR/2025/05/01/8068,GNA/NR/2025/05/01/9154,GNA/NR/2025/05/01/7791,Total
,,SECI_Trader,BRPL,IEXL,DIAPL,BAWANA_GAS,PowerPulse,GMRETL,ITCLH,IEXL,PUNJAB,HPXL,HPXL,PowerPulse,DELHI,IEXL,NDMC,PXIL,PowerPulse,PowerPulse,IEXL,PXIL,HPXL,NVVNL,HPXL,NVVNL,HPXL,HPXL,APPCPL,NVVNL,APPCPL,APPCPL,HPXL,HPXL,APPCPL,HPXL,HPXL,HPXL,BRPL,IEXL,APPCPL,PowerPulse,PowerPulse,PXIL,PXIL,HPXL,PXIL,HPXL,PXIL,PXIL,PowerPulse,IEXL,
,,NA,NA,NA,HIMACHAL_STATE,DELHI_UT,NA,HIMACHAL_STATE,ANDHRA_PRADESH_STATE,NA,DELHI_UT,MP_State,MSEB_State,NA,HIMACHAL_STATE,JK_and_LADAKH_UT,NA,NA,NA,NA,TAMILNADU_State,NA,NA,NA,NA,NA,GEB_State,NA,NA,NA,NA,NA,MP_State,GEB_State,NA,NA,GEB_State,GEB_State,NA,NA,NA,NA,NA,ODISHA_STATE,Meghalaya_State,HIMACHAL_STATE,ODISHA_STATE,NA,UTTARPRADESH_STATE,CSEB_State,NA,ODISHA_STATE,
,,APSEPL_FTG,TS1PL_BKN,TPSL_BKN2,GBHHPL,BAWANA_GAS,APL_Raipur_TPP,GBHHPL,ITCWIND,MBMP,BAWANA_GAS,Ultratech_Sidhi_MP,GRETAENERGY,APL_Raipur_TPP,CHANJUII,O2ZTPL,JIPL,SINGOLI,COASTGEN,COASTGEN,SURYADEV_ALLOYSTN,JPNIGRIE_JNSTPP,JPL,SORANG_HEP,SIMHAPURI,Kameng,PCBL_MUNDRA,JPL,RKM_POWER,JPNIGRIE_JNSTPP,JPL2,RKM_POWER,Ultratech_Sidhi_MP,PCBL_PALEJ,SKS_Raigarh,SIMHAPURI,PCBL_MUNDRA,PCBL_PALEJ,DADRT2,MBMP,TRN_ENERGY,APL_Raipur_TPP,COASTGEN,FACORPOWER,Meghalaya_Ben,KGEPL_HP,FACORPOWER,JPL,LAPL_UP,SKSIPL,MAHAN_ENERGEN,VSL,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,TPDDL,BRPL,MES_Delhi,DIAPL,HARYANA,TPDDL,TPDDL,ITCLH,NDMC,PUNJAB,BRPL,BRPL,TPDDL,TPDDL,BRPL,NDMC,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,TPDDL,BRPL,TPDDL,BRPL,BRPL,NDMC,TPDDL,NDMC,NDMC,BRPL,BRPL,NDMC,BRPL,BRPL,BRPL,BRPL,NDMC,NDMC,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,
,,North-North,North-North,North-North,North-North,North-North,West-North,North-North,South-West-North,West-North,North-North,West-North,West-North,West-North,North-North,North-North,East-North,North-North,South-East-North,South-West-North,South-West-North,West-North,West-North,North-North,South-West-North,North East-East-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,South-West-North,West-North,West-North,North-North,West-North,West-North,West-North,South-East-North,East-North,North East-East-North,North-North,East-North,West-North,North-North,West-North,West-North,East-North,
1,00:00-00:15,0,0,0,6.76,17.48,115.84,0,0.77,0,30,24.13,5.79,0,0,0,17.38,28.96,0,0,28.96,48.26,0,33.79,0,51.13,4.83,96.53,26.32,0,26.32,26.32,0,4.83,8.77,48.26,0,0,135.14,0,8.77,164.1,164.1,14.48,67.57,13.51,14.48,0,28.96,10.62,123.08,0,1396.24

2,00:15-00:30,0,0,0,6.76,17.48,115.84,0,0.77,0,30,24.13,5.79,0,0,0,17.38,28.96,0,0,28.96,48.26,0,33.79,0,51.13,4.83,96.53,26.32,0,26.32,26.32,0,4.83,8.77,48.26,0,0,135.14,0,8.77,164.1,164.1,14.48,67.57,13.51,14.48,0,28.96,10.62,123.08,0,1396.24

