Block,Time,SH-06,L_NR_2018_61,LT-05,L_NR_2020_02,L_NR_2019_19,L_NR_2019_11,LT-36,L_NR_2012_01,LT-31,LT-35,L_NR_2023_04,LT-59,LT_MEJA_Delhi,L_NR_2012_02,L_NR_2012_04,SH-07,L_NR_2012_07,L_NR_2021_17,L_NR_2020_07,L_NR_2021_13,L_NR_2020_05,L_NR_2019_06,L_NR_2021_16,L_NR_2022_08,L_NR_2019_07,L_NR_2022_09,L_NR_2019_05,L_NR_2022_10,L_NR_2021_15,L_NR_2021_12,L_NR_2020_06,L_NR_2021_14
1,00:00-00:15,0.000000,37.75,115.730000,6.890000,0.000000,6.540000,0.000000,101.310000,0.000000,0.000000,0.000000,5.990000,3.200000,261.720000,272.020000,0.000000,87.240000,0,16.72,0,50.16,0,0,12.61,0,42.95,0,42.95,0,0,16.72,0

2,00:15-00:30,0.000000,37.33,115.730000,6.890000,0.000000,6.540000,0.000000,101.310000,0.000000,0.000000,0.000000,5.990000,3.200000,261.720000,272.020000,0.000000,87.240000,0,16.72,0,50.16,0,0,12.91,0,43.5,0,43.5,0,0,16.72,0

3,00:30-00:45,0.000000,27.34,115.730000,6.890000,0.000000,6.540000,0.000000,101.310000,0.000000,0.000000,0.000000,5.990000,3.200000,261.720000,272.020000,0.000000,87.240000,0,16.68,0,50.02,0,0,13.13,0,44.03,0,44.03,0,0,16.67,0

4,00:45-01:00,0.000000,27.06,115.730000,6.890000,0.000000,6.540000,0.000000,101.310000,0.000000,0.000000,0.000000,5.990000,3.200000,261.720000,272.020000,0.000000,87.240000,0,16.87,0,50.6,0,0,13.75,0,44.26,0,44.26,0,0,16.87,0

5,01:00-01:15,0.000000,26.94,115.730000,6.690000,0.000000,6.540000,0.000000,101.310000,0.000000,0.000000,0.000000,6.460000,3.200000,261.720000,272.020000,0.000000,87.240000,0,16.88,0,50.69,0,0,13.84,0,44.01,0,44.01,0,0,16.9,0

6,01:15-01:30,0.000000,14.34,115.730000,6.690000,0.000000,6.540000,0.000000,101.310000,0.000000,0.000000,0.000000,6.460000,3.200000,261.720000,272.020000,0.000000,87.240000,0,16.93,0,50.78,0,0,14.27,0,43.97,0,43.97,0,0,16.93,0

7,01:30-01:45,0.000000,14.32,115.730000,6.690000,0.000000,6.540000,0.000000,101.310000,0.000000,0.000000,0.000000,6.460000,3.200000,261.720000,272.020000,0.000000,87.240000,0,16.97,0,50.89,0,0,14.75,0,44.18,0,44.18,0,0,16.96,0

8,01:45-02:00,0.000000,14.16,115.730000,6.690000,0.000000,6.540000,0.000000,101.310000,0.000000,0.000000,0.000000,6.460000,3.200000,261.720000,272.020000,0.000000,87.240000,0,17.03,0,51.08,0,0,15.2,0,45.21,0,45.21,0,0,17.02,0

9,02:00-02:15,0.000000,14.1,115.730000,6.560000,0.000000,6.540000,0.000000,101.310000,0.000000,0.000000,0.000000,6.460000,3.200000,261.720000,272.020000,0.000000,87.240000,0,16.72,0,50.16,0,0,12.74,0,42.19,0,42.19,0,0,16.72,0

10,02:15-02:30,0.000000,13.75,115.730000,6.560000,0.000000,6.540000,0.000000,101.310000,0.000000,0.000000,0.000000,6.460000,3.200000,261.720000,272.020000,0.000000,87.240000,0,16.67,0,49.99,0,0,13.38,0,42.82,0,42.82,0,0,16.66,0

11,02:30-02:45,0.000000,12.79,115.730000,6.560000,0.000000,6.540000,0.000000,101.310000,0.000000,0.000000,0.000000,6.460000,3.230000,261.720000,272.020000,0.000000,87.240000,0,16.72,0,50.16,0,0,13.98,0,42.82,0,42.82,0,0,16.72,0

12,02:45-03:00,0.000000,11.68,115.730000,6.560000,0.000000,6.540000,0.000000,101.310000,0.000000,0.000000,0.000000,6.460000,3.230000,261.720000,272.020000,0.000000,87.240000,0,16.94,0,50.83,0,0,14.54,0,43.18,0,43.18,0,0,16.94,0

13,03:00-03:15,0.000000,11.22,115.730000,6.420000,0.000000,6.380000,0.000000,101.310000,0.000000,0.000000,0.000000,6.230000,3.230000,261.720000,272.020000,0.000000,87.240000,0,16.93,0,50.74,0,0,14.51,0,43.06,0,43.06,0,0,16.91,0

14,03:15-03:30,0.000000,11.02,115.730000,6.420000,0.000000,6.380000,0.000000,101.310000,0.000000,0.000000,0.000000,6.230000,3.230000,261.720000,272.020000,0.000000,87.240000,0,21.67,0,65.03,0,0,14.94,0,55.22,0,55.22,0,0,21.68,0

15,03:30-03:45,0.000000,19.1,115.730000,6.420000,0.000000,6.380000,0.000000,101.310000,0.000000,0.000000,0.000000,6.230000,3.230000,261.720000,272.020000,0.000000,87.240000,0,21.63,0,64.87,0,0,15.01,0,54.88,0,54.88,0,0,21.62,0

