Block,Time Block,DADRT2,CHAMERA1,BSIUL,CHAMERA3,CHAMERA2,DHAULIGNGA,BRBCL,DADRI_GF,DADRI_RF,DADRI_LF,UNCHAHAR1,UNCHAHAR4,TALST2,TANAKPUR,TelanganaSTPP,URI2,UNCHAHAR3,TEHRI,UNCHAHAR2,URI,TANDA2,ANTA_CRF,ANTA_RF,VALLURNTECL,AURY_LF,ANTA_LF,AURY_GF,DADRI_CRF,ANTA_GF,AURY_CRF,AURY_RF,NLCIIST2,NLCTS2EXP,NNTPP,NTPL,PARBATI3,RIHAND2,SASAN,TALA,RIHAND1,SIMHST1,SINGRAULI_HYDRO,RAMPUR,RSTPSU1TO6,SIMHST2,RAPPC,RSTPSU7,SALAL,SEWA2,SINGRAULI,RIHAND3,RAPPB,KOTESHWR,KKNP,NLCEXP,NLCIIST1,KKNPPU2,KUDGI,KOLDAM,NJPC,MAPS,NAPP,KGSU3AND4,KHSTPP-II,KISHANGANGA,KHSTPP-I,JHAJJAR,KGSU1AND2,FSTPP I & II,DULHASTI,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,354.78,0,0,0,0,0,19.12,0,0,0,11.02,0,0,0,0,4.12,13.87,0,22.28,1.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113.51,333.59,0,87.94,0,0,0,0,0,51.68,0,1.34,0,102.59,118.84,0,8.49,0,0,0,0,0,0,0,0,42.37,0,113.91,0,22.19,344.12,0,13.44,0,0,0,0,0,0

2,00:15-00:30,354.78,0,0,0,0,0,17.13,0,0,0,11.02,0,0,0,0,4.12,13.87,0,22.28,1.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113.51,333.59,0,87.94,0,0,0,0,0,51.68,0,1.34,0,102.59,118.84,0,8.49,0,0,0,0,0,0,0,0,42.37,0,93.36,0,18.3,344.12,0,10.38,0,0,0,0,0,0

3,00:30-00:45,354.78,0,0,0,0,0,15.41,0,0,0,11.02,0,0,0,0,4.12,13.87,0,22.28,1.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.43,333.59,0,60.44,0,0,0,0,0,51.68,0,1.34,0,91.22,118.84,0,8.49,0,0,0,0,0,0,19.91,0,42.37,0,93.36,0,18.3,344.12,0,9.57,0,0,0,0,0,0

4,00:45-01:00,354.78,0,0,0,0,0,15.02,0,0,0,11.02,0,0,0,0,4.12,13.87,0,22.28,1.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.43,333.59,0,60.44,0,0,0,0,0,51.68,0,1.34,0,91.22,118.84,0,8.49,0,0,0,0,0,0,19.91,0,42.37,0,93.36,0,18.3,344.12,0,9.57,0,0,0,0,0,0

5,01:00-01:15,354.78,0,0,0,0,0,12.96,0,0,0,11.02,0,0,5.51,0,4.12,13.87,0,22.28,2.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.43,333.59,0,60.44,0,0,0,0,0,51.68,0,1.34,0,91.22,118.84,0,8.49,0,0,0,0,0,0,19.91,0,42.37,0,93.36,0,18.3,344.12,0,9.57,0,0,0,0,0,0

