Column1,Block,NR/2024/23510/A/40501,NR/2024/23383/A/40472,NR/2024/23382/A/40631,NR/2024/23446/A/40630,NR/2024/23389/A/40523,NR/2024/23414/A/40473,NR/2024/23356/A/40524,NR/2024/23384/A/40474,NR/2024/23657/C,NR/30092023/26122029/SH-06,NR/30092023/31122025/SH-07,GNA/NR/2024/10/01/8106,GNA/NR/2024/10/01/3642,GNA/NR/2024/10/01/6101,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/10/01/9582,GNA/NR/2024/10/01/9072,Total
,,DIAPL,ITCLH,NVVNL,NVVNL,SJVNL,IEXL,SJVNL,IEXL,NVVNL,PUNJAB,BAWANA_GAS,NDMC,NDMC,NDMC,DELHI,NDMC,NDMC,
,,HIMACHAL_STATE,ANDHRA_PRADESH_STATE,NA,NA,NA,KARNATAKA_STATE,NA,KARNATAKA_STATE,NA,DELHI_UT,DELHI_UT,NA,NA,NA,HIMACHAL_STATE,NA,NA,
,,GBHHPL,ITCWIND,JITPL,JITPL,RSRPL_BKN,NSLSUGAR,TPSL_BKN2,NSLSUGAR,SOLAPUR_SOLAR,BAWANA_GAS,BAWANA_GAS,TRN_ENERGY,RKM_POWER,JPL2,CHANJUII,SKS_Raigarh,RKM_POWER,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,DIAPL,ITCLH,NDMC,NDMC,NDMC,MES_Delhi,NDMC,MES_Delhi,MES_Delhi,PUNJAB,HARYANA,NDMC,NDMC,NDMC,TPDDL,NDMC,NDMC,
,,North-North,South-West-North,East-North,East-North,North-North,South-West-North,North-North,South-West-North,West-North,North-North,North-North,West-North,West-North,West-North,North-North,West-North,West-North,
1,00:00-00:15,2.91,0.58,17.64,0,0,0,0,6.79,0,22.89,22.89,8.82,26.45,26.45,6.39,8.82,26.45,177.07999999999998

2,00:15-00:30,2.91,0.58,17.64,0,0,0,0,6.79,0,22.89,22.89,8.82,26.45,26.45,6.39,8.82,26.45,177.07999999999998

3,00:30-00:45,2.91,0.58,17.64,0,0,0,0,6.79,0,24.14,24.14,8.82,26.45,26.45,6.39,8.82,26.45,179.57999999999998

4,00:45-01:00,2.91,0.58,17.64,0,0,0,0,6.79,0,24.14,24.14,8.82,26.45,26.45,6.39,8.82,26.45,179.57999999999998

5,01:00-01:15,2.91,0.53,17.64,0,0,0,0,6.79,0,24.14,24.14,8.82,26.45,26.45,6.39,8.82,26.45,179.52999999999997

