Block,Time,SEWA2,URI,RIHAND1,TEHRI,UNCHAHAR1,ANTA_LF,DADRI_GF,ANTA_GF,AURY_LF,PARBATI3,JHAJJAR,TANAKPUR,DADRT2,UNCHAHAR3,RAPPC,CHAMERA1,UNCHAHAR2,RIHAND3,KOTESHWR,NJPC,UNCHAHAR4,SINGRAULI,BSIUL,RAPPB,DHAULIGNGA,AURY_CRF,CHAMERA2,DADRI_RF,SALAL,AURY_GF,RAMPUR,URI2,ANTA_RF,ANTA_CRF,DADRI_CRF,TANDA2,AURY_RF,NAPP,KOLDAM,RIHAND2,CHAMERA3,DADRI_LF,KISHANGANGA,DULHASTI,SINGRAULI_HYDRO,TALA,FSTPP I & II,BRBCL,KHSTPP-II,KHSTPP-I,KUDGI,SASAN,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0.000000,17.075789,88.936400,43.849512,19.319500,0.000000,0.000000,0.000000,0.000000,0.000000,631.400202,7.925393,663.910184,25.511310,49.437715,40.744549,19.469435,119.547560,9.531662,113.059915,0.000000,134.670977,6.335558,0.000000,17.622748,0.000000,38.194433,0.000000,69.644935,0.000000,0.000000,31.729878,0.000000,0.000000,0.000000,0.000000,0.000000,37.993630,0.000000,114.191438,18.711136,0.000000,0.000000,47.790319,1.054099,17.052588,12.093417,19.334041,95.065278,37.810150,0.15,402.388875,0,0,0,0,0

2,00:15-00:30,0.000000,46.958419,88.936400,43.849512,19.319500,0.000000,0.000000,0.000000,0.000000,0.000000,631.400202,7.925393,663.910184,25.511310,49.437715,40.744549,19.469435,119.547560,9.531662,113.059915,0.000000,134.670977,6.335558,0.000000,17.622748,0.000000,38.194433,0.000000,69.644935,0.000000,0.000000,31.729878,0.000000,0.000000,0.000000,0.000000,0.000000,37.993630,0.000000,114.191438,18.711136,0.000000,0.000000,47.790319,1.054099,17.052588,12.093417,19.334041,95.065278,37.810150,43.50,402.388875,0,0,0,0,0

3,00:30-00:45,0.000000,46.958419,88.936400,43.849512,19.319500,0.000000,0.000000,0.000000,0.000000,0.000000,631.400202,7.925393,663.910184,25.511310,49.437715,34.595293,19.469435,119.547560,9.531662,113.059915,0.000000,134.670977,6.335558,0.000000,17.622748,0.000000,38.194433,0.000000,69.644935,0.000000,0.000000,31.729878,0.000000,0.000000,0.000000,0.000000,0.000000,37.993630,0.000000,114.191438,18.711136,0.000000,0.000000,47.790319,1.054099,17.052588,12.093417,19.334041,95.065278,37.810150,43.50,402.388875,0,0,0,0,0

4,00:45-01:00,0.000000,14.941315,88.936400,43.849512,19.319500,0.000000,0.000000,0.000000,0.000000,0.000000,631.400202,7.925393,663.910184,25.511310,49.437715,27.111102,19.469435,119.547560,9.531662,113.059915,0.000000,134.670977,6.335558,0.000000,17.622748,0.000000,30.926666,0.000000,69.644935,0.000000,0.000000,31.729878,0.000000,0.000000,0.000000,0.000000,0.000000,37.993630,0.000000,114.191438,18.711136,0.000000,0.000000,47.790319,1.054099,17.052588,12.093417,16.923830,95.065278,37.810150,43.50,402.388875,0,0,0,0,0

5,01:00-01:15,0.000000,14.941315,88.936400,43.849512,19.319500,0.000000,0.000000,0.000000,0.000000,0.000000,631.400202,7.925393,663.910184,25.511310,49.437715,27.111102,19.469435,119.547560,9.531662,113.059915,0.000000,134.670977,6.335558,0.000000,17.622748,0.000000,30.926666,0.000000,69.644935,0.000000,0.000000,31.729878,0.000000,0.000000,0.000000,0.000000,0.000000,37.993630,0.000000,114.191438,18.711136,0.000000,0.000000,47.790319,1.054099,17.052588,11.421560,15.991526,95.065278,37.810150,43.50,403.952211,0,0,0,0,0

