Time,Block,NR/2024/22218/C,NR/01102023/14082046/L_NR_2021_16,NR/2024/22239/C,NR/01102023/02012046/L_NR_2021_17,NR/01082024/31082024/jitpl,NR/01102023/25122043/GNA_MEJA_DELHI,NR/2024/21870/A/30159,NR/2024/21974/A/30387,NR/2024/21909/A/30320,NR/2024/21954/A/30377,NR/2024/21918/A/30414,NR/2024/22219/C,NR/03082024/03082024/IEX_240802-01871,NR/01082024/15082024/IIPL/JPL-T-BRPL/04/Aug24,NR/2024/22226/C,NR/2024/21966/A/30145,NR/01082024/31082024/1000011628-SIEL-BRPL(DISCOM),NR/2024/21869/A/30163,NR/2024/22236/C,NR/2024/21971/A/30386,NR/03082024/03082024/DD20240803NR26018,NR/2024/22042/A/30112,NR/2024/21876/A/30157,NR/2024/22080/A/30043,NR/03082024/03082024/HPX-TAMCTG-020824-01969,NR/01082024/31082024/SKS-Raigarh,NR/01082024/30082024/	NR/01082024/30082024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/01102023/23072042/L_NR_2012_04,NR/2024/21872/A/30162,NR/2024/21658/A/30123,NR/2024/21814/A/30389,NR/30092023/31122025/SH-07,NR/2024/22081/A/30341,NR/2024/21940/A/30379,NR/01082024/31082024/APPCPL/180/F25/GNA/12763,NR/2024/21983/A/30274,NR/2024/21968/A/30383,NR/2024/21943/A/30376,NR/2024/22014/A/30113,NR/01082024/15082024/APL-Raigarh,NR/2024/21961/A/30353,NR/2024/22229/C,NR/2024/22010/A/30410,NR/2024/22231/C,NR/30092023/26122029/SH-06,NR/2024/22227/C,NR/2024/22238/C,NR/2024/21868/A/30160,NR/2024/21970/A/30384,NR/2024/21875/A/30156,NR/2024/21932/A/30146,NR/2024/21956/A/30385,NR/2024/21873/A/30158,NR/2024/22220/C,NR/2024/21860/A/30342,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/2024/21871/A/30161,NR/2024/21938/A/30355,Total
,,NVVNL,SECI_Trader,HPXL,SECI_Trader,DELHI,MEJA,BMDRC,NVVNL,AEL,APPCPL,MANIKARAN,NVVNL,IEXL,INSTINCT,IEXL,INSTINCT,TPTCL,UHL,HPXL,NVVNL,PXIL,IEXL,BAL234,DIAPL,HPXL,DELHI,DELHI,TPTCL,MSSH,ITCLH,NVVNL,BAWANA_GAS,TPDDL,APPCPL,APPCPL,TPTCL,NVVNL,APPCPL,IEXL,AEL,PTC,IEXL,MANIKARAN,HPXL,PUNJAB,IEXL,IEXL,JHPL-DL,NVVNL,BAL224,DTCP,APPCPL,BAL184,NVVNL,TPDDL,DELHI,MHIL,PTC,Total

,,NA,NA,NA,NA,NA,UTTAR PRADESH,HIMACHAL PRADESH,NA,NA,MANIPUR,MAHARASHTRA,NA,KARNATAKA,NA,Gujarat,NA,NA,HIMACHAL PRADESH,NA,NA,ODISHA,MAHARASHTRA,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,NA,MAHARASHTRA,NA,HIMACHAL PRADESH,ANDHRA PRADESH,NA,DELHI,NA,UTTARAKHAND,ARUNACHAL PRADESH,NA,NA,MAHARASHTRA,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,NA,GOA,NA,DELHI,MP,KARNATAKA,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,KERALA,HIMACHAL PRADESH,NA,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,
,,SOLAPUR_SOLAR,SBSRPC11PL_BKN,CPTTNPL,SBSRPC11PL_BKN,JITPL,MEJA,SHPPBPL,RKM_POWER,APL_Raigarh TPP,Manipur_Ben,AEML,KAMENG,KPTCL,JPL-2,SUGEN_GUVNL,JPL-2,SIMHAPURI,SHPPBPL,SKS Raigarh,RKM_POWER,ODISHA,A_A_Energy_MH_Bio,SHPPBPL,GBHHPL,SKS Raigarh,SKS Raigarh,MSEB_Beneficiary,MPL,SHPPBPL,ITCWIND,JPNIGRIE_JNSTPP,BAWANA_GAS,JHAJJAR,UTTARAKHAND,Arunachal_Ben,SIMHAPURI,JPL-2,AEML,NHCPL_HP,APL_Raigarh TPP,HP,JPL-2,GOA_Beneficiary,RKM_POWER,BAWANA_GAS,Continuum_WFDPL_MP,PCKL,SHPPBPL,TRN_ENERGY,SHPPBPL,SHPPBPL,KSEB,SHPPBPL,SORANG_HEP,JPL-2,CHANJUII,SHPPBPL,HP,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,HARYANA,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,PUNJAB,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,MES (Delhi),TPDDL,BYPL,BYPL,NDMC,DELHI,BMDRC,NDMC,BRPL,BRPL,BYPL,TPDDL,BRPL,BRPL,TPDDL,BRPL,BRPL,UHL,BRPL,NDMC,BRPL,MES (Delhi),BAL234,DIAPL,BRPL,NDMC,TPDDL,TPDDL,MSSH,ITCLH,TPDDL,HARYANA,TPDDL,BYPL,BRPL,BRPL,NDMC,BRPL,MES (Delhi),BRPL,BRPL,BRPL,BRPL,BYPL,PUNJAB,BYPL,BRPL,JHPL-DL,NDMC,BAL224,DTCP,BYPL,BAL184,TPDDL,TPDDL,TPDDL,MHIL,BYPL,
,,West-North,North-North,West-North,North-North,East-North,North-North,North-North,West-North,West-North,North East-East-North,West-North,North East-East-North,South-West-North,West-North,West-North,West-North,South-West-North,North-North,West-North,West-North,East-North,West-North,North-North,North-North,West-North,West-North,West-North,East-North,North-North,South-West-North,West-North,North-North,North-North,North-North,North East-East-North,South-East-North,West-North,West-North,North-North,West-North,North-North,West-North,West-North,West-North,North-North,West-North,South-East-West-North,North-North,West-North,North-North,North-North,South-West-North,North-North,North-North,West-North,North-North,North-North,North-North,
1,00:00-00:15,0,0,0,0,12.170000,0.000000,0.000000,37.210000,0.000000,24.000000,90.540000,163.980000,0.000000,48.160000,0.000000,0.000000,48.160000,0.000000,0.000000,37.210000,96.320000,3.850000,0.000000,9.630000,96.320000,12.410000,0.000000,0.000000,0.000000,0.870000,48.160000,32.000000,240.800000,83.970000,38.530000,0.000000,37.210000,38.530000,1.930000,192.640000,81.270000,96.320000,11.690000,48.160000,32.000000,37.100000,96.320000,0.000000,12.410000,0.000000,0.000000,67.420000,0.000000,27.930000,48.160000,16.830000,0.000000,27.090000,1997.3

2,00:15-00:30,0,0,0,0,12.170000,0.000000,0.000000,37.210000,0.000000,24.000000,90.540000,163.980000,0.000000,48.160000,0.000000,0.000000,48.160000,0.000000,0.000000,37.210000,96.320000,3.850000,0.000000,9.630000,96.320000,12.410000,0.000000,0.000000,0.000000,0.870000,48.160000,32.000000,240.800000,83.970000,38.530000,0.000000,37.210000,38.530000,1.930000,192.640000,81.270000,96.320000,11.690000,48.160000,32.000000,36.860000,96.320000,0.000000,12.410000,0.000000,0.000000,67.420000,0.000000,27.930000,48.160000,16.830000,0.000000,27.090000,1997.06
