Time,Block,NER/2024/1922/A/4521,NR/2024/18388/A/4328,NR/2024/18436/A/4353,NR/2024/18445/A/4539,NER/2024/1934/A/4520,WR/2024/21351/A/4526,WR/2024/21355/A/4540,NR/2024/18577/C,Total
,,APPCPL,ITCLH,IEXL,MANIKARAN,APPCPL,APPCPL,MANIKARAN,NVVNL,Total

,,DELHI,ANDHRA PRADESH,MAHARASHTRA,DELHI,DELHI,DELHI,DELHI,NA,
,,BRPL,ITCWIND,A_A_Energy_MH_Bio,BRPL,BYPL,BRPL,BRPL,SOLAPUR_SOLAR,
,,MANIPUR,DELHI,DELHI,HIMACHAL PRADESH,NAGALAND,GOA,GOA,DELHI,
,,Manipur_Ben,ITCLH,MES (Delhi),HP,Nagaland_Ben,GOA_Beneficiary,GOA_Beneficiary,MES (Delhi),
,,North-East-North East,South-West-North,West-East-North,North-North,North-East-North East,North-West,North-West,West-North,
1,00:00-00:15,25.000000,0.380000,7.700000,0.000000,20.000000,0.000000,0.000000,0,53.08

2,00:15-00:30,25.000000,0.380000,7.700000,0.000000,20.000000,0.000000,0.000000,0,53.08

3,00:30-00:45,25.000000,0.380000,7.700000,0.000000,20.000000,0.000000,0.000000,0,53.08

4,00:45-01:00,25.000000,0.380000,7.700000,0.000000,20.000000,0.000000,0.000000,0,53.08

5,01:00-01:15,25.000000,0.380000,7.700000,0.000000,20.000000,0.000000,0.000000,0,53.08

6,01:15-01:30,25.000000,0.380000,7.700000,0.000000,20.000000,0.000000,0.000000,0,53.08

7,01:30-01:45,25.000000,0.380000,7.700000,0.000000,20.000000,0.000000,0.000000,0,53.08

8,01:45-02:00,25.000000,0.380000,7.700000,0.000000,20.000000,0.000000,0.000000,0,53.08

9,02:00-02:15,25.000000,0.380000,7.700000,0.000000,20.000000,0.000000,0.000000,0,53.08

10,02:15-02:30,25.000000,0.380000,7.700000,0.000000,20.000000,0.000000,0.000000,0,53.08

11,02:30-02:45,25.000000,0.380000,7.700000,0.000000,20.000000,0.000000,0.000000,0,53.08

12,02:45-03:00,25.000000,0.380000,7.700000,0.000000,20.000000,0.000000,0.000000,0,53.08

13,03:00-03:15,25.000000,0.380000,7.700000,0.000000,20.000000,0.000000,0.000000,0,53.08

14,03:15-03:30,25.000000,0.380000,7.700000,0.000000,20.000000,0.000000,0.000000,0,53.08

