Time,Block,NR/2023/12956/F,NR/2023/13145/F,NR/2023/11953/A,NR/2023/10959/A,NR/2023/10561/A,NR/2023/10432/A,NR/2023/11712/A,NR/2023/12922/F,NR/2023/12924/F,NR/2023/12872/F,NR/2023/12915/F,NR/2023/11717/A,NR/2023/10956/A,NR/2023/12920/F,NR/2023/11266/A,NR/2023/10786/A,NR/2023/11447/A,NR/2023/12661/A,NR/2023/13326/D,NR/2023/13338/C,NR/2023/13350/C,NR/2023/11507/A,NR/2023/10947/A,NR/2023/10460/A,SR/2023/6041/C,NR/2023/11709/A,NR/2023/12921/F,NR/2023/13336/C,NR/2023/13325/D,NR/2023/12169/A,NR/2023/13151/F,NR/2023/12706/A,NR/2023/10720/A,NR/2023/12814/F,NR/2023/12919/F,SR/2023/6046/C,NR/2023/12813/F,NR/2023/12923/F,NR/2023/10436/A,NR/2023/12917/F,SR/2023/6045/C,NR/2023/10488/A,NR/2023/12916/F,NR/2023/13331/C,NR/2023/10435/A,NR/2023/10651/A,ER/2023/8197/C,NR/2023/13327/D,NR/2023/13324/D,NR/2023/13323/D,Total
,,IEXL,SJVNL,KEIPL,NVVNL,PTC,TPTCL,MANIKARAN,SHPPBPL,SHPPBPL,ITCLH,SHPPBPL,APPCPL,NVVNL,SHPPBPL,TPTCL,STATKRAFT,TPTCL,NVVNL,NVVNL,PXIL,HPXL,TPTCL,APPCPL,GMRETL,HPXL,MANIKARAN,SHPPBPL,TPDDL,NVVNL,APPCPL,TPTCL,HPXL,KEIPL,MANIKARAN,SHPPBPL,IEXL,MANIKARAN,SHPPBPL,APPCPL,SHPPBPL,PXIL,TPTCL,SHPPBPL,GBHHPL,NVVNL,KEIPL,HPXL,TS1PL_BKN,TS1PL_BKN,NVVNL,Total

,,JAMMU AND KASHMIR,WEST BENGAL,MEGHALAYA,NA,NA,ODISHA,TAMIL NADU,HIMACHAL PRADESH,HIMACHAL PRADESH,ANDHRA PRADESH,HIMACHAL PRADESH,MEGHALAYA,NA,HIMACHAL PRADESH,NA,TAMIL NADU,HIMACHAL PRADESH,NA,NA,DELHI,NA,NA,HIMACHAL PRADESH,MEGHALAYA,DELHI,TAMIL NADU,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,MAHARASHTRA,TAMIL NADU,HIMACHAL PRADESH,HIMACHAL PRADESH,DELHI,HIMACHAL PRADESH,HIMACHAL PRADESH,MEGHALAYA,HIMACHAL PRADESH,DELHI,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,MEGHALAYA,DELHI,NA,NA,NA,
,,SAPU1234,IPCL_WB,Meghalaya_Ben,KAMENG,JPNIGRIE_JNSTPP,NBVLIPP,TANGEDCO,SHPPBPL,SHPPBPL,ITCWIND,SHPPBPL,Meghalaya_Ben,JPNIGRIE_JNSTPP,SHPPBPL,KWHEP,TANGEDCO,HP-GOVT,SKS Raigarh,SORANG_HEP,BYPL,Teesta_III,JPL,HP,Meghalaya_Ben,BYPL,TANGEDCO,SHPPBPL,CHANJUII,KAMENG,HP,HP-GOVT,B_S_ISPAT_MH,TANGEDCO,HP,SHPPBPL,BYPL,HP,SHPPBPL,Meghalaya_Ben,SHPPBPL,BYPL,APNRL,SHPPBPL,GBHHPL,SEIL,Meghalaya_Ben,BYPL,TS1PL_BKN,TS1PL_BKN,SOLAPUR_SOLAR,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,UTTAR PRADESH,DELHI,DELHI,DELHI,DELHI,TAMIL NADU,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,TAMIL NADU,DELHI,DELHI,DELHI,DELHI,TAMIL NADU,DELHI,DELHI,DELHI,DELHI,DELHI,ODISHA,DELHI,DELHI,DELHI,
,,MES (Delhi),NDMC,BYPL,BRPL,TPDDL,TPDDL,BRPL,JHPL-DL,UHL,ITCLH,BAL184,BRPL,BRPL,BMDRC,BRPL,BYPL,BRPL,NDMC,TPDDL,ASIL_UP,BRPL,BRPL,BYPL,BYPL,TANGEDCO,BRPL,MAX-HPTL,TPDDL,TPDDL,BRPL,BRPL,NDMC,BYPL,BRPL,AISHER,TANGEDCO,BRPL,MHIL,BYPL,BAL234,TANGEDCO,TPDDL,BAL224,DIAPL,TPDDL,BYPL,VLSEZ,BYPL,BRPL,MES (Delhi),
,,North-North,East-North,North East-East-North,North East-East-North,West-North,East-North,South-West-North,North-North,North-North,South-West-North,North-North,North East-East-North,West-North,North-North,North-North,South-West-North,North-North,West-North,North-North,North-North,East-North,West-North,North-North,North East-East-North,North-East-South,South-West-North,North-North,North-North,North East-East-North,North-North,North-North,West-North,South-West-North,North-North,North-North,North-East-South,North-North,North-North,North East-East-North,North-North,North-West-South,East-North,North-North,North-North,South-West-North,North East-East-North,North-East,North-North,North-North,West-North,
1,00:00-00:15,4.840000,0.000000,36.490000,21.270000,48.360000,43.520000,64.320000,1.020000,0.610000,0.480000,0.370000,11.420000,85.080000,0.930000,17.200000,98.650000,12.710000,62.870000,0.000000,0.000000,46.430000,255.260000,23.210000,23.210000,0.00,23.150000,0.930000,15.050000,23.800000,54.160000,33.650000,6.770000,23.700000,85.600000,0.820000,0.00,62.870000,0.610000,24.180000,0.920000,0.00,48.360000,0.520000,30.570000,24.180000,63.110000,0.000000,0,0,0,1381.2

2,00:15-00:30,4.840000,0.000000,36.490000,21.270000,48.360000,43.520000,64.320000,1.020000,0.610000,0.480000,0.370000,11.420000,85.080000,0.930000,17.200000,98.650000,12.710000,62.870000,0.000000,0.000000,0.000000,255.260000,23.210000,23.210000,0.00,23.150000,0.930000,15.050000,23.800000,54.160000,33.650000,6.770000,23.700000,85.600000,0.820000,0.00,62.870000,0.610000,24.180000,0.920000,0.00,48.360000,0.520000,30.570000,24.180000,63.110000,0.000000,0,0,0,1334.77
