Block,Time,NR/01102023/31102037/L_NR_2019_11,NR/20122023/31122023/HPX-GTAMLDCRA-141223-05422,NR/20122023/31122023/HPX-GTAMLDCRA-141223-05421,NR/01102023/23072042/L_NR_2012_04,NR/01102023/30042040/GNA_LT_36,NR/20122023/29022024/IEX_LDC_231218_00502,NR/20122023/29022024/IEX_LDC_231218_00501,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/19072037/LT-05,WR/01102023/24112044/L_NR_2020_07,NR/01102023/22052037/LT-59,NR/23122023/31122023/HP-17,WR/01102023/01102023/L_NR_2020_06,NR/26072023/31072042/L_NR_2023_07,NR/01102023/02012046/L_NR_2021_17,NR/01102023/08032047/L_NR_2021_14,WR/01102023/29112042/L_NR_2019_05,WR/01102023/30052048/L_NR_2022_10,NR/01102023/30042040/GNA_LT_35,WR/01102023/29112042/RUMS(L_NR_2019_06),SR/01122023/31122023/BYPL_KSEB_DEC23,NR/22102023/11042047/L_NR_2021_16,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/23122023/31122023/SJVN231223NR1309,NR/01102023/06022042/L_NR_2012_02,NR/26072023/25122043/L_NR_2023_10,WR/01102023/01102023/L_NR_2022_09,NR/01102023/06022042/L_NR_2012_07,NR/01102023/25122043/GNA_MEJA_DELHI,WR/01102023/16072048/L_NR_2022_08,L_NR_2019_19,NR/01102023/25072045/L_NR_2021_15,NR/30092023/26122029/SH-06,NR/30092023/31122025/SH-07,NR/01122023/31122023/5412UPCL/CE(Comm)/SE/Banking dt. 17.11.2023,WR/01102023/31032046/L_NR_2020_05,NR/01102023/15082037/GNA_NR_2012_01,NR/22102023/11042047/L_NR_2021_17,NR/23122023/31122023/SJVN231223NR1310,NR/01102023/14082046/L_NR_2021_16,NR/01102023/31052040/LT-31,NR/23122023/31122023/HP-21,NR/01102023/13082046/L_NR_2021_12,NR/01102023/05012040/L_NR_2020_02,NR/01102023/02122045/L_NR_2021_13,SR/01102023/07102043/L_NR_2018_61
1,00:00-00:15,1.140000,14.410000,5.760000,148.550000,0.000000,11.520000,8.160000,23.050000,70.020000,24.25,1.090000,114.620000,24.25,0,0,0,0,61.46,0.000000,0,48.02,0,0,0,169.250000,0,61.46,56.300000,0.000000,15.18,0,0,30.730000,24.970000,96.040000,72.76,50.900000,0,0,0,0.000000,147.310000,0,1.660000,0,10.07

2,00:15-00:30,1.140000,14.410000,5.760000,148.550000,0.000000,11.520000,8.160000,23.050000,70.020000,23.85,1.090000,114.620000,23.85,0,0,0,0,60.37,0.000000,0,48.02,0,0,0,169.250000,0,60.37,56.300000,0.000000,14.4,0,0,30.730000,24.970000,96.040000,71.55,50.900000,0,0,0,0.000000,147.310000,0,1.660000,0,10.32

3,00:30-00:45,1.140000,14.410000,5.760000,148.550000,0.000000,11.520000,8.160000,23.050000,70.020000,22.84,1.090000,114.620000,22.83,0,0,0,0,58.79,0.000000,0,48.02,0,0,0,169.250000,0,58.79,56.300000,0.000000,13.95,0,0,25.580000,25.580000,96.040000,68.51,50.900000,0,0,0,0.000000,147.310000,0,1.660000,0,18.53

4,00:45-01:00,1.140000,14.410000,5.760000,148.550000,0.000000,11.520000,8.160000,23.050000,70.020000,21.89,1.090000,114.620000,21.89,0,0,0,0,52.86,0.000000,0,48.02,0,0,0,169.250000,0,52.86,56.300000,0.000000,12.93,0,0,25.580000,25.580000,96.040000,65.68,50.900000,0,0,0,0.000000,147.310000,0,1.660000,0,18.53

5,01:00-01:15,1.140000,14.410000,5.760000,148.550000,0.000000,11.520000,8.160000,23.050000,70.020000,21.51,1.090000,114.620000,21.49,0,0,0,0,52,0.000000,0,48.02,0,0,0,169.250000,0,52,56.300000,0.000000,12.18,0,0,25.580000,25.580000,96.040000,64.52,50.900000,0,0,0,0.000000,147.310000,0,1.660000,0,18.51

6,01:15-01:30,1.140000,14.410000,5.760000,148.550000,0.000000,11.520000,8.160000,23.050000,70.020000,21.07,1.090000,114.620000,21.08,0,0,0,0,51.34,0.000000,0,48.02,0,0,0,169.250000,0,51.34,56.300000,0.000000,11.57,0,0,25.580000,25.580000,96.040000,63.22,50.900000,0,0,0,0.000000,147.310000,0,1.660000,0,18.51

