Column1,Block,NR/2025/26082/A/72620,NR/2025/26202/A/72618,NR/2025/26909/C,NR/2025/26005/A/72174,NR/2025/26379/A/72573,NR/2025/26336/A/72297,NR/2025/25967/A/72572,NR/2025/26153/A/72206,NR/2025/26198/A/72771,NR/2025/26291/A/72661,NR/2025/26910/C,NR/2025/26197/A/72764,NR/2025/26200/A/72762,NR/2025/26191/A/72171,NR/2025/26913/C,NR/2025/26289/A/72663,NR/2025/26912/C,NR/2025/26233/A/72668,NR/2025/26232/A/72670,NR/2025/26199/A/72763,NR/2025/26201/A/72761,NR/2025/26085/A/72221,NR/2025/26265/A/72666,GNARE/NR/2024/12/20/3668,NR/2025/26755/A/72312,NR/2025/26335/A/72298,GNA/NR/2025/05/16/9317,GNA/NR/2025/05/16/1698,GNA/NR/2025/05/01/7791,GNA/SR/2025/05/16/7915,NR/30092023/26122029/SH-06,NR/30092023/31122025/SH-07,GNA/NR/2025/05/01/6363,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/ER/2025/05/16/9578,GNA/NR/2025/05/01/5800,NR/2025/26956/C,NR/2025/26878/C,GNA/NR/2025/05/01/8068,GNA/NR/2025/05/01/4138,NR/2025/26689/A/72256,NR/2025/26004/A/72173,ER/2025/17598/C,NR/2025/26871/C,NR/2025/26899/C,NR/2025/26902/C,NR/2025/26911/C,NR/2025/26880/C,NR/2025/26900/C,GNA/NR/2025/05/01/8954,NR/2025/26901/C,GNA/NR/2025/05/01/2474,NR/2025/26904/C,NR/2025/25861/A/72567,NR/2025/25860/A/72566,NR/2025/26845/C,NR/2025/26843/C,NR/2025/25859/A/72565,NR/2025/26101/A/72309,GNA/NR/2025/05/01/9252,NR/2025/26846/C,NR/2025/26842/C,GNA/NR/2025/05/01/2069,NR/2025/26847/C,NR/2025/26844/C,NR/2025/26312/A/72135,GNA/NR/2025/05/01/6957,NR/2025/26891/C,GNA/NR/2025/05/01/6160,GNA/NR/2025/05/01/7902,GNA/NR/2025/05/01/9395,GNA/NR/2025/05/01/3877,Total
,,NVVNL,NVVNL,APPCPL,PXIL,PowerPulse,BRPL,PowerPulse,IEXL,APPCPL,HPXL,APPCPL,APPCPL,APPCPL,PXIL,APPCPL,HPXL,APPCPL,HPXL,HPXL,APPCPL,APPCPL,ITCLH,HPXL,SECI_Trader,IEXL,BRPL,JPL,SIMHAPURI,IEXL,IEXL,PUNJAB,BAWANA_GAS,PXIL,DELHI,PXIL,PXIL,GEPL_Trader,IEXL,PXIL,PowerPulse,DIAPL,PXIL,PXIL,PowerPulse,GEPL_Trader,NVVNL,APPCPL,BRPL,GEPL_Trader,HPXL,NVVNL,NDMC,NVVNL,PowerPulse,PowerPulse,HPXL,HPXL,PowerPulse,GMRETL,HPXL,HPXL,IEXL,HPXL,HPXL,HPXL,IEXL,PowerPulse,TPDDL,PXIL,PXIL,IEXL,PXIL,
,,NA,NA,NA,NA,NA,NA,NA,TAMILNADU_State,NA,MP_State,NA,NA,NA,NA,NA,NA,NA,GEB_State,GEB_State,NA,NA,ANDHRA_PRADESH_STATE,NA,NA,NA,NA,NA,NA,ODISHA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,ODISHA_STATE,HIMACHAL_STATE,DELHI_UT,Meghalaya_State,NA,TAMILNADU_State,CSEB_State,NA,HIMACHAL_STATE,NA,DELHI_UT,NA,NA,NA,NA,NA,NA,MSEB_State,NA,NA,NA,NA,NA,MP_State,NA,NA,HIMACHAL_STATE,HIMACHAL_STATE,GEB_State,NA,NA,GEB_State,NA,NA,NA,NA,ODISHA_STATE,NA,JK_and_LADAKH_UT,UTTARPRADESH_STATE,
,,SKS_Raigarh,JPNIGRIE_JNSTPP,SKS_Raigarh,SKS_Raigarh,COASTGEN,DADRT2,MAHAN_ENERGEN,SURYADEV_ALLOYSTN,RKM_POWER,Ultratech_Sidhi_MP,RKM_POWER,SKS_Raigarh,TRN_ENERGY,JPNIGRIE_JNSTPP,RKM_POWER,SIMHAPURI,TRN_ENERGY,PCBL_MUNDRA,PCBL_PALEJ,JPL2,RKM_POWER,ITCWIND,JPL,APSEPL_FTG,TPSL_BKN2,TS1PL_BKN,JPL2,SIMHAPURI,VSL,TPDDL,BAWANA_GAS,BAWANA_GAS,FACORPOWER,CHANJUII,BRPL,Meghalaya_Ben,DIKCHU,SURYADEV_ALLOYSTN,SKSIPL,COASTGEN,GBHHPL,ILFS,BRPL,COASTGEN,DIKCHU,SORANG_HEP,JPL2,RIHAND3,SORANG_HEP,GRETAENERGY,Kameng,JIPL,JPNIGRIE_JNSTPP,APL_Raipur_TPP,APL_Raipur_TPP,Ultratech_Sidhi_MP,JPL,APL_Raipur_TPP,GBHHPL,KGEPL_HP,PCBL_PALEJ,MBMP,JPL,PCBL_MUNDRA,SIMHAPURI,MBMP,APL_Raipur_TPP,JHAJJAR,FACORPOWER,SINGOLI,O2ZTPL,LAPL_UP,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,ANDHRA_PRADESH_STATE,PUNJAB_STATE,HARYANA_STATE,DELHI_UT,DELHI_UT,BIHAR_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,BIHAR_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,BYPL,TPDDL,NDMC,BYPL,BRPL,BRPL,BRPL,BRPL,NDMC,BRPL,NDMC,NDMC,NDMC,BRPL,NDMC,BRPL,NDMC,BRPL,BRPL,NDMC,NDMC,ITCLH,BRPL,TPDDL,MES_Delhi,BRPL,BRPL,BRPL,BRPL,APCPDCL,PUNJAB,HARYANA,BRPL,TPDDL,BSPHCL,BRPL,BYPL,BRPL,BRPL,BRPL,DIAPL,BYPL,BSPHCL,BRPL,BYPL,TPDDL,NDMC,BRPL,BYPL,BRPL,TPDDL,NDMC,TPDDL,TPDDL,TPDDL,BRPL,BRPL,TPDDL,TPDDL,BRPL,BRPL,NDMC,BRPL,BRPL,BRPL,NDMC,BRPL,TPDDL,BRPL,BRPL,BRPL,BRPL,
,,West-North,West-North,West-North,West-North,South-West-North,North-North,West-North,South-West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,South-West-North,West-North,West-North,West-North,West-North,West-North,South-West-North,West-North,North-North,North-North,North-North,West-North,South-West-North,East-North,North-West-South,North-North,North-North,East-North,North-North,North-East,North East-East-North,East-North,South-West-North,West-North,South-East-North,North-North,South-West-North,North-East,South-West-North,East-North,North-North,West-North,North-North,North-North,West-North,North East-East-North,East-North,West-North,West-North,West-North,West-North,West-North,West-North,North-North,North-North,West-North,West-North,West-North,West-North,South-West-North,West-North,West-North,North-North,East-North,North-North,North-North,North-North,
1,00:00-00:15,47.19,96.3,0,48.15,192.6,221.49,192.6,62.6,43.77,24.08,0,14.59,14.59,48.15,0,48.15,0,4.82,4.82,43.77,37.21,0.77,96.3,0,0,0,96.3,24.08,0,100,30,30,14.44,11.33,199,67.41,0,0,10.59,0,6.74,48.15,0,0,79.93,0,0,33.7,48.15,5.78,54.1,28.94,0,0,144.45,0,0,96.3,0,13.48,0,0,0,0,0,0,192.6,165.64,14.44,28.89,0,11.24,2797.6299999999997

2,00:15-00:30,47.19,96.3,0,48.15,192.6,221.49,192.6,62.6,43.77,24.08,0,14.59,14.59,48.15,0,48.15,0,4.82,4.82,43.77,37.21,0.77,96.3,0,0,0,96.3,24.08,0,100,30,30,14.44,11.33,240,67.41,0,0,10.59,0,6.74,48.15,0,0,79.93,0,0,33.7,48.15,5.78,54.1,28.94,0,0,144.45,0,0,96.3,0,13.48,0,0,0,0,0,0,192.6,165.64,14.44,28.89,0,11.24,2838.6299999999997

