Column1,Time,NR/01102023/08032047/L_NR_2021_14,NR/22102023/11042047/L_NR_2021_17,NR/01102023/25072045/L_NR_2021_15,NR/01102023/13082046/L_NR_2021_12,NR/22102023/11042047/L_NR_2021_16,GNARE/SR/2025/01/13/4532,NR/26072023/25122043/L_NR_2023_10,GNARE/NR/2024/12/20/3668,NR/01102023/02122045/L_NR_2021_13,NR/26072023/31072042/L_NR_2023_07,WR/01102023/01102023/L_NR_2020_06,L_NR_2019_19,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/01102023/L_NR_2022_09,WR/01102023/29112042/L_NR_2019_05,WR/01102023/24112044/L_NR_2020_07,WR/01102023/30052048/L_NR_2022_10,WR/01102023/31032046/L_NR_2020_05,WR/01102023/16072048/L_NR_2022_08,NR/01102023/19072037/LT-05,GNA/NR/2025/04/01/8456,GNA/NR/2025/04/01/8964,NR/01102023/06022042/L_NR_2012_02,GNA/NR/2025/05/01/3877,GNA/NR/2025/05/01/4138,GNA/SR/2025/05/13/1025,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/30042040/GNA_LT_36,GNA/NR/2025/05/01/9395,NR/01102023/22052037/LT-59,GNA/NR/2025/05/01/6363,GNA/NR/2025/05/01/6160,NR/01102023/31052040/LT-31,GNA/NR/2025/05/01/2069,NR/01102023/30042040/GNA_LT_35,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2025/05/01/8954,GNA/NR/2025/05/01/5800,GNA/NR/2025/05/01/9320,GNA/NR/2025/05/01/6957,GNA/SR/2025/05/13/2161,NR/30092023/26122029/SH-06,NR/30092023/31122025/SH-07,GNA/NR/2025/05/01/9154,GNA/NR/2025/05/01/2474,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/31102037/L_NR_2019_11,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/05/01/7791,NR/01102023/06022042/L_NR_2012_07,GNA/NR/2025/05/01/9252,GNA/NR/2025/04/01/8510,NR/01102023/05012040/L_NR_2020_02,GNA/NR/2025/05/01/7902,GNA/NR/2025/05/01/8068
1,00:00-00:15,0,0,0,0,0,24.41,0,0,0,0,20,0,0,0,56,0,20,56,60,17.67,57.77,10.17,6.93,258,28.89,0,0,100.33,0,0,3.42,14.44,14.44,0,0,0,272.29,5.78,67.41,192.6,192.6,227,32,32,144.45,28.94,27.75,4.23,10.69,0,86.86,13.48,15.49,3.74,28.89,10.59

2,00:15-00:30,0,0,0,0,0,23.41,0,0,0,0,20,0,0,0,55,0,20,55,60,17.33,57.77,10.17,6.93,258,28.89,0,0,100.33,0,0,3.73,14.44,14.44,0,0,0,272.29,5.78,67.41,192.6,192.6,255,32,32,144.45,28.94,28.25,4.23,10.69,0,86.86,13.48,15.49,3.74,28.89,10.59

3,00:30-00:45,0,0,0,0,0,15.41,0,0,0,0,19.83,0,0,0,46.33,0,19.83,46.33,59.51,16.67,57.77,10.17,6.93,258,28.89,0,0,100.33,0,0,4.11,14.44,14.44,0,0,0,272.29,5.78,67.41,192.6,192.6,293,32,32,144.45,28.94,28.76,4.23,10.69,0,86.86,13.48,15.49,3.74,28.89,10.59

4,00:45-01:00,0,0,0,0,0,14.61,0,0,0,0,19.17,0,0,0,46.33,0,19.17,46.33,57.49,16.33,57.77,10.17,6.93,258,28.89,0,0,100.33,0,0,4.11,14.44,14.44,0,0,0,272.29,5.78,67.41,192.6,192.6,346,32,32,144.45,28.94,28.76,4.23,10.69,0,86.86,13.48,15.49,3.74,28.89,10.59

5,01:00-01:15,0,0,0,0,0,21.61,0,0,0,0,19.83,0,0,0,46.33,0,19.83,46.33,59.51,16,57.77,10.17,6.93,260.59,28.89,0,0,100.33,0,0,4.11,14.44,14.44,0,0,0,272.29,5.78,67.41,192.6,192.6,373,32,32,144.45,28.94,29.27,4.15,10.6,0,86.86,13.48,15.49,3.74,28.89,10.59

6,01:15-01:30,0,0,0,0,0,21.21,0,0,0,0,20.33,0,0,0,46.33,0,20.33,46.33,61.01,16,57.77,10.17,6.93,260.59,28.89,0,0,100.33,0,0,4.11,14.44,14.44,0,0,0,272.29,5.78,67.41,192.6,192.6,373,32,32,144.45,28.94,29.27,4.15,10.6,0,86.86,13.48,15.49,3.74,28.89,10.59

7,01:30-01:45,0,0,0,0,0,20.8,0,0,0,0,20.83,0,0,0,46.33,0,20.83,46.33,62.51,15.67,57.77,10.17,6.93,260.59,28.89,0,0,100.33,0,0,4.11,14.44,14.44,0,0,0,272.29,5.78,67.41,192.6,192.6,373,32,32,144.45,28.94,28.76,4.15,10.6,0,86.86,13.48,15.49,3.74,28.89,10.59

8,01:45-02:00,0,0,0,0,0,20.4,0,0,0,0,21.17,0,0,0,46.33,0,21.17,46.33,63.49,15.33,57.77,10.17,6.93,260.59,28.89,0,0,100.33,0,0,4.11,14.44,14.44,0,0,0,272.29,5.78,67.41,192.6,192.6,373,32,32,144.45,28.94,28.25,4.15,10.6,0,86.86,13.48,15.49,3.74,28.89,10.59

9,02:00-02:15,0,0,0,0,0,19.81,0,0,0,0,18.33,0,0,0,56.67,0,18.33,56.67,55.01,15,57.77,10.17,6.93,260.59,28.89,0,0,100.33,0,0,2.72,0,14.44,0,96.3,0,272.29,0,0,192.6,192.6,373,30,30,144.45,28.94,28.25,4.07,10.41,0,86.86,13.48,15.49,3.74,0,10.59

10,02:15-02:30,0,0,0,0,0,18.81,0,0,0,0,18.17,0,0,0,56,0,18.17,56,54.49,14.67,57.77,10.17,6.93,260.59,28.89,0,0,100.33,0,0,3.11,0,14.44,0,96.3,0,272.29,0,0,192.6,192.6,373,30,30,144.45,28.94,28.25,4.07,10.41,0,86.86,13.48,15.49,3.74,0,10.59

