Time,Block,NR/2023/15349/D,NR/2023/13859/A,NR/2023/11315/A,NR/2023/11203/A,ER/2023/9449/C,NR/2023/11739/A,NR/2023/13858/A,NR/2023/11697/A,NR/2023/11328/A,NR/2023/11325/A,NR/2023/11654/A,NR/2023/13284/A,NR/2023/12646/A,NR/2023/15348/D,NR/2023/11458/A,NR/2023/14187/F,NR/2023/15357/C,NR/2023/11954/A,NR/2023/11469/A,NR/2023/13573/A,NR/2023/13983/F,NR/2023/15346/D,NR/2023/15358/C,NR/2023/15353/C,NR/2023/15355/C,NR/2023/15356/C,NR/2023/13283/A,NR/2023/14688/F,NR/2023/15361/C,NR/2023/13983/F/II,NR/2023/14688/F/II,NR/2023/11470/A,Total
,,NVVNL,MANIKARAN,GMRETL,KEIPL,HPXL,NVVNL,MANIKARAN,APPCPL,APPCPL,APPCPL,TPTCL,APPCPL,MANIKARAN,KEIPL,STATKRAFT,GBHHPL,HPXL,KEIPL,NVVNL,NVVNL,ITCLH,NVVNL,GBHHPL,SJVNL,SJVNL,IEXL,APPCPL,GMRETL,TPDDL,ITCLH,GMRETL,NVVNL,Total

,,NA,HIMACHAL PRADESH,MEGHALAYA,MEGHALAYA,DELHI,MP,HIMACHAL PRADESH,HIMACHAL PRADESH,UTTARAKHAND,MEGHALAYA,NA,HIMACHAL PRADESH,TAMIL NADU,MAHARASHTRA,TAMIL NADU,HIMACHAL PRADESH,NA,MEGHALAYA,NA,NA,ANDHRA PRADESH,NA,HIMACHAL PRADESH,UTTAR PRADESH,NA,KARNATAKA,GOA,GOA,HIMACHAL PRADESH,ANDHRA PRADESH,GOA,NA,
,,KAMENG,HP,Meghalaya_Ben,Meghalaya_Ben,BYPL,JP BINA,HP,HP,UTTARAKHAND,Meghalaya_Ben,JPL-2,HP,TANGEDCO,LMEL MSEB,TANGEDCO,GBHHPL,Teesta_III,Meghalaya_Ben,JPNIGRIE_JNSTPP,SKS Raigarh,ITCWIND,SOLAPUR_SOLAR,GBHHPL,BCMLB001,DIKCHU,NSLSUGAR,GOA_Beneficiary,GOA_Beneficiary,CHANJUII,ITCWIND,GOA_Beneficiary,KAMENG,
,,DELHI,DELHI,DELHI,DELHI,ODISHA,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,TPDDL,BRPL,BYPL,BYPL,VLSEZ,BRPL,BRPL,BYPL,BYPL,BYPL,BRPL,BRPL,BRPL,BYPL,BYPL,DIAPL,BRPL,BYPL,BRPL,NDMC,ITCLH,MES (Delhi),DIAPL,NDMC,NDMC,MES (Delhi),BRPL,TPDDL,TPDDL,ITCLH,TPDDL,BRPL,
,,North East-East-North,North-North,North East-East-North,North East-East-North,North-East,West-North,North-North,North-North,North-North,North East-East-North,West-North,North-North,South-West-North,West-North,South-West-North,North-North,East-North,North East-East-North,West-North,West-North,South-West-North,West-North,North-North,North-North,East-North,South-East-North,West-North,West-North,North-North,South-East-North,West-East-North,North East-East-North,
1,00:00-00:15,193.200000,188.370000,22.220000,63.030000,0.000000,42.490000,84.520000,35.070000,48.300000,24.150000,152.630000,81.820000,23.120000,18.350000,98.530000,3.860000,0.000000,36.450000,84.990000,28.980000,0.700000,0,1.000000,0.000000,0.000000,6.760000,24.150000,0.000000,18.210000,0.170000,24.150000,21.240000,1326.46

2,00:15-00:30,193.200000,188.370000,22.220000,63.030000,0.000000,42.490000,84.520000,35.070000,48.300000,24.150000,152.630000,81.820000,23.120000,18.350000,98.530000,3.860000,0.000000,36.450000,84.990000,28.980000,0.700000,0,1.000000,0.000000,0.000000,6.760000,24.150000,0.000000,18.210000,0.170000,24.150000,21.240000,1326.46

3,00:30-00:45,193.200000,188.370000,22.220000,63.030000,0.000000,42.490000,84.520000,35.070000,48.300000,24.150000,152.630000,81.820000,23.120000,18.350000,98.530000,3.860000,0.000000,36.450000,84.990000,28.980000,0.700000,0,1.000000,0.000000,0.000000,6.760000,24.150000,0.000000,18.210000,0.170000,24.150000,21.240000,1326.46

4,00:45-01:00,193.200000,188.370000,22.220000,63.030000,0.000000,42.490000,84.520000,35.070000,48.300000,24.150000,152.630000,81.820000,23.120000,18.350000,98.530000,3.860000,0.000000,36.450000,84.990000,28.980000,0.700000,0,1.000000,0.000000,0.000000,6.760000,24.150000,0.000000,18.210000,0.170000,24.150000,21.240000,1326.46

