Time,Block,NER/2024/2023/A/7243,WR/2024/21675/A/7247,NR/2024/18740/C,NR/2024/18388/A/6996,WR/2024/21740/A/7260,WR/2024/21710/A/7262,SR/2024/12123/C,NR/2024/18691/A/7256,Total
,,APPCPL,APPCPL,NVVNL,ITCLH,MANIKARAN,MANIKARAN,IEXL,MANIKARAN,Total

,,DELHI,DELHI,NA,ANDHRA PRADESH,DELHI,DELHI,DELHI,DELHI,
,,BRPL,BRPL,SOLAPUR_SOLAR,ITCWIND,BYPL,BRPL,BYPL,BRPL,
,,MANIPUR,GOA,DELHI,DELHI,MAHARASHTRA,GOA,TAMIL NADU,HIMACHAL PRADESH,
,,Manipur_Ben,GOA_Beneficiary,MES (Delhi),ITCLH,AEML,GOA_Beneficiary,TANGEDCO,HP,
,,North-East-North East,North-West,West-North,South-West-North,North-West,North-West,North-East-South,North-North,
1,00:00-00:15,25.000000,0.000000,0,0.390000,50.000000,0.000000,150.00,0.000000,225.39

2,00:15-00:30,25.000000,0.000000,0,0.390000,50.000000,0.000000,150.00,0.000000,225.39

3,00:30-00:45,25.000000,0.000000,0,0.390000,50.000000,0.000000,150.00,0.000000,225.39

4,00:45-01:00,25.000000,0.000000,0,0.390000,50.000000,0.000000,150.00,0.000000,225.39

5,01:00-01:15,25.000000,0.000000,0,0.390000,50.000000,0.000000,150.00,0.000000,225.39

6,01:15-01:30,25.000000,0.000000,0,0.390000,50.000000,0.000000,150.00,0.000000,225.39

7,01:30-01:45,25.000000,0.000000,0,0.390000,50.000000,0.000000,150.00,0.000000,225.39

8,01:45-02:00,25.000000,0.000000,0,0.390000,50.000000,0.000000,50.00,0.000000,125.39

9,02:00-02:15,25.000000,0.000000,0,0.390000,50.000000,0.000000,30.00,0.000000,105.39

10,02:15-02:30,25.000000,0.000000,0,0.390000,50.000000,0.000000,30.00,0.000000,105.39

11,02:30-02:45,25.000000,0.000000,0,0.390000,50.000000,0.000000,0.00,0.000000,75.39

12,02:45-03:00,25.000000,0.000000,0,0.390000,50.000000,0.000000,0.00,0.000000,75.39

13,03:00-03:15,25.000000,0.000000,0,0.390000,50.000000,0.000000,0.00,0.000000,75.39

14,03:15-03:30,25.000000,0.000000,0,0.390000,50.000000,0.000000,0.00,0.000000,75.39

15,03:30-03:45,25.000000,0.000000,0,0.390000,50.000000,0.000000,0.00,0.000000,75.39

16,03:45-04:00,25.000000,0.000000,0,0.390000,50.000000,0.000000,0.00,0.000000,75.39

17,04:00-04:15,25.000000,0.000000,0,0.390000,50.000000,0.000000,0.00,0.000000,75.39

18,04:15-04:30,25.000000,0.000000,0,0.390000,50.000000,0.000000,0.00,0.000000,75.39

19,04:30-04:45,25.000000,0.000000,0,0.390000,50.000000,0.000000,0.00,0.000000,75.39

20,04:45-05:00,25.000000,0.000000,0,0.390000,50.000000,0.000000,0.00,0.000000,75.39

21,05:00-05:15,25.000000,0.000000,0,0.390000,50.000000,0.000000,0.00,0.000000,75.39

22,05:15-05:30,25.000000,0.000000,0,0.390000,50.000000,0.000000,0.00,0.000000,75.39

23,05:30-05:45,25.000000,0.000000,0,0.390000,50.000000,0.000000,0.00,0.000000,75.39

24,05:45-06:00,25.000000,0.000000,0,0.390000,50.000000,0.000000,0.00,0.000000,75.39

25,06:00-06:15,25.000000,0.000000,0,0.530000,50.000000,0.000000,0.00,162.260000,237.79

26,06:15-06:30,25.000000,0.000000,0,0.530000,50.000000,0.000000,0.00,162.260000,237.79

27,06:30-06:45,25.000000,0.000000,0,0.530000,50.000000,0.000000,0.00,162.260000,237.79

28,06:45-07:00,25.000000,0.000000,0.16,0.530000,50.000000,0.000000,0.00,162.260000,237.95

29,07:00-07:15,25.000000,0.000000,0.48,0.580000,50.000000,0.000000,0.00,162.260000,238.32

30,07:15-07:30,25.000000,0.000000,0.87,0.580000,50.000000,0.000000,0.00,162.260000,238.71

31,07:30-07:45,25.000000,0.000000,1.38,0.580000,50.000000,0.000000,0.00,162.260000,239.22

32,07:45:08:00,25.000000,0.000000,1.94,0.580000,50.000000,0.000000,0.00,162.260000,239.78

33,08:00-08:15,25.000000,0.000000,2.52,0.970000,50.000000,0.000000,0.00,162.260000,240.75

34,08:15-08:30,25.000000,0.000000,3.14,0.970000,50.000000,0.000000,0.00,162.260000,241.37

35,08:30-08:45,25.000000,0.000000,3.72,0.970000,50.000000,0.000000,0.00,162.260000,241.95

36,08:45:09:00,25.000000,0.000000,4.32,0.970000,50.000000,0.000000,0.00,162.260000,242.55

37,09:00:09:15,25.000000,0.000000,4.81,0.970000,50.000000,0.000000,0.00,162.260000,243.04

38,09:15-09:30,25.000000,0.000000,5.44,0.970000,50.000000,0.000000,0.00,162.260000,243.67

39,09:30-09:45,25.000000,0.000000,6.01,0.970000,50.000000,0.000000,0.00,162.260000,244.24

40,09:45-10:00,25.000000,0.000000,6.47,0.970000,50.000000,0.000000,0.00,162.260000,244.7

41,10:00-10:15,25.000000,0.000000,6.96,0.970000,50.000000,0.000000,0.00,162.260000,245.19

42,10:15-10:30,25.000000,0.000000,7.43,0.970000,50.000000,0.000000,0.00,162.260000,245.66

43,10:30-10:45,25.000000,0.000000,7.8,0.970000,50.000000,0.000000,0.00,162.260000,246.03

44,10:45-11:00,25.000000,0.000000,8.16,0.970000,50.000000,0.000000,0.00,162.260000,246.39

45,11:00-11:15,25.000000,0.000000,8.57,0.970000,50.000000,0.000000,0.00,162.260000,246.8

46,11:15-11:30,25.000000,0.000000,8.86,0.970000,50.000000,0.000000,0.00,162.260000,247.09

47,11:30-11:45,25.000000,0.000000,9.05,0.970000,50.000000,0.000000,0.00,162.260000,247.28

48,11:45-12:00,25.000000,0.000000,9.15,0.970000,50.000000,0.000000,0.00,162.260000,247.38

49,12:00-12:15,25.000000,0.000000,9.25,0.970000,50.000000,0.000000,0.00,162.260000,247.48

50,12:15-12:30,25.000000,0.000000,9.32,0.970000,50.000000,0.000000,0.00,162.260000,247.55

51,12:30-12:45,25.000000,0.000000,9.43,0.970000,50.000000,0.000000,0.00,162.260000,247.66

52,12:45-13:00,25.000000,0.000000,9.2,0.970000,50.000000,0.000000,0.00,162.260000,247.43

53,13:00-13:15,25.000000,0.000000,9.14,0.970000,50.000000,0.000000,0.00,162.260000,247.37

54,13:15-13:30,25.000000,0.000000,9.09,0.970000,50.000000,0.000000,0.00,162.260000,247.32

55,13:30-13:45,25.000000,0.000000,8.74,0.970000,50.000000,0.000000,0.00,162.260000,246.97

56,13:45-14:00,25.000000,0.000000,8.39,0.970000,50.000000,0.000000,0.00,162.260000,246.62

57,14:00-14:15,25.000000,0.000000,8.48,0.970000,50.000000,0.000000,0.00,162.260000,246.71

58,14:15-14:30,25.000000,0.000000,7.98,0.970000,50.000000,0.000000,0.00,162.260000,246.21

59,14:30-14:45,25.000000,0.000000,7.77,0.970000,50.000000,0.000000,0.00,162.260000,246

60,14:45-15:00,25.000000,0.000000,7.23,0.970000,50.000000,0.000000,0.00,162.260000,245.46

61,15:00-15:15,25.000000,0.000000,6.56,0.770000,50.000000,0.000000,0.00,162.260000,244.59

62,15:15-15:30,25.000000,0.000000,6.09,0.770000,50.000000,0.000000,0.00,162.260000,244.12

63,15:30-15:45,25.000000,0.000000,5.61,0.770000,50.000000,0.000000,0.00,162.260000,243.64

64,15:45-16:00,25.000000,0.000000,5.25,0.770000,50.000000,0.000000,0.00,162.260000,243.28

65,16:00-16:15,25.000000,0.000000,4.65,0.530000,50.000000,0.000000,0.00,162.260000,242.44

66,16:15-16:30,25.000000,0.000000,4.03,0.530000,50.000000,0.000000,0.00,162.260000,241.82

67,16:30-16:45,25.000000,0.000000,3.31,0.530000,50.000000,0.000000,0.00,162.260000,241.1

68,16:45-17:00,25.000000,0.000000,2.76,0.530000,50.000000,0.000000,0.00,162.260000,240.55

69,17:00-17:15,25.000000,0.000000,2.15,0.530000,50.000000,0.000000,0.00,162.260000,239.94

70,17:15-17:30,25.000000,0.000000,1.59,0.530000,50.000000,0.000000,0.00,162.260000,239.38

71,17:30-17:45,25.000000,0.000000,1.07,0.530000,50.000000,0.000000,0.00,162.260000,238.86

72,17:45-18:00,25.000000,0.000000,0.66,0.530000,50.000000,0.000000,0.00,162.260000,238.45

73,18:00-18:15,25.000000,57.760000,0.35,0.530000,50.000000,25.000000,0.00,81.610000,240.25

74,18:15-18:30,25.000000,57.760000,0.12,0.530000,50.000000,25.000000,0.00,81.610000,240.02

75,18:30-18:45,25.000000,57.760000,0,0.530000,50.000000,25.000000,0.00,81.610000,239.9

