Time,Block,NR/2023/11953/A,NR/2023/10956/A,NR/2023/13925/D,NR/2023/10435/A,NR/2023/13928/D,NR/2023/11712/A,NR/2023/10786/A,NR/2023/12814/F,NR/2023/13053/F,NR/2023/10460/A,NR/2023/12917/F,NR/2023/12924/F,NR/2023/12872/F,NR/2023/10947/A,NR/2023/13929/D,NR/2023/13935/D,NR/2023/10651/A,NR/2023/12919/F,NR/2023/13951/C,NR/2023/12706/A,NR/2023/12923/F,NR/2023/13954/C,NR/2023/11266/A,ER/2023/8598/C,NR/2023/13369/F,NR/2023/13923/D,NR/2023/12915/F,NR/2023/10650/A,NR/2023/12921/F,NR/2023/13955/C,NR/2023/10720/A,NR/2023/13679/F,NR/2023/13053/F/II,NR/2023/12920/F,NR/2023/10561/A,NR/2023/10488/A,NR/2023/13939/C,NR/2023/13937/C,NR/2023/11709/A,NR/2023/12916/F,NR/2023/10432/A,NR/2023/13934/D,NR/2023/10959/A,NR/2023/10705/A,NR/2023/12661/A,NR/2023/10436/A,NR/2023/11507/A,NR/2023/12813/F,NR/2023/12169/A,NR/2023/11068/A,NR/2023/12922/F,Total
,,KEIPL,NVVNL,NVVNL,NVVNL,NVVNL,MANIKARAN,STATKRAFT,MANIKARAN,GMRETL,GMRETL,SHPPBPL,SHPPBPL,ITCLH,APPCPL,NVVNL,TS1PL_BKN,KEIPL,SHPPBPL,IEXL,HPXL,SHPPBPL,IEXL,TPTCL,HPXL,SJVNL,KEIPL,SHPPBPL,KEIPL,SHPPBPL,IEXL,KEIPL,IEXL,GMRETL,SHPPBPL,PTC,TPTCL,TPDDL,GBHHPL,MANIKARAN,SHPPBPL,TPTCL,TS1PL_BKN,NVVNL,KEIPL,NVVNL,APPCPL,TPTCL,MANIKARAN,APPCPL,APPCPL,SHPPBPL,Total

,,MEGHALAYA,NA,NA,NA,NA,TAMIL NADU,TAMIL NADU,HIMACHAL PRADESH,NA,MEGHALAYA,HIMACHAL PRADESH,HIMACHAL PRADESH,ANDHRA PRADESH,HIMACHAL PRADESH,NA,NA,MEGHALAYA,HIMACHAL PRADESH,NA,MAHARASHTRA,HIMACHAL PRADESH,NA,NA,DELHI,WEST BENGAL,UTTAR PRADESH,HIMACHAL PRADESH,KERALA,HIMACHAL PRADESH,NA,TAMIL NADU,JAMMU AND KASHMIR,NA,HIMACHAL PRADESH,NA,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,TAMIL NADU,HIMACHAL PRADESH,ODISHA,NA,NA,KERALA,NA,MEGHALAYA,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,UTTARAKHAND,HIMACHAL PRADESH,
,,Meghalaya_Ben,JPNIGRIE_JNSTPP,SOLAPUR_SOLAR,SEIL,KAMENG,TANGEDCO,TANGEDCO,HP,GMR WARORA,Meghalaya_Ben,SHPPBPL,SHPPBPL,ITCWIND,HP,SORANG_HEP,TS1PL_BKN,Meghalaya_Ben,SHPPBPL,MCCPL,B_S_ISPAT_MH,SHPPBPL,SAINJ,KWHEP,BYPL,IPCL_WB,LAPL-UP,SHPPBPL,KSEB,SHPPBPL,KWHEP,TANGEDCO,SAPU1234,GMR WARORA,SHPPBPL,JPNIGRIE_JNSTPP,APNRL,CHANJUII,GBHHPL,TANGEDCO,SHPPBPL,NBVLIPP,TS1PL_BKN,KAMENG,KSEB,SKS Raigarh,Meghalaya_Ben,JPL,HP,HP,UTTARAKHAND,SHPPBPL,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,ODISHA,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,BYPL,BRPL,MES (Delhi),TPDDL,TPDDL,BRPL,BYPL,BRPL,TPDDL,BYPL,BAL234,UHL,ITCLH,BYPL,TPDDL,BRPL,BYPL,AISHER,BRPL,NDMC,MHIL,BRPL,BRPL,VL-CPP 1215,NDMC,BYPL,BAL184,BYPL,MAX-HPTL,BRPL,BYPL,MES (Delhi),TPDDL,BMDRC,TPDDL,TPDDL,TPDDL,DIAPL,BRPL,BAL224,TPDDL,BYPL,BRPL,BRPL,NDMC,BYPL,BRPL,BRPL,BRPL,BYPL,JHPL-DL,
,,North East-East-North,West-North,West-North,South-West-North,North East-East-North,South-West-North,South-West-North,North-North,West-North,North East-East-North,North-North,North-North,South-West-North,North-North,North-North,North-North,North East-East-North,North-North,West-North,West-North,North-North,North-North,North-North,North-East,East-North,North-North,North-North,South-West-North,North-North,North-North,South-West-North,North-North,West-East-North,North-North,West-North,East-North,North-North,North-North,South-West-North,North-North,East-North,North-North,North East-East-North,South-West-North,West-North,North East-East-North,West-North,North-North,North-North,North-North,North-North,
1,00:00-00:15,36.530000,85.170000,0,24.200000,147.910000,64.390000,98.760000,85.690000,12.070000,23.240000,0.920000,0.610000,0.480000,23.240000,0.000000,0,63.180000,0.820000,0.000000,6.780000,0.610000,0.000000,63.630000,0.000000,0.000000,0.000000,0.370000,83.270000,0.930000,0.000000,23.720000,4.840000,12.130000,0.930000,48.410000,48.410000,19.410000,35.160000,23.180000,0.520000,43.570000,0,21.280000,232.470000,62.930000,24.200000,255.520000,62.930000,54.220000,48.410000,1.020000,1846.06

2,00:15-00:30,36.530000,85.170000,0,24.200000,147.910000,64.390000,98.760000,85.690000,12.070000,23.240000,0.920000,0.610000,0.480000,23.240000,0.000000,0,63.180000,0.820000,0.000000,6.780000,0.610000,0.000000,63.630000,0.000000,0.000000,0.000000,0.370000,83.270000,0.930000,0.000000,23.720000,4.840000,12.130000,0.930000,48.410000,48.410000,19.410000,35.160000,23.180000,0.520000,43.570000,0,21.280000,232.470000,62.930000,24.200000,255.520000,62.930000,54.220000,48.410000,1.020000,1846.06
