Column1,Time,NR/01102023/30042040/GNA_LT_36,NR/30092023/26122029/SH-06,NR/01102023/30042040/GNA_LT_35,NR/01102023/22052037/LT-59,NR/01102023/06022042/L_NR_2012_07,NR/01102023/31052040/LT-31,NR/01102023/06022042/L_NR_2012_02,GNA/NR/2025/02/01/2143,NR/01102023/31102037/L_NR_2019_11,NR/01102023/15082037/GNA_NR_2012_01,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/30092023/31122025/SH-07,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2025/02/01/5886,NR/01102023/05012040/L_NR_2020_02,GNA/NR/2025/02/01/9969,GNA/NR/2025/02/01/4863,NR/01102023/19072037/LT-05,GNA/SR/2025/02/01/7432,GNA/SR/2025/02/01/6460,GNA/WR/2024/11/01/4200,GNA/WR/2025/01/01/9606,GNA/WR/2025/01/01/8625,GNA/NR/2025/02/01/2594,WR/01102023/24112044/L_NR_2020_07,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/29112042/L_NR_2019_05,WR/01102023/16072048/L_NR_2022_08,WR/01102023/31032046/L_NR_2020_05,WR/01102023/01102023/L_NR_2020_06,WR/01102023/30052048/L_NR_2022_10,WR/01102023/01102023/L_NR_2022_09,NR/01102023/13082046/L_NR_2021_12,NR/01102023/08032047/L_NR_2021_14,GNARE/NR/2024/12/20/3668,NR/22102023/11042047/L_NR_2021_17,NR/26072023/31072042/L_NR_2023_07,NR/26072023/25122043/L_NR_2023_10,NR/01102023/25072045/L_NR_2021_15,NR/22102023/11042047/L_NR_2021_16,NR/01102023/02122045/L_NR_2021_13,L_NR_2019_19,GNARE/SR/2025/01/13/4532
1,00:00-00:15,0,26.12,0,0.63,59.46,0,135.59,23.08,0.92,86.54,1.29,32,25.23,271.89,8.65,1.25,23.08,8.65,70.15,0,75,0,0,0,23.08,20.83,0,0,0,15.33,62.51,20.83,51.66,51.67,0,0,0,0,0,0,0,0,0,0,10.6

2,00:15-00:30,0,26.12,0,0.63,59.46,0,135.59,23.08,0.92,86.54,1.29,32,25.23,271.89,8.65,1.25,23.08,8.65,70.15,0,75,0,0,0,23.08,20,0,0,0,14.67,60,20,50,50,0,0,0,0,0,0,0,0,0,0,9.8

3,00:30-00:45,0,26.12,0,0.63,59.46,0,135.59,23.08,0.92,81.74,1.29,32,25.73,271.89,8.65,1.25,23.08,8.65,70.15,0,75,0,0,0,23.08,19.17,0,0,0,14.33,57.49,19.17,48,48,0,0,0,0,0,0,0,0,0,0,9.2

4,00:45-01:00,0,26.12,0,0.63,59.46,0,135.59,23.08,0.92,81.74,1.29,32,26.24,271.89,8.65,1.25,23.08,8.65,70.15,0,75,0,0,0,23.08,18.33,0,0,0,14,55.01,18.33,46,46,0,0,0,0,0,0,0,0,0,0,8.6

5,01:00-01:15,0,26.12,0,0.63,59.46,0,135.59,23.08,0.92,53.85,1.29,32,26.24,271.89,8.65,1.25,23.08,8.65,70.15,0,75,0,0,0,23.08,24,0,0,0,16.66,72,24,61.34,61.33,0,0,0,0,0,0,0,0,0,0,8

6,01:15-01:30,0,26.12,0,0.63,59.46,0,135.59,23.08,0.92,53.85,1.29,32,26.24,271.89,8.65,1.25,23.08,8.65,70.15,0,75,0,0,0,23.08,24,0,0,0,16.34,72,24,61.34,61.33,0,0,0,0,0,0,0,0,0,0,7.4

7,01:30-01:45,0,26.12,0,0,59.46,0,135.59,23.08,0.92,53.85,1.29,32,26.24,271.89,8.65,1.25,23.08,8.65,70.15,0,75,0,0,0,23.08,23.83,0,0,0,16.34,71.51,23.83,61,61,0,0,0,0,0,0,0,0,0,0,6.8

8,01:45-02:00,0,26.12,0,0,59.46,0,135.59,23.08,0.92,53.85,1.29,32,26.24,271.89,8.65,1.25,23.08,8.65,70.15,0,75,0,0,0,23.08,23.67,0,0,0,16,70.99,23.67,60.66,60.67,0,0,0,0,0,0,0,0,0,0,6.4

9,02:00-02:15,0,26.12,0,0.63,59.46,0,135.59,23.08,0.92,52.89,1.29,32,26.24,271.89,8.65,1.25,23.08,8.65,70.15,0,75,0,0,0,23.08,23.33,0,0,0,15.66,70.01,23.33,60,60,0,0,0,0,0,0,0,0,0,0,6

