Block,Time Block,KKNP,CHAMERA2,KHSTPP-II,KHSTPP-I,KISHANGANGA,DADRT2,DHAULIGNGA,CHAMERA3,KGSU3AND4,KGSU1AND2,JHAJJAR,FSTPP I & II,AURY_LF,DADRI_GF,AURY_GF,DADRI_CRF,DADRI_RF,AURY_RF,DADRI_LF,ANTA_CRF,ANTA_RF,UNCHAHAR1,UNCHAHAR4,VALLURNTECL,TEHRIPSP,ANTA_LF,URI2,UNCHAHAR3,AURY_CRF,ANTA_GF,TelanganaSTPP,UNCHAHAR2,URI,CHAMERA1,DULHASTI,BSIUL,BRBCL,RAPPC,RIHAND2,PARBATI3,RIHAND1,RAPPB,RAPPD,RAMPUR,TANDA2,SASAN,TALST2,TANAKPUR,SINGRAULI_HYDRO,SIMHST1,RSTPSU1TO6,TALA,TEHRI,SIMHST2,RSTPSU7,RIHAND3,SALAL,SEWA2,SINGRAULI,NAPP,NTPL,PARBATI2,NLCEXP,NLCIIST1,NLCIIST2,NJPC,NLCTS2EXP,NNTPP,KOTESHWR,KUDGI,KKNPPU2,MAPS,KOLDAM,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,47.26,143.32,44,8.42,393.49,42.38,33.91,0,0,190.53,20.1,0,0,0,0,0,0,0,0,0,17.39,3.18,0,0,0,38.88,24.22,0,0,0,38.36,50.6,40.73,55.92,12.6,14.47,66.09,121.91,0,96.46,0,25.26,6.8,3.74,337.25,0,12.38,1.09,0,0,24.03,43.53,0,0,127.92,82.54,0,147.73,24.57,0,0,0,0,0,175.07,0,0,10.09,0,0,0,10.29,0,0,0,0,0

2,00:15-00:30,0,47.26,143.32,44,8.42,321.13,42.38,33.91,0,0,148.83,20.1,0,0,0,0,0,0,0,0,0,16.57,1.93,0,0,0,38.88,21.89,0,0,0,35.34,50.6,40.73,55.92,12.6,12.52,66.09,121.91,0,96.46,0,25.26,6.8,3.74,337.25,0,12.38,1.09,0,0,24.03,43.53,0,0,127.92,82.54,0,147.73,24.57,0,0,0,0,0,175.07,0,0,10.09,0,0,0,10.29,0,0,0,0,0

3,00:30-00:45,0,47.26,143.32,44,8.42,241.74,42.38,33.91,0,0,125.61,20.1,0,0,0,0,0,0,0,0,0,16.57,1.93,0,0,0,38.88,21.89,0,0,0,35.34,50.6,40.73,55.92,12.6,13.67,66.09,121.91,0,96.46,0,25.26,6.8,3.74,330.51,0,12.38,1.09,0,0,24.03,43.53,0,0,127.92,82.54,0,147.73,24.57,0,0,0,0,0,175.07,0,0,10.09,0,0,0,10.29,0,0,0,0,0

4,00:45-01:00,0,47.26,143.32,44,8.42,193.42,42.38,33.91,0,0,125.61,20.1,0,0,0,0,0,0,0,0,0,16.57,1.93,0,0,0,38.88,21.89,0,0,0,35.34,50.6,40.73,55.92,12.6,13.36,66.09,121.91,0,96.46,0,25.26,6.8,3.74,330.51,0,12.38,1.09,0,0,24.03,43.53,0,0,127.92,82.54,0,147.73,24.57,0,0,0,0,0,175.07,0,0,10.09,0,0,0,10.29,0,0,0,0,0

5,01:00-01:15,0,47.26,143.32,44,8.42,193.42,42.38,33.91,0,0,125.61,20.1,0,0,0,0,0,0,0,0,0,16.57,1.93,0,0,0,38.88,21.89,0,0,0,35.34,36.27,40.73,55.92,12.6,10.6,66.09,121.91,0,96.46,0,25.26,6.8,3.74,330.51,0,12.38,1.09,0,0,24.03,43.53,0,0,127.92,82.54,0,147.73,24.57,0,0,0,0,0,175.07,0,0,10.09,0,0,0,10.29,0,0,0,0,0

6,01:15-01:30,0,47.26,143.32,44,8.42,145.1,42.38,33.91,0,0,125.61,20.1,0,0,0,0,0,0,0,0,0,16.57,1.93,0,0,0,38.88,21.89,0,0,0,35.34,36.27,40.73,55.92,12.6,11.5,66.09,121.91,0,96.46,0,25.26,6.8,3.74,330.51,0,12.38,1.09,0,0,24.03,43.53,0,0,127.92,82.54,0,147.73,24.57,0,0,0,0,0,175.07,0,0,10.09,0,0,0,10.29,0,0,0,0,0

7,01:30-01:45,0,47.26,143.32,44,8.42,125.78,42.38,33.91,0,0,125.61,15,0,0,0,0,0,0,0,0,0,16.57,1.93,0,0,0,28.77,21.89,0,0,0,35.34,36.27,40.73,55.92,12.6,11.14,66.09,121.91,0,96.46,0,25.26,6.8,3.74,330.51,0,7.42,1.09,0,0,28.64,43.53,0,0,127.92,82.54,0,147.73,24.57,0,0,0,0,0,175.07,0,0,10.09,0,0,0,10.29,0,0,0,0,0

8,01:45-02:00,0,47.26,143.32,44,8.42,96.78,42.38,33.91,0,0,125.61,15,0,0,0,0,0,0,0,0,0,16.57,1.93,0,0,0,28.77,21.43,0,0,0,35.34,36.27,40.73,55.92,12.6,10.56,66.09,121.91,0,96.46,0,25.26,6.8,3.74,330.51,0,7.42,1.09,0,0,28.64,43.53,0,0,127.92,82.54,0,147.73,24.57,0,0,0,0,0,175.07,0,0,10.09,0,0,0,10.29,0,0,0,0,0

9,02:00-02:15,0,47.26,143.32,44,8.42,50.85,42.38,33.91,0,0,125.61,15,0,0,0,0,0,0,0,0,0,16.57,1.93,0,0,0,31.1,18.28,0,0,0,31.87,36.27,40.73,37.38,12.6,11.85,66.09,121.91,0,96.46,0,25.26,6.8,3.74,330.51,0,12.38,1.09,0,0,28.64,43.53,0,0,127.92,82.54,0,147.73,24.57,0,0,0,0,0,175.07,0,0,10.09,0,0,0,10.29,0,0,0,0,0

10,02:15-02:30,0,47.26,143.32,44,8.42,50.85,42.38,33.91,0,0,125.61,15,0,0,0,0,0,0,0,0,0,13.73,1.93,0,0,0,31.1,18.28,0,0,0,29.51,36.27,40.73,37.38,12.6,11.36,66.09,121.91,0,96.46,0,25.26,6.8,3.74,330.51,0,12.38,1.09,0,0,28.64,43.53,0,0,127.92,82.54,0,147.73,24.57,0,0,0,0,0,175.07,0,0,10.09,0,0,0,10.29,0,0,0,0,0

