Block,Time,NR/01102023/31052040/LT-31,NR/01102023/23072042/L_NR_2012_04,NR/26072023/31072042/L_NR_2023_07,NR/26072023/25122043/L_NR_2023_10,NR/22102023/11042047/L_NR_2021_17,NR/01102023/30042040/GNA_LT_36,NR/01102023/02122045/L_NR_2021_13,NR/01102023/30042040/GNA_LT_35,SR/01102023/07102043/L_NR_2018_61,NR/01102023/25072045/L_NR_2021_15,NR/01102023/22052037/LT-59,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/22102023/11042047/L_NR_2021_16,NR/03112023/30112023/IEX-231101-05680,L_NR_2019_19,NR/01102023/06022042/L_NR_2012_02,NR/01112023/30112023/HP-10,WR/01102023/24112044/L_NR_2020_07,WR/01102023/16072048/L_NR_2022_08,NR/01102023/19072037/LT-05,NR/30092023/31122025/SH-07,NR/01102023/06022042/L_NR_2012_07,SR/01112023/30112023/KSEB_BYPL-NOV23,NR/01102023/13082046/L_NR_2021_12,NR/01102023/25122043/GNA_MEJA_DELHI,NR/03112023/30112023/HPX-TAMDLY-011123-05147,WR/01102023/01102023/L_NR_2020_06,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/30092023/26122029/SH-06,NR/01102023/08032047/L_NR_2021_14,WR/01102023/31032046/L_NR_2020_05,WR/01102023/29112042/L_NR_2019_05,NR/01102023/15082037/GNA_NR_2012_01,WR/01102023/30052048/L_NR_2022_10,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/01102023/31102037/L_NR_2019_11,NR/01112023/30112023/HP-09,NR/01102023/05012040/L_NR_2020_02,WR/01102023/01102023/L_NR_2022_09
1,00:00-00:15,0.000000,183.260000,0,0,0,0.000000,0,0.000000,7.51,0,1.710000,0,0,48.220000,0,169.970000,73.790000,15.76,12.6,71.760000,26.030000,55.570000,144.68,0,0.000000,48.220000,15.76,24.110000,26.030000,0,47.29,0,48.220000,39.13,0,1.920000,172.780000,2.230000,39.13

2,00:15-00:30,0.000000,183.260000,0,0,0,0.000000,0,0.000000,7.63,0,1.710000,0,0,48.220000,0,169.970000,73.790000,15.57,12.2,71.760000,26.030000,55.570000,144.68,0,0.000000,48.220000,15.57,24.110000,26.030000,0,46.72,0,48.220000,36.77,0,1.920000,172.780000,2.230000,36.77

3,00:30-00:45,0.000000,183.260000,0,0,0,0.000000,0,0.000000,7.64,0,1.710000,0,0,48.220000,0,169.970000,73.790000,15.27,11.81,71.760000,26.030000,55.570000,144.68,0,0.000000,48.220000,15.26,24.110000,26.030000,0,45.81,0,48.220000,34.98,0,1.920000,172.780000,2.230000,34.98

4,00:45-01:00,0.000000,183.260000,0,0,0,0.000000,0,0.000000,7.52,0,1.710000,0,0,48.220000,0,169.970000,73.790000,15.12,11.29,71.760000,26.030000,55.570000,144.68,0,0.000000,48.220000,15.12,24.110000,26.030000,0,45.36,0,48.220000,33.38,0,1.920000,172.780000,2.230000,33.38

5,01:00-01:15,0.000000,183.260000,0,0,0,0.000000,0,0.000000,7.78,0,1.710000,0,0,48.220000,0,169.970000,73.790000,14.57,10.84,71.760000,26.030000,55.570000,144.68,0,0.000000,48.220000,14.56,24.110000,26.030000,0,43.7,0,48.220000,31.64,0,1.840000,172.780000,2.230000,31.64

6,01:15-01:30,0.000000,183.260000,0,0,0,0.000000,0,0.000000,8.11,0,1.710000,0,0,48.220000,0,169.970000,73.790000,13.58,10.53,71.760000,26.030000,55.570000,144.68,0,0.000000,48.220000,13.57,24.110000,26.030000,0,40.74,0,48.220000,30.04,0,1.840000,172.780000,2.230000,30.04

7,01:30-01:45,0.000000,183.260000,0,0,0,0.000000,0,0.000000,7.41,0,1.710000,0,0,48.220000,0,169.970000,73.790000,12.84,10.08,71.760000,26.030000,55.570000,144.68,0,0.000000,48.220000,12.82,24.110000,26.030000,0,38.51,0,48.220000,28.55,0,1.840000,172.780000,2.230000,28.55

