Time,Block,NR/2024/19735/C,NR/2024/19043/A/16618,NR/2024/19656/A/17172,NR/2024/19730/C,NR/2024/18978/A/16660,NR/2024/18986/A/16681,NR/2024/19731/C,NR/2024/18976/A/16658,NR/2024/18996/A/17293,NR/2024/19469/A/16687,NR/2024/19622/A/16944,NR/2024/19789/C,NR/2024/19737/C,NR/2024/19172/A/17368,NR/2024/18919/A/17214,NR/2024/19121/A/16749,NR/2024/19785/C,NR/2024/19115/A/16608,NR/2024/19677/A/17280,NR/2024/19734/C,NR/2024/19075/A/16610,NR/2024/19024/A/16690,NR/2024/19774/C,NR/2024/19772/C,NR/2024/19771/C,NR/2024/19484/A/17289,NR/2024/18855/A/16750,NR/2024/19609/A/17183,NR/2024/19485/A/17288,NR/2024/19030/A/16624,NR/2024/19143/A/16606,NR/2024/19245/A/16689,NR/2024/18977/A/16659,NR/2024/18936/A/16649,NR/2024/19841/C,NR/2024/19761/C,NR/2024/19483/A/17291,NR/2024/18935/A/16648,NR/2024/19679/A/17286,NR/2024/19290/A/17367,NR/2024/19337/A/16688,NR/2024/18934/A/16647,NR/2024/19768/C,NR/2024/19733/C,NR/2024/19783/C,Total
,,NVVNL,IEXL,DIAPL,IEXL,PXIL,ITCLH,IEXL,PXIL,PTC,DIAPL,PXIL,IEXL,DIAPL,TPDDL,APPCPL,GMRETL,IEXL,IEXL,IEXL,NVVNL,IEXL,DIAPL,BYPL,HPXL,HPXL,NVVNL,GMRETL,HPXL,NVVNL,IEXL,IEXL,DIAPL,PXIL,PXIL,HPXL,BRPL,NVVNL,PXIL,IEXL,TPDDL,DIAPL,PXIL,IEXL,NVVNL,IEXL,Total

,,NA,NA,HIMACHAL PRADESH,NA,TAMIL NADU,ANDHRA PRADESH,HIMACHAL PRADESH,ODISHA,MAHARASHTRA,HIMACHAL PRADESH,KERALA,TELANGANA,HIMACHAL PRADESH,NA,NAGALAND,RAJASTHAN,NA,MAHARASHTRA,HIMACHAL PRADESH,NA,ODISHA,HIMACHAL PRADESH,NA,KERALA,NA,NA,RAJASTHAN,KERALA,NA,NA,DELHI,HIMACHAL PRADESH,NA,TAMIL NADU,KERALA,NA,NA,TAMIL NADU,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,TAMIL NADU,NA,NA,NA,
,,SORANG_HEP,MBMP,GBHHPL,SEIL,BIRLACARBONTN,ITCWIND,HP-GOVT,FACORPOWER,JPL_DHULE,GBHHPL,KSEB,NAVABHARATVL,GBHHPL,JHAJJAR,Nagaland_Ben,RUVNL,DBPL,SWPL,HP,KAMENG,VSL,GBHHPL,JHAJJAR,KSEB,SINGOLI,RKM_POWER,RUVNL,KSEB,RKM_POWER,JHABUA_IPP,EDWPCL12,GBHHPL,MEENAKSHI,SAKTHISUGARSLTD,KSEB,DADRT2,SKS Raigarh,SAKTHISUGARS_ELMTN,HP-GOVT,JHAJJAR,GBHHPL,SAKTHISUGRAR_TN,HIRIYUR_OSTROKANNADA,SOLAPUR_SOLAR,CPTTNPL,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,UTTAR PRADESH,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,TPDDL,BRPL,DIAPL,TPDDL,BRPL,ITCLH,TPDDL,BRPL,BRPL,DIAPL,BRPL,BRPL,DIAPL,TPDDL,BYPL,BYPL,BYPL,BRPL,BRPL,TPDDL,BRPL,DIAPL,BYPL,BRPL,BRPL,NDMC,BYPL,BRPL,NDMC,BRPL,UPPCL,DIAPL,BRPL,BRPL,BYPL,BRPL,NDMC,BRPL,BRPL,TPDDL,DIAPL,BRPL,BRPL,MES (Delhi),BYPL,
,,North-North,West-East-North,North-North,South-East-West-North,South-West-North,South-West-North,North-North,East-West-North,West-North,North-North,South-West-North,South-East-West-North,North-North,North-North,North East-East-North,North-North,West-North,West-East-North,North-North,North East-East-North,East-North,North-North,North-North,South-East-North,North-North,West-North,North-North,South-East-North,West-North,West-East-North,North-North,North-North,South-West-North,South-West-North,South-East-North,North-North,West-North,South-West-North,North-North,North-North,North-North,South-West-North,South-East-North,West-North,West-North,
1,00:00-00:15,48.260000,0.000000,0.000000,193.060000,0.000000,0.530000,144.800000,0.000000,0.000000,0.000000,96.530000,0.000000,0.970000,115.840000,9.650000,0.000000,96.530000,0.000000,96.530000,52.510000,0.000000,4.830000,0.000000,96.530000,46.330000,37.290000,66.790000,96.530000,37.290000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.430000,0.000000,96.530000,67.570000,1.930000,0.000000,18,0,39.38,1478.64

2,00:15-00:30,48.260000,0.000000,0.000000,193.060000,0.000000,0.530000,144.800000,0.000000,0.000000,0.000000,96.530000,0.000000,0.970000,115.840000,9.650000,0.000000,96.530000,0.000000,96.530000,52.510000,0.000000,4.830000,0.000000,96.530000,46.330000,37.290000,66.790000,96.530000,37.290000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.430000,0.000000,96.530000,67.570000,1.930000,0.000000,18,0,40.25,1479.51

3,00:30-00:45,48.260000,0.000000,0.000000,193.060000,0.000000,0.530000,144.800000,0.000000,0.000000,0.000000,96.530000,0.000000,0.970000,115.840000,9.650000,0.000000,96.530000,0.000000,96.530000,52.510000,0.000000,4.830000,0.000000,96.530000,46.330000,37.290000,66.790000,96.530000,37.290000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.430000,0.000000,96.530000,67.570000,1.930000,0.000000,18,0,40.25,1479.51

4,00:45-01:00,48.260000,0.000000,0.000000,193.060000,0.000000,0.530000,144.800000,0.000000,0.000000,0.000000,96.530000,0.000000,0.970000,115.840000,9.650000,0.000000,96.530000,0.000000,96.530000,52.510000,0.000000,4.830000,0.000000,96.530000,46.330000,37.290000,66.790000,96.530000,37.290000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.430000,0.000000,96.530000,67.570000,1.930000,0.000000,18,0,41.03,1480.29

5,01:00-01:15,48.260000,0.000000,0.000000,193.060000,0.000000,0.480000,144.800000,0.000000,0.000000,0.000000,96.530000,0.000000,0.970000,115.840000,9.650000,0.000000,96.530000,0.000000,96.530000,52.510000,0.000000,4.830000,0.000000,193.060000,46.330000,37.290000,66.790000,96.530000,37.290000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.430000,0.000000,96.530000,67.570000,1.930000,0.000000,18,0,41.03,1576.77

6,01:15-01:30,48.260000,0.000000,0.000000,193.060000,0.000000,0.480000,144.800000,0.000000,0.000000,0.000000,96.530000,0.000000,0.970000,115.840000,9.650000,0.000000,96.530000,0.000000,96.530000,52.510000,0.000000,4.830000,0.000000,193.060000,46.330000,37.290000,66.790000,96.530000,37.290000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.430000,0.000000,96.530000,67.570000,1.930000,0.000000,18,0,41.03,1576.77

7,01:30-01:45,48.260000,0.000000,0.000000,193.060000,0.000000,0.480000,144.800000,0.000000,0.000000,0.000000,96.530000,0.000000,0.970000,115.840000,9.650000,0.000000,96.530000,0.000000,96.530000,52.510000,0.000000,4.830000,0.000000,193.060000,46.330000,37.290000,66.790000,96.530000,37.290000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.430000,0.000000,96.530000,67.570000,1.930000,0.000000,18,0,41.03,1576.77

8,01:45-02:00,48.260000,0.000000,0.000000,193.060000,0.000000,0.480000,144.800000,0.000000,0.000000,0.000000,96.530000,0.000000,0.970000,115.840000,9.650000,0.000000,96.530000,0.000000,96.530000,52.510000,0.000000,4.830000,0.000000,193.060000,41.510000,37.290000,66.790000,96.530000,37.290000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.430000,0.000000,96.530000,67.570000,1.930000,0.000000,18,0,41.03,1571.95

9,02:00-02:15,57.920000,0.000000,0.000000,0.000000,0.000000,0.480000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.970000,115.840000,9.650000,0.000000,96.530000,0.000000,0.000000,52.510000,0.000000,4.830000,0.000000,0.000000,0.000000,37.290000,66.790000,0.000000,37.290000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.430000,0.000000,0.000000,67.570000,1.930000,0.000000,0,0,0,564.03

10,02:15-02:30,57.920000,0.000000,0.000000,0.000000,0.000000,0.480000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.970000,115.840000,9.650000,0.000000,96.530000,0.000000,0.000000,52.510000,0.000000,4.830000,0.000000,0.000000,0.000000,37.290000,66.790000,0.000000,37.290000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.430000,0.000000,0.000000,67.570000,1.930000,0.000000,0,0,0,564.03

11,02:30-02:45,57.920000,0.000000,0.000000,0.000000,0.000000,0.480000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.970000,115.840000,9.650000,0.000000,96.530000,0.000000,0.000000,52.510000,0.000000,4.830000,0.000000,0.000000,0.000000,37.290000,66.790000,0.000000,37.290000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.430000,0.000000,0.000000,67.570000,1.930000,0.000000,0,0,0,564.03

12,02:45-03:00,57.920000,0.000000,0.000000,0.000000,0.000000,0.480000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.970000,115.840000,9.650000,0.000000,96.530000,0.000000,0.000000,52.510000,0.000000,4.830000,0.000000,0.000000,0.000000,37.290000,66.790000,0.000000,37.290000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.430000,0.000000,0.000000,67.570000,1.930000,0.000000,0,0,0,564.03

13,03:00-03:15,57.920000,0.000000,0.000000,0.000000,0.000000,0.480000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.970000,115.840000,9.650000,0.000000,0.000000,0.000000,0.000000,52.510000,0.000000,4.830000,0.000000,0.000000,0.000000,37.290000,66.790000,0.000000,37.290000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.430000,0.000000,0.000000,67.570000,1.930000,0.000000,0,0,0,467.5

14,03:15-03:30,57.920000,0.000000,0.000000,0.000000,0.000000,0.480000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.970000,115.840000,9.650000,0.000000,0.000000,0.000000,0.000000,52.510000,0.000000,4.830000,0.000000,0.000000,0.000000,37.290000,66.790000,0.000000,37.290000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.430000,0.000000,0.000000,67.570000,1.930000,0.000000,0,0,0,467.5

15,03:30-03:45,57.920000,0.000000,0.000000,0.000000,0.000000,0.480000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.970000,115.840000,9.650000,0.000000,0.000000,0.000000,0.000000,52.510000,0.000000,4.830000,0.000000,0.000000,0.000000,37.290000,66.790000,0.000000,37.290000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.430000,0.000000,0.000000,67.570000,1.930000,0.000000,0,0,0,467.5

16,03:45-04:00,57.920000,0.000000,0.000000,0.000000,0.000000,0.480000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.970000,115.840000,9.650000,0.000000,0.000000,0.000000,0.000000,52.510000,0.000000,4.830000,0.000000,0.000000,0.000000,37.290000,66.790000,0.000000,37.290000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.430000,0.000000,0.000000,67.570000,1.930000,0.000000,0,0,0,467.5

17,04:00-04:15,57.920000,0.000000,0.000000,0.000000,0.000000,0.480000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.970000,115.840000,9.650000,0.000000,0.000000,0.000000,0.000000,52.510000,0.000000,4.830000,0.000000,0.000000,0.000000,37.290000,66.790000,0.000000,37.290000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.430000,0.000000,0.000000,67.570000,1.930000,0.000000,0,0,0,467.5

18,04:15-04:30,57.920000,0.000000,0.000000,0.000000,0.000000,0.480000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.970000,115.840000,9.650000,0.000000,0.000000,0.000000,0.000000,52.510000,0.000000,4.830000,0.000000,0.000000,0.000000,37.290000,66.790000,0.000000,37.290000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.430000,0.000000,0.000000,67.570000,1.930000,0.000000,0,0,0,467.5

19,04:30-04:45,57.920000,0.000000,0.000000,0.000000,0.000000,0.480000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,115.840000,9.650000,0.000000,0.000000,0.000000,0.000000,52.510000,0.000000,4.830000,0.000000,0.000000,0.000000,37.290000,66.790000,0.000000,37.290000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.430000,0.000000,0.000000,67.570000,1.930000,0.000000,0,0,0,466.53

20,04:45-05:00,57.920000,0.000000,0.000000,0.000000,0.000000,0.480000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,115.840000,9.650000,0.000000,0.000000,0.000000,0.000000,52.510000,0.000000,4.830000,0.000000,0.000000,0.000000,37.290000,66.790000,0.000000,37.290000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.430000,0.000000,0.000000,67.570000,1.930000,0.000000,0,0,0,466.53

21,05:00-05:15,57.920000,0.000000,0.000000,0.000000,0.000000,0.480000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,115.840000,9.650000,66.790000,0.000000,0.000000,0.000000,52.510000,0.000000,4.830000,0.000000,0.000000,0.000000,37.290000,0.000000,0.000000,37.290000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.430000,0.000000,0.000000,67.570000,1.930000,0.000000,0,0,0,464.53

22,05:15-05:30,57.920000,0.000000,0.000000,0.000000,0.000000,0.480000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,115.840000,9.650000,66.790000,0.000000,0.000000,0.000000,52.510000,0.000000,4.830000,0.000000,0.000000,0.000000,37.290000,0.000000,0.000000,37.290000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.430000,0.000000,0.000000,67.570000,1.930000,0.000000,0,0,0,464.53

23,05:30-05:45,57.920000,0.000000,0.000000,0.000000,0.000000,0.480000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,115.840000,9.650000,66.790000,0.000000,0.000000,0.000000,52.510000,0.000000,4.830000,0.000000,0.000000,0.000000,37.290000,0.000000,0.000000,37.290000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.430000,0.000000,0.000000,67.570000,1.930000,0.000000,0,0,0,464.53

24,05:45-06:00,57.920000,0.000000,0.000000,0.000000,0.000000,0.480000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,115.840000,9.650000,66.790000,0.000000,0.000000,0.000000,52.510000,0.000000,4.830000,0.000000,0.000000,0.000000,37.290000,0.000000,0.000000,37.290000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.430000,0.000000,0.000000,67.570000,1.930000,0.000000,0,0,0,464.53

25,06:00-06:15,57.920000,0.000000,0.000000,0.000000,0.000000,0.530000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,115.840000,0.000000,66.790000,0.000000,0.000000,0.000000,52.510000,0.000000,4.830000,0.000000,0.000000,0.000000,37.290000,0.000000,0.000000,37.290000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.430000,0.000000,0.000000,67.570000,1.930000,0.000000,0,0,0,454.93

26,06:15-06:30,57.920000,0.000000,0.000000,0.000000,0.000000,0.530000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,115.840000,0.000000,66.790000,0.000000,0.000000,0.000000,52.510000,0.000000,4.830000,0.000000,0.000000,0.000000,37.290000,0.000000,0.000000,37.290000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.430000,0.000000,0.000000,67.570000,1.930000,0.000000,0,0,0,454.93

27,06:30-06:45,57.920000,0.000000,0.000000,0.000000,0.000000,0.530000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,115.840000,0.000000,66.790000,0.000000,0.000000,0.000000,52.510000,0.000000,4.830000,0.000000,0.000000,0.000000,37.290000,0.000000,0.000000,37.290000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.430000,0.000000,0.000000,67.570000,1.930000,0.000000,0,0,0,454.93

