Column1,Time,WR/01102023/01102023/L_NR_2020_06,WR/01102023/24112044/L_NR_2020_07,WR/01102023/01102023/L_NR_2022_09,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/31032046/L_NR_2020_05,WR/01102023/30052048/L_NR_2022_10,WR/01102023/16072048/L_NR_2022_08,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/29112042/L_NR_2019_05,L_NR_2019_19,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/31102037/L_NR_2019_11,NR/01102023/30042040/GNA_LT_35,GNA/NR/2024/08/06/4330,NR/01102023/22052037/LT-59,NR/01102023/06022042/L_NR_2012_02,NR/01102023/31052040/LT-31,NR/01102023/05012040/L_NR_2020_02,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/30092023/31122025/SH-07,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01082024/30082024/NR/01082024/30082024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/30042040/GNA_LT_36,NR/01082024/15082024/IIPL/JPL-T-BRPL/04/Aug'24,NR/01102023/08032047/L_NR_2021_14,NR/01102023/02122045/L_NR_2021_13,NR/22102023/11042047/L_NR_2021_16,SR/01102023/07102043/L_NR_2018_61,NR/22102023/11042047/L_NR_2021_17,NR/01102023/14082046/L_NR_2021_16,NR/26072023/31072042/L_NR_2023_07,NR/26072023/25122043/L_NR_2023_10,NR/01102023/02012046/L_NR_2021_17,NR/01102023/13082046/L_NR_2021_12,NR/01102023/25072045/L_NR_2021_15,NR/01082024/15082024/APL-Raigarh,NR/01102023/19072037/LT-05,NR/01082024/31082024/1000011628-SIEL-BRPL(DISCOM),NR/01082024/31082024/SKS-Raigarh,NR/01082024/31082024/jitpl,NR/01102023/06022042/L_NR_2012_07,NR/01082024/30092024/LT_MEJA_DELHI,NR/30092023/26122029/SH-06,NR/01082024/31082024/APPCPL/180/F25/GNA/12763
1,00:00-00:15,18.5,18.5,38.67,0,55.5,38.67,18.66,0,0,0,100.31,0,0,144.44,0,261.43,0,6.2,15.91,32,29.27,0,272.26,0,48.14,0,0,0,15,0,0,0,0,0,0,0,192.58,115.07,48.14,12.4,11.79,86.85,3.97,32,38.52

2,00:15-00:30,19.34,19.33,39.33,0,58,39.33,18.66,0,0,0,100.31,0,0,144.44,0,261.43,0,6.2,15.91,32,29.27,0,272.26,0,48.14,0,0,0,15,0,0,0,0,0,0,0,192.58,115.07,48.14,12.4,11.79,86.85,3.97,32,38.52

3,00:30-00:45,20.16,20.17,39.67,0,60.5,39.67,18.66,0,0,0,85.6,0,0,144.44,0,261.43,0,6.2,15.91,32,29.27,0,272.26,0,48.14,0,0,0,14.6,0,0,0,0,0,0,0,192.58,115.07,48.14,12.4,11.79,86.85,3.97,32,38.52

4,00:45-01:00,20.84,20.83,40.33,0,62.5,40.33,19.34,0,0,0,85.6,0,0,144.44,0,261.43,0,6.2,15.91,32,29.27,0,272.26,0,48.14,0,0,0,24.01,0,0,0,0,0,0,0,192.58,115.07,48.14,12.4,11.79,86.85,3.97,32,38.52

5,01:00-01:15,20.84,20.83,41,0,62.5,41,18.66,0,0,0,85.6,0,0,144.44,0,261.43,0,6.02,15.91,18.5536,29.27,0,272.26,0,48.14,0,0,0,24.01,0,0,0,0,0,0,0,192.58,84.89,48.14,12.4,11.79,86.85,3.97,32,38.52

6,01:15-01:30,20.84,20.83,41.67,0,62.5,41.67,18.34,0,0,0,85.6,0,0,144.44,0,261.43,0,6.02,15.91,18.5536,29.27,0,272.26,0,48.14,0,0,0,23.81,0,0,0,0,0,0,0,192.58,66.03,48.14,12.4,11.79,86.85,3.97,32,38.52

