Block,Time Block,KHSTPP-I,KOTESHWR,KKNP,KKNPPU2,KOLDAM,KISHANGANGA,KGSU3AND4,KHSTPP-II,JHAJJAR,CHAMERA2,DADRT2,CHAMERA3,UNCHAHAR1,UNCHAHAR4,UNCHAHAR3,TelanganaSTPP,UNCHAHAR2,URI,TEHRI,BRBCL,CHAMERA1,BSIUL,DHAULIGNGA,FSTPP I & II,DULHASTI,RIHAND1,RAPPC,RAPPB,RSTPSU1TO6,SIMHST2,TALA,RSTPSU7,SALAL,SEWA2,SINGRAULI,RIHAND3,TANDA2,RIHAND2,SASAN,TALST2,TANAKPUR,SIMHST1,SINGRAULI_HYDRO,KGSU1AND2,NAPP,KUDGI,NLCEXP,NJPC,MAPS,NLCTS2EXP,RAMPUR,NNTPP,NTPL,PARBATI3,NLCIIST1,NLCIIST2,URI2,VALLURNTECL,AURY_LF,DADRI_GF,ANTA_LF,AURY_GF,DADRI_CRF,DADRI_RF,ANTA_GF,AURY_CRF,AURY_RF,DADRI_LF,ANTA_CRF,ANTA_RF,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,28.01,17.06,0,0,0,0,0,122.84,246.46,0,265.29,0,9.8,0,16.69,0,27.06,0,25.56,14.42,0,0,0,17.22,15.84,88.43,25.13,0,0,0,0,0,1.35,0,134.27,59.75,0,114.15,335.44,0,5.54,0,0.62,0,41.99,0,0,0,0,0,0,0,0,0,0,0,4.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

2,00:15-00:30,28.01,17.06,0,0,0,0,0,122.84,246.46,0,265.29,0,8.56,0,16.69,0,27.06,0,12.77,14.42,0,0,0,17.22,15.84,88.43,25.13,0,0,0,0,0,1.35,0,134.27,59.75,0,114.15,335.44,0,5.54,0,0.62,0,41.99,0,0,0,0,0,0,0,0,0,0,0,4.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

3,00:30-00:45,28.01,17.06,0,0,0,0,0,122.84,246.46,0,265.29,0,8.56,0,16.69,0,27.06,0,12.77,14.42,0,0,0,17.22,15.84,88.43,25.13,0,0,0,0,0,1.35,0,134.27,59.75,0,114.15,335.44,0,5.54,0,0.62,0,41.99,0,0,0,0,0,0,0,0,0,0,0,4.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

4,00:45-01:00,28.01,17.06,0,0,0,0,0,122.84,246.46,0,265.29,0,8.56,0,16.69,0,27.06,0,12.77,14.42,0,0,0,17.22,15.84,88.43,25.13,0,0,0,0,0,1.35,0,134.27,59.75,0,114.15,335.44,0,5.54,0,0.62,0,41.99,0,0,0,0,0,0,0,0,0,0,0,4.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

5,01:00-01:15,28.01,17.06,0,0,0,0,0,122.84,246.46,0,265.29,0,6.64,0,16.69,0,27.06,0,12.77,14.42,0,0,0,17.22,0,88.43,25.13,0,0,0,0,0,1.35,0,134.27,59.75,0,114.15,335.44,0,5.54,0,0.62,0,41.99,0,0,0,0,0,0,0,0,0,0,0,4.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

