Time,Block,NR/2023/13284/A,NR/2023/13283/A,NR/2023/11521/A,NR/2023/11205/A,NR/2023/14120/F,NR/2023/14117/F,NR/2023/11470/A,NR/2023/14498/D,NR/2023/13983/F,NR/2023/13704/A,NR/2023/14121/F,NR/2023/14114/F,NR/2023/13858/A,NR/2023/11325/A,NR/2023/11204/A,NR/2023/14115/F,NR/2023/11954/A,NR/2023/11264/A,NR/2023/11469/A,NR/2023/11458/A,NR/2023/14119/F,NR/2023/14116/F,NR/2023/11892/A,NR/2023/14516/C,NR/2023/11203/A,NR/2023/11524/A,NR/2023/13283/A/II,NR/2023/14496/D,NR/2023/13859/A,NR/2023/11654/A,NR/2023/14118/F,NR/2023/11697/A,NR/2023/14497/D,NR/2023/11739/A,NR/2023/14113/F,NR/2023/11315/A,NR/2023/13704/A/II,NR/2023/14513/C,NR/2023/14136/F,NR/2023/13573/A,NR/2023/14518/C,NR/2023/14187/F,NR/2023/11328/A,NR/2023/12646/A,NR/2023/14510/C,NR/2023/14521/C,NR/2023/13983/F/II,NR/2023/14499/D,NR/2023/13573/A/II,NR/2023/14493/D,NR/2023/14495/D,NR/2023/14494/D,ER/2023/8825/C,SR/2023/6839/C,Total
,,APPCPL,APPCPL,PTC,KEIPL,SHPPBPL,SHPPBPL,NVVNL,KEIPL,ITCLH,HPXL,SHPPBPL,SHPPBPL,MANIKARAN,APPCPL,KEIPL,SHPPBPL,KEIPL,TPTCL,NVVNL,STATKRAFT,SHPPBPL,SHPPBPL,TPTCL,IEXL,KEIPL,PTC,APPCPL,NVVNL,MANIKARAN,TPTCL,SHPPBPL,APPCPL,NVVNL,NVVNL,SHPPBPL,GMRETL,HPXL,HPXL,SJVNL,NVVNL,TPDDL,GBHHPL,APPCPL,MANIKARAN,PXIL,IEXL,ITCLH,KEIPL,NVVNL,NVVNL,TS1PL_BKN,TS1PL_BKN,HPXL,HPXL,Total

,,HIMACHAL PRADESH,GOA,NA,KERALA,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,UTTAR PRADESH,ANDHRA PRADESH,MAHARASHTRA,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,MEGHALAYA,KERALA,HIMACHAL PRADESH,MEGHALAYA,NA,NA,TAMIL NADU,HIMACHAL PRADESH,HIMACHAL PRADESH,MAHARASHTRA,NA,MEGHALAYA,NA,GOA,NA,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,MP,HIMACHAL PRADESH,MEGHALAYA,MAHARASHTRA,NA,WEST BENGAL,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,UTTARAKHAND,TAMIL NADU,DELHI,KARNATAKA,ANDHRA PRADESH,MAHARASHTRA,NA,NA,NA,NA,DELHI,DELHI,
,,HP,GOA_Beneficiary,JPNIGRIE_JNSTPP,KSEB,SHPPBPL,SHPPBPL,KAMENG,LAPL-UP,ITCWIND,B_S_ISPAT_MH,SHPPBPL,SHPPBPL,HP,Meghalaya_Ben,KSEB,SHPPBPL,Meghalaya_Ben,KWHEP,JPNIGRIE_JNSTPP,TANGEDCO,SHPPBPL,SHPPBPL,TPC MSEB,ADHPL,Meghalaya_Ben,JPL-2,GOA_Beneficiary,KAMENG,HP,JPL-2,SHPPBPL,HP,SORANG_HEP,JP BINA,SHPPBPL,Meghalaya_Ben,B_S_ISPAT_MH,Teesta_III,IPCL_WB,SKS Raigarh,CHANJUII,GBHHPL,UTTARAKHAND,TANGEDCO,BYPL,NSLSUGAR,ITCWIND,LMEL MSEB,SKS Raigarh,SOLAPUR_SOLAR,TS1PL_BKN,TS1PL_BKN,BYPL,BYPL,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,UTTAR PRADESH,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,ODISHA,TAMIL NADU,
,,BRPL,BRPL,TPDDL,BRPL,MHIL,BMDRC,BRPL,BYPL,ITCLH,NDMC,UHL,BAL224,BRPL,BYPL,BYPL,BAL234,BYPL,BRPL,BRPL,BYPL,JHPL-DL,AISHER,BYPL,BRPL,BYPL,TPDDL,BRPL,TPDDL,BRPL,BRPL,MAX-HPTL,BYPL,TPDDL,BRPL,BAL184,BYPL,NDMC,BRPL,NDMC,NDMC,TPDDL,DIAPL,BYPL,BRPL,ASIL_UP,MES (Delhi),ITCLH,BYPL,NDMC,MES (Delhi),BRPL,BYPL,VLSEZ,TANGEDCO,
,,North-North,West-North,West-North,South-East-North,North-North,North-North,North East-East-North,North-North,South-West-North,West-North,North-North,North-North,North-North,North East-East-North,South-East-North,North-North,North East-East-North,North-North,West-North,South-West-North,North-North,North-North,West-North,North-North,North East-East-North,West-North,West-East-North,North East-East-North,North-North,West-North,North-North,North-North,North-North,West-North,North-North,North East-East-North,West-East-North,East-North,East-North,West-North,North-North,North-North,North-North,South-West-North,North-North,South-West-North,South-East-North,West-North,West-East-North,West-North,North-North,North-North,North-East,North-East-South,
1,00:00-00:15,77.710000,22.790000,48.270000,231.800000,0.610000,0.930000,21.240000,0.000000,0.000000,6.380000,0.610000,0.520000,77.230000,24.140000,83.020000,0.950000,36.420000,21.530000,84.940000,98.470000,1.010000,0.870000,66.520000,0.000000,62.990000,193.080000,1.340000,147.460000,141.910000,257.760000,0.870000,33.310000,45.370000,42.470000,0.380000,22.200000,0.380000,0.000000,0.000000,59.280000,19.600000,9.650000,48.270000,23.100000,0.000000,4.830000,0.870000,0.000000,3.480000,0,0,0,0.000000,0.00,2024.56

2,00:15-00:30,77.710000,22.790000,48.270000,231.800000,0.610000,0.930000,21.240000,0.000000,0.000000,6.380000,0.610000,0.520000,77.230000,24.140000,83.020000,0.950000,36.420000,21.530000,84.940000,98.470000,1.010000,0.870000,66.520000,0.000000,62.990000,193.080000,1.340000,147.460000,141.910000,257.760000,0.870000,33.310000,45.370000,42.470000,0.380000,22.200000,0.380000,0.000000,0.000000,59.280000,19.600000,9.650000,48.270000,23.100000,0.000000,4.830000,0.870000,0.000000,3.480000,0,0,0,0.000000,0.00,2024.56
