Column1,Block,NR/2025/29470/C,NR/2025/29464/C,NR/30092023/31122025/SH-07,GNA/NR/2025/06/01/7782,GNA/NR/2025/06/16/8791,GNA/NR/2025/06/20/3628,NR/2025/29507/C,GNA/NR/2025/06/01/5280,NR/2025/29508/C,NR/2025/29510/C,NR/2025/29472/C,NR/2025/29387/C,NR/30092023/26122029/SH-06,GNA/NR/2025/06/01/7663,GNA/NR/2025/06/16/6051,NR/2025/29378/C,NR/2025/29471/C,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/06/01/9257,GNA/NR/2025/06/01/4973,NR/2025/29456/C,GNA/NR/2025/06/01/9719,NR/2025/29523/C,NR/2025/29528/C/Alternate/1,NR/2025/29527/C,NR/2025/29528/C,NR/2025/26562/A/82276,NR/2025/26975/A/82486,NR/2025/26889/A/82298,NR/2025/27281/A/82401,SR/2025/17681/C,NR/2025/29540/C,NR/2025/27157/A/81898,NR/2025/26445/A/82334,NR/2025/27506/A/81775,NR/2025/27726/A/82305,NR/2025/27176/A/82318,NR/2025/29504/C,NR/2025/27168/A/81795,NR/2025/29505/C,NR/2025/27100/A/81900,NR/2025/26566/A/82278,NR/2025/27167/A/81792,NR/2025/29541/C,NR/2025/27725/A/82306,NR/2025/26572/A/82280,NR/2025/26571/A/82279,NR/2025/27499/A/82297,NR/2025/27242/A/82001,NR/2025/26861/A/82292,NR/2025/28719/A/81876,NR/2025/27782/A/82302,NR/2025/27187/A/82312,NR/2025/27728/A/82304,NR/2025/27088/A/82330,NR/2025/27185/A/82316,NR/2025/26565/A/82277,NR/2025/26777/A/81860,NR/2025/26860/A/82213,NR/2025/29502/C,NR/2025/26085/A/81873,NR/2025/27727/A/82303,NR/2025/26952/A/81843,NR/2025/29162/A/81884,NR/2025/29536/C,NR/2025/26785/A/81777,NR/2025/27500/A/81776,GNA/NR/2025/06/01/4444,GNA/NR/2025/06/01/2569,GNA/NR/2025/06/01/2868,GNA/NR/2025/06/01/7762,GNA/NR/2025/06/01/7786,GNARE/NR/2024/12/20/3668,NR/2025/28774/A/81771,NR/2025/27356/A/81936,Total
,,PowerPulse,PXIL,BAWANA_GAS,APPCPL,APPCPL,MANIKARAN,APPCPL,KEIPL,APPCPL,INSTINCT,PowerPulse,IEXL,PUNJAB,SIMHAPURI,APPCPL,MANIKARAN,PowerPulse,DELHI,MANIKARAN,APPCPL,BRPL,NVVNL,NVVNL,NVVNL,NVVNL,NVVNL,PowerPulse,APPCPL,HPXL,MANIKARAN,HPXL,APPCPL,KEIPL,NVVNL,IEXL,APPCPL,APPCPL,APPCPL,PTC,APPCPL,IVPL_Trader,PowerPulse,PTC,APPCPL,APPCPL,PowerPulse,PowerPulse,HPXL,GMRETL,PowerPulse,DIAPL,APPCPL,APPCPL,APPCPL,NVVNL,APPCPL,PowerPulse,INSTINCT,BRPL,APPCPL,ITCLH,APPCPL,PXIL,DIAPL,APPCPL,IEXL,IEXL,PowerPulse,PTC,NDMC,PTC,INSTINCT,SECI_Trader,IEXL,BRPL,
,,NA,NA,DELHI_UT,CSEB_State,GOA_State,MSEB_State,NA,CSEB_State,NA,NA,NA,NA,DELHI_UT,NA,GOA_State,CSEB_State,NA,HIMACHAL_STATE,MP_State,NA,NA,NA,NA,NA,NA,NA,NA,Manipur_State,MSEB_State,CSEB_State,DELHI_UT,KERALA_State,CSEB_State,NA,HIMACHAL_STATE,NA,MSEB_State,NA,GoHP_Rampur_STATE,NA,MSEB_State,NA,GoHP_Chamera1_STATE,MSEB_State,NA,NA,NA,JK_and_LADAKH_UT,HIMACHAL_STATE,NA,HIMACHAL_STATE,NA,KERALA_State,NA,NA,KERALA_State,NA,NA,NA,NA,ANDHRA_PRADESH_STATE,NA,NA,HIMACHAL_STATE,Manipur_State,NA,MSEB_State,NA,TELANGANA_State,NA,ODISHA_STATE,NA,NA,NA,NA,
,,MAHAN_ENERGEN,MBMP,BAWANA_GAS,CSPDCL,GOA_Beneficiary,AEML,TRN_ENERGY,CSPDCL,RKM_POWER,JPL2,APL_Raipur_TPP,MBMP,BAWANA_GAS,SIMHAPURI,GOA_Beneficiary,CSEB_Beneficiary,APL_Raigarh_TPP,CHANJUII,BLAPOWER_MP,DBPL,JPL2,JHABUA_IPP,ILFS,Kameng,SORANG_HEP,Kameng,APL_Raipur_TPP,Manipur_Ben,GRETAENERGY,CSEB_Beneficiary,BYPL,KSEB,CSEB_Beneficiary,JPNIGRIE_JNSTPP,NHCPL_HP,RKM_POWER,AEML,RKM_POWER,GoHP_Rampur,JPL2,TPC_MSEB,MAHAN_ENERGEN,GoHP_Chamera1,AEML,SKS_Raigarh,APL_Raigarh_TPP,APL_Raigarh_TPP,O2Z,GBHHPL,COASTGEN,GBHHPL,TRN_ENERGY,KSEB,RKM_POWER,ILFS,KSEB,MAHAN_ENERGEN,JPL2,JPL2,SKS_Raigarh,ITCWIND,JPL2,MBMP,GBHHPL,Manipur_Ben,MBMP,A_A_Energy_MH_Bio,COASTGEN,NAVABHARAT,JIPL,NBVL_OTCL,SIMHAPURI,APSEPL_FTG,TPSL_BKN2,TS1PL_BKN,
,,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,TAMILNADU_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,TPDDL,BRPL,HARYANA,BRPL,BRPL,BRPL,NDMC,BRPL,NDMC,BRPL,TPDDL,NDMC,PUNJAB,BRPL,BRPL,BYPL,TPDDL,TPDDL,BRPL,BRPL,BRPL,BRPL,BRPL,TPDDL,TPDDL,TPDDL,TPDDL,BYPL,BYPL,BYPL,TANGEDCO,BYPL,BYPL,TPDDL,MES_Delhi,NDMC,BYPL,NDMC,BRPL,NDMC,BYPL,TPDDL,BRPL,BYPL,NDMC,TPDDL,TPDDL,BYPL,BRPL,BRPL,DIAPL,NDMC,BYPL,NDMC,BRPL,BYPL,TPDDL,BRPL,BRPL,NDMC,ITCLH,NDMC,BRPL,DIAPL,BYPL,NDMC,MES_Delhi,BRPL,BRPL,NDMC,BRPL,BRPL,TPDDL,MES_Delhi,BRPL,
,,West-North,West-North,North-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,North-North,South-East-North,West-North,West-North,West-North,North-North,West-North,West-North,West-North,West-North,South-West-North,North East-East-West-North,North-North,North East-East-North,West-North,North East-East-North,West-North,West-North,North-West-South,South-West-North,West-North,West-North,North-North,West-North,West-North,West-North,North-North,West-North,West-North,West-North,North-North,West-North,West-North,West-North,West-North,North-North,North-North,South-West-North,North-North,West-North,South-West-North,West-North,South-West-North,South-West-North,West-North,West-North,West-North,West-North,South-West-North,West-North,West-North,North-North,North East-East-North,West-North,West-North,South-West-North,South-West-North,East-North,East-West-North,South-West-North,North-North,North-North,North-North,
1,00:00-00:15,0,0,26.93,11.92,15.33,20.87,0,11.93,0,0,0,0,32,33.86,19.35,0,0,16.94,16.93,33.86,0,16.93,0,164.7,28.05,0,116.09,27.09,5.8,24.91,0,0,217.57,0,1.93,26.38,106.41,0,16.93,0,25.23,0,16.93,0,8.79,0,116.09,8.71,33.86,135.44,10.64,8.79,19.35,26.38,135.44,19.35,116.09,135.44,74.49,0,0.68,26.38,0,1.93,0,0,7.74,0,44.02,17.41,16.93,33.86,0,0,0,2032.68

2,00:15-00:30,0,0,26.93,11.92,15.33,20.87,0,11.93,0,0,0,0,32,33.86,19.35,0,0,16.94,16.93,33.86,0,16.93,0,164.7,28.05,0,116.09,27.09,5.8,24.91,0,0,217.57,0,1.93,26.38,106.41,0,16.93,0,25.23,0,16.93,0,8.79,0,116.09,8.71,33.86,135.44,10.64,8.79,19.35,26.38,135.44,19.35,116.09,135.44,74.49,0,0.68,26.38,0,1.93,0,0,7.74,0,44.02,17.41,16.93,33.86,0,0,0,2032.68

