Block,Time,KOLDAM,DHAULIGNGA,DADRT2,SINGRAULI_HYDRO,RAPPC,URI,UNCHAHAR4,PARBATI3,AURY_CRF,DADRI_LF,JHAJJAR,RIHAND3,SALAL,NJPC,KISHANGANGA,RAMPUR,KOTESHWR,ANTA_LF,CHAMERA3,DADRI_CRF,RAPPB,TEHRI,CHAMERA1,ANTA_RF,ANTA_GF,AURY_GF,NAPP,RIHAND1,TANAKPUR,UNCHAHAR1,SINGRAULI,UNCHAHAR3,BSIUL,AURY_RF,SEWA2,RIHAND2,TANDA2,ANTA_CRF,DADRI_GF,DULHASTI,DADRI_RF,AURY_LF,CHAMERA2,UNCHAHAR2,FSTPP I & II,KHSTPP-I,URI2,KUDGI,TALA,KHSTPP-II,BRBCL,SASAN,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0.000000,35.409788,664.596964,0.925605,49.488855,44.870314,0.000000,0.000000,0.000000,0.000000,205.152400,119.671225,83.210588,148.642010,0.000000,0.000000,34.349479,0.000000,28.124079,0.000000,0.000000,65.354587,41.282082,0.000000,0.000000,0.000000,37.309480,43.546500,11.404538,0.000000,134.810287,25.537700,6.342112,0.000000,15.293577,114.309562,0.000000,0.000000,0.000000,15.891956,0.000000,0.000000,38.233943,41.020900,9.819252,32.053514,31.372176,9.68,24.751831,141.536673,14.515500,403.863547,0,0,0,0,0

2,00:15-00:30,0.000000,35.409788,601.664378,0.925605,49.488855,44.870314,0.000000,0.000000,0.000000,0.000000,205.152400,119.671225,83.210588,148.642010,0.000000,0.000000,34.349479,0.000000,28.124079,0.000000,0.000000,65.354587,41.282082,0.000000,0.000000,0.000000,37.309480,43.546500,11.404538,0.000000,134.810287,25.537700,6.342112,0.000000,15.293577,114.309562,0.000000,0.000000,0.000000,15.891956,0.000000,0.000000,38.233943,41.020900,9.819252,32.053514,31.372176,9.68,24.751831,141.536673,14.515500,403.893788,0,0,0,0,0

3,00:30-00:45,0.000000,35.409788,582.387794,0.925605,49.488855,44.870314,0.000000,0.000000,0.000000,0.000000,205.152400,119.671225,83.210588,148.642010,0.000000,0.000000,34.349479,0.000000,28.124079,0.000000,0.000000,65.354587,41.282082,0.000000,0.000000,0.000000,37.309480,43.546500,12.644162,0.000000,134.810287,21.954210,6.342112,0.000000,15.293577,114.309562,0.000000,0.000000,0.000000,15.891956,0.000000,0.000000,38.233943,41.020900,9.819252,32.053514,30.591126,9.68,24.751831,141.536673,13.889684,403.893788,0,0,0,0,0

4,00:45-01:00,0.000000,35.409788,582.387794,0.925605,49.488855,44.870314,0.000000,3.079705,0.000000,0.000000,205.152400,119.671225,83.210588,148.642010,0.000000,0.000000,34.349479,0.000000,28.124079,0.000000,0.000000,65.354587,41.282082,0.000000,0.000000,0.000000,37.309480,43.546500,12.644162,0.000000,134.810287,21.954210,6.342112,0.000000,15.293577,114.309562,0.000000,0.000000,0.000000,15.891956,0.000000,0.000000,38.233943,41.020900,9.819252,32.053514,30.591126,9.68,24.751831,141.536673,13.666341,403.893788,0,0,0,0,0

5,01:00-01:15,0.000000,35.409788,582.387794,0.925605,49.488855,44.870314,0.000000,3.079705,0.000000,0.000000,205.152400,119.671225,83.210588,148.642010,0.000000,0.000000,34.349479,0.000000,28.124079,0.000000,0.000000,65.354587,41.282082,0.000000,0.000000,0.000000,37.309480,43.546500,12.644162,0.000000,134.810287,21.954210,0.000000,0.000000,15.293577,114.309562,0.000000,0.000000,0.000000,15.891956,0.000000,0.000000,38.233943,41.020900,7.336037,26.927945,30.591126,9.68,24.751831,141.536673,14.506257,403.893788,0,0,0,0,0

