Column1,Block,GNARE/NR/2024/12/20/3668,NR/2025/27167/A/78396,NR/2025/28246/C,NR/2025/26975/A/78722,NR/2025/27782/A/78716,NR/2025/26569/A/78689,NR/2025/28247/C,NR/2025/26570/A/78690,NR/2025/27359/A/78394,NR/2025/27162/A/78721,NR/2025/27281/A/78811,NR/2025/28242/C,NR/2025/27157/A/78293,NR/2025/28256/C,NR/2025/28262/C,NR/2025/28165/C,NR/2025/28245/C,NR/2025/28243/C,NR/2025/28248/C,NR/2025/28257/C,NR/2025/26777/A/78384,NR/2025/27356/A/78395,NR/2025/28173/C,NR/2025/26860/A/78642,NR/2025/27393/A/78391,NR/2025/27361/A/78392,NR/2025/26564/A/78688,NR/2025/28264/C,NR/2025/26952/A/78302,NR/2025/26563/A/78687,NR/2025/26785/A/78744,NR/2025/28228/C,NR/2025/28230/C,NR/2025/27622/A/78319,NR/2025/28229/C,NR/2025/28219/C,NR/2025/26445/A/78755,NR/2025/28227/C,NR/2025/27727/A/78717,GNA/NR/2025/06/01/4973,GNA/NR/2025/06/01/7782,GNA/NR/2025/06/01/7762,GNA/NR/2025/06/01/5280,NR/30092023/31122025/SH-07,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/06/01/9719,NR/30092023/26122029/SH-06,GNA/NR/2025/06/01/4444,GNA/NR/2025/06/08/2376,NR/2025/27499/A/78733,NR/2025/27360/A/78393,NR/2025/27725/A/78720,GNA/NR/2025/06/01/2868,NR/2025/26561/A/78686,NR/2025/26889/A/78734,GNA/NR/2025/06/01/9257,NR/2025/26861/A/78700,NR/2025/27728/A/78718,NR/2025/27242/A/78475,NR/2025/27726/A/78719,GNA/NR/2025/06/01/2569,NR/2025/27724/A/78371,NR/2025/27168/A/78397,NR/2025/27088/A/78750,GNA/NR/2025/06/01/7786,NR/2025/26085/A/78341,NR/2025/27462/A/78318,GNA/NR/2025/06/01/7663,Total
,,SECI_Trader,PTC,APPCPL,APPCPL,APPCPL,PowerPulse,APPCPL,PowerPulse,BRPL,APPCPL,MANIKARAN,APPCPL,KEIPL,APPCPL,NVVNL,MANIKARAN,APPCPL,APPCPL,INSTINCT,APPCPL,INSTINCT,BRPL,IEXL,BRPL,BRPL,BRPL,PowerPulse,NVVNL,PXIL,PowerPulse,IEXL,PowerPulse,BRPL,IEXL,PowerPulse,PXIL,NVVNL,PowerPulse,APPCPL,APPCPL,APPCPL,PTC,KEIPL,BAWANA_GAS,DELHI,NVVNL,PUNJAB,PowerPulse,HPXL,HPXL,BRPL,APPCPL,NDMC,PowerPulse,HPXL,MANIKARAN,PowerPulse,APPCPL,GMRETL,APPCPL,PTC,DIAPL,PTC,NVVNL,INSTINCT,ITCLH,IEXL,SIMHAPURI,
,,NA,GoHP_Chamera1_STATE,NA,Manipur_State,NA,NA,NA,NA,NA,CSEB_State,CSEB_State,NA,CSEB_State,Manipur_State,NA,CSEB_State,NA,NA,NA,CSEB_State,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CSEB_State,ODISHA_STATE,CSEB_State,DELHI_UT,HIMACHAL_STATE,NA,DELHI_UT,NA,Meghalaya_State,JK_and_LADAKH_UT,NA,NA,NA,NA,MSEB_State,MP_State,NA,NA,HIMACHAL_STATE,NA,TELANGANA_State,HIMACHAL_STATE,GoHP_Rampur_STATE,NA,NA,ANDHRA_PRADESH_STATE,MSEB_State,NA,
,,APSEPL_FTG,GoHP_Chamera1,TRN_ENERGY,Manipur_Ben,TRN_ENERGY,APL_Raigarh_TPP,RKM_POWER,APL_Raigarh_TPP,RIHAND1,CSEB_Beneficiary,CSEB_Beneficiary,SKS_Raigarh,CSEB_Beneficiary,Manipur_Ben,Kameng,CSEB_Beneficiary,JPL2,RKM_POWER,JPL2,CSEB_Beneficiary,JPL2,TS1PL_BKN,MBMP,JPL2,DADRT2,RIHAND3,MAHAN_ENERGEN,ILFS,MBMP,MAHAN_ENERGEN,MBMP,APL_Raigarh_TPP,JPL2,TPSL_BKN2,APL_Raipur_TPP,MBMP,JPNIGRIE_JNSTPP,MAHAN_ENERGEN,JPL2,DBPL,CSPDCL,NBVL_OTCL,CSPDCL,BAWANA_GAS,CHANJUII,JHABUA_IPP,BAWANA_GAS,COASTGEN,Meghalaya_Ben,O2Z,RIHAND2,SKS_Raigarh,JIPL,APL_Raipur_TPP,GRETAENERGY,BLAPOWER_MP,COASTGEN,RKM_POWER,GBHHPL,RKM_POWER,NAVABHARAT,GBHHPL,GoHP_Rampur,ILFS,SIMHAPURI,ITCWIND,JSWEL_MSEB,SIMHAPURI,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,TPDDL,BRPL,NDMC,BYPL,NDMC,TPDDL,NDMC,TPDDL,BRPL,BYPL,BYPL,NDMC,BYPL,BYPL,TPDDL,BYPL,NDMC,NDMC,BRPL,BYPL,BRPL,BRPL,NDMC,BRPL,BRPL,BRPL,TPDDL,BRPL,BRPL,TPDDL,NDMC,TPDDL,BRPL,MES_Delhi,TPDDL,BRPL,TPDDL,TPDDL,NDMC,BRPL,BRPL,BRPL,BRPL,HARYANA,TPDDL,BRPL,PUNJAB,BRPL,BRPL,BYPL,BRPL,NDMC,NDMC,TPDDL,BYPL,BRPL,BRPL,NDMC,BRPL,NDMC,BRPL,DIAPL,BRPL,BRPL,BRPL,ITCLH,MES_Delhi,BRPL,
,,North-North,North-North,West-North,North East-East-North,West-North,West-North,West-North,West-North,North-North,West-North,West-North,West-North,West-North,North East-East-North,North East-East-North,West-North,West-North,West-North,West-North,West-North,West-North,North-North,West-North,West-North,North-North,North-North,West-North,South-West-North,West-North,West-North,West-North,West-North,West-North,North-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,East-West-North,West-North,North-North,North-North,West-North,North-North,South-West-North,North East-East-North,North-North,North-North,West-North,East-North,West-North,West-North,West-North,South-West-North,West-North,North-North,West-North,South-West-North,North-North,North-North,South-West-North,South-West-North,South-West-North,West-North,South-East-North,
1,00:00-00:15,0,20.75,0,27.03,8.04,144.78,0,0,33.78,55.92,24.85,0,217.07,0,162.68,0,0,0,0,0,164.08,0,0,90.25,135.13,38.61,0,0,0,144.78,0,0,0,0,0,0,96.52,0,24.13,41.02,11.89,20.75,11.9,30,13.21,20.75,30,0,158.29,8.69,28.96,8.04,28.96,144.78,5.79,20.75,164.08,24.13,41.02,24.13,53.57,9.65,20.75,164.08,41.02,0.68,9.65,41.02,2565.9600000000005

2,00:15-00:30,0,20.75,0,27.03,8.04,144.78,0,0,33.78,55.92,24.85,0,217.07,0,162.68,0,0,0,0,0,164.08,0,0,90.25,135.13,38.61,0,0,0,144.78,0,0,0,0,0,0,96.52,0,24.13,41.02,11.89,20.75,11.9,30,13.21,20.75,30,0,161.19,8.69,28.96,8.04,28.96,144.78,5.79,20.75,164.08,24.13,41.02,24.13,53.57,9.65,20.75,164.08,41.02,0.68,9.65,41.02,2568.8600000000006

3,00:30-00:45,0,20.75,0,27.03,8.04,144.78,0,0,33.78,55.92,24.85,0,217.07,0,162.68,0,0,0,0,0,164.08,0,0,90.25,135.13,38.61,0,0,0,144.78,0,0,0,0,0,0,96.52,0,24.13,41.02,11.89,20.75,11.9,30,13.21,20.75,30,0,163.12,8.69,28.96,8.04,28.96,144.78,5.79,20.75,164.08,24.13,41.02,24.13,53.57,9.65,20.75,164.08,41.02,0.68,9.65,41.02,2570.790000000001

4,00:45-01:00,0,20.75,0,27.03,8.04,144.78,0,0,33.78,55.92,24.85,0,217.07,0,162.68,0,0,0,0,0,164.08,0,0,90.25,135.13,38.61,0,0,0,144.78,0,0,0,0,0,0,96.52,0,24.13,41.02,11.89,20.75,11.9,30,13.21,20.75,30,0,166.01,8.69,28.96,8.04,28.96,144.78,5.79,20.75,164.08,24.13,41.02,24.13,53.57,9.65,20.75,164.08,41.02,0.68,9.65,41.02,2573.6800000000007

5,01:00-01:15,0,20.75,0,27.03,8.04,144.78,0,0,33.78,55.92,24.85,0,217.07,0,162.68,0,0,0,0,0,164.08,0,0,90.25,135.13,38.61,0,0,0,144.78,0,0,0,0,0,0,96.52,0,24.13,41.02,11.89,0,11.9,30,13.02,20.75,30,0,0,8.69,28.96,8.04,28.96,144.78,5.79,20.75,164.08,24.13,41.02,24.13,53.57,9.65,20.75,164.08,41.02,0.68,9.65,41.02,2386.7300000000005

6,01:15-01:30,0,20.75,0,27.03,8.04,144.78,0,0,33.78,55.92,24.85,0,217.07,0,162.68,0,0,0,0,0,164.08,0,0,90.25,135.13,38.61,0,0,0,144.78,0,0,0,0,0,0,96.52,0,24.13,41.02,11.89,0,11.9,30,13.02,20.75,30,0,0,8.69,28.96,8.04,28.96,144.78,5.79,20.75,164.08,24.13,41.02,24.13,53.57,9.65,20.75,164.08,41.02,0.68,9.65,41.02,2386.7300000000005

7,01:30-01:45,0,20.75,0,27.03,8.04,144.78,0,0,33.78,55.92,24.85,0,217.07,0,162.68,0,0,0,0,0,164.08,0,0,90.25,135.13,38.61,0,0,0,144.78,0,0,0,0,0,0,96.52,0,24.13,41.02,11.89,0,11.9,30,13.02,20.75,30,0,0,8.69,28.96,8.04,28.96,144.78,5.79,20.75,164.08,24.13,41.02,24.13,53.57,9.65,20.75,164.08,41.02,0.68,9.65,41.02,2386.7300000000005

8,01:45-02:00,0,20.75,0,27.03,8.04,144.78,0,0,33.78,55.92,24.85,0,217.07,0,162.68,0,0,0,0,0,164.08,0,0,90.25,135.13,38.61,0,0,0,144.78,0,0,0,0,0,0,96.52,0,24.13,41.02,11.89,0,11.9,30,13.02,20.75,30,0,0,8.69,28.96,8.04,28.96,144.78,5.79,20.75,164.08,24.13,41.02,24.13,53.57,9.65,20.75,164.08,41.02,0.68,9.65,41.02,2386.7300000000005

9,02:00-02:15,0,20.75,0,27.03,8.04,144.78,0,0,33.78,55.92,24.85,0,217.07,0,162.68,0,0,0,0,0,164.08,0,0,90.25,135.13,38.61,0,0,0,144.78,0,0,0,0,0,0,96.52,0,24.13,41.02,11.89,0,11.9,30,12.75,20.75,30,164.08,0,0,28.96,8.04,28.96,144.78,0,20.75,0,24.13,41.02,24.13,53.57,9.65,20.75,164.08,41.02,0.63,9.65,41.02,2371.9300000000007

10,02:15-02:30,0,20.75,0,27.03,8.04,144.78,0,0,33.78,55.92,24.85,0,217.07,0,162.68,0,0,0,0,0,164.08,0,0,90.25,135.13,38.61,0,0,0,144.78,0,0,0,0,0,0,96.52,0,24.13,41.02,11.89,0,11.9,30,12.75,20.75,30,164.08,0,0,28.96,8.04,28.96,144.78,0,20.75,0,24.13,41.02,24.13,53.57,9.65,20.75,164.08,41.02,0.63,9.65,41.02,2371.9300000000007

11,02:30-02:45,0,20.75,0,27.03,8.04,144.78,0,0,33.78,55.92,24.85,0,217.07,0,162.68,0,0,0,0,0,164.08,0,0,90.25,135.13,38.61,0,0,0,144.78,0,0,0,0,0,0,96.52,0,24.13,41.02,11.89,0,11.9,30,12.75,20.75,30,164.08,0,0,28.96,8.04,28.96,144.78,0,20.75,0,24.13,41.02,24.13,53.57,9.65,20.75,164.08,41.02,0.63,9.65,41.02,2371.9300000000007

12,02:45-03:00,0,20.75,0,27.03,8.04,144.78,0,0,33.78,55.92,24.85,0,217.07,0,162.68,0,0,0,0,0,164.08,0,0,90.25,135.13,38.61,0,0,0,144.78,0,0,0,0,0,0,96.52,0,24.13,41.02,11.89,0,11.9,30,12.75,20.75,30,164.08,0,0,28.96,8.04,28.96,144.78,0,20.75,0,24.13,41.02,24.13,53.57,9.65,20.75,164.08,41.02,0.63,9.65,41.02,2371.9300000000007

