Time,Block,NR/2023/17905/A/740,NR/2023/17064/A,NR/2023/16187/A,NR/2023/17901/A/777,NR/2023/17925/C,WR/2023/18560/A,WR/2023/20254/A/784,NR/2023/17926/C,WR/2023/18560/A/II,WR/2023/20256/A/785,NR/2023/17930/C,Total
,,IEXL,GMRETL,APPCPL,ITCLH,TPDDL,MANIKARAN,APPCPL,NVVNL,MANIKARAN,MANIKARAN,SJVNL,Total

,,HIMACHAL PRADESH,DELHI,DELHI,ANDHRA PRADESH,HIMACHAL PRADESH,DELHI,DELHI,NA,DELHI,DELHI,NA,
,,BSHP,BYPL,BYPL,ITCWIND,CHANJUII,BYPL,BRPL,SOLAPUR_SOLAR,BYPL,BRPL,RSRPL_BKN,
,,DELHI,RAJASTHAN,HIMACHAL PRADESH,DELHI,DELHI,MAHARASHTRA,GOA,DELHI,MAHARASHTRA,GOA,DELHI,
,,MES (Delhi),RUVNL,HP,ITCLH,TPDDL,AEML,GOA_Beneficiary,MES (Delhi),AEML,GOA_Beneficiary,NDMC,
,,North-North,North-North,North-North,South-West-North,North-North,North-East-West,North-West,West-North,North-West,North-West,North-North,
1,00:00-00:15,1.930000,0.000000,34.170000,0.480000,4.060000,0.000000,0.000000,0,100.000000,0.000000,0,140.64

2,00:15-00:30,1.930000,0.000000,34.170000,0.480000,4.060000,0.000000,0.000000,0,100.000000,0.000000,0,140.64

3,00:30-00:45,1.930000,0.000000,34.170000,0.480000,4.060000,0.000000,0.000000,0,100.000000,0.000000,0,140.64

4,00:45-01:00,1.930000,0.000000,34.170000,0.480000,4.060000,0.000000,0.000000,0,100.000000,0.000000,0,140.64

5,01:00-01:15,1.930000,0.000000,34.170000,0.480000,4.060000,0.000000,0.000000,0,100.000000,0.000000,0,140.64

6,01:15-01:30,1.930000,0.000000,34.170000,0.480000,4.060000,0.000000,0.000000,0,100.000000,0.000000,0,140.64

7,01:30-01:45,1.930000,0.000000,34.170000,0.480000,4.060000,0.000000,0.000000,0,100.000000,0.000000,0,140.64

8,01:45-02:00,1.930000,0.000000,34.170000,0.480000,4.060000,0.000000,0.000000,0,100.000000,0.000000,0,140.64

9,02:00-02:15,1.930000,0.000000,34.170000,0.440000,4.060000,0.000000,0.000000,0,100.000000,0.000000,0,140.6

10,02:15-02:30,1.930000,0.000000,34.170000,0.440000,4.060000,0.000000,0.000000,0,100.000000,0.000000,0,140.6

11,02:30-02:45,1.930000,0.000000,34.170000,0.440000,4.060000,0.000000,0.000000,0,100.000000,0.000000,0,140.6

12,02:45-03:00,1.930000,0.000000,34.170000,0.440000,4.060000,0.000000,0.000000,0,100.000000,0.000000,0,140.6

13,03:00-03:15,1.930000,0.000000,34.170000,0.440000,4.060000,0.000000,0.000000,0,100.000000,0.000000,0,140.6

14,03:15-03:30,1.930000,0.000000,34.170000,0.440000,4.060000,0.000000,0.000000,0,100.000000,0.000000,0,140.6

15,03:30-03:45,1.930000,0.000000,34.170000,0.440000,4.060000,0.000000,0.000000,0,100.000000,0.000000,0,140.6

16,03:45-04:00,1.930000,0.000000,34.170000,0.440000,4.060000,0.000000,0.000000,0,100.000000,0.000000,0,140.6

17,04:00-04:15,1.930000,0.000000,34.170000,0.440000,4.060000,0.000000,0.000000,0,100.000000,0.000000,0,140.6

18,04:15-04:30,1.930000,0.000000,34.170000,0.440000,4.060000,0.000000,0.000000,0,100.000000,0.000000,0,140.6

19,04:30-04:45,1.930000,0.000000,34.170000,0.440000,4.060000,0.000000,0.000000,0,100.000000,0.000000,0,140.6

20,04:45-05:00,1.930000,0.000000,34.170000,0.440000,4.060000,0.000000,0.000000,0,100.000000,0.000000,0,140.6

21,05:00-05:15,1.930000,0.000000,34.170000,0.440000,4.060000,0.000000,0.000000,0,100.000000,0.000000,0,140.6

22,05:15-05:30,1.930000,0.000000,34.170000,0.440000,4.060000,0.000000,0.000000,0,100.000000,0.000000,0,140.6

23,05:30-05:45,1.930000,0.000000,34.170000,0.440000,4.060000,0.000000,0.000000,0,100.000000,0.000000,0,140.6

24,05:45-06:00,1.930000,0.000000,34.170000,0.440000,4.060000,0.000000,0.000000,0,100.000000,0.000000,0,140.6

25,06:00-06:15,1.930000,100.000000,0.000000,0.440000,3.970000,100.000000,0.000000,0,0.000000,0.000000,0,206.34

26,06:15-06:30,1.930000,100.000000,0.000000,0.440000,3.970000,100.000000,0.000000,0,0.000000,0.000000,0,206.34

27,06:30-06:45,1.930000,100.000000,0.000000,0.440000,3.970000,100.000000,0.000000,0,0.000000,0.000000,0,206.34

28,06:45-07:00,1.930000,100.000000,0.000000,0.440000,3.970000,100.000000,0.000000,0.25,0.000000,0.000000,0,206.59

29,07:00-07:15,1.930000,100.000000,0.000000,0.580000,3.970000,100.000000,0.000000,0.51,0.000000,0.000000,0,206.99

30,07:15-07:30,1.930000,100.000000,0.000000,0.580000,3.970000,100.000000,0.000000,0.83,0.000000,0.000000,0,207.31

31,07:30-07:45,1.930000,100.000000,0.000000,0.580000,3.970000,100.000000,0.000000,1.21,0.000000,0.000000,0,207.69

32,07:45:08:00,1.930000,100.000000,0.000000,0.580000,3.970000,100.000000,0.000000,1.62,0.000000,0.000000,0,208.1

33,08:00-08:15,1.930000,50.000000,0.000000,0.970000,3.970000,100.000000,0.000000,2.09,0.000000,0.000000,0,158.96

34,08:15-08:30,1.930000,50.000000,0.000000,0.970000,3.970000,100.000000,0.000000,2.55,0.000000,0.000000,0,159.42

35,08:30-08:45,1.930000,50.000000,0.000000,0.970000,3.970000,100.000000,0.000000,3.02,0.000000,0.000000,0,159.89

36,08:45:09:00,1.930000,50.000000,0.000000,0.970000,3.970000,100.000000,0.000000,3.47,0.000000,0.000000,0,160.34

37,09:00:09:15,1.930000,50.000000,0.000000,0.970000,3.970000,100.000000,0.000000,3.93,0.000000,0.000000,24.17,184.97

38,09:15-09:30,1.930000,50.000000,0.000000,0.970000,3.970000,100.000000,0.000000,4.16,0.000000,0.000000,24.17,185.2

39,09:30-09:45,1.930000,50.000000,0.000000,0.970000,3.970000,100.000000,0.000000,4.45,0.000000,0.000000,24.17,185.49

40,09:45-10:00,1.930000,50.000000,0.000000,0.970000,3.970000,100.000000,0.000000,4.64,0.000000,0.000000,24.17,185.68

41,10:00-10:15,1.930000,50.000000,0.000000,0.970000,3.970000,100.000000,0.000000,4.83,0.000000,0.000000,24.17,185.87

42,10:15-10:30,1.930000,50.000000,0.000000,0.970000,3.970000,100.000000,0.000000,5.03,0.000000,0.000000,24.17,186.07

43,10:30-10:45,1.930000,50.000000,0.000000,0.970000,3.970000,100.000000,0.000000,5.32,0.000000,0.000000,24.17,186.36

44,10:45-11:00,1.930000,50.000000,0.000000,0.970000,3.970000,100.000000,0.000000,5.51,0.000000,0.000000,24.17,186.55

45,11:00-11:15,1.930000,100.000000,0.000000,0.970000,3.970000,100.000000,0.000000,5.7,0.000000,0.000000,24.17,236.74

46,11:15-11:30,1.930000,100.000000,0.000000,0.970000,3.970000,100.000000,0.000000,5.99,0.000000,0.000000,24.17,237.03

