Block,Time Block,DHAULIGNGA,CHAMERA3,DADRT2,CHAMERA2,NJPC,NLCEXP,NLCIIST1,NLCIIST2,NAPP,BSIUL,BRBCL,CHAMERA1,KOTESHWR,KHSTPP-II,KKNP,KKNPPU2,KOLDAM,KISHANGANGA,KUDGI,KHSTPP-I,MAPS,DULHASTI,FSTPP I & II,JHAJJAR,KGSU3AND4,KGSU1AND2,NLCTS2EXP,NNTPP,DADRI_RF,ANTA_GF,AURY_CRF,AURY_RF,DADRI_LF,ANTA_CRF,ANTA_RF,AURY_LF,DADRI_GF,ANTA_LF,AURY_GF,DADRI_CRF,UNCHAHAR2,URI,UNCHAHAR1,UNCHAHAR3,VALLURNTECL,UNCHAHAR4,URI2,TANAKPUR,SIMHST1,SINGRAULI_HYDRO,SIMHST2,TALA,SINGRAULI,TANDA2,TALST2,TEHRI,TelanganaSTPP,SEWA2,SALAL,RIHAND3,RAMPUR,RIHAND2,NTPL,SASAN,RIHAND1,PARBATI3,RSTPSU1TO6,RAPPC,RAPPB,RSTPSU7,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,0,456.47,0,0,0,0,0,40.73,0,18.46,0,8.52,82.39,0,0,0,0,0,37.52,0,15.83,15.03,235.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.25,1.59,14.88,18.77,0,0,18.09,3.7,0,0,0,0,119.56,0,0,0,0,0,2.24,119.43,0,114.09,0,395.45,88.38,0,0,50.59,0,0,0,0,0,0,0

2,00:15-00:30,0,0,426.69,0,0,0,0,0,40.73,0,19.07,0,8.52,82.39,0,0,0,0,0,37.52,0,15.83,15.03,235.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.26,1.59,14.88,18.77,0,0,18.09,3.7,0,0,0,0,119.56,0,0,0,0,0,2.24,119.43,0,114.09,0,395.57,88.38,0,0,50.59,0,0,0,0,0,0,0

3,00:30-00:45,0,0,425.72,0,0,0,0,0,40.73,0,19.2,0,8.52,82.39,0,0,0,0,0,37.52,0,15.83,15.03,235.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.26,1.59,14.88,18.77,0,0,18.09,9.85,0,0,0,0,122.44,0,0,0,0,0,2.24,119.43,0,114.09,0,395.57,88.38,0,0,50.59,0,0,0,0,0,0,0

4,00:45-01:00,0,0,413.24,0,0,0,0,0,40.73,0,15.61,0,8.52,82.39,0,0,0,0,0,37.52,0,15.83,15.03,235.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.26,1.59,14.88,18.77,0,0,18.09,9.85,0,0,0,0,122.44,0,0,0,0,0,2.24,119.43,0,114.09,0,395.57,88.38,0,0,50.59,0,0,0,0,0,0,0

5,01:00-01:15,0,0,394.98,0,0,0,0,0,40.73,0,15.83,0,8.52,82.39,0,0,0,0,0,37.52,0,15.83,15.03,235.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.26,1.59,14.88,18.77,0,0,18.09,3.7,0,0,0,0,122.44,0,0,0,0,0,2.24,119.43,0,114.09,0,395.57,88.38,0,0,50.59,0,0,0,0,0,0,0

