Column1,Time,NR/01102023/25072045/L_NR_2021_15,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/01102023/08032047/L_NR_2021_14,WR/01102023/30052048/L_NR_2022_10,NR/01102023/02122045/L_NR_2021_13,WR/01102023/01102023/L_NR_2022_09,WR/01102023/24112044/L_NR_2020_07,WR/01102023/16072048/L_NR_2022_08,WR/01102023/31032046/L_NR_2020_05,WR/01102023/01102023/L_NR_2020_06,NR/26072023/31072042/L_NR_2023_07,NR/26072023/25122043/L_NR_2023_10,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/01102023/13082046/L_NR_2021_12,NR/22102023/11042047/L_NR_2021_16,NR/22102023/11042047/L_NR_2021_17,GNARE/NR/2024/12/20/3668,WR/01102023/29112042/L_NR_2019_05,GNARE/SR/2025/01/13/4532,GNA/NR/2025/07/01/1192,NR/30092023/31122025/SH-07,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/30042040/GNA_LT_36,GNA/NR/2025/07/01/8128,GNA/NR/2025/07/01/1044,GNA/NR/2025/06/07/5932,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/31052040/LT-31,GNA/NR/2025/07/01/2952,NR/01102023/31102037/L_NR_2019_11,GNA/NR/2025/07/01/2786,GNA/NR/2025/07/01/2236,NR/01102023/30042040/GNA_LT_35,GNA/NR/2025/07/01/8230,GNA/NR/2025/07/01/8139,NR/01102023/06022042/L_NR_2012_02,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/05012040/L_NR_2020_02,GNA/NR/2025/07/01/3109,NR/01102023/22052037/LT-59,GNA/NR/2025/07/01/2997,NR/01102023/19072037/LT-05,GNA/NR/2025/07/01/8154,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/06022042/L_NR_2012_07,NR/30092023/26122029/SH-06,L_NR_2019_19
1,00:00-00:15,0,0,0,0,0,0,12,8.33,36,12,0,0,0,0,0,0,0,0,43.02,49.05,16.43,100.2,0,12.65,3.24,-0,270.51,0,8.51,10.73,43.71,81.75,0,224.82,134.89,130.13,28.26,6.99,19.24,10.48,15.24,115.38,20.75,15,86.75,16.43,0

2,00:15-00:30,0,0,0,0,0,0,12.67,8.67,37.99,12.67,0,0,0,0,0,0,0,0,43.02,49.05,16.43,100.2,0,12.65,3.24,-0,270.51,0,8.51,10.73,43.71,81.75,0,224.82,134.89,130.13,28.26,6.99,19.24,10.48,15.24,115.38,20.75,15,86.75,16.43,0

3,00:30-00:45,0,0,0,0,0,0,13.17,10,39.49,13.17,0,0,0,0,0,0,0,0,43.02,49.05,16.43,100.2,0,12.65,3.24,-0,270.51,0,8.51,10.35,43.71,81.75,0,224.82,134.89,130.13,28.77,6.99,19.24,10.48,15.24,115.38,20.75,15,86.75,16.43,0

4,00:45-01:00,0,0,0,0,0,0,14,10.33,42,14,0,0,0,0,0,0,0,0,43.02,49.05,16.43,100.2,0,12.65,3.24,-0,270.51,0,8.51,10.35,43.71,81.75,0,224.82,134.89,130.13,28.77,6.99,19.24,10.48,15.24,115.38,20.75,15,86.75,16.43,0

5,01:00-01:15,0,0,0,0,0,0,15,10.67,45,15,0,0,0,0,0,0,0,0,43.02,49.05,20.56,100.2,0,12.65,3.24,-0,270.51,0,8.51,10.13,43.71,81.75,0,224.82,134.89,130.13,28.77,6.53,19.24,10.48,15.24,82.59,20.75,15,86.75,20.56,0

