Block,Time Block,TALST2,SIMHST1,SINGRAULI_HYDRO,TANAKPUR,TelanganaSTPP,SIMHST2,TALA,SEWA2,SINGRAULI,TEHRI,UNCHAHAR2,TANDA2,UNCHAHAR1,URI2,ANTA_LF,UNCHAHAR3,AURY_GF,DADRI_CRF,ANTA_GF,AURY_CRF,URI,AURY_RF,DADRI_LF,ANTA_CRF,VALLURNTECL,ANTA_RF,UNCHAHAR4,AURY_LF,DADRI_GF,DADRI_RF,KOTESHWR,NLCEXP,KKNPPU2,KUDGI,NLCIIST1,KOLDAM,NJPC,MAPS,NLCIIST2,NAPP,PARBATI2,RAPPB,RSTPSU1TO6,RAPPD,RSTPSU7,RAMPUR,SALAL,RIHAND3,RAPPC,NLCTS2EXP,NNTPP,RIHAND2,NTPL,PARBATI3,SASAN,RIHAND1,CHAMERA3,BSIUL,CHAMERA2,BRBCL,CHAMERA1,DADRT2,KISHANGANGA,JHAJJAR,KHSTPP-I,KGSU1AND2,DHAULIGNGA,FSTPP I & II,KGSU3AND4,KHSTPP-II,KKNP,DULHASTI,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,0,0.95,6.05,0,0,0,0,145.11,31.37,42.02,3.89,21.18,36.78,0,26.72,0,0,0,0,50.54,0,0,0,0,0,0.8,0,0,0,10.07,0,0,0,0,9.26,133.53,0,0,25,29.02,0,0,21.26,0,5.23,76.63,126.25,66.83,0,0,120.26,0,32.59,333.36,93.86,33.79,12.59,47.12,19.31,27.15,367.28,8.33,385,43.95,0,10.57,20.08,0,143.15,0,57.44,0,0,0,0,0

2,00:15-00:30,0,0,0.95,6.05,0,0,0,0,145.12,31.37,42.02,3.89,21.18,36.78,0,26.72,0,0,0,0,50.54,0,0,0,0,0,0.8,0,0,0,10.07,0,0,0,0,9.26,133.53,0,0,25,29.02,0,0,21.26,0,5.23,76.63,126.25,66.83,0,0,120.26,0,32.59,333.4,93.86,33.79,12.59,47.12,19.31,27.15,196.9,8.33,336.74,43.95,0,10.57,20.08,0,143.15,0,57.44,0,0,0,0,0

3,00:30-00:45,0,0,0.95,6.05,0,0,0,0,145.12,31.37,42.02,3.89,21.18,36.78,0,26.72,0,0,0,0,50.54,0,0,0,0,0,0.8,0,0,0,10.07,0,0,0,0,9.26,133.53,0,0,25,29.02,0,0,21.26,0,5.23,76.63,126.25,66.83,0,0,120.26,0,32.59,333.4,93.86,33.79,12.59,47.12,17.76,27.15,90.66,8.33,337.55,43.95,0,10.57,20.08,0,143.15,0,57.44,0,0,0,0,0

4,00:45-01:00,0,0,0.95,6.05,0,0,0,0,145.12,31.37,42.02,3.89,21.18,36.78,0,26.72,0,0,0,0,50.54,0,0,0,0,0,0.8,0,0,0,10.07,0,0,0,0,9.26,133.53,0,0,25,29.02,0,0,21.26,0,5.23,76.63,126.25,66.83,0,0,120.26,0,32.59,333.4,93.86,33.79,12.59,47.12,14.26,27.15,153.28,8.33,393.96,43.95,0,10.57,20.08,0,143.15,0,57.44,0,0,0,0,0

5,01:00-01:15,0,0,0.95,6.05,0,0,0,0,145.12,31.37,42.02,3.89,21.18,36.78,0,26.72,0,0,0,0,50.54,0,0,0,0,0,0.8,0,0,0,10.07,0,0,0,0,6.94,133.53,0,0,25,29.02,0,0,21.26,0,5.23,76.63,126.25,66.83,0,0,120.26,0,35.55,333.4,93.86,33.79,12.59,47.12,12.21,27.15,258.29,8.33,289.33,43.95,0,10.57,20.08,0,143.15,0,57.44,0,0,0,0,0

