Block,Time,KHSTPP-I,BRBCL,KHSTPP-II,FSTPP I & II,TALA,SASAN,SALAL,SEWA2,NAPP,URI2,DADRI_GF,SINGRAULI_HYDRO,JHAJJAR,RAMPUR,DADRI_LF,ANTA_LF,DHAULIGNGA,AURY_LF,KOLDAM,CHAMERA1,UNCHAHAR4,DADRI_CRF,ANTA_RF,DADRT2,AURY_CRF,UNCHAHAR1,KISHANGANGA,RAPPB,ANTA_CRF,RIHAND2,UNCHAHAR2,AURY_GF,UNCHAHAR3,CHAMERA2,TEHRI,CHAMERA3,TANAKPUR,RAPPC,ANTA_GF,KOTESHWR,RIHAND3,BSIUL,TANDA2,AURY_RF,DADRI_RF,PARBATI3,SINGRAULI,DULHASTI,NJPC,RIHAND1,URI,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
13,03:00-03:15,15.358400,15.084712,46.075200,4.799500,0.000000,401.977323,2.230808,0.000000,20.503464,4.519401,0.000000,0.734515,341.724400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,347.483800,0.000000,8.639100,0.000000,0.000000,0.000000,56.691694,18.238100,0.000000,12.478700,0.000000,0.000000,0.000000,0.000000,52.257052,0.000000,8.518153,118.706633,0.000000,0.000000,0.000000,0.000000,0.000000,132.466200,0.000000,0.000000,88.310800,2.119459,0,0,0,0,0

14,03:15-03:30,15.358400,12.470048,46.075200,4.799500,0.000000,401.977323,2.230808,0.000000,20.503464,4.519401,0.000000,0.734515,341.724400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,347.483800,0.000000,8.639100,0.000000,0.000000,0.000000,56.691694,18.238100,0.000000,12.478700,0.000000,0.000000,0.000000,0.000000,52.257052,0.000000,8.518153,118.706633,0.000000,0.000000,0.000000,0.000000,0.000000,132.466200,0.000000,0.000000,88.310800,2.119459,0,0,0,0,0

15,03:30-03:45,15.358400,12.440904,46.075200,4.799500,0.000000,401.977323,2.230808,0.000000,20.503464,4.519401,0.000000,0.734515,341.724400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,347.483800,0.000000,8.639100,0.000000,0.000000,0.000000,56.691694,18.238100,0.000000,12.478700,0.000000,0.000000,0.000000,0.000000,52.257052,0.000000,8.518153,118.706633,0.000000,0.000000,0.000000,0.000000,0.000000,132.466200,0.000000,0.000000,88.310800,2.119459,0,0,0,0,0

16,03:45-04:00,15.358400,12.346410,46.075200,4.799500,0.000000,401.977323,12.269442,0.000000,20.503464,4.519401,0.000000,0.734515,341.724400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,347.483800,0.000000,8.639100,0.000000,0.000000,0.000000,56.691694,18.238100,0.000000,12.478700,0.000000,0.000000,0.000000,0.000000,52.257052,0.000000,8.518153,118.706633,0.000000,0.000000,0.000000,0.000000,0.000000,132.466200,0.000000,0.000000,88.310800,2.119459,0,0,0,0,0

17,04:00-04:15,15.358400,14.296794,46.075200,4.799500,0.000000,401.977323,12.269442,0.000000,20.503464,4.519401,0.000000,0.734515,341.724400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,347.483800,0.000000,8.639100,0.000000,0.000000,0.000000,56.691694,18.238100,0.000000,12.478700,0.000000,0.000000,0.000000,0.000000,52.257052,0.000000,8.518153,118.706633,0.000000,0.000000,0.000000,0.000000,0.000000,132.466200,0.000000,0.000000,88.310800,2.119459,0,0,0,0,0

