Block,Time,BSIUL,CHAMERA2,MAPS,NLCIIST1,RAPPC,RIHAND2,SASAN,AURY_RF,CHAMERA1,CHAMERA3,DADRT2,KHSTPP-II,KKNP,NAPP,NTPL,RAPPB,SINGRAULI,TANAKPUR,VALLURNTECL,DADRI_RF,DHAULIGNGA,FSTPP I & II,RIHAND1,SALAL,SEWA2,SIMHST1,TANDA2,UNCHAHAR2,ANTA_GF,AURY_GF,KGSU3AND4,KHSTPP-I,KOLDAM,NJPC,NLCEXP,PARBATI3,TALST2,TEHRI,TelanganaSTPP,URI2,ANTA_RF,DADRI_LF,BRBCL,JHAJJAR,KGSU1AND2,URI,KISHANGANGA,KOTESHWR,RIHAND3,RSTPSU1TO6,RSTPSU7,SIMHST2,UNCHAHAR4,ANTA_LF,NLCTS2EXP,TALA,AURY_LF,DADRI_GF,DULHASTI,KKNPPU2,KUDGI,NLCIIST2,NNTPP,RAMPUR,SINGRAULI_HYDRO,UNCHAHAR1,UNCHAHAR3,ANTA_CRF,AURY_CRF,DADRI_CRF
1,00:00-00:15,0,0,0,0,53.93,118.76,418.77,0,0,0,683.14,148.3,0,43.89,0,0,139.69,0,0,0,0,20.8,92,1.4,0,0,0,42.39,0,0,0,33.69,0,0,0,0,0,0,0,4.31,0,0,20,434.65,0,1.11,0,8.87,60.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38,10.28,26.4,44.1,70.59,92.62

2,00:15-00:30,0,0,0,0,53.93,118.76,418.77,0,0,0,683.14,148.3,0,43.89,0,0,139.69,0,0,0,0,20.8,92,1.4,0,0,0,42.39,0,0,0,33.69,0,0,0,0,0,0,0,4.31,0,0,20,434.65,0,1.11,0,8.87,60.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38,10.28,26.4,44.1,70.59,92.62

3,00:30-00:45,0,0,0,0,53.93,118.76,418.77,0,0,0,683.14,148.3,0,43.89,0,0,139.69,0,0,0,0,20.8,92,1.4,0,0,0,42.39,0,0,0,33.69,0,0,0,0,0,0,0,4.31,0,0,20,434.65,0,1.11,0,8.87,60.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38,10.28,26.4,44.1,70.59,92.62

4,00:45-01:00,0,0,0,0,53.93,118.76,418.77,0,0,0,683.14,148.3,0,43.89,0,0,139.69,0,0,0,0,20.8,92,1.4,0,0,0,42.39,0,0,0,33.69,0,0,0,0,0,0,0,4.31,0,0,20,434.65,0,1.11,0,8.87,60.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38,10.28,26.4,44.1,70.59,92.62

5,01:00-01:15,0,0,0,0,53.93,118.76,418.77,0,0,0,683.14,148.3,0,43.89,0,0,139.69,5.76,0,0,0,20.8,92,1.4,0,0,0,42.39,0,0,0,33.69,0,0,0,0,0,0,0,4.31,0,0,20,434.65,0,1.11,0,8.87,60.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38,10.28,26.4,44.1,70.59,92.62

