Block,Time,L_NR_2012_02,LT-31,LT-36,SH-07,L_NR_2012_04,SH-06,LT-35,LT-59,LT-05,L_NR_2020_02,L_NR_2012_01,L_NR_2023_04,LT_MEJA_Delhi,L_NR_2019_11,L_NR_2012_07,L_NR_2018_61,L_NR_2022_09,L_NR_2020_06,L_NR_2021_16,L_NR_2019_06,L_NR_2021_15,L_NR_2021_13,L_NR_2022_10,L_NR_2022_08,L_NR_2019_07,L_NR_2020_05,L_NR_2020_07,L_NR_2021_17,L_NR_2019_19,L_NR_2021_14,L_NR_2019_05,L_NR_2021_12
1,00:00-00:15,261.860000,0.000000,0.000000,29.510000,210.960000,0.000000,0.000000,7.320000,116.160000,10.010000,101.370000,0.000000,3.910000,7.690000,87.290000,39.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

2,00:15-00:30,261.860000,0.000000,0.000000,29.510000,210.960000,0.000000,0.000000,7.320000,116.160000,10.010000,101.370000,0.000000,3.910000,7.690000,87.290000,38.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

3,00:30-00:45,261.860000,0.000000,0.000000,29.510000,210.960000,0.000000,0.000000,7.320000,116.160000,10.010000,101.370000,0.000000,3.910000,7.690000,87.290000,36.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

4,00:45-01:00,261.860000,0.000000,0.000000,29.510000,210.960000,0.000000,0.000000,7.320000,116.160000,10.010000,101.370000,0.000000,3.910000,7.690000,87.290000,36.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

5,01:00-01:15,261.860000,0.000000,0.000000,29.510000,224.510000,0.000000,0.000000,7.320000,116.160000,9.860000,101.370000,0.000000,3.910000,7.690000,87.290000,36.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

6,01:15-01:30,261.860000,0.000000,0.000000,29.510000,224.510000,0.000000,0.000000,7.320000,116.160000,9.860000,101.370000,0.000000,3.910000,7.690000,87.290000,35.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

7,01:30-01:45,261.860000,0.000000,0.000000,29.510000,239.990000,0.000000,0.000000,7.160000,116.160000,9.860000,101.370000,0.000000,3.910000,7.690000,87.290000,35.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

8,01:45-02:00,261.860000,0.000000,0.000000,29.510000,239.990000,0.000000,0.000000,7.160000,116.160000,9.860000,101.370000,0.000000,3.910000,7.690000,87.290000,35.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

