Column1,Block,NR/2024/23214/A/38834,NR/2024/22820/A/38756,NR/2024/23331/C,NR/2024/22848/A/39076,NR/2024/23213/A/38832,NR/2024/23312/C,NR/2024/23346/C,GNA/NR/2024/09/01/6020,GNA/NR/2024/09/01/6566,NR/30092023/31122025/SH-07,GNA/NR/2024/09/01/2171,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/09/01/7908,GNA/NR/2024/09/16/2535,GNA/NR/2024/09/26/2729,GNA/NR/2024/09/26/3248,GNA/NR/2024/09/01/9821,NR/2024/23122/A/39091,NR/2024/22754/A/39054,GNA/NR/2024/09/01/7119,NR/2024/23340/C,GNA/NR/2024/09/01/8090,NR/2024/23332/C,NR/2024/23342/C,NR/2024/22835/A/39117,NR/2024/23038/A/38752,NR/2024/23217/A/38841,GNA/NR/2024/09/26/2129,NR/2024/22803/A/39097,NR/2024/21658/A/38801,NR/2024/23119/A/39092,NR/2024/22874/A/39096,NR/2024/23121/A/39093,NR/2024/23118/A/39090,NR/30092023/26122029/SH-06,Total
,,SJVNL,IEXL,NVVNL,APPCPL,SJVNL,TPDDL,IEXL,INSTINCT,TPTCL,BAWANA_GAS,MANIKARAN,DELHI,MANIKARAN,PTC,IEXL,PXIL,APPCPL,NVVNL,PTC,JITPL,HPXL,DELHI,NVVNL,DIAPL,MANIKARAN,IEXL,DIAPL,IEXL,NVVNL,ITCLH,NVVNL,NVVNL,NVVNL,NVVNL,PUNJAB,
,,NA,KARNATAKA_STATE,NA,UTTARAKHAND_STATE,NA,NA,NA,NA,NA,DELHI_UT,ODISHA_STATE,HIMACHAL_STATE,MP_State,HIMACHAL_STATE,TAMILNADU_State,KARNATAKA_STATE,Arunachal_State,NA,HIMACHAL_STATE,NA,NA,NA,NA,HIMACHAL_STATE,MSEB_State,MSEB_State,HIMACHAL_STATE,TAMILNADU_State,NA,ANDHRA_PRADESH_STATE,NA,MP_State,NA,NA,DELHI_UT,
,,RSRPL_BKN,NSLSUGAR,SOLAPUR_SOLAR,UTTARAKHAND,TPSL_BKN2,JHAJJAR,HIRIYUR_OSTROKANNADA,JPL2,JITPL,BAWANA_GAS,MAADURGA_THERMAL,CHANJUII,BLAPOWER_MP,HP,OPGPGUNIT1TN,JSWEL,Arunachal_Ben,JPL2,HP,JITPL,SIMHAPURI,SKS_Raigarh,Kameng,GBHHPL,AEML,A_A_Energy_MH_Bio,GBHHPL,OPGPGPLU2TN,JPNIGRIE_JNSTPP,ITCWIND,RKM_POWER,JP_BINA,RKM_POWER,TRN_ENERGY,BAWANA_GAS,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,
,,NDMC,MES_Delhi,MES_Delhi,BYPL,NDMC,TPDDL,BRPL,BRPL,BRPL,HARYANA,BRPL,TPDDL,BRPL,BRPL,BRPL,BRPL,BRPL,NDMC,BYPL,NDMC,BRPL,NDMC,TPDDL,DIAPL,BYPL,MES_Delhi,DIAPL,BRPL,TPDDL,ITCLH,NDMC,TPDDL,NDMC,NDMC,PUNJAB,
,,North-North,South-West-North,West-North,North-North,North-North,North-North,South-West-North,West-North,East-North,North-North,East-North,North-North,West-North,North-North,South-East-North,South-East-North,North East-East-North,West-North,North-North,East-North,South-West-North,West-North,North East-East-North,North-North,West-North,West-North,North-North,South-East-North,West-North,South-West-North,West-North,West-North,West-North,West-North,North-North,
1,00:00-00:15,0,4.84,0,84.36,0,241.92,0,96.77,24.19,1.35,2.42,9.61,21.77,163.3,0,193.54,32.9,26.39,54.43,17.5,0,0,163.11,0.97,90.96,3.87,6.77,0,96.77,0.87,26.39,48.38,26.39,8.8,32,1480.57

2,00:15-00:30,0,4.84,0,84.36,0,241.92,0,96.77,24.19,1.35,2.42,9.61,21.77,163.3,0,193.54,32.9,26.39,54.43,17.5,0,0,163.11,0.97,90.96,3.87,6.77,0,96.77,0.87,26.39,48.38,26.39,8.8,32,1480.57

