Block,Time,UNCHAHAR3,DADRI_CRF,TANDA2,NJPC,URI,URI2,DADRI_GF,JHAJJAR,ANTA_RF,DADRI_RF,SALAL,AURY_RF,UNCHAHAR1,RIHAND3,SEWA2,SINGRAULI,RAPPB,ANTA_CRF,TEHRI,CHAMERA2,UNCHAHAR2,RAPPC,CHAMERA3,CHAMERA1,RIHAND1,DHAULIGNGA,KISHANGANGA,ANTA_LF,DADRT2,RIHAND2,DULHASTI,RAMPUR,SINGRAULI_HYDRO,AURY_GF,AURY_LF,PARBATI3,AURY_CRF,NAPP,KOLDAM,DADRI_LF,KOTESHWR,TANAKPUR,ANTA_GF,UNCHAHAR4,BSIUL,KUDGI,TALA,KHSTPP-I,BRBCL,SASAN,KHSTPP-II,FSTPP I & II,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,25.868161,0.000000,1.348441,154.929110,45.962390,33.479576,0.000000,636.969001,9.978366,19.364000,79.315912,16.128953,20.094992,121.310901,16.061339,137.484400,0.000000,0.000000,33.396007,40.533274,41.640948,53.835345,29.601353,40.807771,90.321381,37.069087,2.114992,0.000000,666.362695,115.787038,50.334016,1.698786,1.053942,0.000000,0.000000,15.559312,0.063804,40.121123,2.351873,0.000000,16.948064,11.782510,0.000000,0.784242,12.690778,51.31,25.618572,40.257272,13.347265,405.453114,142.824507,20.070786,0,0,0,0,0

2,00:15-00:30,25.868161,0.000000,1.348441,154.929110,45.962390,33.479576,0.000000,636.969001,9.978366,19.364000,79.315912,16.128953,20.094992,121.310901,16.061339,137.484400,0.000000,0.000000,33.396007,40.533274,41.681010,53.835345,29.601353,40.807771,90.352424,37.069087,2.114992,0.000000,666.362695,115.787038,50.334016,1.698786,1.053942,0.000000,0.000000,15.559312,0.063804,40.121123,2.351873,0.000000,16.948064,11.782510,0.000000,0.784242,12.690778,51.31,25.618572,40.257272,13.680043,405.453114,142.824507,20.070786,0,0,0,0,0

3,00:30-00:45,25.868161,0.000000,1.348441,154.929110,45.962390,33.479576,0.000000,636.969001,9.978366,19.364000,79.315912,16.128953,20.094992,121.310901,16.061339,137.484400,0.000000,0.000000,33.396007,40.533274,41.681010,53.835345,29.601353,40.807771,90.352424,37.069087,2.114992,0.000000,666.362695,115.787038,50.334016,1.698786,1.053942,0.000000,0.000000,15.559312,0.063804,40.121123,2.351873,0.000000,16.948064,11.782510,0.000000,0.784242,12.690778,51.31,25.618572,40.257272,12.638820,405.453114,142.824507,20.070786,0,0,0,0,0

4,00:45-01:00,25.868161,0.000000,1.348441,154.929110,45.962390,33.479576,0.000000,636.969001,9.978366,19.364000,79.315912,16.128953,20.094992,121.310901,16.061339,137.484400,0.000000,0.000000,33.396007,40.533274,41.681010,53.835345,29.601353,40.807771,90.352424,37.069087,2.114992,0.000000,666.362695,115.787038,50.334016,1.698786,1.053942,0.000000,0.000000,15.559312,0.063804,40.121123,2.351873,0.000000,16.948064,11.782510,0.000000,0.784242,12.690778,51.31,25.618572,40.257272,13.542265,405.453114,142.824507,20.070786,0,0,0,0,0

5,01:00-01:15,25.868161,0.000000,1.348441,154.929110,45.962390,33.479576,0.000000,636.969001,10.291191,19.364000,79.315912,19.195727,20.094992,121.310901,16.061339,137.484400,0.000000,0.000000,33.396007,40.533274,41.681010,53.835345,29.601353,40.807771,90.352424,37.069087,2.114992,0.000000,666.362695,115.787038,50.334016,1.698786,1.053942,0.000000,0.000000,15.559312,0.000000,40.121123,2.351873,0.000000,16.948064,7.441585,0.000000,0.784242,12.690778,33.89,25.618572,40.257272,11.544469,405.453114,142.824507,20.070786,0,0,0,0,0

6,01:15-01:30,25.868161,0.000000,1.348441,154.929110,45.962390,33.479576,0.000000,636.969001,10.291191,19.364000,79.315912,19.195727,20.094992,121.310901,16.061339,137.484400,0.000000,0.000000,33.396007,40.533274,41.681010,53.835345,29.601353,40.807771,90.352424,37.069087,2.114992,0.000000,666.362695,115.787038,50.334016,1.698786,1.053942,0.000000,0.000000,15.559312,0.000000,40.121123,2.351873,0.000000,16.948064,7.441585,0.000000,0.784242,12.690778,33.89,25.618572,40.257272,11.651949,405.453114,142.824507,20.070786,0,0,0,0,0

7,01:30-01:45,25.868161,0.000000,1.348441,154.929110,50.237962,33.479576,0.000000,636.969001,10.291191,19.364000,79.315912,19.195727,20.094992,121.310901,16.061339,137.484400,0.000000,0.000000,33.396007,40.533274,41.681010,53.835345,29.601353,40.807771,90.352424,37.069087,2.114992,0.000000,666.362695,115.787038,50.334016,1.698786,1.053942,0.000000,0.000000,15.559312,0.000000,40.121123,2.351873,0.000000,16.948064,7.441585,0.000000,0.784242,12.690778,33.89,25.618572,40.257272,10.845031,405.453114,142.824507,20.070786,0,0,0,0,0

8,01:45-02:00,25.868161,0.000000,1.348441,154.929110,50.237962,33.479576,0.000000,636.969001,10.291191,19.364000,79.315912,19.195727,20.094992,121.310901,16.061339,137.484400,0.000000,0.000000,33.396007,40.533274,41.681010,53.835345,29.601353,40.807771,90.352424,37.069087,2.114992,0.000000,666.362695,115.787038,50.334016,1.698786,1.053942,0.000000,0.000000,15.559312,0.000000,40.121123,2.351873,0.000000,16.948064,7.441585,0.000000,0.784242,12.690778,33.89,25.618572,40.257272,12.226813,405.453114,142.824507,20.070786,0,0,0,0,0

