Block,Time,LT-31,L_NR_2023_04,LT-05,L_NR_2012_04,LT-59,L_NR_2019_11,L_NR_2022_08,SH-07,L_NR_2020_07,L_NR_2022_10,L_NR_2021_12,L_NR_2019_05,L_NR_2021_17,LT-36,L_NR_2012_07,L_NR_2012_01,L_NR_2018_61,L_NR_2020_06,L_NR_2021_14,L_NR_2021_16,L_NR_2021_13,L_NR_2012_02,L_NR_2020_02,L_NR_2019_07,SH-06,L_NR_2022_09,LT-35,L_NR_2020_05,L_NR_2019_19,L_NR_2021_15,L_NR_2019_06
1,00:00-00:15,0.000000,26.070000,115.890000,271.520000,10.330000,10.750000,8.54,0.000000,9.17,22.22,0,0,0,0.000000,78.390000,101.130000,43.17,9.16,0,0,0,261.240000,11.880000,0,0.000000,22.22,0.000000,27.49,0,0,0

2,00:15-00:30,0.000000,26.070000,115.890000,271.520000,10.330000,10.750000,8.42,0.000000,9.16,21.75,0,0,0,0.000000,78.390000,101.130000,43.03,9.15,0,0,0,261.240000,11.880000,0,0.000000,21.75,0.000000,27.46,0,0,0

3,00:30-00:45,0.000000,26.070000,115.890000,271.520000,10.330000,10.750000,8.3,0.000000,9.13,21.42,0,0,0,0.000000,78.390000,101.130000,43.05,9.13,0,0,0,261.240000,11.880000,0,0.000000,21.42,0.000000,27.39,0,0,0

4,00:45-01:00,0.000000,25.100000,115.890000,271.520000,10.330000,10.750000,8.19,0.000000,9.09,20.17,0,0,0,0.000000,78.390000,101.130000,43.16,9.1,0,0,0,261.240000,11.880000,0,0.000000,20.17,0.000000,27.29,0,0,0

5,01:00-01:15,0.000000,26.070000,115.890000,271.520000,10.330000,10.750000,8.07,0.000000,9.01,19.01,0,0,0,0.000000,78.390000,101.130000,43.2,9.02,0,0,0,261.240000,11.880000,0,0.000000,19.01,0.000000,27.05,0,0,0

6,01:15-01:30,0.000000,27.030000,115.890000,271.520000,10.330000,10.750000,7.95,0.000000,8.97,17.89,0,0,0,0.000000,78.390000,101.130000,43.2,8.96,0,0,0,261.240000,11.880000,0,0.000000,17.89,0.000000,26.88,0,0,0

7,01:30-01:45,0.000000,26.070000,115.890000,271.520000,10.330000,10.750000,7.83,0.000000,8.9,16.89,0,0,0,0.000000,78.390000,101.130000,42.61,8.9,0,0,0,261.240000,11.880000,0,0.000000,16.89,0.000000,26.7,0,0,0

8,01:45-02:00,0.000000,26.070000,66.270000,271.520000,10.330000,10.750000,7.69,0.000000,8.83,15.91,0,0,0,0.000000,78.390000,101.130000,42.05,8.82,0,0,0,261.240000,11.880000,0,0.000000,15.91,0.000000,26.47,0,0,0

9,02:00-02:15,0.000000,26.070000,66.270000,271.520000,10.330000,10.750000,6.92,0.000000,7.49,19.73,0,0,0,0.000000,78.390000,101.130000,42.68,7.48,0,0,0,261.240000,11.880000,0,0.000000,19.73,0.000000,22.45,0,0,0

10,02:15-02:30,0.000000,25.100000,66.270000,271.520000,10.330000,10.750000,6.73,0.000000,7.34,19.23,0,0,0,0.000000,62.070000,101.130000,42.55,7.34,0,0,0,261.240000,11.880000,0,0.000000,19.23,0.000000,22.01,0,0,0

11,02:30-02:45,0.000000,25.100000,66.270000,271.520000,10.330000,10.750000,6.79,0.000000,7.38,18.72,0,0,0,0.000000,62.070000,101.130000,42.52,7.36,0,0,0,261.240000,11.880000,0,0.000000,18.72,0.000000,22.09,0,0,0

12,02:45-03:00,0.000000,26.070000,66.270000,271.520000,10.330000,10.750000,6.98,0.000000,7.46,18.28,0,0,0,0.000000,62.070000,101.130000,42.5,7.47,0,0,0,234.510000,11.880000,0,0.000000,18.28,0.000000,22.4,0,0,0

13,03:00-03:15,0.000000,25.100000,66.270000,271.520000,10.330000,10.750000,6.99,0.000000,7.4,17.83,0,0,0,0.000000,62.070000,101.130000,42.28,7.42,0,0,0,261.240000,11.880000,0,0.000000,17.83,0.000000,22.25,0,0,0

14,03:15-03:30,0.000000,26.070000,66.270000,271.520000,10.330000,10.750000,6.72,0.000000,7.38,17.37,0,0,0,0.000000,62.070000,101.130000,42.08,7.38,0,0,0,261.240000,11.880000,0,0.000000,17.37,0.000000,22.14,0,0,0

15,03:30-03:45,0.000000,25.100000,66.270000,271.520000,10.330000,10.750000,6.96,0.000000,7.46,13.37,0,0,0,0.000000,78.390000,101.130000,43.16,7.45,0,0,0,261.240000,11.880000,0,0.000000,13.37,0.000000,22.35,0,0,0

16,03:45-04:00,0.000000,26.070000,66.270000,271.520000,10.330000,10.750000,6.79,0.000000,7.38,13.49,0,0,0,0.000000,62.070000,101.130000,43.2,7.38,0,0,0,215.200000,11.880000,0,0.000000,13.49,0.000000,22.14,0,0,0

17,04:00-04:15,0.000000,26.070000,66.270000,271.520000,10.330000,10.750000,6.98,0.000000,7.46,13.36,0,0,0,0.000000,62.070000,101.130000,43.13,7.46,0,0,0,215.200000,11.880000,0,0.000000,13.36,0.000000,22.38,0,0,0

18,04:15-04:30,0.000000,26.070000,66.270000,271.520000,10.330000,10.750000,6.89,0.000000,7.34,13.45,0,0,0,0.000000,62.070000,101.130000,43.09,7.34,0,0,0,215.200000,11.880000,0,0.000000,13.45,0.000000,22.02,0,0,0

19,04:30-04:45,0.000000,26.070000,66.270000,271.520000,10.330000,10.750000,6.87,0.000000,7.47,13.53,0,0,0,0.000000,62.070000,101.130000,43.17,7.47,0,0,0,215.200000,11.880000,0,0.000000,13.53,0.000000,22.42,0,0,0

20,04:45-05:00,0.000000,25.100000,66.270000,271.520000,10.330000,10.750000,6.97,0.000000,7.5,15.22,0,0,0,0.000000,62.070000,101.130000,35.13,7.49,0,0,0,215.200000,11.880000,0,0.000000,15.22,0.000000,22.48,0,0,0

21,05:00-05:15,0.000000,25.100000,66.270000,271.520000,10.330000,10.750000,6.92,0.000000,7.4,15.32,0,0,0,0.000000,62.070000,101.130000,35.13,7.39,0,0,0,215.200000,11.880000,0,0.000000,15.32,0.000000,22.18,0,0,0

22,05:15-05:30,0.000000,25.100000,94.680000,271.520000,10.330000,10.750000,6.88,0.000000,7.42,15.29,0,0,0,0.000000,78.390000,101.130000,35.22,7.42,0,0,0,261.240000,11.880000,0,0.000000,15.29,0.000000,22.25,0,0,0

23,05:30-05:45,0.000000,24.140000,94.680000,271.520000,10.330000,10.750000,6.74,0.000000,7.35,15.03,0,0,0,0.000000,63.270000,101.130000,35.23,7.36,0,0,0,261.240000,11.880000,0,0.000000,15.03,0.000000,22.07,0.380523,0,0

24,05:45-06:00,0.000000,24.140000,94.680000,271.520000,10.330000,10.750000,6.89,0.000000,7.45,15.18,0.14,0,0.33,0.000000,63.270000,101.130000,35.47,7.44,0,0.67,0.03,261.240000,11.880000,0,0.000000,15.18,0.000000,22.33,2.790502,0,0

25,06:00-06:15,0.000000,25.100000,94.680000,271.520000,10.330000,10.750000,6.85,0.000000,7.49,15.23,3.07,0,2.33,0.000000,78.390000,101.130000,35.91,7.5,0.03,4.67,0.61,261.240000,11.880000,1.31,0.000000,15.23,0.000000,22.5,8.908141,0.63,5.52

26,06:15-06:30,0.610000,24.140000,94.680000,271.520000,10.330000,10.750000,6.8,0.000000,7.5,15.24,7.88,1.84,3.33,0.610000,78.390000,101.130000,42.22,7.49,0.03,6.67,1.58,261.240000,11.880000,2.01,0.000000,15.24,0.610000,22.48,13.435389,1.65,13.8

27,06:30-06:45,0.990000,25.100000,94.680000,271.520000,10.330000,10.750000,7.38,0.000000,7.41,28,14.28,5.27,4,0.990000,78.390000,101.130000,42.08,7.39,0.33,8,2.86,261.240000,11.880000,5.7,0.000000,28,0.990000,22.18,18.167534,2.87,23

28,06:45-07:00,1.310000,24.140000,94.680000,271.520000,10.330000,10.750000,7.38,0.000000,7.46,27.88,20.88,11.74,4.33,1.310000,78.390000,101.130000,41.95,7.45,1,8.67,4.18,261.240000,11.880000,10.45,0.000000,27.88,1.310000,22.36,23.660725,4.45,33

29,07:00-07:15,1.920000,24.140000,66.270000,271.520000,10.330000,10.750000,7.08,0.000000,7.35,27.69,30.8,20.08,6,1.920000,62.070000,101.130000,41.91,7.35,4,12,6.16,215.200000,11.880000,16.15,0.000000,27.69,1.920000,22.06,30.05156,6.5,33

30,07:15-07:30,2.650000,23.170000,66.270000,271.520000,10.330000,10.750000,6.72,0.000000,7.38,27.29,42.42,31.44,9,2.650000,62.070000,101.130000,41.75,7.37,8.33,18,8.48,215.200000,11.880000,23.75,0.000000,27.29,2.650000,22.11,36.549722,8.97,32.57

31,07:30-07:45,3.470000,23.170000,66.270000,271.520000,10.330000,10.750000,6.99,0.000000,7.34,26.58,54,30.67,12.33,3.470000,36.810000,101.130000,41.35,7.35,13.47,24.67,10.8,215.200000,11.880000,30.67,0.000000,26.58,3.470000,22.04,43.330837,11.65,30.66

32,07:45:08:00,4.570000,23.170000,66.270000,271.520000,10.330000,10.750000,6.92,0.000000,7.42,25.78,70.75,31,15.67,4.570000,36.810000,101.130000,41.15,7.43,20.17,31.33,14.15,180.230000,11.880000,31,0.000000,25.78,4.570000,22.28,50.131466,14.48,31

33,08:00-08:15,5.400000,24.140000,66.270000,231.700000,10.330000,10.750000,6.95,0.000000,8.37,20.2,90.61,32.33,20.33,5.400000,36.810000,101.130000,34.26,8.38,29.53,40.67,18.12,181.500000,11.510000,32.33,0.000000,20.2,5.400000,25.14,56.346675,22.7,32.34

34,08:15-08:30,6.420000,24.140000,66.270000,193.080000,10.330000,10.750000,6.95,0.000000,8.35,19.8,108.42,32.33,24.66,6.420000,36.810000,101.130000,34.46,8.34,36.9,49.34,21.68,180.230000,11.510000,32.33,0.000000,19.8,6.420000,25.03,61.947193,26.61,32.34

35,08:30-08:45,7.660000,25.100000,66.270000,193.080000,10.330000,10.750000,7,0.000000,8.3,19.31,126.68,32.33,28,7.660000,36.810000,101.130000,34.52,8.3,45.27,56,25.34,180.230000,11.510000,32.33,0.000000,19.31,7.660000,24.9,67.606253,29.96,32.34

36,08:45:09:00,8.410000,26.070000,66.270000,193.080000,10.330000,10.750000,6.79,0.000000,7.31,18.94,144.31,32.33,31.33,8.410000,36.810000,101.130000,34.2,7.32,52.87,62.67,28.86,180.230000,11.510000,32.33,0.000000,18.94,8.410000,21.94,73.723892,32.6,32.34

37,09:00:09:15,8.900000,26.070000,66.270000,193.080000,10.330000,10.750000,6.89,0.000000,7.32,14.42,161.17,32.33,34,8.900000,36.810000,101.130000,34.48,7.31,59.23,68,32.23,180.230000,11.320000,32.33,0.000000,14.42,8.900000,21.93,80.573306,34.84,32.34

38,09:15-09:30,9.310000,26.070000,66.270000,193.080000,10.330000,10.750000,6.65,0.000000,7.21,13.68,178.46,32.33,36.33,9.310000,36.810000,101.130000,35.94,7.21,64.2,72.67,35.69,180.230000,11.320000,32.33,0.000000,13.68,9.310000,21.64,87.149524,36.6,32.34

39,09:30-09:45,9.560000,27.030000,66.270000,193.080000,10.330000,10.750000,6.61,0.000000,7.29,13.23,194.4,32.33,41.33,9.560000,36.810000,101.130000,38.65,7.29,70.83,82.67,38.88,180.230000,11.320000,32.33,0.000000,13.23,9.560000,21.88,92.476846,31.78,32.34

40,09:45-10:00,9.790000,26.070000,66.270000,193.080000,10.330000,10.750000,6.54,0.000000,7.29,13.19,208.77,32.33,43.33,9.790000,36.810000,101.130000,39.25,7.28,76.3,86.67,41.75,180.230000,11.320000,32.33,0.000000,13.19,9.790000,21.84,97.17972,33.66,32.34

41,10:00-10:15,10.060000,26.070000,66.270000,231.700000,10.330000,10.750000,6.58,0.000000,7.19,13.18,221.48,32.33,48,10.060000,51.930000,101.130000,39.75,7.19,80.9,96,44.29,180.230000,11.140000,32.33,0.000000,13.18,10.060000,21.57,100.731268,35.41,32.34

42,10:15-10:30,10.230000,27.030000,66.270000,271.520000,10.330000,10.750000,6.47,0.000000,7.27,13.32,232.38,32.33,48.33,10.230000,51.930000,101.130000,40.81,7.26,85.23,96.67,46.48,180.230000,11.140000,32.33,0.000000,13.32,10.230000,21.78,102.916836,37.04,32.34

43,10:30-10:45,10.230000,27.030000,66.270000,271.520000,10.330000,10.750000,6.36,0.000000,7.2,13.08,229.02,32.33,48.33,10.230000,51.930000,101.130000,40.78,7.19,88.2,96.67,45.8,224.090000,11.140000,32.33,0.000000,13.08,10.230000,21.58,105.004834,38.52,32.34

44,10:45-11:00,10.230000,26.070000,66.270000,271.520000,10.330000,10.750000,6.44,0.000000,7.22,13.07,229.17,32.33,48,10.230000,51.930000,101.130000,40.34,7.22,89.63,96,45.83,226.270000,11.140000,32.33,0.000000,13.07,10.230000,21.66,107.824607,39.85,32.34

45,11:00-11:15,10.230000,26.070000,66.270000,271.520000,10.330000,10.750000,6.49,0.000000,7.24,13.29,229.17,32.67,47.66,10.230000,68.260000,101.130000,43.1,7.25,90.67,95.34,45.83,226.270000,10.960000,32.67,0.000000,13.29,10.230000,21.74,111.883519,46.93,32.66

46,11:15-11:30,10.230000,26.070000,115.890000,271.520000,10.330000,10.750000,6.62,0.000000,7.22,13.29,229.17,32.67,47.33,10.230000,68.260000,101.130000,43.06,7.23,91.2,94.67,45.83,226.270000,10.960000,32.67,0.000000,13.29,10.230000,21.69,115.600936,47.93,32.66

47,11:30-11:45,10.230000,27.030000,115.890000,271.520000,10.330000,10.750000,6.53,0.000000,7.3,13.21,229.17,32.67,47.33,10.230000,68.260000,101.130000,43.1,7.31,91.27,94.67,45.83,226.270000,10.960000,32.67,0.000000,13.21,10.230000,21.92,118.459737,48.48,32.66

48,11:45-12:00,10.230000,28.000000,115.890000,271.520000,10.330000,10.750000,6.42,0.000000,7.29,13.19,237.5,32.67,47.33,10.230000,68.260000,101.130000,43.07,7.28,91.27,94.67,47.5,226.270000,10.960000,32.67,0.000000,13.19,10.230000,21.84,121.57222,48.61,32.66

49,12:00-12:15,10.230000,27.030000,115.890000,271.520000,10.330000,10.750000,6.41,0.000000,7.32,13.05,237.5,32.67,47.33,10.230000,68.260000,101.130000,43.04,7.32,91.27,94.67,47.5,226.270000,11.510000,32.67,0.000000,13.05,10.230000,21.96,125.679917,48.56,32.66

50,12:15-12:30,10.230000,27.030000,115.890000,271.520000,10.330000,10.750000,6.43,0.000000,7.26,13.3,237.5,32.67,47.33,10.230000,68.260000,101.130000,43.14,7.27,91.27,94.67,47.5,226.270000,11.510000,32.67,0.000000,13.3,10.230000,21.81,126.889785,48.3,32.66

