Column1,Time,WR/01102023/16072048/L_NR_2022_08,WR/01102023/30052048/L_NR_2022_10,WR/01102023/01102023/L_NR_2020_06,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/01102023/L_NR_2022_09,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/24112044/L_NR_2020_07,WR/01102023/29112042/L_NR_2019_05,WR/01102023/31032046/L_NR_2020_05,L_NR_2019_19,NR/01102023/25072045/L_NR_2021_15,NR/01102023/02122045/L_NR_2021_13,SR/01102023/07102043/L_NR_2018_61,NR/01102023/30042040/GNA_LT_35,GNA/NR/2024/12/01/1766,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2024/12/01/2197,NR/01102023/19072037/LT-05,GNA/WR/2024/11/01/4200,NR/01102023/31052040/LT-31,NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2024/12/01/7739,NR/01102023/30042040/GNA_LT_36,NR/01102023/22052037/LT-59,GNA/NR/2024/12/01/3428,GNA/NR/2024/12/01/1475,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/06022042/L_NR_2012_07,NR/01102023/05012040/L_NR_2020_02,NR/30092023/26122029/SH-06,GNA/SR/2024/12/01/6968,NR/01102023/06022042/L_NR_2012_02,NR/01102023/31102037/L_NR_2019_11,GNA/NR/2024/12/01/1599,GNA/NR/2024/12/01/1899,NR/30092023/31122025/SH-07,GNA/WR/2024/10/15/7089,NR/26072023/31072042/L_NR_2023_07,NR/26072023/25122043/L_NR_2023_10,NR/22102023/11042047/L_NR_2021_16,NR/01102023/13082046/L_NR_2021_12,NR/01102023/08032047/L_NR_2021_14,NR/22102023/11042047/L_NR_2021_17
1,00:00-00:15,26.67,33.34,26.67,0,33.33,0,26.67,0,79.99,0,0,0,14.01,0,25.97,24.73,74.78,25.97,70.13,0,0,100.19,31.71,0,0.77,8.66,25.97,1.92,57.41,1.66,0,150,170.14,1.14,95.13,8.66,0,0,0,0,0,0,0,0

2,00:15-00:30,26.67,34.66,26.33,0,34.67,0,26.33,0,79.01,0,0,0,13.61,0,25.97,24.73,74.78,25.97,70.13,0,0,100.19,31.71,0,0.77,8.66,25.97,1.92,57.41,1.66,0,150,170.14,1.14,95.13,8.66,0,0,0,0,0,0,0,0

3,00:30-00:45,27,35,26.33,0,35,0,26.33,0,79.01,0,0,0,14.81,0,25.97,24.73,74.78,25.97,70.13,0,0,100.19,31.71,0,0.77,8.66,25.97,1.92,57.41,1.66,0,150,170.14,1.14,95.13,8.66,0,0,0,0,0,0,0,0

4,00:45-01:00,27.33,35.66,26.33,0,35.67,0,26.33,0,79.01,0,0,0,16.01,0,25.97,24.73,74.78,25.97,70.13,0,0,100.19,31.71,0,0.77,8.66,25.97,1.92,57.41,1.66,0,150,170.14,1.14,95.13,8.66,0,0,0,0,0,0,0,0

5,01:00-01:15,31.67,34.66,26,0,34.67,0,26,0,78,0,0,0,13.2,0,25.97,24.73,74.78,25.97,70.13,0,0,100.19,31.71,0,0.77,8.66,25.97,1.92,57.41,1.66,0,150,170.14,1.14,95.13,8.66,0,0,0,0,0,0,0,0

6,01:15-01:30,31,34,25.5,0,34,0,25.5,0,76.5,0,0,0,13.6,0,25.97,24.73,74.78,25.97,70.13,0,0,100.19,31.71,0,0.77,8.66,25.97,1.92,57.41,1.66,0,150,170.14,1.14,95.13,8.66,0,0,0,0,0,0,0,0

7,01:30-01:45,31.33,26.66,24.83,0,26.67,0,24.83,0,74.51,0,0,0,14,0,25.97,24.73,74.78,25.97,70.13,0,0,100.19,31.71,0,0.77,8.66,25.97,1.92,57.41,1.66,0,150,170.14,1.14,95.13,8.66,0,0,0,0,0,0,0,0

8,01:45-02:00,31,27.34,24.33,0,27.33,0,24.33,0,73.01,0,0,0,14.4,0,25.97,24.73,74.78,25.97,70.13,0,0,100.19,31.71,0,0.77,8.66,25.97,1.92,57.41,1.66,0,150,170.14,1.14,95.13,8.66,0,0,0,0,0,0,0,0

9,02:00-02:15,31,28.34,20,0,28.33,0,20,0,60,0,0,0,15,0,25.97,24.73,74.78,25.97,70.13,0,0,100.19,31.71,0,0.69,8.66,25.97,1.92,57.41,1.66,0,150,170.14,1.14,95.13,8.66,0,0,0,0,0,0,0,0

10,02:15-02:30,31.33,29,20.17,0,29,0,20.17,0,60.49,0,0,0,15.6,0,25.97,24.73,74.78,25.97,70.13,0,0,100.19,31.71,0,0.69,8.66,25.97,1.92,57.41,1.66,0,150,170.14,1.14,95.13,8.66,0,0,0,0,0,0,0,0

11,02:30-02:45,31.33,46.66,25,0,46.67,0,25,0,75,0,0,0,16,0,25.97,24.73,74.78,25.97,70.13,0,0,100.19,31.71,0,0.69,8.66,25.97,1.92,57.41,1.66,0,150,170.14,1.14,95.13,8.66,0,0,0,0,0,0,0,0

12,02:45-03:00,32,47.34,24.83,0,47.33,0,24.83,0,74.51,0,0,0,16.4,0,25.97,24.73,74.78,25.97,70.13,0,0,100.19,31.71,0,0.69,8.66,25.97,1.92,57.41,1.66,0,150,170.14,1.14,95.13,8.66,0,0,0,0,0,0,0,0

13,03:00-03:15,32.33,61,24.83,0,61,0,24.83,0,74.51,0,0,0,12.01,0,25.97,24.73,74.78,25.97,70.13,0,0,100.19,31.71,0,0.69,8.66,25.97,1.84,57.41,1.66,0,150,170.14,1.14,95.13,8.66,0,0,0,0,0,0,0,0

14,03:15-03:30,32.33,64.34,24.83,0,64.33,0,24.83,0,74.51,0,0,0,12.01,0,25.97,24.73,74.78,25.97,70.13,0,0,100.19,31.71,0,0.69,8.66,25.97,1.84,57.41,1.66,0,150,170.14,1.14,95.13,8.66,0,0,0,0,0,0,0,0

15,03:30-03:45,26.67,67.66,24.83,0,67.67,0,24.83,0,74.51,0,0,0,12.01,0,25.97,24.73,74.78,25.97,70.13,0,0,100.19,31.71,0,0.69,8.66,25.97,1.84,57.41,1.66,0,150,170.14,1.14,95.13,8.66,0,0,0,0,0,0,0,0

16,03:45-04:00,26.33,68.66,24.83,0,68.67,0,24.83,0,74.51,0,0,0,11.81,0,25.97,24.73,74.78,25.97,70.13,0,0,100.19,31.71,0,0.69,8.66,25.97,1.84,57.41,1.66,0,150,170.14,1.14,95.13,8.66,0,0,0,0,0,0,0,0

17,04:00-04:15,20,60,21.67,0,60,0,21.67,0,64.99,0,0,0,11.81,0,25.97,24.73,74.78,25.97,70.13,0,0,100.19,31.71,0,0.69,8.66,25.97,1.84,57.41,1.62,0,150,170.14,1.14,95.13,8.66,0,0,0,0,0,0,0,0

18,04:15-04:30,19,62.34,22.17,0,62.33,0,22.17,0,66.49,0,0,0,11.81,0,25.97,24.73,74.78,25.97,70.13,0,0,100.19,31.71,0,0.69,8.66,25.97,1.84,57.41,1.62,0,150,170.14,1.14,95.13,8.66,0,0,0,0,0,0,0,0

19,04:30-04:45,13.33,66,22.5,0,66,0,22.5,0,67.5,0,0,0,11.61,0,25.97,24.73,74.78,25.97,70.13,0,0,100.19,31.71,0,0.69,8.66,25.97,1.84,57.41,1.62,0,150,170.14,1.14,95.13,8.66,0,0,0,0,0,0,0,0

20,04:45-05:00,12.33,67,23,0,67,0,23,0,69,0,0,0,11.61,0,25.97,24.73,74.78,25.97,70.13,0,0,100.19,31.71,0,0.69,8.66,25.97,1.84,57.41,1.62,0,150,170.14,1.14,95.13,8.66,0,0,0,0,0,0,0,0

21,05:00-05:15,10.33,50,20,0,50,0,20,0,60,0,0,0,12.21,0,25.97,24.73,74.78,25.97,70.13,0,0,100.19,31.71,0,0.69,8.66,25.97,1.92,50.88,1.62,0,150,189.38,1.14,95.13,8.66,0,0,0,0,0,0,0,0

22,05:15-05:30,10,43.34,18.33,0,43.33,0,18.33,0,55.01,0,0,0,12.81,0,25.97,24.73,94.98,25.97,70.13,0,0,100.19,31.71,0,0.69,8.66,25.97,1.92,74.56,1.62,0,150,230.38,1.14,95.13,8.66,0,0,0,0,0,0,0,0

