Block,Time,KGSU3AND4,KOTESHWR,MAPS,NLCEXP,RAMPUR,SASAN,TALA,URI,ANTA_RF,AURY_LF,CHAMERA1,DHAULIGNGA,DULHASTI,FSTPP I & II,KGSU1AND2,NAPP,NJPC,NNTPP,SIMHST1,TALST2,TANAKPUR,CHAMERA3,KHSTPP-I,KHSTPP-II,KISHANGANGA,KOLDAM,NLCIIST2,RIHAND1,UNCHAHAR2,UNCHAHAR3,ANTA_GF,DADRI_CRF,DADRI_GF,DADRI_LF,DADRT2,KUDGI,RSTPSU1TO6,SALAL,SINGRAULI,TEHRI,TelanganaSTPP,URI2,AURY_CRF,BSIUL,KKNPPU2,NTPL,RAPPB,UNCHAHAR1,VALLURNTECL,ANTA_LF,AURY_RF,BRBCL,JHAJJAR,NLCIIST1,RIHAND2,RIHAND3,SEWA2,SIMHST2,TANDA2,KKNP,NLCTS2EXP,PARBATI3,UNCHAHAR4,AURY_GF,DADRI_RF,CHAMERA2,RAPPC,RSTPSU7,SINGRAULI_HYDRO,ANTA_CRF
1,00:00-00:15,0,8.87,0,0,0,337.5,0,26.49,0,0,0,0,0,11.7,0,43.57,0,0,0,0,8.33,0,45.22,98.87,0,0,0,92,42.4,26.39,0,32.88,0,24.11,683.14,0,0,1.4,125.97,0,0,4.44,70.59,0,0,0,0,20.56,0,0,0,20,654.31,0,118.76,124.32,0,0,0,0,0,0,0,0,7.12,0,54.06,0,0,29.93

2,00:15-00:30,0,8.87,0,0,0,337.5,0,26.49,0,0,0,0,0,11.7,0,43.57,0,0,0,0,8.33,0,45.22,98.87,0,0,0,92,42.4,26.39,0,32.88,0,24.11,683.14,0,0,1.4,125.97,0,0,18.83,70.59,0,0,0,0,20.56,0,0,0,20,654.31,0,118.76,124.32,0,0,0,0,0,0,0,0,7.12,0,54.06,0,0,29.93

3,00:30-00:45,0,8.87,0,0,0,337.5,0,26.49,0,0,0,0,0,11.7,0,43.57,0,0,0,0,8.33,0,45.22,98.87,0,0,0,92,42.4,26.39,0,32.88,0,24.11,683.14,0,0,1.4,125.97,0,0,18.83,70.59,0,0,0,0,20.56,0,0,0,20,654.31,0,118.76,124.32,0,0,0,0,0,0,0,0,7.12,0,54.06,0,0,29.93

4,00:45-01:00,0,8.87,0,0,0,337.5,0,3.31,0,0,0,0,0,11.7,0,43.57,0,0,0,0,2.31,0,45.22,98.87,0,0,0,92,42.4,26.39,0,32.88,0,24.11,683.14,0,0,1.4,125.97,0,0,18.83,70.59,0,0,0,0,20.56,0,0,0,20,654.31,0,118.76,124.32,0,0,0,0,0,0,0,0,7.12,0,54.06,0,0,29.93

5,01:00-01:15,0,8.87,0,0,0,337.5,0,1.11,0,0,0,0,0,11.7,0,43.57,0,0,0,0,2.31,0,45.22,98.87,0,0,0,92,42.4,26.39,0,32.88,0,24.11,683.14,0,0,1.4,125.97,0,0,18.83,70.59,0,0,0,0,20.56,0,0,0,20,654.31,0,118.76,124.32,0,0,0,0,0,0,0,0,7.12,0,54.06,0,0,29.93

