Block,Time,BRBCL,CHAMERA2,CHAMERA3,NAPP,NJPC,NTPL,RIHAND3,SALAL,URI,URI2,AURY_LF,DADRI_GF,DADRI_RF,DADRT2,JHAJJAR,KGSU3AND4,KHSTPP-I,PARBATI3,RAPPC,RSTPSU7,TALA,UNCHAHAR1,DADRI_CRF,DADRI_LF,BSIUL,FSTPP I & II,MAPS,ANTA_LF,CHAMERA1,KKNPPU2,NLCIIST2,TANAKPUR,ANTA_GF,AURY_CRF,DULHASTI,RAMPUR,RIHAND1,RSTPSU1TO6,TelanganaSTPP,UNCHAHAR3,VALLURNTECL,AURY_RF,KGSU1AND2,KHSTPP-II,KOLDAM,SASAN,SIMHST1,TALST2,TANDA2,TEHRI,UNCHAHAR2,ANTA_RF,AURY_GF,DHAULIGNGA,KISHANGANGA,KKNP,KOTESHWR,NLCEXP,NLCTS2EXP,SEWA2,SIMHST2,SINGRAULI_HYDRO,ANTA_CRF,KUDGI,NLCIIST1,NNTPP,RAPPB,RIHAND2,SINGRAULI,UNCHAHAR4
1,00:00-00:15,20,0,0,20.61,0,0,62.16,12.78,24.29,20.85,0,0,59.73,683.14,434.65,0,45.53,0,26.01,0,0,20.85,0,0,6.52,18.2,0,0,0,0,0,5.76,0,0,16.48,0,92,0,0,26.4,0,70.04,0,148.3,0,410.62,0,0,0,0,42.39,43.05,0,0,0,0,8.87,0,0,10.53,0,0.77,0,0,0,0,0,118.76,139.69,0

2,00:15-00:30,20,0,0,20.61,0,0,62.16,12.78,24.29,20.85,0,0,59.73,683.14,434.65,0,45.53,0,26.01,0,0,20.85,0,0,6.52,18.2,0,0,0,0,0,5.76,0,0,16.48,0,92,0,0,26.4,0,70.04,0,148.3,0,410.62,0,0,0,0,42.39,43.05,0,0,0,0,8.87,0,0,10.53,0,0.77,0,0,0,0,0,118.76,139.69,0

3,00:30-00:45,20,0,0,20.61,0,0,62.16,12.78,24.29,20.18,0,0,59.73,683.14,434.65,0,45.53,0,26.01,0,0,20.85,0,0,6.52,18.2,0,0,0,0,0,5.76,0,0,16.48,0,92,0,0,26.4,0,70.04,0,148.3,0,410.62,0,0,0,0,42.39,43.05,0,0,0,0,8.87,0,0,10.53,0,0.77,0,0,0,0,0,118.76,139.69,0

4,00:45-01:00,20,0,0,20.61,0,0,62.16,12.78,24.29,20.18,0,0,59.73,683.14,434.65,0,45.53,0,26.01,0,0,20.85,0,0,6.52,18.2,0,0,0,0,0,5.76,0,0,16.48,0,92,0,0,26.4,0,70.04,0,148.3,0,410.62,0,0,0,0,42.39,43.05,0,0,0,0,8.87,0,0,10.53,0,0.77,0,0,0,0,0,118.76,139.69,0

5,01:00-01:15,20,0,0,20.61,0,0,62.16,12.78,24.29,20.18,0,0,59.73,683.14,434.65,0,45.53,0,26.01,0,0,20.85,0,0,6.52,18.2,0,0,0,0,0,5.76,0,0,16.48,0,92,0,0,26.4,0,70.04,0,148.3,0,410.62,0,0,0,0,42.39,43.05,0,0,0,0,8.87,0,0,10.53,0,0.77,0,0,0,0,0,118.76,139.69,0

