Block,Time Block,KOTESHWR,KOLDAM,MAPS,KUDGI,KKNPPU2,KKNP,KISHANGANGA,DADRT2,CHAMERA1,BSIUL,CHAMERA3,BRBCL,CHAMERA2,DHAULIGNGA,FSTPP I & II,JHAJJAR,DULHASTI,UNCHAHAR3,TelanganaSTPP,VALLURNTECL,TANDA2,URI,UNCHAHAR2,UNCHAHAR1,UNCHAHAR4,URI2,TEHRI,AURY_GF,DADRI_CRF,DADRI_RF,ANTA_GF,AURY_CRF,AURY_RF,DADRI_LF,ANTA_CRF,ANTA_RF,AURY_LF,DADRI_GF,ANTA_LF,SEWA2,SINGRAULI_HYDRO,TANAKPUR,SINGRAULI,TALST2,SIMHST1,TALA,SIMHST2,RAPPC,RSTPSU7,NTPL,PARBATI3,RIHAND3,SASAN,RAPPB,RIHAND2,SALAL,RIHAND1,RAMPUR,RSTPSU1TO6,KGSU1AND2,KGSU3AND4,KHSTPP-II,KHSTPP-I,NLCEXP,NLCIIST2,NLCTS2EXP,NJPC,NNTPP,NAPP,NLCIIST1,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,8.51,0,0,0,0,0,0,357.47,0,0,0,19.16,0,0,7.54,343.92,15.79,13.9,0,0,0,1.06,22.33,10.75,0,4.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.52,120.67,0,0,0,0,25.28,0,0,0,119.1,334.32,0,113.76,1.34,88.14,0,0,0,0,78.14,18.34,0,0,0,0,0,42.35,0,0,0,0,0,0

2,00:15-00:30,8.51,0,0,0,0,0,0,357.47,0,0,0,19.16,0,0,7.54,343.92,15.79,13.9,0,0,0,1.06,22.33,10.75,0,4.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.52,120.67,0,0,0,0,25.28,0,0,0,119.1,334.32,0,113.76,1.34,88.14,0,0,0,0,78.14,18.34,0,0,0,0,0,42.35,0,0,0,0,0,0

3,00:30-00:45,8.51,0,0,0,0,0,0,357.47,0,0,0,19.16,0,0,7.54,343.92,15.79,13.9,0,0,0,1.06,22.33,10.75,0,4.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.52,109.18,0,0,0,0,25.28,0,0,0,119.1,334.32,0,113.76,1.34,88.14,0,0,0,0,78.14,18.34,0,0,0,0,0,42.35,0,0,0,0,0,0

4,00:45-01:00,8.51,0,0,0,0,0,0,357.47,0,0,0,16.78,0,0,7.54,343.92,15.79,13.9,0,0,0,1.06,22.33,10.75,0,4.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.52,92.48,0,0,0,0,25.28,0,0,0,119.1,334.32,0,113.76,1.34,88.14,0,0,0,0,78.14,18.34,0,0,0,0,0,42.35,0,0,0,0,0,0

5,01:00-01:15,8.51,0,0,0,0,0,0,357.47,0,0,0,14.24,0,0,7.54,343.92,15.79,13.9,0,0,0,1.06,22.33,10.75,0,4.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.52,92.48,0,0,0,0,25.28,0,0,0,119.1,334.32,0,113.76,1.34,88.14,0,0,0,0,78.14,18.34,0,0,0,0,0,42.35,0,0,0,0,0,0

6,01:15-01:30,8.51,0,0,0,0,0,0,357.47,0,0,0,14.53,0,0,7.54,343.92,15.79,13.9,0,0,0,1.06,22.33,9.45,0,4.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.48,0,0,0,0,25.28,0,0,0,119.1,334.32,0,113.76,1.34,88.14,0,0,0,0,78.14,18.34,0,0,0,0,0,42.35,0,0,0,0,0,0

7,01:30-01:45,8.51,0,0,0,0,0,0,357.47,0,0,0,12.62,0,0,7.54,343.92,15.79,13.9,0,0,0,1.06,22.33,9.45,0,4.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.48,0,0,0,0,25.28,0,0,0,119.1,334.32,0,113.76,1.34,88.14,0,0,0,0,78.14,18.34,0,0,0,0,0,42.35,0,0,0,0,0,0

