Column1,Time,NR/26072023/31072042/L_NR_2023_07,NR/22102023/11042047/L_NR_2021_16,GNARE/NR/2024/12/20/3668,SR/01102023/07102043/L_NR_2018_61,NR/01102023/25072045/L_NR_2021_15,NR/22102023/11042047/L_NR_2021_17,NR/26072023/25122043/L_NR_2023_10,NR/01102023/02122045/L_NR_2021_13,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/01102023/13082046/L_NR_2021_12,WR/01102023/24112044/L_NR_2020_07,WR/01102023/30052048/L_NR_2022_10,WR/01102023/01102023/L_NR_2020_06,NR/01102023/08032047/L_NR_2021_14,L_NR_2019_19,WR/01102023/31032046/L_NR_2020_05,WR/01102023/16072048/L_NR_2022_08,WR/01102023/01102023/L_NR_2022_09,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/29112042/L_NR_2019_05,GNA/NR/2024/12/01/2197,GNA/NR/2024/12/01/3428,GNA/NR/2024/12/01/1899,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2024/12/23/2645,NR/30092023/31122025/SH-07,GNA/NR/2024/12/01/1475,GNA/NR/2024/12/01/1766,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/05012040/L_NR_2020_02,GNA/NR/2024/12/01/1599,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/06022042/L_NR_2012_02,NR/01102023/30042040/GNA_LT_35,NR/01102023/22052037/LT-59,NR/01102023/06022042/L_NR_2012_07,NR/01102023/31102037/L_NR_2019_11,NR/01102023/19072037/LT-05,GNA/NR/2024/12/01/7739,GNA/WR/2024/10/15/7089,GNA/WR/2024/11/01/4200,NR/30092023/26122029/SH-06,GNA/SR/2024/12/01/6968,NR/01102023/30042040/GNA_LT_36,NR/01102023/31052040/LT-31,NR/01102023/27052033/DIAPL(L_NR_2023_04)
1,00:00-00:15,0,0,0,6,0,0,0,0,0,0,9.17,14,9.17,0,0,27.49,7,14,0,0,22.3,8.74,8.74,74.81,0,0,26.23,22.3,70.23,1.62,142.69,1.65,94.58,0,0.69,64.09,1.14,70.15,47.56,0,0,0,150,0,0,24.72

2,00:15-00:30,0,0,0,6,0,0,0,0,0,0,8.67,14,8.67,0,0,25.99,7,14,0,0,22.3,8.74,8.74,74.81,0,0,26.23,22.3,60.61,1.62,142.69,1.65,94.58,0,0.69,64.09,1.14,70.15,47.56,0,0,0,150,0,0,25.23

3,00:30-00:45,0,0,0,6,0,0,0,0,0,0,8.33,14,8.33,0,0,25.01,7,14,0,0,22.3,8.74,8.74,74.81,0,0,26.23,22.3,52.91,1.62,142.69,1.65,94.58,0,0.69,57.43,1.14,70.15,47.56,0,0,0,150,0,0,25.73

4,00:45-01:00,0,0,0,6,0,0,0,0,0,0,8,14,8,0,0,24,7,14,0,0,22.3,8.74,8.74,74.81,0,0,26.23,22.3,52.91,1.62,142.69,1.65,94.58,0,0.69,57.43,1.14,70.15,47.56,0,0,0,150,0,0,25.73

5,01:00-01:15,0,0,0,6,0,0,0,0,0,0,7.67,14,7.67,0,0,22.99,7,14,0,0,22.3,8.74,8.74,74.81,0,0,26.23,22.3,52.91,1.62,142.69,1.65,64.45,0,0.69,57.43,1.14,70.15,47.56,0,0,0,150,0,0,0

6,01:15-01:30,0,0,0,6,0,0,0,0,0,0,7.5,14,7.5,0,0,22.5,7,14,0,0,22.3,8.74,8.74,74.81,0,0,26.23,22.3,52.91,1.62,142.69,1.65,64.45,0,0.69,57.43,1.14,70.15,47.56,0,0,0,150,0,0,0

