Block,Time,DADRI_RF,DULHASTI,AURY_LF,BSIUL,SINGRAULI_HYDRO,ANTA_RF,KOTESHWR,DADRT2,UNCHAHAR4,PARBATI3,ANTA_GF,SALAL,RIHAND3,KOLDAM,KISHANGANGA,TANAKPUR,RAMPUR,ANTA_LF,UNCHAHAR1,RIHAND2,URI,TEHRI,UNCHAHAR3,SINGRAULI,RAPPC,URI2,TANDA2,DADRI_LF,AURY_GF,SEWA2,NJPC,DHAULIGNGA,CHAMERA3,JHAJJAR,RIHAND1,RAPPB,DADRI_CRF,AURY_CRF,ANTA_CRF,CHAMERA2,DADRI_GF,NAPP,CHAMERA1,UNCHAHAR2,AURY_RF,KHSTPP-I,FSTPP I & II,KHSTPP-II,TALA,KUDGI,BRBCL,SASAN,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0.000000,47.770544,0.000000,0.000000,0.757898,0.000000,8.574946,660.114860,0.000000,0.000000,0.000000,23.579653,119.498093,0.000000,0.000000,11.140473,0.000000,0.000000,19.311506,56.615517,46.938989,14.610456,25.500754,99.649688,24.769941,30.822440,0.000000,0.000000,0.000000,0.000000,36.603444,8.807728,0.000000,308.939093,59.910600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,39.216319,0.000000,40.961554,0.000000,35.402913,11.015820,95.025942,26.988759,38.65,14.871369,337.214542,0,0,0,0,0

2,00:15-00:30,0.000000,47.770544,0.000000,0.000000,0.757898,0.000000,8.574946,660.114860,0.000000,0.000000,0.000000,76.701241,119.498093,0.000000,0.000000,11.140473,0.000000,0.000000,19.311506,56.615517,46.938989,14.610456,25.500754,99.649688,24.769941,30.822440,0.000000,0.000000,0.000000,0.000000,36.603444,8.807728,0.000000,394.974738,59.910600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,39.216319,0.000000,40.961554,0.000000,36.952278,11.015820,95.025942,26.988759,38.65,16.987592,337.214542,0,0,0,0,0

3,00:30-00:45,0.000000,47.770544,0.000000,0.000000,0.757898,0.000000,8.574946,660.114860,0.000000,0.000000,0.000000,76.701241,119.498093,0.000000,0.000000,11.140473,0.000000,0.000000,19.311506,56.615517,12.801542,14.610456,25.500754,99.649688,24.769941,30.822440,0.000000,0.000000,0.000000,0.000000,36.603444,8.807728,0.000000,421.741732,59.910600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,39.216319,0.000000,40.961554,0.000000,36.952278,11.015820,95.025942,26.988759,38.65,16.987592,337.214542,0,0,0,0,0

4,00:45-01:00,0.000000,47.770544,0.000000,0.000000,0.757898,0.000000,8.574946,660.114860,0.000000,0.000000,0.000000,76.701241,119.498093,0.000000,0.000000,11.140473,0.000000,0.000000,19.311506,56.615517,10.667952,0.000000,25.500754,99.649688,24.769941,30.822440,0.000000,0.000000,0.000000,0.000000,36.603444,8.807728,0.000000,421.741732,59.910600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,39.216319,0.000000,40.961554,0.000000,36.952278,11.015820,95.025942,26.988759,38.65,16.987592,337.214542,0,0,0,0,0

5,01:00-01:15,0.000000,47.770544,0.000000,0.000000,0.757898,0.000000,0.000000,660.114860,0.000000,0.000000,0.000000,76.701241,119.498093,0.000000,0.000000,12.663004,0.000000,0.000000,19.311506,56.615517,10.667952,0.000000,25.500754,99.649688,24.769941,30.822440,0.000000,0.000000,0.000000,0.000000,36.603444,8.807728,0.000000,421.741732,59.910600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,39.216319,0.000000,40.961554,0.000000,36.952278,11.015820,95.025942,26.988759,38.65,16.987592,337.214542,0,0,0,0,0

