Block,Time,NR/01012024/15012024/IEX_231227_05966,NR/01102023/19072037/LT-05,NR/15012024/15012024/HPX-TAMCTG-140124-05772,NR/01012024/31012024/HPX-GTAMLDCRA-141223-05424,NR/01012024/31032024/ ChanjuII,NR/01012024/15012024/HPX-TAMDLY-271223-05546,NR/01102023/31102037/L_NR_2019_11,NR/01012024/31012024/HP-27,NR/30092023/31122025/SH-07,NR/01012024/31012024/HPX-TAMLDCRA-141223-05419,NR/01102023/30042040/GNA_LT_36,NR/01102023/30042040/GNA_LT_35,NR/01012024/15012024/IEX_231227_05965,NR/01012024/31012024/HP-26,NR/06012024/31012024/NVVN/OA/16855,NR/01102023/06022042/L_NR_2012_07,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/05012040/L_NR_2020_02,NR/01102023/31052040/LT-31,NR/20122023/29022024/IEX_LDC_231218_00501,NR/01102023/06022042/L_NR_2012_02,NR/01102023/25122043/GNA_MEJA_DELHI,NR/30092023/26122029/SH-06,NR/01102023/15082037/GNA_NR_2012_01,NR/20122023/29022024/IEX_LDC_231218_00502,NR/01102023/22052037/LT-59,NR/01012024/31012024/5412UPCL/CE(Comm)/SE/Banking dt. 17.11.2023,NR/01012024/31012024/HPX-GTAMLDCRA-141223-05423,NR/01012024/31012024/52,SR/01102023/07102043/L_NR_2018_61,NR/01012024/31012024/HP-28,NR/01102023/23072042/L_NR_2012_04,WR/01102023/29112042/L_NR_2019_05,WR/01102023/30052048/L_NR_2022_10,NR/05012024/31012024/SJVN050124NR1342,NR/05012024/31012024/SJVN050124NR1341,NR/22102023/11042047/L_NR_2021_17,NR/26072023/25122043/L_NR_2023_10,NR/01102023/13082046/L_NR_2021_12,NR/01102023/02012046/L_NR_2021_17,WR/01102023/31032046/L_NR_2020_05,WR/01102023/01102023/L_NR_2020_06,WR/01102023/01102023/L_NR_2022_09,NR/22102023/11042047/L_NR_2021_16,NR/01102023/14082046/L_NR_2021_16,NR/01102023/25072045/L_NR_2021_15,NR/01102023/08032047/L_NR_2021_14,NR/26072023/31072042/L_NR_2023_07,L_NR_2019_19,WR/01102023/16072048/L_NR_2022_08,NR/01102023/02122045/L_NR_2021_13,WR/01102023/24112044/L_NR_2020_07,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/29112042/RUMS(L_NR_2019_06)
1,00:00-00:15,48.000000,69.980000,0.000000,18.240000,1.560000,48.000000,1.070000,57.160000,25.820000,6.720000,0.000000,0.000000,95.990000,152.120000,28.800000,32.640000,23.040000,1.430000,0.000000,8.160000,109.430000,0.000000,25.820000,48.000000,11.520000,0.730000,48.000000,5.760000,0.000000,13.71,24.470000,191.980000,0,23.18,0,0,0,0,0,0,30,10,23.18,0,0,0,0,0,0,6.66,0,10,0,0

2,00:15-00:30,48.000000,69.980000,0.000000,18.240000,1.560000,48.000000,1.070000,57.160000,25.820000,6.720000,0.000000,0.000000,95.990000,152.120000,28.800000,32.640000,23.040000,1.430000,0.000000,8.160000,109.430000,0.000000,25.820000,48.000000,11.520000,0.730000,48.000000,5.760000,0.000000,12.71,24.470000,148.480000,0,22.94,0,0,0,0,0,0,30,10,22.94,0,0,0,0,0,0,6.66,0,10,0,0

3,00:30-00:45,48.000000,69.980000,0.000000,18.240000,1.560000,48.000000,1.070000,57.160000,25.820000,6.720000,0.000000,0.000000,95.990000,152.120000,28.800000,32.640000,23.040000,1.430000,0.000000,8.160000,109.430000,0.000000,25.820000,48.000000,11.520000,0.730000,48.000000,5.760000,0.000000,11.78,24.470000,148.480000,0,22.47,0,0,0,0,0,0,29.82,9.95,22.47,0,0,0,0,0,0,10.21,0,9.94,0,0

4,00:45-01:00,48.000000,69.980000,0.000000,18.240000,1.560000,48.000000,1.070000,57.160000,25.820000,6.720000,0.000000,0.000000,95.990000,152.120000,28.800000,32.640000,23.040000,1.430000,0.000000,8.160000,109.430000,0.000000,25.820000,48.000000,11.520000,0.730000,48.000000,5.760000,0.000000,10.84,24.470000,148.480000,0,21.94,0,0,0,0,0,0,28.39,9.47,21.94,0,0,0,0,0,0,10.19,0,9.46,0,0

5,01:00-01:15,48.000000,69.980000,0.000000,18.240000,1.470000,48.000000,1.070000,57.160000,25.820000,6.720000,0.000000,0.000000,95.990000,152.120000,28.800000,32.640000,24.000000,1.430000,0.000000,8.160000,109.430000,0.000000,25.820000,48.000000,11.520000,0.730000,48.000000,5.760000,0.000000,9.96,24.470000,148.480000,0,20.95,0,0,0,0,0,0,27.38,9.13,20.95,0,0,0,0,0,0,10.1,0,9.12,0,0

6,01:15-01:30,48.000000,69.980000,0.000000,18.240000,1.470000,48.000000,1.070000,57.160000,25.820000,6.720000,0.000000,0.000000,95.990000,152.120000,28.800000,32.640000,24.000000,1.430000,0.000000,8.160000,109.430000,0.000000,25.820000,48.000000,11.520000,0.730000,48.000000,5.760000,0.000000,9.83,24.470000,148.480000,0,19.86,0,0,0,0,0,0,26.21,8.72,19.86,0,0,0,0,0,0,10.08,0,8.74,0,0

7,01:30-01:45,48.000000,69.980000,0.000000,18.240000,1.470000,48.000000,1.070000,57.160000,25.820000,6.720000,0.000000,0.000000,95.990000,152.120000,28.800000,32.640000,24.000000,1.430000,0.000000,8.160000,109.430000,0.000000,25.820000,48.000000,11.520000,0.730000,48.000000,5.760000,0.000000,9.95,24.470000,148.480000,0,19,0,0,0,0,0,0,25.32,8.43,19,0,0,0,0,0,0,9.92,0,8.44,0,0

8,01:45-02:00,48.000000,69.980000,0.000000,18.240000,1.470000,48.000000,1.070000,57.160000,25.820000,6.720000,0.000000,0.000000,95.990000,152.120000,28.800000,32.640000,24.000000,1.430000,0.000000,8.160000,109.430000,0.000000,25.820000,48.000000,11.520000,0.730000,48.000000,5.760000,0.000000,10.1,24.470000,148.480000,0,18.1,0,0,0,0,0,0,24.24,8.08,18.1,0,0,0,0,0,0,9.77,0,8.08,0,0

9,02:00-02:15,48.000000,69.980000,0.000000,18.240000,1.470000,48.000000,1.030000,57.160000,25.820000,6.720000,0.000000,0.000000,95.990000,152.120000,28.800000,32.640000,24.000000,1.430000,0.000000,8.160000,109.430000,0.000000,25.820000,48.000000,11.520000,0.730000,48.000000,5.760000,0.000000,11.01,24.470000,148.480000,0,26.51,0,0,0,0,0,0,23.68,7.9,26.51,0,0,0,0,0,0,9.64,0,7.89,0,0

10,02:15-02:30,48.000000,69.980000,0.000000,18.240000,1.470000,48.000000,1.030000,57.160000,25.820000,6.720000,0.000000,0.000000,95.990000,152.120000,28.800000,32.640000,24.000000,1.430000,0.000000,8.160000,109.430000,0.000000,25.820000,48.000000,11.520000,0.730000,48.000000,5.760000,0.000000,11.01,24.470000,148.480000,0,26.27,0,0,0,0,0,0,23.13,7.71,26.27,0,0,0,0,0,0,9.41,0,7.71,0,0

11,02:30-02:45,48.000000,69.980000,0.000000,18.240000,1.470000,48.000000,1.030000,57.160000,25.820000,6.720000,0.000000,0.000000,95.990000,152.120000,28.800000,32.640000,24.000000,1.430000,0.000000,8.160000,109.430000,0.000000,25.820000,48.000000,11.520000,0.730000,48.000000,5.760000,0.000000,11.01,24.470000,148.480000,0,25.8,0,0,0,0,0,0,22.9,7.63,25.8,0,0,0,0,0,0,7.34,0,7.63,0,0

12,02:45-03:00,48.000000,69.980000,0.000000,18.240000,1.470000,48.000000,1.030000,57.160000,25.820000,6.720000,0.000000,0.000000,95.990000,152.120000,28.800000,32.640000,24.000000,1.430000,0.000000,8.160000,109.430000,0.000000,25.820000,48.000000,11.520000,0.730000,48.000000,5.760000,0.000000,11.01,24.470000,148.480000,0,25.28,0,0,0,0,0,0,22.81,7.6,25.28,0,0,0,0,0,0,7.34,0,7.6,0,0

13,03:00-03:15,48.000000,69.980000,0.000000,18.240000,1.470000,48.000000,1.030000,57.160000,25.820000,6.720000,0.000000,0.000000,95.990000,152.120000,28.800000,32.640000,24.000000,1.430000,0.000000,8.160000,109.430000,0.000000,25.820000,48.000000,11.520000,0.730000,48.000000,5.760000,0.000000,11.01,24.470000,148.480000,0,24.28,0,0,0,0,0,0,22.78,7.61,24.28,0,0,0,0,0,0,7.34,0,7.59,0,0

