Column1,Time,WR/01102023/29112042/L_NR_2019_05,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/30052048/L_NR_2022_10,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/26072023/31072042/L_NR_2023_07,L_NR_2019_19,NR/01102023/13082046/L_NR_2021_12,WR/01102023/01102023/L_NR_2020_06,NR/26072023/25122043/L_NR_2023_10,NR/01102023/08032047/L_NR_2021_14,NR/22102023/11042047/L_NR_2021_16,WR/01102023/24112044/L_NR_2020_07,NR/22102023/11042047/L_NR_2021_17,WR/01102023/01102023/L_NR_2022_09,NR/01102023/25072045/L_NR_2021_15,WR/01102023/31032046/L_NR_2020_05,WR/01102023/16072048/L_NR_2022_08,NR/01102023/02122045/L_NR_2021_13,SR/01102023/07102043/L_NR_2018_61,NR/01102023/30042040/GNA_LT_35,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/30042040/GNA_LT_36,GNA/NR/2024/12/01/1899,NR/01102023/06022042/L_NR_2012_02,NR/01102023/22052037/LT-59,GNA/NR/2024/12/01/1599,NR/01102023/06022042/L_NR_2012_07,GNA/SR/2024/12/01/6968,NR/01102023/31102037/L_NR_2019_11,GNA/NR/2024/12/01/1475,GNA/NR/2024/12/01/7739,GNA/NR/2024/12/01/1766,NR/30092023/31122025/SH-07,GNA/WR/2024/10/15/7089,NR/01102023/05012040/L_NR_2020_02,GNA/NR/2024/12/01/3428,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/30092023/26122029/SH-06,NR/01102023/19072037/LT-05,GNA/WR/2024/11/01/4200,NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2024/12/01/2197,NR/01102023/31052040/LT-31
1,00:00-00:15,0,0,57.34,0,0,0,0,21.67,0,0,0,21.67,0,57.33,0,64.99,13.67,0,7,0,1.92,74.78,0,8.66,99.36,1.55,95.13,65.99,150,1.14,25.97,31.71,25.97,0,0,1.62,8.66,25.24,0,35.06,0,0,25.97,0

2,00:15-00:30,0,0,56,0,0,0,0,20.83,0,0,0,20.83,0,56,0,62.51,12.67,0,7,0,1.92,74.78,0,8.66,99.36,1.55,95.13,65.99,150,1.14,25.97,31.71,25.97,0,0,1.62,8.66,25.24,0,35.06,0,0,25.97,0

3,00:30-00:45,0,0,46,0,0,0,0,20,0,0,0,20,0,46,0,60,11.67,0,7,0,1.92,74.78,0,8.66,69.24,1.55,95.13,59.63,150,1.14,25.97,31.71,25.97,0,0,1.62,8.66,25.24,0,35.06,0,0,25.97,0

4,00:45-01:00,0,0,42.33,0,0,0,0,19.5,0,0,0,19.5,0,42.33,0,58.5,10.67,0,7,0,1.92,74.78,0,8.66,69.24,1.55,95.13,59.63,150,1.14,25.97,31.71,25.97,0,0,1.62,8.66,26.24,0,35.06,0,0,25.97,0

5,01:00-01:15,0,0,38.33,0,0,0,0,18.67,0,0,0,18.67,0,38.33,0,55.99,10,0,7,0,1.92,74.78,0,8.66,69.24,1.55,95.13,57.41,150,1.07,25.97,31.71,25.97,0,0,1.62,8.66,26.24,0,35.06,0,0,25.97,0

6,01:15-01:30,0,0,36,0,0,0,0,17.83,0,0,0,17.83,0,36,0,53.51,9.33,0,7,0,1.92,74.78,0,8.66,69.24,1.55,95.13,57.41,150,1.07,25.97,31.71,25.97,0,0,1.62,8.66,26.24,0,35.06,0,0,25.97,0

7,01:30-01:45,0,0,32.33,0,0,0,0,11.67,0,0,0,11.67,0,32.33,0,34.99,8.67,0,7,0,1.92,74.78,0,8.66,69.24,1.55,95.13,57.41,150,1.07,25.97,31.71,25.97,0,0,1.62,8.66,26.24,0,35.06,0,0,25.97,0

8,01:45-02:00,0,0,31,0,0,0,0,11.33,0,0,0,11.33,0,31,0,34.01,8,0,7,0,1.92,74.78,0,8.66,69.24,1.55,95.13,57.41,150,1.07,25.97,31.71,25.97,0,0,1.62,8.66,26.24,0,35.06,0,0,25.97,0

9,02:00-02:15,0,0,39.34,0,0,0,0,10.83,0,0,0,10.83,0,39.33,0,32.51,6.67,0,7,0,1.92,74.78,0,8.66,69.24,1.55,95.13,57.41,150,1.07,25.97,31.71,25.97,0,0,1.62,8.66,25.24,0,35.06,0,0,25.97,0

10,02:15-02:30,0,0,38.34,0,0,0,0,10.83,0,0,0,10.83,0,38.33,0,32.51,6.67,0,7,0,1.92,74.78,0,8.66,69.24,1.55,95.13,57.41,150,1.07,25.97,31.71,25.97,0,0,1.62,8.66,25.24,0,35.06,0,0,25.97,0

11,02:30-02:45,0,0,56.66,0,0,0,0,16.67,0,0,0,16.67,0,56.67,0,49.99,8.33,0,7,0,1.92,74.78,0,8.66,69.24,1.55,95.13,57.41,150,1.14,25.97,31.71,25.97,0,0,1.62,8.66,25.24,0,35.06,0,0,25.97,0

12,02:45-03:00,0,0,56,0,0,0,0,17,0,0,0,17,0,56,0,51,9,0,7,0,1.92,74.78,0,8.66,69.24,1.55,95.13,57.41,150,1.14,25.97,31.71,25.97,0,0,1.62,8.66,24.73,0,35.06,0,0,25.97,0

13,03:00-03:15,0,0,46,0,0,0,0,17.33,0,0,0,17.33,0,46,0,52.01,9.67,0,7,0,1.92,74.78,0,8.66,69.24,0.69,95.13,57.41,150,1.14,25.97,31.71,25.97,0,0,1.62,8.66,24.73,0,35.06,0,0,25.97,0

14,03:15-03:30,0,0,44.66,0,0,0,0,17.67,0,0,0,17.67,0,44.67,0,52.99,10.33,0,7,0,1.92,74.78,0,8.66,69.24,0.69,95.13,57.41,150,1.14,25.97,31.71,25.97,0,0,1.62,8.66,24.73,0,35.06,0,0,25.97,0

15,03:30-03:45,0,0,44,0,0,0,0,17.67,0,0,0,17.67,0,44,0,52.99,11,0,7,0,1.92,74.78,0,8.66,69.24,0.69,95.13,57.41,150,1.14,25.97,31.71,25.97,0,0,1.62,8.66,24.73,0,35.06,0,0,25.97,0

16,03:45-04:00,0,0,42.66,0,0,0,0,17.67,0,0,0,17.67,0,42.67,0,52.99,11.67,0,7,0,1.92,74.78,0,8.66,69.24,0.69,95.13,57.41,150,1.14,25.97,31.71,25.97,0,0,1.62,8.66,24.73,0,35.06,0,0,25.97,0

17,04:00-04:15,0,0,31.34,0,0,0,0,17.67,0,0,0,17.67,0,31.33,0,52.99,12,0,7,0,1.92,74.78,0,8.66,99.36,0.69,95.13,65.99,150,1.14,25.97,31.71,25.97,0,0,1.62,8.66,24.73,0,35.06,0,0,25.97,0

18,04:15-04:30,0,0,32,0,0,0,0,17.67,0,0,0,17.67,0,32,0,52.99,12.33,0,7,0,1.92,74.78,0,8.66,99.36,0.69,95.13,65.99,150,1.14,25.97,31.71,25.97,0,0,1.62,8.66,24.73,0,35.06,0,0,25.97,0

19,04:30-04:45,0,0,45,0,0,0,0,18.17,0,0,0,18.17,0,45,0,54.49,10,0,7,0,1.92,74.78,0,8.66,99.36,0.69,95.13,65.99,150,1.14,25.97,31.71,25.97,0,0,1.62,8.66,24.73,0,35.06,0,0,25.97,0

20,04:45-05:00,0,0,46.66,0,0,0,0,17.17,0,0,0,17.17,0,46.67,0,51.49,10.33,0,7,0,1.92,74.78,0,8.66,99.36,0.69,95.13,65.99,150,1.14,25.97,31.71,25.97,0,0,1.62,8.66,24.73,0,35.06,0,0,25.97,0

