Time,Block,WR/2024/21351/A/5530,NR/2024/18702/C,NR/2024/18445/A/5541,NR/2024/18388/A/5420,NR/2024/18700/C,WR/2024/21355/A/5542,NR/2024/18699/C,NR/2024/18701/C,NR/2024/18436/A/5465,NER/2024/1922/A/5527,NER/2024/1934/A/5526,Total
,,APPCPL,SJVNL,MANIKARAN,ITCLH,SJVNL,MANIKARAN,NVVNL,SJVNL,IEXL,APPCPL,APPCPL,Total

,,DELHI,TELANGANA,DELHI,ANDHRA PRADESH,UTTAR PRADESH,DELHI,NA,UTTAR PRADESH,MAHARASHTRA,DELHI,DELHI,
,,BRPL,NSLKSLWPRTY,BRPL,ITCWIND,BCMLB001,BRPL,SOLAPUR_SOLAR,BCMLUH,A_A_Energy_MH_Bio,BRPL,BYPL,
,,GOA,DELHI,HIMACHAL PRADESH,DELHI,DELHI,GOA,DELHI,DELHI,DELHI,MANIPUR,NAGALAND,
,,GOA_Beneficiary,NDMC,HP,ITCLH,NDMC,GOA_Beneficiary,MES (Delhi),NDMC,MES (Delhi),Manipur_Ben,Nagaland_Ben,
,,North-West,South-East-North,North-North,South-West-North,North-North,North-West,West-North,North-North,West-East-North,North-East-North East,North-East-North East,
1,00:00-00:15,0.000000,0.000000,0.000000,0.390000,0.000000,0.000000,0,0.000000,7.720000,25.000000,20.000000,53.11

2,00:15-00:30,0.000000,0.000000,0.000000,0.390000,0.000000,0.000000,0,0.000000,7.720000,25.000000,20.000000,53.11

3,00:30-00:45,0.000000,0.000000,0.000000,0.390000,0.000000,0.000000,0,0.000000,7.720000,25.000000,20.000000,53.11

4,00:45-01:00,0.000000,0.000000,0.000000,0.390000,0.000000,0.000000,0,0.000000,7.720000,25.000000,20.000000,53.11

5,01:00-01:15,0.000000,0.000000,0.000000,0.390000,0.000000,0.000000,0,0.000000,7.720000,25.000000,20.000000,53.11

6,01:15-01:30,0.000000,0.000000,0.000000,0.390000,0.000000,0.000000,0,0.000000,7.720000,25.000000,20.000000,53.11

7,01:30-01:45,0.000000,0.000000,0.000000,0.390000,0.000000,0.000000,0,0.000000,7.720000,25.000000,20.000000,53.11

8,01:45-02:00,0.000000,0.000000,0.000000,0.390000,0.000000,0.000000,0,0.000000,7.720000,25.000000,20.000000,53.11

9,02:00-02:15,0.000000,0.000000,0.000000,0.390000,0.000000,0.000000,0,0.000000,7.720000,25.000000,20.000000,53.11

10,02:15-02:30,0.000000,0.000000,0.000000,0.390000,0.000000,0.000000,0,0.000000,7.720000,25.000000,20.000000,53.11

11,02:30-02:45,0.000000,0.000000,0.000000,0.390000,0.000000,0.000000,0,0.000000,7.720000,25.000000,20.000000,53.11

12,02:45-03:00,0.000000,0.000000,0.000000,0.390000,0.000000,0.000000,0,0.000000,7.720000,25.000000,20.000000,53.11

13,03:00-03:15,0.000000,0.000000,0.000000,0.390000,0.000000,0.000000,0,0.000000,7.720000,25.000000,20.000000,53.11

14,03:15-03:30,0.000000,0.000000,0.000000,0.390000,0.000000,0.000000,0,0.000000,7.720000,25.000000,20.000000,53.11

15,03:30-03:45,0.000000,0.000000,0.000000,0.390000,0.000000,0.000000,0,0.000000,7.720000,25.000000,20.000000,53.11

16,03:45-04:00,0.000000,0.000000,0.000000,0.390000,0.000000,0.000000,0,0.000000,7.720000,25.000000,20.000000,53.11

17,04:00-04:15,0.000000,0.000000,0.000000,0.390000,0.000000,0.000000,0,0.000000,7.720000,25.000000,20.000000,53.11

18,04:15-04:30,0.000000,0.000000,0.000000,0.390000,0.000000,0.000000,0,0.000000,7.720000,25.000000,20.000000,53.11

19,04:30-04:45,0.000000,0.000000,0.000000,0.390000,0.000000,0.000000,0,0.000000,7.720000,25.000000,20.000000,53.11

20,04:45-05:00,0.000000,0.000000,0.000000,0.390000,0.000000,0.000000,0,0.000000,7.720000,25.000000,20.000000,53.11

21,05:00-05:15,0.000000,0.000000,0.000000,0.390000,0.000000,0.000000,0,0.000000,7.720000,25.000000,20.000000,53.11

22,05:15-05:30,0.000000,0.000000,0.000000,0.390000,0.000000,0.000000,0,0.000000,7.720000,25.000000,20.000000,53.11

23,05:30-05:45,0.000000,0.000000,0.000000,0.390000,0.000000,0.000000,0,0.000000,7.720000,25.000000,20.000000,53.11

24,05:45-06:00,0.000000,0.000000,0.000000,0.390000,0.000000,0.000000,0,0.000000,7.720000,25.000000,20.000000,53.11

25,06:00-06:15,0.000000,0.000000,132.980000,0.430000,0.000000,0.000000,0,0.000000,7.720000,25.000000,20.000000,186.13

26,06:15-06:30,0.000000,0.000000,132.980000,0.430000,0.000000,0.000000,0,0.000000,7.720000,25.000000,20.000000,186.13

27,06:30-06:45,0.000000,0.000000,132.980000,0.430000,0.000000,0.000000,0,0.000000,7.720000,25.000000,20.000000,186.13

28,06:45-07:00,0.000000,0.000000,132.980000,0.430000,0.000000,0.000000,0,0.000000,7.720000,25.000000,20.000000,186.13

29,07:00-07:15,0.000000,0.000000,132.980000,0.480000,0.000000,0.000000,0.39,0.000000,7.720000,25.000000,20.000000,186.57

30,07:15-07:30,0.000000,0.000000,132.980000,0.480000,0.000000,0.000000,0.77,0.000000,7.720000,25.000000,20.000000,186.95

31,07:30-07:45,0.000000,0.000000,132.980000,0.480000,0.000000,0.000000,1.45,0.000000,7.720000,25.000000,20.000000,187.63

32,07:45:08:00,0.000000,0.000000,132.980000,0.480000,0.000000,0.000000,1.93,0.000000,7.720000,25.000000,20.000000,188.11

