Column1,Block,GNA/NR/2025/02/01/2594,GNA/NR/2025/02/01/2143,GNA/NR/2025/02/01/5886,GNA/WR/2025/01/01/9606,GNA/NR/2025/02/01/4863,GNA/WR/2024/11/01/4200,NR/30092023/26122029/SH-06,NR/2024/24418/A/52174,NR/2025/24992/A/52202,NER/2025/2918/A/52474,NR/30092023/31122025/SH-07,GNA/WR/2025/01/01/8625,NR/2025/25191/C,NR/2025/25070/A/52438,NR/2025/24882/A/52204,NR/2025/25070/A/52665,WR/2025/26047/A/52475,ER/2025/15683/A/52472,NR/2025/25192/C,GNA/NR/2025/02/01/9969,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/SR/2025/02/01/7432,GNA/SR/2025/02/01/6460,Total
,,NDMC,NDMC,NDMC,APPCPL,NDMC,MANIKARAN,PUNJAB,ITCLH,IEXL,APPCPL,BAWANA_GAS,TPTCL,SJVNL,NVVNL,IEXL,NVVNL,APPCPL,APPCPL,SJVNL,NDMC,DELHI,APPCPL,APPCPL,
,,NA,NA,NA,DELHI_UT,NA,DELHI_UT,DELHI_UT,ANDHRA_PRADESH_STATE,KARNATAKA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,NA,NA,TELANGANA_State,NA,DELHI_UT,DELHI_UT,NA,NA,HIMACHAL_STATE,DELHI_UT,DELHI_UT,
,,RKM_POWER,RKM_POWER,TRN_ENERGY,BYPL,SKS_Raigarh,BRPL,BAWANA_GAS,ITCWIND,NSLSUGARALAND,BYPL,BAWANA_GAS,BYPL,TPSL_BKN2,JIPL,NSLKSLWPRTY,JIPL,BRPL,BYPL,RSRPL_BKN,JPL2,CHANJUII,BYPL,BYPL,
,,DELHI_UT,DELHI_UT,DELHI_UT,MSEB_State,DELHI_UT,MSEB_State,PUNJAB_STATE,DELHI_UT,DELHI_UT,Manipur_State,HARYANA_STATE,MSEB_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,GOA_State,SIKKIM_STATE,DELHI_UT,DELHI_UT,DELHI_UT,KERALA_State,KERALA_State,
,,NDMC,NDMC,NDMC,AEML,NDMC,AEML,PUNJAB,ITCLH,MES_Delhi,Manipur_Ben,HARYANA,TPC_MSEB,NDMC,NDMC,MES_Delhi,NDMC,GOA_Beneficiary,SIKKIM,NDMC,NDMC,TPDDL,KSEB,KSEB,
,,West-North,West-North,West-North,North-West,West-North,North-West,North-North,South-West-North,South-West-North,North-East-North East,North-North,North-West,North-North,East-North,South-West-North,East-North,North-West,North-East,North-North,West-North,North-North,North-West-South,North-West-South,
1,00:00-00:15,23.08,23.08,8.66,0,8.66,0,26.99,0.38,6.73,9.18,26.99,0,0,14.29,2.89,0,0,7.34,0,23.08,1.47,0,75,257.81999999999994

2,00:15-00:30,23.08,23.08,8.66,0,8.66,0,26.99,0.38,6.73,9.18,26.99,0,0,14.29,2.89,0,0,7.34,0,23.08,1.47,0,75,257.81999999999994

3,00:30-00:45,23.08,23.08,8.66,0,8.66,0,26.99,0.38,6.73,9.18,26.99,0,0,14.29,2.89,0,0,7.34,0,23.08,1.47,0,75,257.81999999999994

4,00:45-01:00,23.08,23.08,8.66,0,8.66,0,26.99,0.38,6.73,9.18,26.99,0,0,14.29,2.89,0,0,7.34,0,23.08,1.47,0,75,257.81999999999994

5,01:00-01:15,23.08,23.08,8.66,0,8.66,0,26.99,0.38,6.73,9.18,26.99,0,0,14.29,2.89,0,0,7.34,0,23.08,1.47,0,75,257.81999999999994

6,01:15-01:30,23.08,23.08,8.66,0,8.66,0,26.99,0.38,6.73,9.18,26.99,0,0,14.29,2.89,0,0,7.34,0,23.08,1.47,0,75,257.81999999999994

7,01:30-01:45,23.08,23.08,8.66,0,8.66,0,26.99,0.38,6.73,9.18,26.99,0,0,14.29,2.89,0,0,7.34,0,23.08,1.47,0,75,257.81999999999994

8,01:45-02:00,23.08,23.08,8.66,0,8.66,0,26.99,0.38,6.73,9.18,26.99,0,0,14.29,2.89,0,0,7.34,0,23.08,1.47,0,75,257.81999999999994

9,02:00-02:15,23.08,23.08,8.66,0,8.66,0,26.99,0.38,6.73,9.18,26.99,0,0,14.29,2.89,0,0,7.34,0,23.08,1.47,0,75,257.81999999999994

10,02:15-02:30,23.08,23.08,8.66,0,8.66,0,26.99,0.38,6.73,9.18,26.99,0,0,14.29,2.89,0,0,7.34,0,23.08,1.47,0,75,257.81999999999994

11,02:30-02:45,23.08,23.08,8.66,0,8.66,0,26.99,0.38,6.73,9.18,26.99,0,0,14.29,2.89,0,0,7.34,0,23.08,1.47,0,75,257.81999999999994

12,02:45-03:00,23.08,23.08,8.66,0,8.66,0,26.99,0.38,6.73,9.18,26.99,0,0,14.29,2.89,0,0,7.34,0,23.08,1.47,0,75,257.81999999999994

13,03:00-03:15,23.08,23.08,8.66,0,8.66,0,26.99,0.38,6.73,9.18,26.99,0,0,14.29,2.89,0,0,7.34,0,23.08,1.47,0,75,257.81999999999994

14,03:15-03:30,23.08,23.08,8.66,0,8.66,0,26.99,0.38,6.73,9.18,26.99,0,0,14.29,2.89,0,0,7.34,0,23.08,1.47,0,75,257.81999999999994

15,03:30-03:45,23.08,23.08,8.66,0,8.66,0,26.99,0.38,6.73,9.18,26.99,0,0,14.29,2.89,0,0,7.34,0,23.08,1.47,0,75,257.81999999999994

16,03:45-04:00,23.08,23.08,8.66,0,8.66,0,26.99,0.38,6.73,9.18,26.99,0,0,14.29,2.89,0,0,7.34,0,23.08,1.47,0,75,257.81999999999994

17,04:00-04:15,23.08,23.08,8.66,0,8.66,0,26.99,0.38,6.73,9.18,26.99,0,0,14.29,2.89,0,0,7.34,0,23.08,1.47,0,75,257.81999999999994

18,04:15-04:30,23.08,23.08,8.66,0,8.66,0,26.99,0.38,6.73,9.18,26.99,0,0,14.29,2.89,0,0,7.34,0,23.08,1.47,0,75,257.81999999999994

19,04:30-04:45,23.08,23.08,8.66,0,8.66,0,26.99,0.38,6.73,9.18,26.99,0,0,14.29,2.89,0,0,7.34,0,23.08,1.47,0,75,257.81999999999994

20,04:45-05:00,23.08,23.08,8.66,0,8.66,0,26.99,0.38,6.73,9.18,26.99,0,0,14.29,2.89,0,0,7.34,0,23.08,1.47,0,75,257.81999999999994

21,05:00-05:15,23.08,23.08,8.66,0,8.66,0,26.99,0.38,6.73,9.18,26.99,0,0,14.29,2.89,0,0,7.34,0,23.08,1.38,0,75,257.72999999999996

22,05:15-05:30,23.08,23.08,8.66,0,8.66,0,26.99,0.38,6.73,9.18,26.99,0,0,14.29,2.89,0,0,7.34,0,23.08,1.38,0,75,257.72999999999996

23,05:30-05:45,23.08,23.08,8.66,0,8.66,0,26.99,0.38,6.73,9.18,26.99,0,0,14.29,2.89,0,0,7.34,0,23.08,1.38,0,75,257.72999999999996

24,05:45-06:00,23.08,23.08,8.66,0,8.66,0,26.99,0.38,6.73,9.18,26.99,0,0,14.29,2.89,0,0,7.34,0,23.08,1.38,0,75,257.72999999999996

25,06:00-06:15,23.08,23.08,8.66,0,8.66,0,24.32,0.43,9.62,9.18,24.32,0,0,14.29,4.81,0,0,7.34,0,23.08,1.38,0,75,257.25

26,06:15-06:30,23.08,23.08,8.66,0,8.66,0,32,0.43,9.62,9.18,19.89,0,0,14.29,4.81,0,0,7.34,0,23.08,1.38,0,75,260.5

27,06:30-06:45,36.55,36.55,8.66,0,8.66,0,32,0.43,9.62,9.18,32,0,0,14.29,4.81,0,0,7.34,0,36.55,1.38,0,75,313.02

28,06:45-07:00,36.55,36.55,8.66,0,8.66,0,32,0.43,9.62,9.18,32,0,0,14.29,4.81,0,0,7.34,0,36.55,1.38,0,75,313.02

29,07:00-07:15,36.55,36.55,8.66,0,8.66,0,32,0.48,9.62,9.18,32,0,0,14.29,4.81,0,0,7.34,0,43.28,1.38,0,75,319.79999999999995

30,07:15-07:30,36.55,36.55,8.66,0,8.66,0,32,0.48,9.62,9.18,32,0,0,14.29,4.81,0,0,7.34,0,43.28,1.38,0,75,319.79999999999995

31,07:30-07:45,36.55,36.55,13.47,0,13.47,0,32,0.48,9.62,9.18,32,0,0,14.29,4.81,0,0,7.34,0,43.28,1.38,0,75,329.41999999999996

32,07:45-08:00,36.55,36.55,13.47,0,13.47,0,32,0.48,9.62,9.18,32,0,0,14.29,4.81,0,0,7.34,0,43.28,1.38,0,75,329.41999999999996

33,08:00-08:15,36.55,36.55,13.47,0,13.47,0,32,0.87,9.62,9.18,32,0,0,14.29,4.81,0,0,7.34,0,43.28,1.38,0,75,329.81

34,08:15-08:30,36.55,36.55,13.47,0,13.47,0,32,0.87,9.62,9.18,32,0,0,14.29,4.81,0,0,7.34,0,43.28,1.38,0,75,329.81

35,08:30-08:45,36.55,36.55,13.47,0,13.47,0,32,0.87,9.62,9.18,32,0,0,14.29,4.81,0,0,7.34,0,43.28,1.38,0,75,329.81

36,08:45-09:00,36.55,36.55,13.47,0,13.47,0,32,0.87,9.62,9.18,32,0,0,14.29,4.81,0,0,7.34,0,43.28,1.38,0,75,329.81

37,09:00-09:15,36.55,36.55,13.47,0,13.47,0,32,0.87,9.62,9.18,32,0,0,14.29,4.81,0,0,7.34,0,43.28,1.38,0,75,329.81

38,09:15-09:30,36.55,36.55,13.47,0,13.47,0,32,0.87,9.62,9.18,32,0,0,14.29,4.81,0,0,7.34,0,43.28,1.38,0,75,329.81

39,09:30-09:45,36.55,36.55,8.66,0,8.66,0,32,0.87,9.62,9.18,19.89,0,14.43,14.29,4.81,0,0,7.34,38.47,36.55,1.38,0,75,354.25

40,09:45-10:00,36.55,36.55,8.66,0,8.66,0,32,0.87,9.62,9.18,19.89,0,14.43,14.29,4.81,0,0,7.34,38.47,36.55,1.38,0,75,354.25

41,10:00-10:15,31.74,31.74,8.66,0,8.66,0,24.32,0.87,5.77,9.18,24.32,0,14.43,14.29,3.85,0,0,7.34,38.47,31.74,1.38,0,75,331.76

42,10:15-10:30,31.74,31.74,8.66,0,8.66,0,24.32,0.87,5.77,9.18,24.32,0,14.43,14.29,3.85,0,0,7.34,38.47,31.74,1.38,0,75,331.76

43,10:30-10:45,31.74,31.74,8.66,0,8.66,0,26.99,0.87,5.77,9.18,26.99,0,14.43,14.29,3.85,0,0,7.34,38.47,31.74,1.38,0,75,337.09999999999997

44,10:45-11:00,31.74,31.74,8.66,0,8.66,0,26.99,0.87,5.77,9.18,26.99,0,14.43,14.29,3.85,0,0,7.34,38.47,31.74,1.38,0,75,337.09999999999997

45,11:00-11:15,30.78,30.78,8.66,0,8.66,0,26.99,0.87,5.77,9.18,26.99,0,14.43,14.29,3.85,0,0,7.34,38.47,30.78,1.38,0,75,334.22

46,11:15-11:30,30.78,30.78,8.66,0,8.66,0,26.99,0.87,5.77,9.18,26.99,0,14.43,14.29,3.85,0,0,7.34,38.47,30.78,1.38,0,75,334.22

47,11:30-11:45,30.78,30.78,8.66,0,8.66,0,26.99,0.87,5.77,9.18,26.99,0,14.43,14.29,3.85,0,0,7.34,38.47,30.78,1.38,0,75,334.22

48,11:45-12:00,30.78,30.78,8.66,0,8.66,0,26.99,0.87,5.77,9.18,26.99,0,14.43,14.29,3.85,0,0,7.34,38.47,30.78,1.38,0,75,334.22

49,12:00-12:15,30.78,30.78,8.66,0,8.66,0,26.99,0.87,5.77,9.18,26.99,0,14.43,14.29,3.85,0,0,7.34,38.47,30.78,1.38,0,75,334.22

50,12:15-12:30,30.78,30.78,8.66,0,8.66,0,26.99,0.87,5.77,9.18,26.99,0,14.43,14.29,3.85,0,0,7.34,38.47,30.78,1.38,0,75,334.22

51,12:30-12:45,30.78,30.78,8.66,0,8.66,0,26.99,0.87,5.77,9.18,26.99,0,14.43,14.29,3.85,0,0,7.34,38.47,30.78,1.38,0,75,334.22

52,12:45-13:00,30.78,30.78,8.66,0,8.66,0,26.99,0.87,5.77,9.18,26.99,0,14.43,14.29,3.85,0,0,7.34,38.47,30.78,1.38,0,75,334.22

53,13:00-13:15,23.08,23.08,8.66,0,8.66,0,26.99,0.87,5.77,9.18,26.99,0,14.43,14.29,3.85,0,0,7.34,38.47,23.08,1.38,0,75,311.12

54,13:15-13:30,23.08,23.08,8.66,0,8.66,0,26.99,0.87,5.77,9.18,26.99,0,14.43,14.29,3.85,0,0,7.34,38.47,23.08,1.38,0,75,311.12

55,13:30-13:45,23.08,23.08,8.66,0,8.66,0,26.99,0.87,5.77,9.18,26.99,0,14.43,14.29,3.85,0,0,7.34,38.47,23.08,1.38,0,75,311.12

56,13:45-14:00,23.08,23.08,8.66,0,8.66,0,26.99,0.87,5.77,9.18,26.99,0,14.43,14.29,3.85,0,0,7.34,38.47,23.08,1.38,0,75,311.12

57,14:00-14:15,23.08,23.08,8.66,0,8.66,0,26.99,0.87,5.77,9.18,26.99,0,14.43,14.29,3.85,0,0,7.34,38.47,23.08,1.38,0,75,311.12

58,14:15-14:30,23.08,23.08,8.66,0,8.66,0,26.99,0.87,5.77,9.18,26.99,0,14.43,14.29,3.85,0,0,7.34,38.47,23.08,1.38,0,75,311.12

59,14:30-14:45,23.08,23.08,8.66,0,8.66,0,26.99,0.87,5.77,9.18,26.99,0,14.43,14.29,3.85,0,0,7.34,38.47,23.08,1.38,0,75,311.12

60,14:45-15:00,23.08,23.08,8.66,0,8.66,0,26.99,0.87,5.77,9.18,26.99,0,14.43,14.29,3.85,0,0,7.34,38.47,23.08,1.38,0,75,311.12

61,15:00-15:15,23.08,23.08,8.66,0,8.66,0,26.99,0.67,5.77,9.18,26.99,0,14.43,14.29,3.85,0,0,7.34,38.47,23.08,1.38,0,75,310.91999999999996

62,15:15-15:30,23.08,23.08,8.66,0,8.66,0,26.99,0.67,5.77,9.18,26.99,0,14.43,14.29,3.85,0,0,7.34,38.47,23.08,1.38,0,75,310.91999999999996

63,15:30-15:45,23.08,23.08,8.66,0,8.66,0,26.99,0.67,5.77,9.18,26.99,0,14.43,14.29,3.85,0,0,7.34,38.47,23.08,1.38,0,75,310.91999999999996

64,15:45-16:00,23.08,23.08,8.66,0,8.66,0,26.99,0.67,5.77,9.18,26.99,0,14.43,14.29,3.85,0,0,7.34,38.47,23.08,1.38,0,75,310.91999999999996

65,16:00-16:15,23.08,23.08,8.66,0,8.66,0,26.99,0.53,5.77,9.18,26.99,0,14.43,14.29,3.85,0,0,7.34,38.47,23.08,1.38,0,75,310.78

66,16:15-16:30,23.08,23.08,8.66,0,8.66,0,26.99,0.53,5.77,9.18,26.99,0,14.43,14.29,3.85,0,0,7.34,38.47,23.08,1.38,0,75,310.78

67,16:30-16:45,23.08,23.08,8.66,0,8.66,0,26.99,0.53,5.77,9.18,26.99,0,16.54,14.29,3.85,0,0,7.34,36.36,23.08,1.38,0,75,310.78

68,16:45-17:00,23.08,23.08,8.66,0,8.66,0,26.99,0.53,5.77,9.18,26.99,0,20.2,14.29,3.85,0,0,7.34,26.26,23.08,1.38,0,75,304.34

69,17:00-17:15,36.55,36.55,8.66,0,8.66,0,26.99,0.53,9.62,9.18,26.99,0,0,14.29,4.81,0,0,7.34,0,36.55,1.38,0,75,303.09999999999997

70,17:15-17:30,36.55,36.55,8.66,0,8.66,0,26.99,0.53,9.62,9.18,26.99,0,0,14.29,4.81,0,0,7.34,0,36.55,1.38,0,75,303.09999999999997

71,17:30-17:45,36.55,36.55,13.47,0,13.47,0,32,0.53,9.62,9.18,32,0,0,14.29,4.81,0,0,7.34,0,43.28,1.38,0,75,329.47

72,17:45-18:00,36.55,36.55,13.47,0,13.47,0,32,0.53,9.62,9.18,32,0,0,14.29,4.81,0,0,7.34,0,43.28,1.38,0,75,329.47

73,18:00-18:15,36.55,36.55,13.47,200,13.47,50,32,0.53,9.62,9.18,32,0,0,14.29,4.81,0,38.47,7.34,0,43.28,1.38,0,75,617.94

74,18:15-18:30,36.55,36.55,13.47,200,13.47,50,32,0.53,9.62,9.18,32,0,0,14.29,4.81,0,38.47,7.34,0,43.28,1.38,0,75,617.94

75,18:30-18:45,36.55,36.55,13.47,200,13.47,50,32,0.53,9.62,9.18,32,0,0,14.29,4.81,0,38.47,7.34,0,43.28,1.38,50,75,667.94

76,18:45-19:00,36.55,36.55,13.47,200,13.47,50,32,0.53,9.62,9.18,32,0,0,14.29,4.81,0,38.47,7.34,0,43.28,1.38,50,75,667.94

77,19:00-19:15,36.55,36.55,13.47,200,13.47,50,32,0.63,9.62,9.18,32,0,0,14.29,4.81,0,38.47,7.34,0,43.28,1.47,50,75,668.1300000000001

78,19:15-19:30,36.55,36.55,13.47,200,13.47,50,32,0.63,9.62,9.18,32,0,0,14.29,4.81,0,38.47,7.34,0,43.28,1.47,50,75,668.1300000000001

79,19:30-19:45,36.55,36.55,13.47,200,13.47,50,32,0.63,9.62,9.18,26.12,0,0,14.29,4.81,0,38.47,7.34,0,43.28,1.47,50,75,662.2500000000001

80,19:45-20:00,36.55,36.55,13.47,200,13.47,50,32,0.63,9.62,9.18,26.12,0,0,14.29,4.81,0,38.47,7.34,0,43.28,1.47,50,75,662.2500000000001

81,20:00-20:15,31.74,31.74,8.66,150,8.66,50,32,0.63,5.77,9.18,26.12,0,0,14.29,3.85,0,38.47,7.34,0,31.74,1.47,50,75,576.6600000000001

82,20:15-20:30,31.74,31.74,8.66,150,8.66,50,32,0.63,5.77,9.18,26.12,0,0,14.29,3.85,0,38.47,7.34,0,31.74,1.47,50,75,576.6600000000001

83,20:30-20:45,31.74,31.74,8.66,150,8.66,50,32,0.63,5.77,9.18,26.12,0,0,14.29,3.85,0,38.47,7.34,0,31.74,1.47,50,75,576.6600000000001

84,20:45-21:00,31.74,31.74,8.66,150,8.66,50,32,0.63,5.77,9.18,26.12,0,0,14.29,3.85,0,38.47,7.34,0,31.74,1.47,50,75,576.6600000000001

85,21:00-21:15,31.74,31.74,8.66,150,8.66,50,26.99,0.58,5.77,9.18,26.99,0,0,14.29,3.85,0,38.47,7.34,0,31.74,1.47,50,75,572.47

86,21:15-21:30,31.74,31.74,8.66,150,8.66,50,26.99,0.58,5.77,9.18,26.99,0,0,14.29,3.85,0,38.47,7.34,0,31.74,1.47,50,75,572.47

87,21:30-21:45,31.74,31.74,8.66,150,8.66,50,26.99,0.58,5.77,9.18,26.99,0,0,14.29,3.85,0,38.47,7.34,0,31.74,1.47,50,75,572.47

88,21:45-22:00,31.74,31.74,8.66,150,8.66,50,26.99,0.58,5.77,9.18,26.99,0,0,14.29,3.85,0,38.47,7.34,0,31.74,1.47,50,75,572.47

89,22:00-22:15,25.97,25.97,8.66,150,8.66,50,26.99,0.53,5.77,9.18,26.99,0,0,14.29,3.85,0,38.47,7.34,0,25.97,1.38,50,75,555.02

90,22:15-22:30,25.97,25.97,8.66,150,8.66,50,26.99,0.53,5.77,9.18,26.99,0,0,14.29,3.85,0,38.47,7.34,0,25.97,1.38,50,75,555.02

91,22:30-22:45,25.97,25.97,8.66,150,8.66,50,26.99,0.53,5.77,9.18,26.99,0,0,14.29,3.85,3.02,38.47,7.34,0,25.97,1.38,50,75,558.04

92,22:45-23:00,25.97,25.97,8.66,150,8.66,50,26.99,0.53,5.77,9.18,26.99,0,0,14.29,3.85,3.02,38.47,7.34,0,25.97,1.38,50,75,558.04

93,23:00-23:15,23.08,23.08,8.66,150,8.66,50,26.99,0.48,5.77,9.18,26.99,0,0,14.29,3.85,3.02,38.47,7.34,0,23.08,1.38,50,75,549.32

94,23:15-23:30,23.08,23.08,8.66,150,8.66,50,26.99,0.48,5.77,9.18,26.99,0,0,14.29,3.85,3.02,38.47,7.34,0,23.08,1.38,50,75,549.32

95,23:30-23:45,23.08,23.08,8.66,150,8.66,50,26.99,0.48,5.77,9.18,26.99,0,0,14.29,3.85,3.02,38.47,7.34,0,23.08,1.38,50,75,549.32

96,23:45-24:00,23.08,23.08,8.66,150,8.66,50,26.99,0.48,5.77,9.18,26.99,0,0,14.29,3.85,3.02,38.47,7.34,0,23.08,1.38,50,75,549.32

