Block,Time,RIHAND1,RAPPB,KOTESHWR,NAPP,SALAL,TEHRI,DADRI_CRF,KOLDAM,ANTA_LF,ANTA_RF,NJPC,SINGRAULI,CHAMERA1,URI,UNCHAHAR4,UNCHAHAR3,URI2,ANTA_CRF,AURY_CRF,TANDA2,DULHASTI,SINGRAULI_HYDRO,SEWA2,JHAJJAR,RIHAND3,RAMPUR,AURY_GF,BSIUL,RAPPC,DADRT2,UNCHAHAR2,DADRI_GF,KISHANGANGA,ANTA_GF,TANAKPUR,DADRI_RF,AURY_LF,RIHAND2,PARBATI3,DADRI_LF,CHAMERA3,CHAMERA2,UNCHAHAR1,AURY_RF,DHAULIGNGA,KHSTPP-I,FSTPP I & II,TALA,KHSTPP-II,SASAN,BRBCL,KUDGI,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,88.816800,0.000000,23.416356,36.911490,82.451918,59.603796,0.000000,0.000000,0.000000,0.000000,147.648759,134.489874,41.183964,45.296568,0.000000,25.477003,31.297612,0.000000,0.000000,0.000000,31.708370,0.627915,15.257228,572.653080,119.386794,0.000000,0.000000,0.000000,49.003704,663.017370,40.918286,0.000000,0.000000,0.000000,4.946710,19.308000,0.000000,114.037875,0.000000,0.000000,28.057235,0.000000,19.844762,14.474532,26.398573,29.589510,13.756950,26.963622,142.411584,402.933825,14.480989,77.23,0,0,0,0,0

2,00:15-00:30,88.816800,0.000000,23.416356,36.911490,82.451918,59.603796,0.000000,0.000000,0.000000,0.000000,147.648759,134.489874,41.183964,45.296568,0.000000,25.477003,31.297612,0.000000,0.000000,0.000000,31.708370,0.627915,15.257228,470.957510,119.386794,0.000000,0.000000,0.000000,49.003704,663.017370,40.918286,0.000000,0.000000,0.000000,4.946710,19.308000,0.000000,114.037875,0.000000,0.000000,28.057235,0.000000,19.844762,14.474532,26.398573,29.589510,13.756950,26.963622,142.411584,402.933825,14.480989,72.40,0,0,0,0,0

3,00:30-00:45,88.816800,0.000000,23.416356,36.911490,82.451918,59.603796,0.000000,0.000000,0.000000,0.000000,147.648759,134.489874,41.183964,45.296568,0.000000,25.477003,31.297612,0.000000,0.000000,0.000000,31.708370,0.627915,15.257228,396.224295,119.386794,0.000000,0.000000,0.000000,49.003704,643.677361,40.918286,0.000000,0.000000,0.000000,4.946710,19.308000,0.000000,114.037875,0.000000,0.000000,28.057235,0.000000,19.844762,14.474532,26.398573,29.589510,13.756950,26.963622,142.411584,402.933825,14.480989,72.40,0,0,0,0,0

4,00:45-01:00,88.816800,0.000000,23.416356,36.911490,82.451918,59.603796,0.000000,0.000000,0.000000,0.000000,147.648759,134.489874,41.183964,45.296568,0.000000,25.477003,31.297612,0.000000,0.000000,0.000000,31.708370,0.627915,15.257228,396.224295,119.386794,0.000000,0.000000,0.000000,49.003704,634.023361,40.918286,0.000000,0.000000,0.000000,12.119439,19.308000,0.000000,114.037875,0.000000,0.000000,28.057235,0.000000,19.844762,14.474532,26.398573,29.589510,13.756950,26.963622,142.411584,402.933825,14.121560,72.40,0,0,0,0,0

5,01:00-01:15,88.816800,0.000000,23.416356,36.911490,82.451918,59.603796,0.000000,0.000000,0.000000,0.000000,147.648759,134.489874,41.183964,45.296568,0.000000,25.477003,30.793734,0.000000,0.000000,0.000000,31.708370,0.627915,15.257228,390.021600,119.386794,0.000000,0.000000,0.000000,49.003704,624.369361,40.918286,0.000000,0.000000,0.000000,12.119439,0.000000,0.000000,114.037875,0.000000,0.000000,28.057235,0.000000,14.992662,0.000000,26.398573,30.467251,13.756950,26.963622,142.411584,402.933825,12.240262,62.93,0,0,0,0,0

6,01:15-01:30,88.816800,0.000000,23.416356,36.911490,82.451918,59.603796,0.000000,0.000000,0.000000,0.000000,147.648759,134.489874,41.183964,45.296568,0.000000,25.477003,30.793734,0.000000,0.000000,0.000000,31.708370,0.627915,15.257228,390.021600,119.386794,0.000000,0.000000,0.000000,49.003704,624.369361,40.918286,0.000000,0.000000,0.000000,12.119439,0.000000,0.000000,114.037875,0.000000,0.000000,28.057235,0.000000,14.992662,0.000000,26.398573,30.468024,13.756950,26.963622,142.411584,402.933825,12.644223,62.75,0,0,0,0,0

7,01:30-01:45,88.816800,0.000000,23.416356,36.911490,82.451918,59.603796,0.000000,0.000000,0.000000,0.000000,147.648759,134.489874,41.183964,45.296568,0.000000,25.477003,30.793734,0.000000,0.000000,0.000000,31.708370,0.627915,15.257228,390.021600,119.386794,0.000000,0.000000,0.000000,49.003704,619.542361,40.918286,0.000000,0.000000,0.000000,12.119439,0.000000,0.000000,114.037875,0.000000,0.000000,28.057235,0.000000,14.992662,0.000000,26.398573,30.468024,13.756950,26.963622,142.411584,402.933825,11.143239,62.75,0,0,0,0,0

8,01:45-02:00,88.816800,0.000000,23.416356,36.911490,82.451918,59.603796,0.000000,0.000000,0.000000,0.000000,147.648759,134.489874,41.183964,50.092675,0.000000,25.477003,30.793734,0.000000,0.000000,0.000000,31.708370,0.627915,15.257228,390.021600,119.386794,0.000000,0.000000,0.000000,49.003704,619.542361,40.918286,0.000000,0.000000,0.000000,12.119439,0.000000,0.000000,114.037875,0.000000,0.000000,28.057235,0.000000,14.992662,0.000000,26.398573,30.468024,13.756950,26.963622,142.411584,402.933825,11.403572,62.75,0,0,0,0,0

9,02:00-02:15,88.816800,0.000000,23.416356,36.911490,82.451918,59.603796,0.000000,0.000000,0.000000,0.000000,147.648759,134.489874,41.183964,50.092675,0.000000,25.477003,30.793734,0.000000,0.000000,0.000000,31.708370,0.627915,15.257228,390.021600,119.386794,0.000000,0.000000,0.000000,49.003704,580.926361,40.918286,0.000000,0.000000,0.000000,12.119439,0.000000,0.000000,114.037875,0.000000,0.000000,28.057235,0.000000,11.881950,0.000000,26.398573,30.468024,13.756950,26.963622,142.411584,402.933825,11.515772,57.92,0,0,0,0,0

10,02:15-02:30,88.816800,0.000000,23.416356,36.911490,82.451918,59.603796,0.000000,0.000000,0.000000,0.000000,147.648759,134.489874,41.183964,45.296568,0.000000,25.477003,30.793734,0.000000,0.000000,0.000000,31.708370,0.627915,15.257228,390.021600,119.386794,0.000000,0.000000,0.000000,49.003704,580.926361,40.918286,0.000000,0.000000,0.000000,12.119439,0.000000,0.000000,114.037875,0.000000,0.000000,28.057235,0.000000,11.881950,0.000000,26.398573,30.468024,13.756950,26.963622,142.411584,402.933825,12.137992,57.92,0,0,0,0,0

