Time,Block,NR/01102023/14082046/L_NR_2021_16,NR/01102023/02012046/L_NR_2021_17,NR/20072024/20072024/IEX_240719_01603,NR/01072024/31072024/Chanju/TPDDL/Jul01072024,NR/2024/21695/C,NR/2024/21072/A/28064,NR/2024/21096/A/28046,NR/2024/21142/A/27765,NR/2024/21150/A/27806,NR/2024/21160/A/27808,NR/2024/21691/C,NR/2024/21710/C,NR/2024/21173/A/27815,NR/2024/21238/A/28035,NR/2024/21183/A/28032,NR/2024/21144/A/27787,NR/2024/21103/A/28043,NR/01072024/31072024/NDMC/D-54/EE(POWER)2024,NR/20072024/20072024/HPX-TAMCTG-190724-01752,NR/2024/21075/A/28034,NR/2024/20966/A/27716,NR/2024/21714/C,NR/2024/21685/C,NR/01072024/31072024/NDMC/D-55/EE(POWER)2024,NR/30092023/26122029/SH-06,NR/2024/20574/A/27850,NR/2024/21148/A/27805,NR/2024/21567/A/28061,NR/2024/21089/A/28063,NR/2024/21186/A/28073,NR/01102023/25122043/GNA_MEJA_DELHI,NR/2024/21698/C,NR/2024/21023/A/27784,NR/01072024/31072024/APPCPL/180/F25/TGNA/3250,NR/2024/20573/A/27847,NR/20072024/20072024/IEX_240720_01626,NR/2024/21692/C,NR/2024/21146/A/27807,NR/2024/21087/A/27816,NR/2024/21113/A/28062,NR/2024/21153/A/27804,NR/2024/20688/A/27817,NR/2024/21141/A/27767,NR/2024/20931/A/27991,NR/2024/21339/A/27760,NR/16072024/31072024/NR/16072024/31072024/717758,NR/05072024/31072024/1000011449-JITPL-BRPL(DISCOM),NR/2024/20711/A/28108,NR/2024/21158/A/27809,NR/2024/21159/A/27810,NR/2024/21062/A/27871,NR/2024/21108/A/28041,NR/20072024/20072024/IEX_240719_01602,NR/2024/21152/A/27715,NR/2024/21227/A/28042,NR/2024/21500/A/27632,NR/2024/21199/A/27783,NR/01072024/31072024/IIPL/JPL(SH)-BRPL/BRPL T-249/24-25/1,NR/01072024/31072024/R2,NR/2024/21076/A/28031,NR/2024/21156/A/27811,NR/2024/19779/A/27748,NR/01072024/31072024/IIPL/JPL(TM)-BRPL/BRPLT-169/24-25/02,NR/01072024/31072024/	NR/01072024/31072024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/01102023/23072042/L_NR_2012_04,NR/2024/21099/A/27768,NR/2024/21210/A/27764,NR/30092023/31122025/SH-07,Total
,,SECI_Trader,SECI_Trader,IEXL,TPDDL,PXIL,NVVNL,APPCPL,TPTCL,BAL234,BMDRC,NVVNL,DIAPL,GMRETL,MANIKARAN,MANIKARAN,DTCP,APPCPL,NDMC,HPXL,MANIKARAN,IEXL,HPXL,TPDDL,NDMC,PUNJAB,PTC,BAL224,NVVNL,NVVNL,NVVNL,MEJA,HPXL,INSTINCT,APPCPL,PTC,IEXL,NVVNL,BAL184,GMRETL,NVVNL,JHPL-DL,GMRETL,TPTCL,AEL,TPTCL,AEL,TPTCL,TPDDL,MSSH,MHIL,PTC,APPCPL,IEXL,IEXL,APPCPL,DIAPL,INSTINCT,INSTINCT,PTC,MANIKARAN,UHL,ITCLH,INSTINCT,DELHI,TPTCL,TPTCL,TPTCL,BAWANA_GAS,Total

,,NA,NA,KARNATAKA,HIMACHAL PRADESH,NA,NA,KERALA,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,ODISHA,TAMIL NADU,MP,HIMACHAL PRADESH,UTTARAKHAND,NA,KARNATAKA,GOA,MAHARASHTRA,HIMACHAL PRADESH,NA,NA,DELHI,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,NA,MP,UTTAR PRADESH,KARNATAKA,NA,ARUNACHAL PRADESH,HIMACHAL PRADESH,KARNATAKA,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,RAJASTHAN,MAHARASHTRA,NA,NA,NA,NA,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,MANIPUR,ANDHRA PRADESH,HIMACHAL PRADESH,NAGALAND,HIMACHAL PRADESH,MAHARASHTRA,MAHARASHTRA,NA,MAHARASHTRA,HIMACHAL PRADESH,ANDHRA PRADESH,NA,MAHARASHTRA,NA,NA,NA,DELHI,
,,SBSRPC11PL_BKN,SBSRPC11PL_BKN,TADASWIND_KAR,CHANJUII,SORANG_HEP,RKM_POWER,KSEB,HP-GOVT,SHPPBPL,SHPPBPL,SOLAPUR_SOLAR,GBHHPL,GMRKEL (STU),MMS STEEL TN,BLAPOWER_MP,SHPPBPL,UTTARAKHAND,SKS Raigarh,FORTUNE5PROJKAR,GOA_Beneficiary,A_A_Energy_MH_Bio,GBHHPL,JHAJJAR,JITPL,BAWANA_GAS,HP,SHPPBPL,TRN_ENERGY,RKM_POWER,JP BINA,MEJA,PCKL,JPL,Arunachal_Ben,HP,KPTCL,KAMENG,SHPPBPL,GBHHPL,JPL-2,SHPPBPL,RUVNL,TPC MSEB,APL_Raigarh TPP,JITPL,APL_Raigarh TPP,JITPL,JPL-2,SHPPBPL,SHPPBPL,SEILP2,Manipur_Ben,TADASWIND,NHCPL_HP,Nagaland_Ben,GBHHPL,JPL_DHULE,JPL_DHULE,SEILP2,AEML,SHPPBPL,ITCWIND,JPL,MSEB_Beneficiary,MPL,ACBIL,SIMHAPURI,BAWANA_GAS,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,PUNJAB,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,HARYANA,
,,TPDDL,BYPL,BRPL,TPDDL,BRPL,NDMC,BYPL,BRPL,BAL234,BMDRC,MES (Delhi),DIAPL,BRPL,BRPL,BRPL,DTCP,BYPL,NDMC,BRPL,BRPL,MES (Delhi),BYPL,TPDDL,NDMC,PUNJAB,BYPL,BAL224,NDMC,NDMC,TPDDL,DELHI,BRPL,BRPL,BRPL,BRPL,TPDDL,TPDDL,BAL184,BRPL,NDMC,JHPL-DL,BYPL,BYPL,BRPL,BRPL,BRPL,BRPL,TPDDL,MSSH,MHIL,BRPL,BRPL,BRPL,MES (Delhi),BYPL,DIAPL,BRPL,BRPL,BRPL,BYPL,UHL,ITCLH,BRPL,TPDDL,TPDDL,BRPL,BRPL,HARYANA,
,,North-North,North-North,South-West-North,North-North,North-North,West-North,South-West-North,North-North,North-North,North-North,West-North,North-North,East-North,South-West-North,West-North,North-North,North-North,West-North,South-West-North,West-North,West-North,North-North,North-North,East-North,North-North,North-North,North-North,West-North,West-North,West-North,North-North,South-East-North,West-North,North East-East-North,North-North,South-West-North,North East-East-North,North-North,North-North,West-North,North-North,North-North,West-North,West-North,East-North,West-North,East-North,West-North,North-North,North-North,South-East-North,North East-East-North,South-West-North,North-North,North East-East-North,North-North,West-North,West-North,South-West-North,West-North,North-North,South-West-North,West-North,West-North,East-North,West-North,South-West-North,North-North,
1,00:00-00:15,0,0,50.810000,13.110000,81.630000,37.100000,37.960000,48.020000,0.870000,0.970000,0,1.920000,24.010000,1.620000,21.130000,0.480000,83.730000,12.370000,55.610000,11.670000,4.800000,0.000000,240.100000,15.080000,32.000000,6.000000,0.520000,12.370000,37.100000,48.020000,0.000000,0.000000,0.000000,38.420000,18.010000,0.000000,163.510000,0.360000,24.010000,37.100000,1.580000,66.450000,47.500000,0.000000,0.000000,48.020000,96.040000,96.040000,0.670000,0.870000,0.000000,23.930000,38.220000,1.920000,12.150000,7.680000,0.000000,72.030000,24.010000,90.280000,0.610000,0.360000,96.040000,0.000000,0.000000,24.010000,27.110000,32.000000,1967.93

2,00:15-00:30,0,0,50.610000,13.110000,81.630000,37.100000,33.830000,48.020000,0.870000,0.970000,0,1.920000,24.010000,1.450000,21.130000,0.480000,83.730000,12.370000,55.900000,11.670000,4.800000,0.000000,240.100000,15.080000,32.000000,6.000000,0.520000,12.370000,37.100000,48.020000,0.000000,0.000000,0.000000,38.420000,18.010000,0.000000,163.510000,0.360000,24.010000,37.100000,1.580000,66.450000,47.500000,0.000000,0.000000,48.020000,96.040000,96.040000,0.670000,0.870000,0.000000,23.930000,38.220000,1.920000,12.150000,7.680000,0.000000,72.030000,24.010000,90.280000,0.610000,0.320000,96.040000,0.000000,0.000000,24.010000,24.170000,32.000000,1960.74
