Column1,Block,NR/2024/23701/C,NR/2024/23640/A/41201,NR/2024/23639/A/41202,NR/2024/23648/A/41196,GNA/WR/2024/10/15/7089,NR/2024/23383/A/41181,NR/2024/23699/C,NR/2024/23384/A/41169,NR/2024/23382/A/41312,NR/30092023/26122029/SH-06,GNA/NR/2024/10/01/9072,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/10/01/6101,GNA/NR/2024/10/01/9582,GNA/NR/2024/10/16/4393,GNA/NR/2024/10/16/2350,GNA/NR/2024/10/01/3642,GNA/NR/2024/10/01/8106,NR/30092023/31122025/SH-07,Total
,,NVVNL,SJVNL,SJVNL,DIAPL,APPCPL,ITCLH,TPDDL,IEXL,NVVNL,PUNJAB,NDMC,DELHI,NDMC,NDMC,PTC,PTC,NDMC,NDMC,BAWANA_GAS,
,,NA,NA,NA,HIMACHAL_STATE,DELHI_UT,ANDHRA_PRADESH_STATE,NA,KARNATAKA_STATE,NA,DELHI_UT,NA,HIMACHAL_STATE,NA,NA,DELHI_UT,DELHI_UT,NA,NA,DELHI_UT,
,,SOLAPUR_SOLAR,TPSL_BKN2,RSRPL_BKN,GBHHPL,BYPL,ITCWIND,JHAJJAR,NSLSUGAR,JITPL,BAWANA_GAS,RKM_POWER,CHANJUII,JPL2,SKS_Raigarh,BRPL,BYPL,RKM_POWER,TRN_ENERGY,BAWANA_GAS,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,MSEB_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HIMACHAL_STATE,HIMACHAL_STATE,DELHI_UT,DELHI_UT,HARYANA_STATE,
,,MES_Delhi,NDMC,NDMC,DIAPL,AEML,ITCLH,TPDDL,MES_Delhi,NDMC,PUNJAB,NDMC,TPDDL,NDMC,NDMC,HP,HP,NDMC,NDMC,HARYANA,
,,West-North,North-North,North-North,North-North,North-West,South-West-North,North-North,South-West-North,East-North,North-North,West-North,North-North,West-North,West-North,North-North,North-North,West-North,West-North,North-North,
1,00:00-00:15,0,0,0,2.89,200,0.58,175.41,6.75,24.83,0,37.23,4.97,37.23,12.41,95.13,31.71,37.23,12.41,32,710.7800000000001

2,00:15-00:30,0,0,0,2.89,200,0.58,175.41,6.75,24.83,0,37.23,4.97,37.23,12.41,95.13,31.71,37.23,12.41,32,710.7800000000001

