Column1,Time,WR/01102023/16072048/L_NR_2022_08,WR/01102023/30052048/L_NR_2022_10,WR/01102023/01102023/L_NR_2022_09,WR/01102023/01102023/L_NR_2020_06,WR/01102023/29112042/L_NR_2019_05,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/01102023/31052040/LT-31,NR/01082024/31082024/1000011628-SIEL-BRPL(DISCOM),NR/01082024/30092024/LT_MEJA_DELHI,NR/16082024/31082024/MPL/24-25/STOA/128,NR/01102023/05012040/L_NR_2020_02,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/13082046/L_NR_2021_12,NR/01102023/02012046/L_NR_2021_17,WR/01102023/24112044/L_NR_2020_07,NR/01102023/14082046/L_NR_2021_16,NR/01102023/25072045/L_NR_2021_15,NR/22102023/11042047/L_NR_2021_16,NR/01102023/02122045/L_NR_2021_13,SR/01102023/07102043/L_NR_2018_61,NR/22102023/11042047/L_NR_2021_17,NR/01102023/08032047/L_NR_2021_14,WR/01102023/31032046/L_NR_2020_05,L_NR_2019_19,NR/26072023/31072042/L_NR_2023_07,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/26072023/25122043/L_NR_2023_10,NR/01102023/30042040/GNA_LT_36,NR/01102023/06022042/L_NR_2012_02,NR/16082024/31082024/1000011627-ACBL-BRPL(DISCOM),NR/01102023/22052037/LT-59,NR/01082024/31082024/SKS-Raigarh,NR/01102023/30042040/GNA_LT_35,NR/01102023/06022042/L_NR_2012_07,NR/30092023/26122029/SH-06,NR/16082024/31082024/APL-Raigarh_august,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01082024/30082024/NR/01082024/30082024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/16082024/31082024/IIPL/JPL-T-BRPL/05/Aug'24,NR/30092023/31122025/SH-07,NR/01102023/31102037/L_NR_2019_11,NR/01102023/19072037/LT-05,NR/01082024/31082024/APPCPL/180/F25/GNA/12763,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01082024/31082024/jitpl
1,00:00-00:15,26.66,60,60,35.5,0,0,0,48.28,0,21.25,4.93,273.05,100.61,0,0,35.5,0,0,0,0,30.01,0,0,106.5,0,0,0,0,0,262.19,24.14,0,8.78,0,87.11,15.5536,96.57,15.12,0,96.57,32,0,66.22,38.63,31.41,17.422

2,00:15-00:30,26.66,60,60,35.5,0,0,0,48.28,0,21.25,4.93,273.05,100.61,0,0,35.5,0,0,0,0,30.01,0,0,106.5,0,0,0,0,0,262.19,24.14,0,8.78,0,87.11,15.5536,96.57,15.12,0,96.57,32,0,66.22,38.63,31.41,17.422

3,00:30-00:45,26.66,60,60,35.5,0,0,0,48.28,0,21.25,4.93,273.05,100.61,0,0,35.5,0,0,0,0,30.01,0,0,106.5,0,0,0,0,0,227.5,24.14,0,8.78,0,76.57,23.365,96.57,15.12,0,96.57,23.365,0,66.22,38.63,31.41,17.422

4,00:45-01:00,15,60,60,22.5,0,0,0,48.28,0,21.25,4.93,273.05,71.64,0,0,22.5,0,0,0,0,29.21,0,0,67.5,0,0,0,0,0,227.5,24.14,0,8.78,0,76.57,23.365,96.57,15.12,0,96.57,23.365,0,66.22,38.63,31.41,17.422

5,01:00-01:15,15.34,29.33,29.33,22.66,0,0,0,48.28,0,21.25,4.73,273.05,57.94,0,0,22.67,0,0,0,0,33.41,0,0,68,0,0,0,0,0,227.5,24.14,0,8.78,0,76.17,23.365,96.57,15.12,0,96.57,23.365,0,70.37,38.63,31.41,17.422

6,01:15-01:30,16,30.67,30.67,23,0,0,0,48.28,0,21.25,4.73,273.05,57.94,0,0,23,0,0,0,0,31.41,0,0,69,0,0,0,0,0,227.5,24.14,0,8.78,0,76.17,23.365,96.57,15.12,0,96.57,23.365,0,70.37,38.63,31.41,17.422

7,01:30-01:45,10,33.33,33.33,12.5,0,0,0,48.28,0,21.25,4.73,273.05,53.11,0,0,12.5,0,0,0,0,40.01,0,0,37.5,0,0,0,0,0,227.5,24.14,0,8.78,0,76.17,23.365,96.57,15.12,0,96.57,23.365,0,70.37,38.63,31.41,17.422

