Block,Time,BSIUL,CHAMERA1,CHAMERA3,CHAMERA2,SINGRAULI,TANAKPUR,TANDA2,UNCHAHAR1,UNCHAHAR2,UNCHAHAR3,URI,URI2,SINGRAULI_HYDRO,TEHRI,UNCHAHAR4,DHAULIGNGA,JHAJJAR,SEWA2,KISHANGANGA,KOTESHWR,NAPP,NJPC,RAPPB,RAPPC,RIHAND1,DADRT2,DULHASTI,RIHAND2,SALAL,RIHAND3,KOLDAM,PARBATI3,RAMPUR,AURY_GF,AURY_RF,AURY_LF,AURY_CRF,ANTA_GF,ANTA_RF,ANTA_LF,ANTA_CRF,DADRI_GF,DADRI_RF,DADRI_LF,DADRI_CRF,NNTPP,NTPL,RSTPSU1TO6,KGSU1AND2,KGSU3AND4,KKNP,KKNPPU2,KUDGI,MAPS,NLCEXP,NLCIIST1,NLCIIST2,NLCTS2EXP,RSTPSU7,VALLURNTECL,SIMHST1,SIMHST2,TALST2,BRBCL,FSTPP I & II,TALA,KHSTPP-II,KHSTPP-I,SASAN
1,00:00-00:15,0,42.66,0,0,139.3125,7.0455,0,21.82362,42.392196,26.39091,47.472,32.2848,0.99476,42.336,0,36.5917,653.1525,15.804048,0,7.888,28.7292,152.9405,0,50.76,92,686.779958,32.8448,118.125,84.9422,123.665625,0,0,0,0,66.789,0,0,0,42,0,0,0,78.912,0,0,0,0,0,0,0,0,0,140.63,0,0,0,0,0,0,0,0,0,0,14.287,12.51,24.99,98.34375,42.49,337.5

2,00:15-00:30,0,42.66,0,0,139.3125,7.0455,0,21.82362,42.392196,26.39091,47.472,32.2848,0.99476,42.336,0,36.5917,653.1525,15.804048,0,7.888,28.7292,152.9405,0,50.76,92,686.779958,32.8448,118.125,84.9422,123.665625,0,0,0,0,66.789,0,0,0,42,0,0,0,78.912,0,0,0,0,0,0,0,0,0,140.63,0,0,0,0,0,0,0,0,0,0,14.287,12.51,24.99,98.34375,42.49,337.5

3,00:30-00:45,0,42.66,0,0,139.3125,7.686,0,21.82362,42.392196,26.39091,47.472,32.2848,0.99476,31.752,0,36.5917,653.1525,15.804048,0,7.888,28.7292,152.9405,0,50.76,92,686.779958,16.4224,118.125,84.9422,123.665625,0,0,0,0,66.789,0,0,0,42,0,0,0,78.912,0,0,0,0,0,0,0,0,0,140.63,0,0,0,0,0,0,0,0,0,0,14.287,11.815,24.99,98.34375,42.49,337.5

4,00:45-01:00,0,42.66,0,0,139.3125,7.686,0,17.25562,42.392196,26.39091,47.472,32.2848,0.99476,21.168,0,36.5917,653.1525,15.804048,0,7.888,28.7292,152.9405,0,50.76,92,686.779958,16.4224,118.125,84.9422,123.665625,0,0,0,0,66.789,0,0,0,42,0,0,0,78.912,0,0,0,0,0,0,0,0,0,140.63,0,0,0,0,0,0,0,0,0,0,14.287,11.815,24.99,98.34375,42.49,337.5

5,01:00-01:15,0,42.66,0,0,139.3125,7.686,0,21.82362,42.392196,26.39091,47.472,32.2848,0.99476,21.168,0,36.5917,653.1525,15.804048,0,7.888,28.7292,152.9405,0,50.76,92,686.779958,16.4224,118.125,84.9422,123.665625,0,0,0,0,66.789,0,0,0,42,0,0,0,78.912,0,0,0,0,0,0,0,0,0,140.63,0,0,0,0,0,0,0,0,0,0,14.287,11.815,24.99,98.34375,42.49,337.5

6,01:15-01:30,0,42.66,0,0,139.3125,7.686,0,21.82362,42.392196,26.39091,47.472,32.2848,0.99476,21.168,0,36.5917,653.1525,15.804048,0,7.888,28.7292,152.9405,0,50.76,92,686.779958,16.4224,118.125,84.9422,123.665625,0,0,0,0,66.789,0,0,0,42,0,0,0,78.912,0,0,0,0,0,0,0,0,0,140.63,0,0,0,0,0,0,0,0,0,0,14.287,11.815,24.99,98.34375,42.49,337.5

