Column1,Time,GNARE/SR/2025/01/13/4532,WR/01102023/01102023/L_NR_2022_09,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/24112044/L_NR_2020_07,L_NR_2019_19,WR/01102023/29112042/L_NR_2019_05,WR/01102023/30052048/L_NR_2022_10,WR/01102023/16072048/L_NR_2022_08,WR/01102023/01102023/L_NR_2020_06,WR/01102023/29112042/RUMS(L_NR_2019_07),GNA/NR/2025/06/01/4973,NR/01102023/31052040/LT-31,NR/01102023/06022042/L_NR_2012_07,NR/01102023/22052037/LT-59,GNA/NR/2025/06/01/7782,GNA/NR/2025/06/01/7762,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/26072023/31072042/L_NR_2023_07,NR/26072023/25122043/L_NR_2023_10,NR/01102023/25072045/L_NR_2021_15,NR/01102023/02122045/L_NR_2021_13,WR/01102023/31032046/L_NR_2020_05,NR/01102023/13082046/L_NR_2021_12,NR/01102023/08032047/L_NR_2021_14,GNA/NR/2025/06/01/9257,GNA/NR/2025/06/01/5280,GNA/NR/2025/06/16/6051,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/NR/2025/04/01/8456,GNA/NR/2025/06/16/8791,NR/01102023/05012040/L_NR_2020_02,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2025/06/01/9719,NR/01102023/30042040/GNA_LT_35,GNA/NR/2025/06/16/1239,NR/30092023/26122029/SH-06,NR/01102023/30042040/GNA_LT_36,GNA/NR/2025/06/07/5932,GNA/NR/2025/06/01/7786,NR/30092023/31122025/SH-07,GNA/NR/2025/06/01/7663,NR/01102023/31102037/L_NR_2019_11,NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2025/04/01/8964,NR/01102023/19072037/LT-05,NR/01102023/06022042/L_NR_2012_02,GNA/NR/2025/06/01/2868,GNA/NR/2025/04/01/8510,GNA/NR/2025/06/01/4444,GNA/NR/2025/06/01/2569,GNARE/NR/2024/12/20/3668,NR/22102023/11042047/L_NR_2021_16,NR/22102023/11042047/L_NR_2021_17
1,00:00-00:15,39.02,0,0,7.33,0,0,0,6.67,7.33,0,48.37,0,87.26,10.38,11.92,24.18,13.7,0,0,0,0,22.01,0,0,24.18,11.93,19.35,28.27,9.54,15.33,5.63,273.53,24.18,0,53.21,32,0,-0,48.37,0,48.37,10.8,100.78,7.32,77.33,130.89,29.2,13.67,0,62.88,0,0,0

2,00:15-00:30,38.02,0,0,7.33,0,0,0,6.67,7.33,0,48.37,0,87.26,10.38,11.92,24.18,13.7,0,0,0,0,22.01,0,0,24.18,11.93,19.35,28.27,10.58,15.33,5.63,273.53,24.18,0,53.21,32,0,-0,48.37,0,48.37,10.8,100.78,7.32,79.56,130.89,29.2,15.72,0,62.88,0,0,0

3,00:30-00:45,43.02,0,0,7.33,0,0,0,6.67,7.33,0,48.37,0,87.26,10.38,11.92,24.18,13.7,0,0,0,0,22.01,0,0,24.18,11.93,19.35,28.27,10.58,15.33,5.63,273.53,24.18,0,53.21,32,0,-0,48.37,32,48.37,10.8,100.78,7.32,80.89,130.89,29.2,15.72,0,62.88,0,0,0

4,00:45-01:00,42.62,0,0,7.33,0,0,0,6.67,7.33,0,48.37,0,87.26,10.38,11.92,24.18,13.7,0,0,0,0,22.01,0,0,24.18,11.93,19.35,28.77,10.58,15.33,5.63,273.53,24.18,0,53.21,32,0,-0,48.37,32,48.37,10.8,100.78,7.32,76.46,130.89,29.2,15.72,0,62.88,0,0,0

5,01:00-01:15,42.22,0,0,7.33,0,0,0,6.67,7.33,0,48.37,0,87.26,10.14,11.92,24.18,13.7,0,0,0,0,22.01,0,0,24.18,11.93,19.35,28.77,10.58,15.33,5.63,273.53,24.18,0,53.21,32,0,-0,48.37,32,48.37,10.8,100.78,7.32,67.93,130.89,29.2,15.72,0,62.88,0,0,0

