Block,Time,NR/01102023/08032047/L_NR_2021_14,NR/01102023/14082046/L_NR_2021_16,NR/01102023/13082046/L_NR_2021_12,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/31032046/L_NR_2020_05,NR/26072023/25122043/L_NR_2023_10,WR/01102023/01102023/L_NR_2022_09,SR/14022024/29022024/SJVN140224NR1518,WR/01102023/01102023/L_NR_2020_06,NR/01022024/29022024/SJVN010224NR1468,NR/01022024/29022024/SJVN010224NR1469,NR/01102023/25072045/L_NR_2021_15,WR/01102023/24112044/L_NR_2020_07,L_NR_2019_19,NR/01102023/02122045/L_NR_2021_13,NR/26072023/31072042/L_NR_2023_07,NR/22102023/11042047/L_NR_2021_17,NR/01102023/02012046/L_NR_2021_17,WR/01102023/16072048/L_NR_2022_08,WR/01102023/29112042/L_NR_2019_05,WR/01102023/29112042/RUMS(L_NR_2019_06),SR/01102023/07102043/L_NR_2018_61,NR/22102023/11042047/L_NR_2021_16,WR/01102023/30052048/L_NR_2022_10,NR/30092023/26122029/SH-06,NR/01022024/29022024/HPX-GTAMLDCRA-141223-05420,NR/01102023/30042040/GNA_LT_36,NR/01102023/19072037/LT-05,NR/30092023/31122025/SH-07,NR/16022024/29022024/HP-36,NR/01022024/29022024/HPX-GTAMLDCRA-090124-05713,NR/01102023/06022042/L_NR_2012_07,NR/01022024/29022024/HPX-GTAMLDCRA-090124-05714,NR/16022024/29022024/HP-45,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/20122023/29022024/IEX_LDC_231218_00501,NR/01102023/31052040/LT-31,NR/01102023/05012040/L_NR_2020_02,NR/01012024/31032024/ ChanjuII,NR/01022024/29022024/HPX-GTAMLDCRA-141223-05406,NR/01022024/29022024/79,NR/01102023/31102037/L_NR_2019_11,NR/01022024/29022024/5412UPCL/CE(Comm)/SE/Banking dt. 17.11.2023,NR/20122023/29022024/IEX_LDC_231218_00502,NR/01102023/15082037/GNA_NR_2012_01,NR/01022024/29022024/HPX-GTAMLDCRA-090124-05718,NR/01102023/25122043/GNA_MEJA_DELHI,NR/16022024/29022024/HP-40,NR/01102023/22052037/LT-59,NR/01102023/30042040/GNA_LT_35,NR/16022024/29022024/HP-38,NR/01102023/06022042/L_NR_2012_02,NR/01102023/23072042/L_NR_2012_04
1,00:00-00:15,0,0,0,0,72.5,0,45,0,24.16,0,0,0,24.17,0,0,0,0,0,15.34,0,0,19,0,45,25.550000,6.740000,0.000000,33.020000,25.550000,38.140000,18.290000,52.630000,5.780000,16.310000,23.100000,8.180000,0.000000,1.390000,1.740000,4.810000,0.000000,1.180000,96.260000,11.550000,53.910000,6.740000,0.000000,0.000000,0.770000,0.000000,128.010000,207.620000,231.020000

2,00:15-00:30,0,0,0,0,71,0,44,0,23.66,0,0,0,23.67,0,0,0,0,0,15,0,0,18.6,0,44,25.550000,6.740000,0.000000,33.020000,25.550000,38.140000,18.290000,33.690000,5.780000,16.310000,23.100000,8.180000,0.000000,1.390000,1.740000,4.810000,0.000000,1.180000,96.260000,11.550000,53.910000,6.740000,0.000000,0.000000,0.770000,0.000000,128.010000,146.320000,192.520000

3,00:30-00:45,0,0,0,0,69,0,42,0,23,0,0,0,23,0,0,0,0,0,14.66,0,0,18.2,0,42,25.550000,6.740000,0.000000,33.020000,25.550000,38.140000,18.290000,33.690000,5.780000,16.310000,23.100000,8.180000,0.000000,1.390000,1.740000,4.810000,0.000000,1.180000,96.260000,11.550000,53.910000,6.740000,0.000000,0.000000,0.770000,0.000000,128.010000,111.660000,148.890000

4,00:45-01:00,0,0,0,0,67.5,0,40.67,0,22.5,0,0,0,22.5,0,0,0,0,0,14,0,0,16.96,0,40.67,25.550000,6.740000,0.000000,33.020000,25.550000,38.140000,18.290000,33.690000,5.780000,16.310000,23.100000,8.180000,0.000000,1.390000,1.740000,4.810000,0.000000,1.180000,96.260000,11.550000,53.910000,6.740000,0.000000,0.000000,0.770000,0.000000,128.010000,111.660000,148.890000

5,01:00-01:15,0,0,0,0,65,0,39.33,0,21.66,0,0,0,21.67,0,0,0,0,0,13.34,0,0,16.43,0,39.33,25.550000,6.740000,0.000000,33.020000,25.550000,38.140000,18.290000,33.690000,5.780000,16.310000,23.100000,8.180000,0.000000,1.390000,1.740000,4.810000,0.000000,1.150000,96.260000,11.550000,53.910000,6.740000,0.000000,0.000000,0.770000,0.000000,128.010000,111.660000,148.890000

6,01:15-01:30,0,0,0,0,71,0,46.67,0,23.66,0,0,0,23.67,0,0,0,0,0,15,0,0,16.06,0,46.67,25.550000,6.740000,0.000000,33.020000,25.550000,38.140000,18.290000,33.690000,5.780000,16.310000,23.100000,8.180000,0.000000,1.390000,1.740000,4.810000,0.000000,1.150000,96.260000,11.550000,53.910000,6.740000,0.000000,0.000000,0.770000,0.000000,128.010000,111.660000,148.890000

7,01:30-01:45,0,0,0,0,70,0,45,0,23.34,0,0,0,23.33,0,0,0,0,0,14,0,0,18.65,0,45,25.550000,6.740000,0.000000,33.020000,25.550000,38.140000,18.290000,33.690000,5.780000,16.310000,23.100000,8.180000,0.000000,1.390000,1.740000,4.810000,0.000000,1.150000,96.260000,11.550000,53.910000,6.740000,0.000000,0.000000,0.770000,0.000000,128.010000,111.660000,148.890000

8,01:45-02:00,0,0,0,0,69,0,43.33,0,23,0,0,0,23,0,0,0,0,0,13.34,0,0,18.05,0,43.33,25.550000,6.740000,0.000000,33.020000,25.550000,38.140000,18.290000,33.690000,5.780000,16.310000,23.100000,8.180000,0.000000,1.390000,1.740000,4.810000,0.000000,1.150000,96.260000,11.550000,53.910000,6.740000,0.000000,0.000000,0.770000,0.000000,128.010000,111.660000,148.890000

9,02:00-02:15,0,0,0,0,68,0,42.67,0,22.66,0,0,0,22.67,0,0,0,0,0,13,0,0,17.65,0,42.67,25.550000,6.740000,0.000000,33.020000,25.550000,38.140000,18.290000,33.690000,5.780000,16.310000,23.100000,8.180000,0.000000,1.340000,1.740000,4.810000,0.000000,1.110000,96.260000,11.550000,53.910000,6.740000,0.000000,0.000000,0.770000,0.000000,128.010000,111.660000,148.890000

10,02:15-02:30,0,0,0,0,66,0,40,0,22,0,0,0,22,0,0,0,0,0,11.66,0,0,17.25,0,40,25.550000,6.740000,0.000000,33.020000,25.550000,38.140000,18.290000,33.690000,5.780000,16.310000,23.100000,8.180000,0.000000,1.340000,1.740000,4.810000,0.000000,1.110000,96.260000,11.550000,53.910000,6.740000,0.000000,0.000000,0.770000,0.000000,128.010000,111.660000,148.890000

11,02:30-02:45,0,0,0,0,65,0,39.33,0,21.66,0,0,0,21.67,0,0,0,0,0,10.66,0,0,17.05,0,39.33,25.550000,6.740000,0.000000,33.020000,25.550000,38.140000,18.290000,33.690000,5.780000,16.310000,23.100000,8.180000,0.000000,1.340000,1.740000,4.810000,0.000000,1.110000,96.260000,11.550000,53.910000,6.740000,0.000000,0.000000,0.850000,0.000000,128.010000,111.660000,148.890000

12,02:45-03:00,0,0,0,0,64,0,38.33,0,21.34,0,0,0,21.33,0,0,0,0,0,10,0,0,16.65,0,38.33,25.550000,6.740000,0.000000,33.020000,25.550000,38.140000,18.290000,33.690000,5.780000,16.310000,23.100000,8.180000,0.000000,1.340000,1.740000,4.810000,0.000000,1.110000,96.260000,11.550000,53.910000,6.740000,0.000000,0.000000,0.850000,0.000000,128.010000,111.660000,148.890000

13,03:00-03:15,0,0,0,0,45,0,36.67,0,15,0,0,0,15,0,0,0,0,0,9.66,0,0,16.02,0,36.67,25.550000,6.740000,0.000000,33.020000,25.550000,38.140000,18.290000,33.690000,5.780000,16.310000,23.100000,8.180000,0.000000,1.340000,1.740000,4.810000,0.000000,1.110000,96.260000,11.550000,53.910000,6.740000,0.000000,0.000000,0.850000,0.000000,128.010000,111.660000,148.890000

14,03:15-03:30,0,0,0,0,44,0,31.67,0,14.66,0,0,0,14.67,0,0,0,0,0,9.34,0,0,16,0,31.67,25.550000,6.740000,0.000000,33.020000,25.550000,38.140000,18.290000,33.690000,5.780000,16.310000,23.100000,8.180000,0.000000,1.340000,1.740000,4.810000,0.000000,1.110000,96.260000,11.550000,53.910000,6.740000,0.000000,0.000000,0.850000,0.000000,128.010000,111.660000,148.890000

15,03:30-03:45,0,0,0,0,42.5,0,30.67,0,14.16,0,0,0,14.17,0,0,0,0,0,8.34,0,0,16,0,30.67,25.550000,6.740000,0.000000,33.020000,25.550000,38.140000,18.290000,33.690000,5.780000,16.310000,23.100000,8.180000,0.000000,1.340000,1.740000,4.810000,0.000000,1.110000,96.260000,11.550000,53.910000,6.740000,0.000000,0.000000,0.850000,0.000000,128.010000,111.660000,148.890000

16,03:45-04:00,0,0,0,0,41,0,28.33,0,13.66,0,0,0,13.67,0,0,0,0,0,7.66,0,0,16.11,0,28.33,25.550000,6.740000,0.000000,33.020000,25.550000,38.140000,18.290000,33.690000,5.780000,16.310000,23.100000,8.180000,0.000000,1.340000,1.740000,4.810000,0.000000,1.110000,96.260000,11.550000,53.910000,6.740000,0.000000,0.000000,0.850000,0.000000,128.010000,111.660000,148.890000

17,04:00-04:15,0,0,0,0,37.5,0,26.67,0,12.5,0,0,0,12.5,0,0,0,0,0,7.34,0,0,16.44,0,26.67,25.550000,6.740000,0.000000,33.020000,25.550000,38.140000,18.290000,33.690000,5.780000,16.310000,23.100000,8.180000,0.000000,1.340000,1.740000,4.810000,0.000000,1.070000,96.260000,11.550000,53.910000,6.740000,0.000000,0.000000,0.850000,0.000000,128.010000,111.660000,148.890000

18,04:15-04:30,0,0,0,0,36,0,26.67,0,12,0,0,0,12,0,0,0,0,0,7.34,0,0,16.92,0,26.67,25.550000,6.740000,0.000000,33.020000,25.550000,38.140000,18.290000,33.690000,5.780000,16.310000,23.100000,8.180000,0.000000,1.340000,1.740000,4.810000,0.000000,1.070000,96.260000,11.550000,53.910000,6.740000,0.000000,0.000000,0.850000,0.000000,128.010000,111.660000,148.890000

19,04:30-04:45,0,0,0,0,35,0,25,0,11.66,0,0,0,11.67,0,0,0,0,0,7.34,0,0,20.2,0,25,25.550000,6.740000,0.000000,33.020000,25.550000,38.140000,18.290000,33.690000,5.780000,16.310000,23.100000,8.180000,0.000000,1.340000,1.740000,4.810000,0.000000,1.070000,96.260000,11.550000,53.910000,6.740000,0.000000,0.000000,0.850000,0.000000,128.010000,111.660000,192.520000

20,04:45-05:00,0,0,0,0,34,0,23.33,0,11.34,0,0,0,11.33,0,0,0,0,0,7.34,0,0,20,0,23.33,25.550000,6.740000,0.000000,33.020000,25.550000,38.140000,18.290000,33.690000,5.780000,16.310000,23.100000,8.180000,0.000000,1.340000,1.740000,4.810000,0.000000,1.070000,96.260000,11.550000,53.910000,6.740000,0.000000,0.000000,0.850000,0.000000,128.010000,111.660000,231.020000

21,05:00-05:15,0,0,0,0,32.5,0,22.67,0,10.84,0,0,0,10.83,0,0,0,0,0,7.34,0,0,19.8,0,22.67,24.490000,6.740000,0.000000,33.020000,30.800000,38.140000,18.290000,52.630000,5.780000,16.310000,23.100000,8.180000,0.000000,1.340000,1.740000,4.810000,0.000000,1.070000,96.260000,11.550000,53.910000,6.740000,0.000000,0.000000,0.850000,0.000000,128.010000,193.180000,270.730000

