Block,Time,FSTPP I & II,VSTPS III,TAPS-II,KAWAS-ComGas,KHSTPP-II,NLCIIST2,NTPL,NLCIIST1,MAPS,NLCEXP,VALLURNTECL,SIMHST2,KSTPS I&II,TALA,GANDHAR-ComGas,MOUDA_II,MOUDA,BRBCL,KGSU1AND2,LARA-I,KAPS,KHSTPP-I,VSTPS II,SOLAPUR,VSTPS IV,VSTPS I,KAWAS-APM,GANDHAR-APM,VSTPS V,KUDGI,TALST2,RSTPSU1TO6,KKNP,RSTPSU7,GANDHAR-RLNG,NLCTS2EXP,NNTPP,KGSU3AND4,SIPAT I,KAWAS-zLIQ,KSTPS7,GANDHAR-NAPM,KHARGONE-I,KAWAS-RLNG,KAWAS-NAPM,SASAN,SIPAT II,GADARWARA-I,RIHAND2,DADRI_CRF,AURY_CRF,TANDA2,UNCHAHAR4,KOLDAM,ANTA_GF,SEWA2,URI,URI2,KOTESHWR,RAMPUR,SALAL,RIHAND1,NAPP,UNCHAHAR2,AURY_LF,JHAJJAR,DADRT2,AURY_RF,ANTA_CRF,NJPC,RAPPC,RAPPB,DADRI_RF,DULHASTI,DHAULIGNGA,DADRI_GF,SINGRAULI,CHAMERA2,TANAKPUR,SINGRAULI_HYDRO,UNCHAHAR3,UNCHAHAR1,CHAMERA3,BSIUL,ANTA_LF,RIHAND3,DADRI_LF,CHAMERA1,AURY_GF,PARBATI3,ANTA_RF,TEHRI,KISHANGANGA,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,18.745722,1.887764,2.690880,0.000000,118.115887,0.40,3.64,0.81,0.23,1.71,0.00,1.78,2.860359,0.000000,0.000000,3.382812,1.866975,10.837149,1.93,4.101852,0.799115,44.696234,1.871655,3.412458,2.585197,2.307512,0.000000,0.000000,1.278811,4.60,0.00,5.83,1.55,1.87,0.000000,0.00,0.19,2.10,5.118688,0.000000,1.292598,0.000000,3.412459,0.000000,0.000000,336.167618,0.900795,2.068157,116.260677,0.000000,0.000000,2.350548,1.370252,3.074752,0.000000,16.548590,48.920227,34.344245,16.786203,0.381217,51.490312,90.858439,41.734238,41.944779,0.000000,418.783065,276.677774,0.000000,0.000000,19.724074,56.844293,0.000000,0.000000,34.499425,0.000000,0.000000,138.740979,42.033750,0.616994,1.035891,24.844019,21.375627,30.545986,18.939827,0.000000,121.876716,0.000000,40.601245,0.000000,0.000000,0.000000,28.789978,2.457837,0,0,0,0,0

2,00:15-00:30,18.745722,1.887764,2.690880,0.000000,111.994125,0.40,3.64,0.81,0.23,1.71,0.00,1.78,2.860359,0.000000,0.000000,3.382812,1.866975,10.837149,1.93,4.101852,0.799115,44.696234,1.871655,3.412458,2.585197,2.307512,0.000000,0.000000,1.278811,0.00,0.00,5.83,1.55,1.87,0.000000,0.00,0.19,2.10,5.118688,0.000000,1.292598,0.000000,3.412459,0.000000,0.000000,336.167618,0.900795,2.068157,116.260677,0.000000,0.000000,2.350548,1.375213,3.074752,0.000000,16.548590,48.920227,34.344245,16.786203,0.381217,51.490312,90.858439,41.734238,41.944779,0.000000,442.939632,307.715300,0.000000,0.000000,19.724074,56.844293,0.000000,0.000000,34.499425,0.000000,0.000000,138.740979,42.033750,0.616994,1.035891,25.970568,21.375627,30.545986,18.939827,0.000000,121.876716,0.000000,40.601245,0.000000,0.000000,0.000000,28.789978,2.457837,0,0,0,0,0

3,00:30-00:45,18.745722,1.887764,2.690880,0.000000,111.994125,0.40,3.64,0.81,0.23,1.71,0.00,1.78,2.860359,0.000000,0.000000,3.382812,1.866975,9.932372,1.93,4.101852,0.799115,44.696234,1.871655,3.412458,2.585197,2.307512,0.000000,0.000000,1.278811,0.00,0.00,5.83,1.55,1.87,0.000000,0.00,0.19,2.10,5.118688,0.000000,1.292598,0.000000,3.412459,0.000000,0.000000,336.167618,0.900795,2.068157,116.260677,0.000000,0.000000,2.350548,1.375213,3.074752,0.000000,16.548590,48.920227,34.344245,16.786203,0.381217,62.683858,90.858439,41.734238,41.944779,0.000000,419.735915,301.286403,0.000000,0.000000,19.724074,56.844293,0.000000,0.000000,34.499425,0.000000,0.000000,138.740979,42.033750,0.616994,1.035891,25.665646,17.964485,30.545986,18.939827,0.000000,121.876716,0.000000,40.601245,0.000000,0.000000,0.000000,28.789978,2.457837,0,0,0,0,0

4,00:45-01:00,18.745722,1.887764,2.690880,0.000000,111.994125,0.40,3.64,0.81,0.23,1.71,0.00,1.78,2.860359,0.000000,0.000000,3.382812,1.866975,10.837149,1.93,4.101852,0.799115,44.696234,1.871655,3.412458,2.585197,2.307512,0.000000,0.000000,1.278811,0.00,0.00,5.83,1.55,1.87,0.000000,0.00,0.19,2.10,5.118688,0.000000,1.292598,0.000000,3.412459,0.000000,0.000000,336.167618,0.900795,2.068157,116.260677,0.000000,0.000000,2.350548,1.375213,3.074752,0.000000,16.548590,51.047194,34.344245,16.786203,0.381217,62.683858,90.858439,41.734238,41.944779,0.000000,419.735915,264.796432,0.000000,0.000000,19.724074,56.844293,0.000000,0.000000,34.499425,0.000000,0.000000,138.740979,42.033750,0.616994,1.035891,22.401542,17.964485,30.545986,18.939827,0.000000,121.876716,0.000000,40.601245,0.000000,0.000000,0.000000,28.789978,2.457837,0,0,0,0,0

5,01:00-01:15,18.745722,1.887764,2.690880,0.000000,101.397825,0.40,3.64,0.81,0.23,1.71,0.00,1.78,2.860359,0.000000,0.000000,3.382812,1.866975,10.837149,1.93,4.101852,0.799115,44.696234,1.871655,3.412458,2.585197,2.307512,0.000000,0.000000,1.278811,0.00,0.00,5.83,1.55,1.87,0.000000,0.00,0.19,2.10,5.118688,0.000000,1.292598,0.000000,3.412459,0.000000,0.000000,336.167618,0.900795,2.068157,116.260677,0.000000,0.000000,2.350548,1.375213,3.074752,0.000000,16.548590,51.047194,33.781225,16.786203,0.000000,62.683858,90.858439,41.734238,41.944779,0.000000,419.735915,257.162568,0.000000,0.000000,0.000000,56.844293,0.000000,0.000000,51.927025,0.000000,0.000000,138.740979,42.033750,0.616994,1.035891,18.712667,17.257707,30.545986,18.939827,0.000000,121.876716,0.000000,40.601245,0.000000,0.000000,0.000000,28.789978,2.457837,0,0,0,0,0

