Block,Time,UNCHAHAR1,PARBATI3,RIHAND1,NAPP,TANAKPUR,ANTA_LF,AURY_LF,SINGRAULI_HYDRO,DHAULIGNGA,RIHAND2,KOLDAM,DADRI_RF,DADRI_CRF,KOTESHWR,ANTA_GF,SEWA2,UNCHAHAR2,RAPPC,ANTA_CRF,CHAMERA2,AURY_CRF,BSIUL,JHAJJAR,CHAMERA1,SALAL,RIHAND3,DADRI_LF,DADRT2,URI,RAMPUR,ANTA_RF,TEHRI,DADRI_GF,URI2,KISHANGANGA,CHAMERA3,TANDA2,DULHASTI,SINGRAULI,UNCHAHAR3,AURY_RF,NJPC,AURY_GF,RAPPB,UNCHAHAR4,KHSTPP-I,SASAN,KHSTPP-II,BRBCL,FSTPP I & II,TALA,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
8,01:45-02:00,7.704800,0.000000,88.605200,0.000000,0.000000,0.000000,0.000000,0.718540,0.000000,56.880686,0.000000,0.000000,0.000000,8.546549,0.000000,0.000000,18.298900,52.431260,0.000000,0.000000,0.000000,0.000000,339.974300,0.000000,1.342947,119.102363,0.000000,348.642200,2.658156,0.000000,0.000000,0.000000,0.000000,16.064970,0.000000,0.000000,0.000000,0.000000,120.953321,16.086756,0.000000,0.000000,0.000000,0.000000,0.000000,14.446500,403.317387,46.228800,13.848730,3.852400,0.000000,0,0,0,0,0

9,02:00-02:15,7.704800,0.000000,88.605200,0.000000,0.000000,0.000000,0.000000,0.718540,0.000000,56.880686,0.000000,0.000000,0.000000,8.546549,0.000000,0.000000,18.298900,52.431260,0.000000,0.000000,0.000000,0.000000,339.974300,0.000000,1.342947,119.102363,0.000000,348.642200,2.658156,0.000000,0.000000,0.000000,0.000000,6.477811,0.000000,0.000000,0.000000,0.000000,120.953321,16.086756,0.000000,0.000000,0.000000,0.000000,0.000000,14.446500,403.317387,46.228800,13.183038,3.852400,0.000000,0,0,0,0,0

10,02:15-02:30,7.704800,0.000000,88.605200,0.000000,0.000000,0.000000,0.000000,0.718540,0.000000,56.880686,0.000000,0.000000,0.000000,8.546549,0.000000,0.000000,18.298900,52.431260,0.000000,0.000000,0.000000,0.000000,339.974300,0.000000,1.342947,119.102363,0.000000,348.642200,2.658156,0.000000,0.000000,0.000000,0.000000,4.534467,0.000000,0.000000,0.000000,0.000000,120.953321,16.086756,0.000000,0.000000,0.000000,0.000000,0.000000,14.446500,403.317387,46.228800,14.040340,3.852400,0.000000,0,0,0,0,0

11,02:30-02:45,7.704800,0.000000,88.605200,0.000000,0.000000,0.000000,0.000000,0.700116,0.000000,56.880686,0.000000,0.000000,0.000000,8.546549,0.000000,0.000000,18.298900,52.431260,0.000000,0.000000,0.000000,0.000000,339.974300,0.000000,1.342947,119.102363,0.000000,348.642200,2.658156,0.000000,0.000000,0.000000,0.000000,4.534467,0.000000,0.000000,0.000000,0.000000,120.953321,16.086756,0.000000,0.000000,0.000000,0.000000,0.000000,14.446500,403.317387,46.228800,14.446451,3.852400,0.000000,0,0,0,0,0

12,02:45-03:00,7.704800,0.000000,88.605200,0.000000,0.000000,0.000000,0.000000,0.700116,0.000000,56.880686,0.000000,0.000000,0.000000,8.546549,0.000000,0.000000,18.298900,52.431260,0.000000,0.000000,0.000000,0.000000,339.974300,0.000000,1.342947,119.102363,0.000000,348.642200,2.658156,0.000000,0.000000,0.000000,0.000000,4.534467,0.000000,0.000000,0.000000,0.000000,120.953321,16.086756,0.000000,0.000000,0.000000,0.000000,0.000000,14.446500,403.317387,46.228800,14.446451,3.852400,0.000000,0,0,0,0,0

13,03:00-03:15,7.704800,0.000000,88.605200,0.000000,6.538775,0.000000,0.000000,0.700116,0.000000,56.880686,0.000000,0.000000,0.000000,6.172508,0.000000,0.000000,18.298900,52.431260,0.000000,0.000000,0.000000,0.000000,339.974300,0.000000,1.342947,119.102363,0.000000,348.642200,2.658156,0.000000,0.000000,0.000000,0.000000,4.534467,0.000000,0.000000,0.000000,0.000000,120.953321,16.086756,0.000000,0.000000,0.000000,0.000000,0.000000,14.446500,403.317387,46.228800,14.446451,3.852400,0.000000,0,0,0,0,0

14,03:15-03:30,7.704800,0.000000,88.605200,0.000000,6.538775,0.000000,0.000000,0.700116,0.000000,56.880686,0.000000,0.000000,0.000000,6.172508,0.000000,0.000000,18.298900,52.431260,0.000000,0.000000,0.000000,0.000000,339.974300,0.000000,1.342947,119.102363,0.000000,348.642200,2.658156,0.000000,0.000000,0.000000,0.000000,4.534467,0.000000,0.000000,0.000000,0.000000,120.953321,16.086756,0.000000,0.000000,0.000000,0.000000,0.000000,14.446500,403.317387,46.228800,14.446451,3.852400,0.000000,0,0,0,0,0

15,03:30-03:45,7.704800,0.000000,88.605200,0.000000,6.538775,0.000000,0.000000,0.700116,0.000000,56.880686,0.000000,0.000000,0.000000,6.172508,0.000000,0.000000,18.298900,52.431260,0.000000,0.000000,0.000000,0.000000,339.974300,0.000000,1.342947,119.102363,0.000000,348.642200,2.658156,0.000000,0.000000,0.000000,0.000000,4.534467,0.000000,0.000000,0.000000,0.000000,120.953321,16.086756,0.000000,0.000000,0.000000,0.000000,0.000000,14.446500,403.317387,46.228800,14.446451,3.852400,0.000000,0,0,0,0,0

16,03:45-04:00,7.704800,0.000000,88.605200,0.000000,6.538775,0.000000,0.000000,0.700116,0.000000,56.880686,0.000000,0.000000,0.000000,6.172508,0.000000,0.000000,18.298900,52.431260,0.000000,0.000000,0.000000,0.000000,339.974300,0.000000,1.342947,119.102363,0.000000,348.642200,2.658156,0.000000,0.000000,0.000000,0.000000,4.534467,0.000000,0.000000,0.000000,0.000000,120.953321,16.086756,0.000000,0.000000,0.000000,0.000000,0.000000,14.446500,403.317387,46.228800,14.446451,3.852400,0.000000,0,0,0,0,0

17,04:00-04:15,7.704800,0.000000,88.605200,0.000000,6.538775,0.000000,0.000000,0.700116,0.000000,56.880686,0.000000,0.000000,0.000000,6.172508,0.000000,0.000000,18.298900,52.431260,0.000000,0.000000,0.000000,0.000000,339.974300,0.000000,1.342947,119.102363,0.000000,348.642200,2.658156,0.000000,0.000000,0.000000,0.000000,4.534467,0.000000,0.000000,0.000000,0.000000,120.953321,16.086756,0.000000,0.000000,0.000000,0.000000,0.000000,14.446500,403.317387,46.228800,14.446451,3.852400,0.000000,0,0,0,0,0

18,04:15-04:30,7.704800,0.000000,88.605200,0.000000,6.538775,0.000000,0.000000,0.700116,0.000000,56.880686,0.000000,0.000000,0.000000,6.172508,0.000000,0.000000,18.298900,52.431260,0.000000,0.000000,0.000000,0.000000,339.974300,0.000000,1.342947,119.102363,0.000000,348.642200,2.658156,0.000000,0.000000,14.986799,0.000000,4.534467,0.000000,0.000000,0.000000,15.870782,120.953321,16.086756,0.000000,0.000000,0.000000,0.000000,0.000000,14.446500,403.317387,46.228800,14.446451,3.852400,0.000000,0,0,0,0,0

19,04:30-04:45,7.704800,0.000000,88.605200,0.000000,0.000000,0.000000,0.000000,0.700116,0.000000,56.880686,0.000000,0.000000,0.000000,6.172508,0.000000,0.000000,18.298900,52.431260,0.000000,0.000000,0.000000,0.000000,339.974300,0.000000,1.342947,119.102363,0.000000,348.642200,2.658156,0.000000,0.000000,14.986799,0.000000,4.534467,0.000000,0.000000,0.000000,15.870782,120.953321,16.086756,0.000000,0.000000,0.000000,0.000000,0.000000,14.446500,403.317387,46.228800,14.446451,3.852400,0.000000,0,0,0,0,0

20,04:45-05:00,7.704800,0.000000,88.605200,0.000000,0.000000,0.000000,0.000000,0.700116,0.000000,56.880686,0.000000,0.000000,0.000000,6.172508,0.000000,0.000000,18.298900,52.431260,0.000000,0.000000,0.000000,0.000000,339.974300,0.000000,1.342947,119.102363,0.000000,348.642200,2.658156,0.000000,0.000000,19.416096,0.000000,4.534467,0.000000,0.000000,0.000000,15.870782,120.953321,16.086756,0.000000,0.000000,0.000000,0.000000,0.000000,14.446500,403.317387,46.228800,14.446451,3.852400,0.000000,0,0,0,0,0

