Block,Time,DHAULIGNGA,FSTPP I & II,KGSU1AND2,KHSTPP-I,KHSTPP-II,NLCEXP,NNTPP,RIHAND3,SINGRAULI_HYDRO,TEHRIPSP,ANTA_CRF,DADRI_GF,BRBCL,KKNP,RAMPUR,RIHAND2,RSTPSU7,SASAN,TALST2,UNCHAHAR1,DADRI_RF,CHAMERA1,JHAJJAR,KKNPPU2,NLCIIST2,TEHRI,AURY_CRF,NLCTS2EXP,RAPPB,TANDA2,VALLURNTECL,ANTA_LF,DULHASTI,KOTESHWR,NTPL,SEWA2,SIMHST1,SIMHST2,SINGRAULI,TelanganaSTPP,UNCHAHAR2,ANTA_GF,BSIUL,CHAMERA3,NJPC,NLCIIST1,PARBATI2,RAPPD,SALAL,TALA,URI,NAPP,PARBATI3,UNCHAHAR3,ANTA_RF,AURY_GF,AURY_RF,DADRI_CRF,CHAMERA2,DADRT2,KGSU3AND4,KISHANGANGA,KOLDAM,KUDGI,MAPS,RAPPC,RIHAND1,RSTPSU1TO6,TANAKPUR,UNCHAHAR4,URI2,AURY_LF,DADRI_LF
1,00:00-00:15,42.46,18.35,0,45.53,98.87,0,0,130.84,0,177.18,0,0,24.99,0,5.67,125.27,0,418.77,0,21.25,105.39,42.15,667.25,0,0,74.02,0,0,0,2.83,0,0,38.02,40.57,0,18.34,0,0,113.75,0,43.7,0,0,33.94,175.79,0,16.18,24.28,83.67,20.43,52.36,24.48,52.03,27.09,52.09,0,80.91,0,47.12,689.38,0,3.2,8.62,0,0,65.59,98.32,0,13.06,1.52,37.42,0,0

2,00:15-00:30,42.46,18.35,0,45.53,98.87,0,0,130.84,0,88.59,0,0,24.99,0,5.67,125.27,0,418.77,0,21.25,105.39,42.15,667.25,0,0,74.02,0,0,0,2.83,0,0,38.02,40.57,0,18.34,0,0,113.75,0,43.7,0,0,33.94,175.79,0,16.18,24.28,83.67,20.43,52.36,24.48,52.03,27.09,52.09,0,80.91,0,47.12,689.38,0,3.2,8.62,0,0,65.59,98.32,0,13.06,1.52,37.42,0,0

3,00:30-00:45,42.46,18.35,0,39.45,98.87,0,0,130.84,0,0,0,0,24.99,0,5.67,125.27,0,418.77,0,21.65,105.39,42.15,667.25,0,0,74.02,0,0,0,3.13,0,0,38.02,40.57,0,18.34,0,0,113.75,0,43.7,0,0,33.94,175.79,0,16.18,24.28,83.67,20.43,39.75,24.48,56.49,27.09,52.09,0,80.91,0,47.12,689.38,0,3.2,8.62,0,0,65.59,98.32,0,13.06,1.62,32.74,0,0

4,00:45-01:00,42.46,18.35,0,39.45,98.87,0,0,130.84,0,0,0,0,24.99,0,5.67,125.27,0,418.77,0,21.65,105.39,42.15,667.25,0,0,74.02,0,0,0,3.13,0,0,38.02,40.57,0,18.34,0,0,113.75,0,43.7,0,0,33.94,175.79,0,16.18,24.28,83.67,20.43,39.75,24.48,56.49,27.09,52.09,0,80.91,0,47.12,689.38,0,3.2,8.62,0,0,65.59,98.32,0,13.06,1.62,32.74,0,0

5,01:00-01:15,42.46,18.35,0,39.45,98.87,0,0,130.84,0,0,0,0,24.99,0,5.67,125.27,0,418.77,0,21.65,105.39,42.15,667.25,0,0,74.02,0,0,0,3.13,0,0,38.02,40.57,0,18.34,0,0,113.75,0,44.39,0,0,33.94,175.79,0,16.18,24.28,83.67,20.43,39.75,24.48,56.49,27.09,52.34,0,80.91,0,47.12,689.38,0,3.2,8.62,0,0,65.59,98.32,0,13.06,1.62,37.42,0,0

6,01:15-01:30,42.46,18.35,0,39.45,98.87,0,0,130.84,0,0,0,0,24.99,0,5.67,125.27,0,418.77,0,21.65,105.39,42.15,667.25,0,0,74.02,0,0,0,3.13,0,0,38.02,40.57,0,18.34,0,0,113.75,0,45,0,0,33.94,175.79,0,16.18,24.28,83.67,20.43,39.75,24.48,56.49,27.69,52.34,0,80.91,0,47.12,689.38,0,3.2,8.62,0,0,65.59,98.32,0,13.06,1.62,37.42,0,0

7,01:30-01:45,42.46,18.35,0,39.45,98.87,0,0,130.84,0,0,0,0,24.99,0,5.67,125.27,0,418.77,0,21.65,105.39,42.15,667.25,0,0,74.02,0,0,0,3.13,0,0,38.02,40.57,0,18.34,0,0,113.75,0,45,0,0,33.94,175.79,0,16.18,24.28,83.67,20.43,30.91,24.48,56.49,27.69,52.34,0,80.91,0,47.12,689.38,0,3.2,8.62,0,0,65.59,98.32,0,13.06,2.66,32.74,0,0

8,01:45-02:00,42.46,18.35,0,39.45,98.87,0,0,130.84,0,0,0,0,24.99,0,5.67,125.27,0,418.77,0,21.65,105.39,42.15,667.25,0,0,74.02,0,0,0,3.13,0,0,38.02,40.57,0,18.34,0,0,113.75,0,45,0,0,33.94,175.79,0,16.18,24.28,83.67,20.43,30.91,24.48,56.49,27.69,52.34,0,80.91,0,47.12,689.38,0,3.2,8.62,0,0,65.59,98.32,0,13.06,1.58,32.74,0,0

