Column1,Time,NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2025/04/01/6490,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/05012040/L_NR_2020_02,GNA/WR/2025/04/01/4420,NR/01102023/19072037/LT-05,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/30042040/GNA_LT_36,GNA/NR/2025/04/01/1831,NR/01102023/22052037/LT-59,GNA/NR/2025/04/01/8456,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/NR/2025/04/01/1333,GNA/NR/2025/04/01/9334,NR/01102023/06022042/L_NR_2012_07,GNA/NR/2025/04/01/4565,NR/01102023/31102037/L_NR_2019_11,NR/01102023/30042040/GNA_LT_35,NR/01102023/06022042/L_NR_2012_02,NR/01102023/31052040/LT-31,GNA/NR/2025/04/01/8510,GNA/NR/2025/04/01/5285,GNA/NR/2025/04/01/7960,GNA/NR/2025/04/01/7459,GNA/NR/2025/04/01/6216,NR/30092023/31122025/SH-07,NR/30092023/26122029/SH-06,GNA/NR/2025/04/01/8964,GNA/SR/2025/04/01/2597,WR/01102023/30052048/L_NR_2022_10,WR/01102023/01102023/L_NR_2022_09,WR/01102023/16072048/L_NR_2022_08,WR/01102023/01102023/L_NR_2020_06,NR/26072023/31072042/L_NR_2023_07,NR/26072023/25122043/L_NR_2023_10,NR/01102023/25072045/L_NR_2021_15,NR/01102023/13082046/L_NR_2021_12,NR/01102023/02122045/L_NR_2021_13,NR/01102023/08032047/L_NR_2021_14,GNARE/NR/2024/12/20/3668,NR/22102023/11042047/L_NR_2021_16,NR/22102023/11042047/L_NR_2021_17,L_NR_2019_19,WR/01102023/29112042/L_NR_2019_05,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/24112044/L_NR_2020_07,GNARE/SR/2025/01/13/4532,WR/01102023/31032046/L_NR_2020_05
1,00:00-00:15,100.27,9.62,272.15,2.8,0,115.09,11.42,0,1.92,5.04,10.35,31.29,2.89,2.89,86.82,48.12,0,0,257.65,0,7.68,2.89,22.14,9.62,9.62,32,32,0,52.5,42.67,42.67,11.67,16.83,0,0,0,0,0,0,0,0,0,0,0,0,0,16.83,7,50.51

2,00:15-00:30,100.27,9.62,272.15,2.8,0,115.09,11.42,0,1.92,5.04,10.35,31.29,2.89,2.89,86.82,48.12,0,0,257.65,0,7.68,2.89,22.14,9.62,9.62,32,32,0,52.5,43,43,11.67,17,0,0,0,0,0,0,0,0,0,0,0,0,0,17,7,51

3,00:30-00:45,100.27,9.62,272.15,2.8,0,115.09,11.42,0,1.92,5.04,10.35,31.29,2.89,2.89,86.82,48.12,0,0,257.65,0,7.68,2.89,22.14,9.62,9.62,32,32,0,52.5,43.67,43.67,12,17.33,0,0,0,0,0,0,0,0,0,0,0,0,0,17.33,7,52.01

4,00:45-01:00,100.27,9.62,272.15,2.8,0,115.09,11.42,0,1.92,5.04,10.35,31.29,2.89,2.89,86.82,48.12,0,0,257.65,0,7.68,2.89,22.14,9.62,9.62,32,32,0,52.5,45,45,12,17.67,0,0,0,0,0,0,0,0,0,0,0,0,0,17.67,7,52.99

5,01:00-01:15,100.27,9.62,272.15,2.8,0,115.09,11.42,0,1.92,5.04,10.35,31.29,2.89,2.89,86.82,48.12,0,0,257.65,0,7.68,2.89,22.14,9.62,9.62,0,32,0,52.5,44.67,44.67,12,17.67,0,0,0,0,0,0,0,0,0,0,0,0,0,17.67,7,52.99

6,01:15-01:30,100.27,9.62,272.15,2.8,0,115.09,11.42,0,1.92,5.04,10.35,31.29,2.89,2.89,86.82,48.12,0,0,257.65,0,7.68,2.89,22.14,9.62,9.62,0,32,0,52.5,43.67,43.67,11.67,17.83,0,0,0,0,0,0,0,0,0,0,0,0,0,17.83,7,53.51

7,01:30-01:45,100.27,9.62,272.15,2.8,0,66.04,11.42,0,1.92,5.04,10.35,31.29,2.89,2.89,74.62,48.12,0,0,228.99,0,7.68,2.89,22.14,9.62,9.62,0,30.5,0,52.5,42.67,42.67,11.67,17.83,0,0,0,0,0,0,0,0,0,0,0,0,0,17.83,7,53.51

8,01:45-02:00,100.27,9.62,272.15,2.8,0,66.04,11.42,0,1.92,5.04,10.35,31.29,2.89,2.89,86.82,48.12,0,0,257.65,0,7.68,2.89,22.14,9.62,9.62,0,30.5,0,52.5,41.67,41.67,11.33,17.5,0,0,0,0,0,0,0,0,0,0,0,0,0,17.5,7,52.5

9,02:00-02:15,100.27,9.62,272.15,2.8,0,66.04,11.33,0,1.92,5.04,10.35,31.29,2.89,2.89,86.82,48.12,0,0,257.65,0,7.68,2.89,22.14,9.62,9.62,21.55,30.5,0,0,41,41,11.33,17.33,0,0,0,0,0,0,0,0,0,0,0,0,0,17.33,7,52.01

10,02:15-02:30,100.27,9.62,272.15,2.8,0,66.04,11.33,0,1.92,5.04,10.35,31.29,2.89,2.89,86.82,48.12,0,0,257.65,0,7.68,2.89,22.14,9.62,9.62,21.55,30.5,0,0,40.67,40.67,11.33,17.83,0,0,0,0,0,0,0,0,0,0,0,0,0,17.83,7,53.51

11,02:30-02:45,100.27,9.62,272.15,2.8,0,66.04,10.4,0,1.92,5.04,10.35,31.29,2.89,2.89,86.82,48.12,0,0,257.65,0,7.68,2.89,22.14,9.62,9.62,21.55,26.95,0,0,40.33,40.33,11.33,18.33,0,0,0,0,0,0,0,0,0,0,0,0,0,18.33,3.4,55.01

12,02:45-03:00,100.27,9.62,272.15,2.8,0,66.04,10.4,0,1.92,5.04,10.35,31.29,2.89,2.89,86.82,48.12,0,0,257.65,0,7.68,2.89,22.14,9.62,9.62,21.55,26.95,0,0,40,40,11.33,18.83,0,0,0,0,0,0,0,0,0,0,0,0,0,18.83,3.6,56.51

13,03:00-03:15,100.27,9.62,272.15,2.8,0,66.04,10.4,0,1.92,4.74,10.35,31.29,2.89,2.89,86.82,48.12,0,0,257.65,0,7.68,2.89,22.14,9.62,9.62,25.98,26.95,0,0,52.33,52.33,5.67,18.17,0,0,0,0,0,0,0,0,0,0,0,0,0,18.17,3.8,54.49

14,03:15-03:30,100.27,9.62,272.15,2.8,0,66.04,10.4,0,1.92,4.74,10.35,31.29,2.89,2.89,86.82,48.12,0,0,257.65,0,7.68,2.89,22.14,9.62,9.62,25.98,26.95,0,0,53,53,5.67,19.17,0,0,0,0,0,0,0,0,0,0,0,0,0,19.17,3.8,57.49

15,03:30-03:45,100.27,9.62,272.15,2.8,0,66.04,10.4,0,1.92,4.74,10.35,31.29,2.89,2.89,86.82,48.12,0,0,257.65,0,7.68,2.89,22.14,9.62,9.62,26.95,26.95,0,0,53.67,53.67,5.67,19.33,0,0,0,0,0,0,0,0,0,0,0,0,0,19.33,3.8,58.01

16,03:45-04:00,100.27,9.62,272.15,2.8,0,66.04,10.4,0,1.92,4.74,10.35,31.29,2.89,2.89,86.82,48.12,0,0,257.65,0,7.68,2.89,22.14,9.62,9.62,26.95,26.95,0,0,54,54,5.67,19.67,0,0,0,0,0,0,0,0,0,0,0,0,0,19.67,3.6,58.99

17,04:00-04:15,100.27,9.62,272.15,2.61,0,66.04,10.32,0,1.92,4.66,10.35,31.29,2.89,2.89,86.82,48.12,0,0,257.65,0,7.68,2.89,22.14,9.62,9.62,26.95,26.95,0,0,54.67,54.67,5.67,19.83,0,0,0,0,0,0,0,0,0,0,0,0,0,19.83,3.2,59.51

18,04:15-04:30,100.27,9.62,272.15,2.61,0,66.04,10.32,0,1.92,4.66,10.35,31.29,2.89,2.89,86.82,48.12,0,0,257.65,0,7.68,2.89,22.14,9.62,9.62,26.95,26.95,0,0,55,55,5.67,20.17,0,0,0,0,0,0,0,0,0,0,0,0,0,20.17,3,60.49

19,04:30-04:45,100.27,9.62,272.15,2.61,0,66.04,10.32,0,1.92,1.55,10.35,31.29,2.89,2.89,86.82,48.12,0,0,257.65,0,7.68,2.89,22.14,9.62,9.62,26.95,26.95,0,0,44.67,44.67,5.67,20.33,0,0,0,0,0,0,0,0,0,0,0,0,0,20.33,3,61.01

20,04:45-05:00,100.27,9.62,272.15,2.61,0,66.04,10.32,0,1.92,3.96,10.35,31.29,2.89,2.89,86.82,48.12,0,0,257.65,0,7.68,2.89,22.14,9.62,9.62,26.95,26.95,0,0,43.67,43.67,5.67,20.17,0,0,0,0,0,0,0,0,0,0,0,0,0,20.17,3.2,60.49

21,05:00-05:15,100.27,9.62,272.15,2.61,0,66.04,10.22,0,1.92,3.96,10.35,31.29,2.89,2.89,74.62,48.12,0,0,228.99,0,7.68,2.89,22.14,9.62,9.62,30.5,25.98,0,0,42.67,42.67,5.67,19.67,0,0,0,0,0,0,0,0,0,0,0,0,0,19.67,3.2,58.99

22,05:15-05:30,100.27,9.62,272.15,2.61,0,115.09,10.22,0,1.92,3.96,10.35,31.29,2.89,2.89,86.82,48.12,0,0,257.65,0,7.68,2.89,22.14,9.62,9.62,30.5,25.98,0,0,41.67,41.67,5.67,19.17,0,0,0,0,0,0,0,0,0,0,0,0,0,19.17,2.8,57.49

23,05:30-05:45,100.27,9.62,272.15,2.61,0,115.09,10.22,0,1.92,3.96,10.35,31.29,2.89,2.89,86.82,48.12,0,0,260.45,0,7.68,2.89,22.14,9.62,9.62,30.5,25.98,0,0,41,41,5.67,19,0,0,0,0,0,0,0,0,0,0,0,0,0,19,3,57

24,05:45-06:00,100.27,9.62,272.15,2.61,0,115.09,10.22,0,1.92,3.96,10.35,31.29,2.89,2.89,86.82,48.12,0,0,260.45,0,7.68,2.89,22.14,9.62,9.62,30.5,9.26,0,0,40.33,40.33,5.67,17,0,0,0,0,0,0,0,0,0,0,0,0,0,17,3.2,51

25,06:00-06:15,100.27,9.62,272.15,2.61,0,115.09,10.14,0,1.92,3.88,10.35,30.78,2.89,2.89,86.82,48.12,0,0,260.45,0,7.68,2.89,22.14,9.62,9.62,30.5,9.26,0,0,39.67,39.67,5.67,15.83,0,0,0,0,0,0,0,0,0,0,2.8,3.2,0,15.83,3.2,47.51

