Block,Time Block,RAPPC,RSTPSU7,RSTPSU1TO6,NTPL,RAPPB,RIHAND3,RIHAND2,PARBATI3,RIHAND1,RAMPUR,SIMHST2,TALST2,TANDA2,TALA,TANAKPUR,SEWA2,SIMHST1,SASAN,SINGRAULI,SINGRAULI_HYDRO,SALAL,CHAMERA1,BSIUL,BRBCL,NLCIIST2,NNTPP,NLCIIST1,NLCTS2EXP,NLCEXP,MAPS,NAPP,NJPC,KHSTPP-II,KUDGI,KOTESHWR,KKNPPU2,KGSU1AND2,KOLDAM,KHSTPP-I,KGSU3AND4,KISHANGANGA,KKNP,JHAJJAR,FSTPP I & II,DHAULIGNGA,CHAMERA2,CHAMERA3,DADRT2,DULHASTI,TEHRI,UNCHAHAR1,VALLURNTECL,UNCHAHAR4,URI2,UNCHAHAR3,TelanganaSTPP,UNCHAHAR2,URI,DADRI_RF,AURY_RF,AURY_GF,AURY_LF,DADRI_CRF,DADRI_GF,DADRI_LF,ANTA_CRF,ANTA_GF,ANTA_LF,ANTA_RF,AURY_CRF,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,51.99,0,0,0,0,119.57,114.22,0,88.49,0,0,0,0,0,6.03,0,0,364.88,121.16,0,1.35,0,0,19.24,0,0,0,0,0,0,41.91,0,95.09,0,8.53,0,0,0,43.49,0,0,0,337.74,10.32,0,0,0,302.97,0,0,15.43,0,0,5.17,19.4,0,30.79,25.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

2,00:15-00:30,51.99,0,0,0,0,119.57,114.22,0,88.49,0,0,0,0,0,6.03,0,0,367.89,121.16,0,1.35,0,0,19.24,0,0,0,0,0,0,41.91,0,95.09,0,8.53,0,0,0,43.49,0,0,0,346.12,10.32,0,0,0,249.11,0,0,15.42,0,0,18.11,18.84,0,29.45,25.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

3,00:30-00:45,51.99,0,0,0,0,119.57,114.22,0,88.49,0,0,0,0,0,6.03,0,0,367.89,121.16,0,1.35,0,0,14.83,0,0,0,0,0,0,41.91,0,95.09,0,8.53,0,0,0,43.49,0,0,0,346.12,10.32,0,0,0,191.4,0,0,15.42,0,0,18.11,18.84,0,29.45,25.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

4,00:45-01:00,51.99,0,0,0,0,119.57,114.22,0,88.49,0,0,0,0,0,0.49,0,0,367.89,121.16,0,1.35,0,0,13.7,0,0,0,0,0,0,41.91,0,95.09,0,8.53,0,0,0,43.49,0,0,0,346.12,10.32,0,0,0,191.4,0,0,15.42,0,0,18.11,18.84,0,29.45,3.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

5,01:00-01:15,51.99,0,0,0,0,119.57,114.22,0,88.49,0,0,0,0,0,0.49,0,0,367.89,121.16,0,1.35,0,0,14.01,0,0,0,0,0,0,41.91,0,95.09,0,8.53,0,0,0,43.49,0,0,0,346.12,10.23,0,0,0,191.4,0,0,15.42,0,0,18.11,18.84,0,29.45,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

6,01:15-01:30,51.99,0,0,0,0,119.57,114.22,0,88.49,0,0,0,0,0,0.49,0,0,367.89,121.16,0,1.35,0,0,13.12,0,0,0,0,0,0,41.91,0,80.35,0,8.53,0,0,0,36.89,0,0,0,346.12,10.23,0,0,0,191.4,0,0,15.42,0,0,18.11,18.84,0,29.45,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

