Block,Time,DADRI_GF,RIHAND1,AURY_RF,DULHASTI,KISHANGANGA,SEWA2,ANTA_CRF,AURY_GF,UNCHAHAR2,AURY_CRF,RIHAND2,URI2,SINGRAULI_HYDRO,NJPC,DHAULIGNGA,TANAKPUR,RAPPB,KOLDAM,RAMPUR,TANDA2,UNCHAHAR4,CHAMERA3,DADRI_CRF,KOTESHWR,PARBATI3,BSIUL,CHAMERA2,NAPP,SALAL,JHAJJAR,SINGRAULI,ANTA_RF,DADRT2,KHSTPP-II,KUDGI,FSTPP I & II,KHSTPP-I,TALA,BRBCL,SASAN,UNCHAHAR1,AURY_LF,RIHAND3,UNCHAHAR3,ANTA_GF,ANTA_LF,RAPPC,TEHRI,CHAMERA1,DADRI_LF,DADRI_RF,URI,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
9,02:00-02:15,0.000000,43.492500,0.000000,47.780431,0.000000,15.274612,0.000000,0.000000,32.445405,0.000000,114.167812,31.333273,0.961436,147.816993,35.319915,12.628482,0.000000,0.000000,0.000000,0.000000,0.000000,28.089204,0.000000,34.306884,0.000000,19.002743,38.186531,37.366436,83.107402,567.983055,129.027750,0.000000,578.998062,142.573852,14.50,13.772625,31.093272,26.426043,14.497500,400.131000,10.759948,0.000000,119.522827,21.926986,0.000000,0.000000,49.304838,65.029986,41.230890,0.000000,0.000000,50.149752,0,0,0,0,0

10,02:15-02:30,0.000000,43.492500,0.000000,47.780431,0.000000,15.274612,0.000000,0.000000,32.445405,0.000000,114.167812,31.333273,0.961436,147.816993,35.319915,12.628482,0.000000,0.000000,0.000000,0.000000,0.000000,28.089204,0.000000,34.306884,0.000000,19.002743,38.186531,37.366436,83.107402,548.653055,129.027750,0.000000,578.998062,142.573852,14.50,13.772625,31.093272,26.426043,14.497500,400.131000,10.759948,0.000000,119.522827,21.926986,0.000000,0.000000,49.304838,65.029986,41.230890,0.000000,0.000000,45.348180,0,0,0,0,0

11,02:30-02:45,0.000000,43.492500,0.000000,47.780431,0.000000,15.274612,0.000000,0.000000,32.445405,0.000000,114.167812,30.553191,0.961436,147.816993,35.319915,12.628482,0.000000,0.000000,0.000000,0.000000,0.000000,28.089204,0.000000,34.306884,0.000000,19.002743,38.186531,37.366436,83.107402,526.413890,129.027750,0.000000,578.998062,142.573852,14.50,13.772625,31.092402,26.426043,13.040530,400.131000,10.759948,0.000000,119.522827,21.926986,0.000000,0.000000,49.304838,65.029986,41.230890,0.000000,0.000000,45.348180,0,0,0,0,0

12,02:45-03:00,0.000000,43.492500,0.000000,47.780431,0.000000,15.274612,0.000000,0.000000,32.445405,0.000000,114.167812,30.553191,0.961436,147.816993,35.319915,12.628482,0.000000,0.000000,0.000000,0.000000,0.000000,28.089204,0.000000,34.306884,0.000000,19.002743,38.186531,37.366436,83.107402,505.160555,129.027750,0.000000,549.676482,142.573852,14.50,13.772625,31.092402,26.426043,14.497500,400.131000,10.759948,0.000000,119.522827,21.926986,0.000000,0.000000,49.304838,65.029986,41.230890,0.000000,0.000000,45.348180,0,0,0,0,0

13,03:00-03:15,0.000000,43.492500,0.000000,47.780431,0.000000,15.274612,0.000000,0.000000,29.100552,0.000000,114.167812,30.553191,0.961436,147.816993,35.319915,11.390396,0.000000,0.000000,0.000000,0.000000,0.000000,28.089204,0.000000,34.306884,0.000000,19.002743,38.186531,37.366436,81.422792,483.800905,129.027750,0.000000,538.136472,142.573852,14.50,13.772625,31.092402,26.426043,14.497500,400.131000,10.663298,0.000000,119.522827,21.926986,0.000000,0.000000,49.304838,65.029986,41.230890,0.000000,0.000000,45.348180,0,0,0,0,0

