Time,Block,NR/2024/18392/C,NR/2024/18285/A/3498,NR/2023/18204/A/3349,NR/2023/18183/A/3507,NR/2024/18331/A/3506,NR/2024/18396/C,NR/2024/18395/C,NR/2023/18074/A/3333,NR/2024/18387/C,WR/2023/20914/A/3492,WR/2023/20937/A/3505,Total
,,SJVNL,HPXL,IEXL,MANIKARAN,MANIKARAN,SJVNL,SJVNL,ITCLH,NVVNL,APPCPL,MANIKARAN,Total

,,UTTAR PRADESH,MP,ANDHRA PRADESH,DELHI,DELHI,TELANGANA,UTTAR PRADESH,ANDHRA PRADESH,NA,DELHI,DELHI,
,,BCMLB001,MSPIL,SNJSUGARLTDAP,BRPL,BRPL,NSLKSLWPRTY,BCMLUH,ITCWIND,SOLAPUR_SOLAR,BRPL,BRPL,
,,DELHI,DELHI,DELHI,HIMACHAL PRADESH,HIMACHAL PRADESH,DELHI,DELHI,DELHI,DELHI,GOA,GOA,
,,NDMC,NDMC,MES (Delhi),HP,HP,NDMC,NDMC,ITCLH,MES (Delhi),GOA_Beneficiary,GOA_Beneficiary,
,,North-North,West-North,South-East-North,North-North,North-North,South-East-North,North-North,South-West-North,West-North,North-West,North-West,
1,00:00-00:15,0.000000,9.610000,5.770000,0.000000,0.000000,0.000000,0.000000,0.380000,0,0.000000,0.000000,15.76

2,00:15-00:30,0.000000,9.610000,5.770000,0.000000,0.000000,0.000000,0.000000,0.380000,0,0.000000,0.000000,15.76

3,00:30-00:45,0.000000,9.610000,5.770000,0.000000,0.000000,0.000000,0.000000,0.380000,0,0.000000,0.000000,15.76

4,00:45-01:00,0.000000,9.610000,5.770000,0.000000,0.000000,0.000000,0.000000,0.380000,0,0.000000,0.000000,15.76

5,01:00-01:15,0.000000,9.610000,5.770000,0.000000,0.000000,0.000000,0.000000,0.380000,0,0.000000,0.000000,15.76

6,01:15-01:30,0.000000,9.610000,5.770000,0.000000,0.000000,0.000000,0.000000,0.380000,0,0.000000,0.000000,15.76

7,01:30-01:45,0.000000,9.610000,5.770000,0.000000,0.000000,0.000000,0.000000,0.380000,0,0.000000,0.000000,15.76

8,01:45-02:00,0.000000,9.610000,5.770000,0.000000,0.000000,0.000000,0.000000,0.380000,0,0.000000,0.000000,15.76

9,02:00-02:15,0.000000,9.610000,5.770000,0.000000,0.000000,0.000000,0.000000,0.380000,0,0.000000,0.000000,15.76

10,02:15-02:30,0.000000,9.610000,5.770000,0.000000,0.000000,0.000000,0.000000,0.380000,0,0.000000,0.000000,15.76

11,02:30-02:45,0.000000,9.610000,5.770000,0.000000,0.000000,0.000000,0.000000,0.380000,0,0.000000,0.000000,15.76

12,02:45-03:00,0.000000,9.610000,5.770000,0.000000,0.000000,0.000000,0.000000,0.380000,0,0.000000,0.000000,15.76

13,03:00-03:15,0.000000,9.610000,5.770000,0.000000,0.000000,0.000000,0.000000,0.380000,0,0.000000,0.000000,15.76

14,03:15-03:30,0.000000,9.610000,5.770000,0.000000,0.000000,0.000000,0.000000,0.380000,0,0.000000,0.000000,15.76

15,03:30-03:45,0.000000,9.610000,5.770000,0.000000,0.000000,0.000000,0.000000,0.380000,0,0.000000,0.000000,15.76

16,03:45-04:00,0.000000,9.610000,5.770000,0.000000,0.000000,0.000000,0.000000,0.380000,0,0.000000,0.000000,15.76

17,04:00-04:15,0.000000,9.610000,5.770000,0.000000,0.000000,0.000000,0.000000,0.380000,0,0.000000,0.000000,15.76

18,04:15-04:30,0.000000,9.610000,5.770000,0.000000,0.000000,0.000000,0.000000,0.380000,0,0.000000,0.000000,15.76

19,04:30-04:45,0.000000,9.610000,5.770000,0.000000,0.000000,0.000000,0.000000,0.380000,0,0.000000,0.000000,15.76

20,04:45-05:00,0.000000,9.610000,5.770000,0.000000,0.000000,0.000000,0.000000,0.380000,0,0.000000,0.000000,15.76

21,05:00-05:15,0.000000,9.610000,5.770000,0.000000,0.000000,0.000000,0.000000,0.430000,0,0.000000,0.000000,15.81

22,05:15-05:30,0.000000,9.610000,5.770000,0.000000,0.000000,0.000000,0.000000,0.430000,0,0.000000,0.000000,15.81

23,05:30-05:45,0.000000,9.610000,5.770000,0.000000,0.000000,0.000000,0.000000,0.430000,0,0.000000,0.000000,15.81

24,05:45-06:00,0.000000,9.610000,5.770000,0.000000,0.000000,0.000000,0.000000,0.430000,0,0.000000,0.000000,15.81

25,06:00-06:15,0.000000,9.610000,5.770000,158.480000,0.000000,0.000000,0.000000,0.380000,0,0.000000,0.000000,174.24

26,06:15-06:30,0.000000,9.610000,5.770000,158.480000,0.000000,0.000000,0.000000,0.380000,0,0.000000,0.000000,174.24

27,06:30-06:45,0.000000,9.610000,5.770000,158.480000,0.000000,0.000000,0.000000,0.380000,0,0.000000,0.000000,174.24

28,06:45-07:00,0.000000,9.610000,5.770000,158.480000,0.000000,0.000000,0.000000,0.380000,0,0.000000,0.000000,174.24

29,07:00-07:15,0.000000,9.610000,5.770000,158.480000,0.000000,0.000000,0.000000,0.530000,0,0.000000,0.000000,174.39

30,07:15-07:30,0.000000,9.610000,5.770000,158.480000,0.000000,0.000000,0.000000,0.530000,0,0.000000,0.000000,174.39

31,07:30-07:45,0.000000,9.610000,5.770000,158.480000,0.000000,0.000000,0.000000,0.530000,0.36,0.000000,0.000000,174.75

32,07:45:08:00,0.000000,9.610000,5.770000,158.480000,0.000000,0.000000,0.000000,0.530000,0.69,0.000000,0.000000,175.08

33,08:00-08:15,0.000000,9.610000,5.770000,158.480000,0.000000,0.000000,0.000000,0.870000,1.07,0.000000,0.000000,175.8

34,08:15-08:30,0.000000,9.610000,5.770000,158.480000,0.000000,0.000000,0.000000,0.870000,1.41,0.000000,0.000000,176.14

35,08:30-08:45,0.000000,9.610000,5.770000,158.480000,0.000000,0.000000,0.000000,0.870000,1.92,0.000000,0.000000,176.65

36,08:45:09:00,0.000000,9.610000,5.770000,158.480000,0.000000,0.000000,0.000000,0.870000,2.43,0.000000,0.000000,177.16

37,09:00:09:15,0.000000,9.610000,5.770000,0.000000,158.480000,0.000000,0.000000,0.870000,2.93,0.000000,0.000000,177.66

38,09:15-09:30,0.000000,9.610000,5.770000,0.000000,158.480000,0.000000,0.000000,0.870000,3.43,0.000000,0.000000,178.16

39,09:30-09:45,0.000000,9.610000,5.770000,0.000000,158.480000,0.000000,0.000000,0.870000,3.89,0.000000,0.000000,178.62

40,09:45-10:00,0.000000,9.610000,5.770000,0.000000,158.480000,0.000000,0.000000,0.870000,4.34,0.000000,0.000000,179.07

41,10:00-10:15,0.000000,9.610000,5.770000,0.000000,158.480000,0.000000,0.000000,0.870000,4.76,0.000000,0.000000,179.49

42,10:15-10:30,0.000000,9.610000,5.770000,0.000000,158.480000,0.000000,0.000000,0.870000,5.06,0.000000,0.000000,179.79

43,10:30-10:45,0.000000,9.610000,5.770000,0.000000,158.480000,0.000000,0.000000,0.870000,5.52,0.000000,0.000000,180.25

44,10:45-11:00,0.000000,9.610000,5.770000,0.000000,158.480000,0.000000,0.000000,0.870000,5.8,0.000000,0.000000,180.53

45,11:00-11:15,0.000000,9.610000,5.770000,0.000000,158.480000,0.000000,0.000000,0.870000,6.14,0.000000,0.000000,180.87

46,11:15-11:30,0.000000,9.610000,5.770000,0.000000,158.480000,0.000000,0.000000,0.870000,6.46,0.000000,0.000000,181.19

47,11:30-11:45,3.840000,9.610000,5.770000,0.000000,158.480000,2.880000,3.360000,0.870000,6.6,0.000000,0.000000,191.41

48,11:45-12:00,3.840000,9.610000,5.770000,0.000000,158.480000,2.880000,3.360000,0.870000,6.75,0.000000,0.000000,191.56

49,12:00-12:15,3.840000,9.610000,5.770000,0.000000,158.480000,2.880000,3.360000,0.870000,6.85,0.000000,0.000000,191.66

50,12:15-12:30,3.840000,9.610000,5.770000,0.000000,158.480000,2.880000,3.360000,0.870000,6.79,0.000000,0.000000,191.6

51,12:30-12:45,3.840000,9.610000,5.770000,0.000000,158.480000,2.880000,3.360000,0.870000,6.79,0.000000,0.000000,191.6

52,12:45-13:00,3.840000,9.610000,5.770000,0.000000,158.480000,2.880000,3.360000,0.870000,6.95,0.000000,0.000000,191.76

53,13:00-13:15,3.840000,9.610000,5.770000,0.000000,158.480000,2.790000,3.360000,0.770000,6.95,0.000000,0.000000,191.57

54,13:15-13:30,3.840000,9.610000,5.770000,0.000000,158.480000,2.790000,3.360000,0.770000,6.76,0.000000,0.000000,191.38

55,13:30-13:45,3.840000,9.610000,5.770000,0.000000,158.480000,2.790000,3.360000,0.770000,6.76,0.000000,0.000000,191.38

56,13:45-14:00,3.840000,9.610000,5.770000,0.000000,158.480000,2.790000,3.360000,0.770000,6.52,0.000000,0.000000,191.14

57,14:00-14:15,3.840000,9.610000,5.770000,0.000000,158.480000,2.600000,3.360000,0.770000,6.26,0.000000,0.000000,190.69

58,14:15-14:30,3.840000,9.610000,5.770000,0.000000,158.480000,2.600000,3.360000,0.770000,5.82,0.000000,0.000000,190.25

59,14:30-14:45,3.840000,9.610000,5.770000,0.000000,158.480000,2.600000,3.360000,0.770000,5.57,0.000000,0.000000,190

60,14:45-15:00,3.840000,9.610000,5.770000,0.000000,158.480000,2.600000,3.360000,0.770000,5.22,0.000000,0.000000,189.65

61,15:00-15:15,3.840000,9.610000,5.770000,0.000000,158.480000,2.790000,3.360000,0.670000,4.78,0.000000,0.000000,189.3

62,15:15-15:30,3.840000,9.610000,5.770000,0.000000,158.480000,2.790000,3.360000,0.670000,4.42,0.000000,0.000000,188.94

63,15:30-15:45,3.840000,9.610000,5.770000,0.000000,158.480000,2.790000,3.360000,0.670000,4.07,0.000000,0.000000,188.59

64,15:45-16:00,3.840000,9.610000,5.770000,0.000000,158.480000,2.790000,3.360000,0.670000,3.55,0.000000,0.000000,188.07

65,16:00-16:15,3.840000,9.610000,5.770000,0.000000,158.480000,0.000000,3.360000,0.480000,3.15,0.000000,0.000000,184.69

66,16:15-16:30,3.840000,9.610000,5.770000,0.000000,158.480000,0.000000,3.360000,0.480000,2.56,0.000000,0.000000,184.1

67,16:30-16:45,0.000000,9.610000,5.770000,0.000000,158.480000,0.000000,0.000000,0.480000,2.07,0.000000,0.000000,176.41

68,16:45-17:00,0.000000,9.610000,5.770000,0.000000,158.480000,0.000000,0.000000,0.480000,1.57,0.000000,0.000000,175.91

69,17:00-17:15,0.000000,9.610000,5.770000,0.000000,158.480000,0.000000,0.000000,0.480000,1.12,0.000000,0.000000,175.46

70,17:15-17:30,0.000000,9.610000,5.770000,0.000000,158.480000,0.000000,0.000000,0.480000,0.74,0.000000,0.000000,175.08

71,17:30-17:45,0.000000,9.610000,5.770000,0.000000,158.480000,0.000000,0.000000,0.480000,0.4,0.000000,0.000000,174.74

72,17:45-18:00,0.000000,9.610000,5.770000,0.000000,158.480000,0.000000,0.000000,0.480000,0.2,0.000000,0.000000,174.54

73,18:00-18:15,0.000000,9.610000,5.770000,0.000000,158.480000,0.000000,0.000000,0.480000,0,55.000000,25.000000,254.34

