Block,Time,NR/30092023/26122029/SH-06,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/06022042/L_NR_2012_02,NR/01102023/06022042/L_NR_2012_07,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/05012040/L_NR_2020_02,WR/01102023/31032046/L_NR_2020_05,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/01102023/02012046/L_NR_2021_17,NR/30092023/31122025/SH-07,NR/01102023/13082046/L_NR_2021_12,NR/01102023/31102037/L_NR_2019_11,NR/01102023/14082046/L_NR_2021_16,NR/01102023/30042040/GNA_LT_35,WR/01102023/16072048/L_NR_2022_08,WR/01102023/24112044/L_NR_2020_07,NR/01102023/25072045/L_NR_2021_15,NR/26072023/31072042/L_NR_2023_07,L_NR_2019_19,WR/01102023/29112042/L_NR_2019_05,NR/01102023/08032047/L_NR_2021_14,NR/01102023/31052040/LT-31,WR/01102023/30052048/L_NR_2022_10,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/01102023/02122045/L_NR_2021_13,NR/01102023/23072042/L_NR_2012_04,WR/01102023/01102023/L_NR_2022_09,NR/26072023/25122043/L_NR_2023_10,NR/01102023/22052037/LT-59,NR/01102023/30042040/GNA_LT_36,NR/01102023/19072037/LT-05,NR/01102023/25122043/GNA_MEJA_DELHI,SR/01102023/07102043/L_NR_2018_61,WR/01102023/01102023/L_NR_2020_06
1,00:00-00:15,30.930000,101.230000,208.760000,74.110000,28.030000,3.300000,22,0,0,30.930000,0,3.070000,0,0.000000,7,7.33,0,0,0,0,0,0.000000,14,0,0,271.830000,14,0,3.270000,0.000000,118.300000,0.000000,7.41,7.34

2,00:15-00:30,30.930000,101.230000,208.760000,74.110000,28.030000,3.300000,22,0,0,30.930000,0,3.070000,0,0.000000,7,7.33,0,0,0,0,0,0.000000,14,0,0,271.830000,14,0,3.270000,0.000000,118.300000,0.000000,7.41,7.34

3,00:30-00:45,14.010000,101.230000,208.760000,74.110000,28.030000,3.300000,22,0,0,14.010000,0,3.070000,0,0.000000,7,7.33,0,0,0,0,0,0.000000,14,0,0,271.830000,14,0,3.270000,0.000000,118.300000,0.000000,7.41,7.34

4,00:45-01:00,14.010000,101.230000,208.760000,74.110000,28.030000,3.300000,22,0,0,14.010000,0,3.070000,0,0.000000,7,7.33,0,0,0,0,0,0.000000,14,0,0,271.830000,14,0,3.270000,0.000000,118.300000,0.000000,7.41,7.34

5,01:00-01:15,16.520000,101.230000,208.760000,74.110000,28.030000,3.300000,22,0,0,16.520000,0,3.000000,0,0.000000,7,7.33,0,0,0,0,0,0.000000,14,0,0,271.830000,14,0,3.110000,0.000000,118.300000,0.000000,7.41,7.34

6,01:15-01:30,16.520000,101.230000,208.760000,74.110000,28.030000,3.300000,22,0,0,16.520000,0,3.000000,0,0.000000,7,7.33,0,0,0,0,0,0.000000,14,0,0,271.830000,14,0,3.110000,0.000000,118.300000,0.000000,7.41,7.34

7,01:30-01:45,16.520000,101.230000,208.760000,74.110000,28.030000,3.300000,22,0,0,16.520000,0,3.000000,0,0.000000,7,7.33,0,0,0,0,0,0.000000,14,0,0,271.830000,14,0,3.110000,0.000000,118.300000,0.000000,7.41,7.34

8,01:45-02:00,16.520000,101.230000,208.760000,74.110000,28.030000,3.300000,22,0,0,16.520000,0,3.000000,0,0.000000,7,7.33,0,0,0,0,0,0.000000,14.52,0,0,271.830000,14.52,0,3.110000,0.000000,118.300000,0.000000,7.41,7.34

9,02:00-02:15,16.520000,101.230000,208.760000,74.110000,28.030000,3.300000,22,0,0,16.520000,0,3.000000,0,0.000000,7,7.33,0,0,0,0,0,0.000000,14,0,0,271.830000,14,0,3.110000,0.000000,118.300000,0.000000,7.41,7.34

10,02:15-02:30,22.610000,101.230000,208.760000,74.110000,28.030000,3.300000,22,0,0,22.610000,0,3.000000,0,0.000000,7,7.33,0,0,0,0,0,0.000000,14,0,0,271.830000,14,0,3.110000,0.000000,118.300000,0.000000,7.41,7.34

